Orthogroup	CCAP.longest_only	AAEG.longest_only
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP, CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC5565155|XP_001649530.1|AAEG
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC5577991|XP_001656729.1|AAEG
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC5567310|XP_001651745.1|AAEG
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC5578131|XP_001663702.2|AAEG
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC5577643|XP_001656641.1|AAEG
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP, CCAP1982_LOCUS6466|CAD6997842.1|CCAP, CCAP1982_LOCUS6464|CAD6997840.1|CCAP, CCAP1982_LOCUS6465|CAD6997841.1|CCAP	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP, CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP, CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC5578230|XP_021697387.1|AAEG
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP, CCAP1982_LOCUS4579|CAD6995878.1|CCAP	LOC5571745|XP_021708635.1|AAEG
OG0000023	CCAP1982_LOCUS4748|CAD6996042.1|CCAP, CCAP1982_LOCUS4747|CAD6996041.1|CCAP, CCAP1982_LOCUS4746|CAD6996040.1|CCAP, CCAP1982_LOCUS4737|CAD6996031.1|CCAP, CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP, CCAP1982_LOCUS4752|CAD6996046.1|CCAP, CCAP1982_LOCUS4751|CAD6996045.1|CCAP, CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	CCAP1982_LOCUS20679|CAD7012594.1|CCAP, CCAP1982_LOCUS20680|CAD7012595.1|CCAP, CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP, CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC5574946|XP_001655419.1|AAEG
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC110679745|XP_021711167.1|AAEG, LOC110679750|XP_021711172.1|AAEG, LOC110678303|XP_021706666.1|AAEG, LOC110679736|XP_021711157.1|AAEG, LOC110679744|XP_021711165.1|AAEG, LOC110679739|XP_021711160.1|AAEG, LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP, CCAP1982_LOCUS8293|CAD6999770.1|CCAP, CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP, CCAP1982_LOCUS8295|CAD6999772.1|CCAP	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP, CCAP1982_LOCUS11984|CAD7003534.1|CCAP, CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000032	CCAP1982_LOCUS3830|CAD6995107.1|CCAP, CCAP1982_LOCUS3831|CAD6995108.1|CCAP, CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP, CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	CCAP1982_LOCUS1098|CAD6992228.1|CCAP, CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC5565959|XP_001650301.1|AAEG
OG0000036	CCAP1982_LOCUS6228|CAD6997589.1|CCAP	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP, CCAP1982_LOCUS23033|CAD7015077.1|CCAP, CCAP1982_LOCUS1675|CAD6992838.1|CCAP, CCAP1982_LOCUS23014|CAD7015058.1|CCAP, CCAP1982_LOCUS1676|CAD6992840.1|CCAP, CCAP1982_LOCUS2613|CAD6993815.1|CCAP, CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC5571376|XP_001659658.1|AAEG
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP, CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP, CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP, CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC5567605|XP_021704850.1|AAEG
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP, CCAP1982_LOCUS11541|CAD7003078.1|CCAP, CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC5565204|XP_001649560.1|AAEG
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC5568625|XP_021702746.1|AAEG
OG0000048	CCAP1982_LOCUS21994|CAD7013985.1|CCAP, CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP, CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP, CCAP1982_LOCUS3087|CAD6994331.1|CCAP, CCAP1982_LOCUS3086|CAD6994330.1|CCAP, CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP, CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP, CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP, CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP, CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	LOC5573939|XP_021703386.1|AAEG
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP, CCAP1982_LOCUS7592|CAD6999045.1|CCAP, CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	CCAP1982_LOCUS14065|CAD7005713.1|CCAP, CCAP1982_LOCUS1335|CAD6992483.1|CCAP, CCAP1982_LOCUS1336|CAD6992484.1|CCAP, CCAP1982_LOCUS14066|CAD7005714.1|CCAP	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	CCAP1982_LOCUS21530|CAD7013467.1|CCAP, CCAP1982_LOCUS14064|CAD7005712.1|CCAP	LOC5577759|XP_021704690.1|AAEG
OG0000069	CCAP1982_LOCUS9788|CAD7001291.1|CCAP	LOC110681559|XP_021713329.1|AAEG
OG0000071	CCAP1982_LOCUS13882|CAD7005522.1|CCAP, CCAP1982_LOCUS13883|CAD7005523.1|CCAP	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	CCAP1982_LOCUS22450|CAD7014454.1|CCAP, CCAP1982_LOCUS22440|CAD7014444.1|CCAP, CCAP1982_LOCUS22446|CAD7014450.1|CCAP	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	CCAP1982_LOCUS19678|CAD7011589.1|CCAP	LOC5573060|XP_021711274.1|AAEG
OG0000073	CCAP1982_LOCUS2823|CAD6994046.1|CCAP	LOC5573536|XP_021693962.1|AAEG
OG0000074	CCAP1982_LOCUS12639|CAD7004220.1|CCAP	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	CCAP1982_LOCUS11742|CAD7003280.1|CCAP	LOC5569019|XP_021698411.1|AAEG
OG0000077	CCAP1982_LOCUS20515|CAD7012432.1|CCAP	LOC5576244|XP_001656025.1|AAEG
OG0000077	CCAP1982_LOCUS1052|CAD6992178.1|CCAP	LOC110676765|XP_021701591.1|AAEG
OG0000077	CCAP1982_LOCUS19492|CAD7011392.1|CCAP	LOC5576245|XP_001656026.2|AAEG
OG0000077	CCAP1982_LOCUS3920|CAD6995201.1|CCAP	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000080	CCAP1982_LOCUS19396|CAD7011289.1|CCAP	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	CCAP1982_LOCUS774|CAD6991883.1|CCAP, CCAP1982_LOCUS8015|CAD6999491.1|CCAP, CCAP1982_LOCUS52|CAD6991105.1|CCAP	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	CCAP1982_LOCUS6083|CAD6997437.1|CCAP, CCAP1982_LOCUS6084|CAD6997438.1|CCAP	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	CCAP1982_LOCUS21786|CAD7013760.1|CCAP	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	CCAP1982_LOCUS21697|CAD7013654.1|CCAP, CCAP1982_LOCUS21696|CAD7013653.1|CCAP, CCAP1982_LOCUS21698|CAD7013655.1|CCAP, CCAP1982_LOCUS21699|CAD7013657.1|CCAP, CCAP1982_LOCUS21700|CAD7013658.1|CCAP, CCAP1982_LOCUS21695|CAD7013652.1|CCAP, CCAP1982_LOCUS21694|CAD7013651.1|CCAP	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	CCAP1982_LOCUS20067|CAD7011957.1|CCAP, CCAP1982_LOCUS20066|CAD7011955.1|CCAP, CCAP1982_LOCUS21031|CAD7012934.1|CCAP	LOC5578054|XP_021695960.1|AAEG
OG0000086	CCAP1982_LOCUS22578|CAD7014579.1|CCAP	LOC5575040|XP_001661772.2|AAEG
OG0000087	CCAP1982_LOCUS5747|CAD6997095.1|CCAP	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	CCAP1982_LOCUS5317|CAD6996633.1|CCAP, CCAP1982_LOCUS5318|CAD6996634.1|CCAP, CCAP1982_LOCUS5294|CAD6996620.1|CCAP, CCAP1982_LOCUS5258|CAD6996589.1|CCAP	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	CCAP1982_LOCUS20832|CAD7012728.1|CCAP	LOC5573732|XP_001654757.1|AAEG
OG0000089	CCAP1982_LOCUS487|CAD6991569.1|CCAP	LOC5577489|XP_001663407.1|AAEG
OG0000089	CCAP1982_LOCUS12882|CAD7004477.1|CCAP	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	CCAP1982_LOCUS20695|CAD7012611.1|CCAP, CCAP1982_LOCUS20698|CAD7012614.1|CCAP, CCAP1982_LOCUS20704|CAD7012620.1|CCAP, CCAP1982_LOCUS20703|CAD7012619.1|CCAP, CCAP1982_LOCUS20702|CAD7012618.1|CCAP	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	CCAP1982_LOCUS2528|CAD6993730.1|CCAP	LOC5578943|XP_021693136.1|AAEG
OG0000091	CCAP1982_LOCUS1153|CAD6992285.1|CCAP, CCAP1982_LOCUS1156|CAD6992288.1|CCAP, CCAP1982_LOCUS1155|CAD6992287.1|CCAP, CCAP1982_LOCUS1154|CAD6992286.1|CCAP	LOC5579216|XP_021706364.1|AAEG
OG0000092	CCAP1982_LOCUS4954|CAD6996271.1|CCAP	LOC5564428|XP_001648774.2|AAEG
