Orthogroup	CCAP.longest_only	DALB.longest_only
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB, LOC117566088|XP_034101456.1|DALB
OG0000007	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP	LOC117570587|XP_034108222.1|DALB
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC117572105|XP_034110613.1|DALB
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC117571630|XP_034109745.1|DALB
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB, LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB, LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC117574613|XP_034114391.1|DALB
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC117570995|XP_034108835.1|DALB
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC117571003|XP_034108844.1|DALB
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC117574119|XP_034113664.1|DALB
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC117574113|XP_034113658.1|DALB
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC117574115|XP_034113660.1|DALB
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC117574118|XP_034113663.1|DALB
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC117574725|XP_034114546.1|DALB
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC117564301|XP_034098889.1|DALB
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC117564299|XP_034098888.1|DALB
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC117568055|XP_034104297.1|DALB
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC117569585|XP_034106704.1|DALB
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC117568054|XP_034104292.1|DALB
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC117571859|XP_034110145.1|DALB
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC117576138|XP_034116595.1|DALB
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC117568434|XP_034104988.1|DALB
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC117573950|XP_034113367.1|DALB
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC117574647|XP_034114439.1|DALB
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC117567926|XP_034104102.1|DALB
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC117573754|XP_034113029.1|DALB
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC117568261|XP_034104638.1|DALB
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC117569762|XP_034106946.1|DALB
OG0000018	CCAP1982_LOCUS12537|CAD7004116.1|CCAP	LOC117570357|XP_034107819.1|DALB
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC117569760|XP_034106944.1|DALB
OG0000018	CCAP1982_LOCUS12554|CAD7004133.1|CCAP	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000018	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC117576477|XP_034117138.1|DALB
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC117565600|XP_034100691.1|DALB
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC117576162|XP_034116628.1|DALB
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC117565601|XP_034100693.1|DALB
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC117576017|XP_034116416.1|DALB
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC117569951|XP_034107204.1|DALB
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP	LOC117569847|XP_034107067.1|DALB
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC117568013|XP_034104228.1|DALB
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC117576455|XP_034117118.1|DALB
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC117576451|XP_034117113.1|DALB
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC117576915|XP_034117947.1|DALB
OG0000024	CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP	LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC117566085|XP_034101455.1|DALB
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC117564244|XP_034098829.1|DALB
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC117565445|XP_034100427.1|DALB
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC117563844|XP_034098265.1|DALB
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC117564908|XP_034099753.1|DALB, LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC117565207|XP_034100106.1|DALB
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC117574198|XP_034113792.1|DALB
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP	LOC117577292|XP_034118160.1|DALB
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC117575319|XP_034115366.1|DALB
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC117574531|XP_034114284.1|DALB
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC117574592|XP_034114366.1|DALB
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC117576608|XP_034117400.1|DALB
OG0000036	CCAP1982_LOCUS6228|CAD6997589.1|CCAP	LOC117565385|XP_034100358.1|DALB
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC117568663|XP_034105356.1|DALB
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB
OG0000037	CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP	LOC117569403|XP_034106430.1|DALB
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC117570082|XP_034107414.1|DALB
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC117576108|XP_034116557.1|DALB
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC117576553|XP_034117282.1|DALB, LOC117576562|XP_034117292.1|DALB, LOC117576555|XP_034117284.1|DALB, LOC117576559|XP_034117287.1|DALB, LOC117576556|XP_034117285.1|DALB, LOC117576558|XP_034117286.1|DALB, LOC117576554|XP_034117283.1|DALB, LOC117576551|XP_034117281.1|DALB, LOC117576550|XP_034117280.1|DALB, LOC117576560|XP_034117290.1|DALB, LOC117576979|XP_034118049.1|DALB
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC117574699|XP_034114502.1|DALB
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC117568925|XP_034105726.1|DALB
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC117566426|XP_034101847.1|DALB
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC117566425|XP_034101846.1|DALB
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC117572554|XP_034111317.1|DALB
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC117567370|XP_034103204.1|DALB
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC117570722|XP_034108424.1|DALB, LOC117570720|XP_034108423.1|DALB
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC117571564|XP_034109658.1|DALB, LOC117572034|XP_034110480.1|DALB
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC117569405|XP_034106432.1|DALB
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC117574253|XP_034113873.1|DALB
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC117574270|XP_034113907.1|DALB
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC117576198|XP_034116681.1|DALB
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC117574439|XP_034114168.1|DALB
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC117567964|XP_034104164.1|DALB
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC117566525|XP_034101957.1|DALB, LOC117566526|XP_034101958.1|DALB, LOC117570483|XP_034108058.1|DALB, LOC117569367|XP_034106390.1|DALB
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC117576304|XP_034116849.1|DALB
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC117576889|XP_034117914.1|DALB, LOC117573460|XP_034112573.1|DALB, LOC117574315|XP_034114017.1|DALB, LOC117574240|XP_034113845.1|DALB, LOC117574314|XP_034114015.1|DALB, LOC117574786|XP_034114633.1|DALB
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC117576902|XP_034117931.1|DALB
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC117576244|XP_034116756.1|DALB, LOC117576245|XP_034116757.1|DALB, LOC117576070|XP_034116497.1|DALB, LOC117576071|XP_034116498.1|DALB, LOC117576069|XP_034116496.1|DALB, LOC117575219|XP_034115236.1|DALB, LOC117576928|XP_034117962.1|DALB, LOC117568864|XP_034105642.1|DALB, LOC117571307|XP_034109272.1|DALB, LOC117566592|XP_034102025.1|DALB, LOC117569133|XP_034106052.1|DALB, LOC117566590|XP_034102023.1|DALB, LOC117566591|XP_034102024.1|DALB, LOC117572296|XP_034110899.1|DALB, LOC117572297|XP_034110900.1|DALB, LOC117566593|XP_034102026.1|DALB
