Orthogroup	CCAP.longest_only	SLEB.longest_only
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC115634507|XP_030388133.1|SLEB
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC115619981|XP_030368881.1|SLEB
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC115628616|XP_030380660.1|SLEB
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC115630361|XP_030382755.1|SLEB, LOC115630324|XP_030382722.1|SLEB, LOC115630325|XP_030382723.1|SLEB, LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB, LOC115630292|XP_030382688.1|SLEB, LOC115630349|XP_030382742.1|SLEB, LOC115630350|XP_030382743.1|SLEB, LOC115630290|XP_030382685.1|SLEB, LOC115630360|XP_030382754.1|SLEB, LOC115630289|XP_030382684.1|SLEB
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC115630364|XP_030382757.1|SLEB
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC115630120|XP_030382591.1|SLEB
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB
OG0000006	CCAP1982_LOCUS6249|CAD6997613.1|CCAP	LOC115630280|XP_030382676.1|SLEB
OG0000007	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP	LOC115629771|XP_030382185.1|SLEB
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC115633152|XP_030386421.1|SLEB
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC115633153|XP_030386422.1|SLEB
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC115623801|XP_030374203.1|SLEB
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC115628395|XP_030380343.1|SLEB
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC115628400|XP_030380349.1|SLEB
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC115628403|XP_030380351.1|SLEB
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC115623587|XP_030373847.1|SLEB
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC115624340|XP_030374852.1|SLEB
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC115624344|XP_030374855.1|SLEB
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC115623612|XP_030373889.1|SLEB
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC115624173|XP_030374629.1|SLEB
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC115633544|XP_030386861.1|SLEB
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC115630140|XP_030382609.1|SLEB
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC115625114|XP_030375880.1|SLEB
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC115626791|XP_030378121.1|SLEB
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC115634820|XP_030388598.1|SLEB
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC115624523|XP_030375106.1|SLEB
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC115632632|XP_030385725.1|SLEB
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC115634441|XP_030388010.1|SLEB
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC115625570|XP_030376527.1|SLEB
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC115623047|XP_030373085.1|SLEB
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC115621092|XP_030370486.1|SLEB
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC115624312|XP_030374797.1|SLEB
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000014	CCAP1982_LOCUS9877|CAD7001380.1|CCAP	LOC115629406|XP_030381727.1|SLEB
OG0000014	CCAP1982_LOCUS9942|CAD7001445.1|CCAP	LOC115624589|XP_030375187.1|SLEB
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC115620605|XP_030369779.1|SLEB
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC115621272|XP_030370732.1|SLEB
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC115634447|XP_030388017.1|SLEB
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC115619974|XP_030368869.1|SLEB, LOC115632872|XP_030386040.1|SLEB, LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB, LOC115619941|XP_030368828.1|SLEB
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC115633159|XP_030386430.1|SLEB
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC115633160|XP_030386431.1|SLEB
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC115633162|XP_030386433.1|SLEB
OG0000018	CCAP1982_LOCUS12554|CAD7004133.1|CCAP	LOC115632521|XP_030385577.1|SLEB, LOC115632120|XP_030384981.1|SLEB, LOC115632121|XP_030384982.1|SLEB
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC115620461|XP_030369552.1|SLEB
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC115625139|XP_030375917.1|SLEB
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC115623558|XP_030373816.1|SLEB
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC115625796|XP_030376833.1|SLEB
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC115620616|XP_030369796.1|SLEB
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC115634544|XP_030388214.1|SLEB
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP	LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	CCAP1982_LOCUS4748|CAD6996042.1|CCAP, CCAP1982_LOCUS4747|CAD6996041.1|CCAP, CCAP1982_LOCUS4746|CAD6996040.1|CCAP	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC115623322|XP_030373444.1|SLEB
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC115623324|XP_030373445.1|SLEB
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC115623321|XP_030373443.1|SLEB
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC115623326|XP_030373447.1|SLEB
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC115626230|XP_030377390.1|SLEB
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC115630296|XP_030382693.1|SLEB, LOC115630134|XP_030382602.1|SLEB, LOC115630274|XP_030382669.1|SLEB, LOC115630276|XP_030382671.1|SLEB, LOC115633523|XP_030386842.1|SLEB, LOC115633507|XP_030386828.1|SLEB, LOC115633524|XP_030386843.1|SLEB, LOC115630294|XP_030382690.1|SLEB, LOC115633466|XP_030386782.1|SLEB, LOC115633533|XP_030386851.1|SLEB, LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB, LOC115630352|XP_030382745.1|SLEB
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC115627162|XP_030378606.1|SLEB
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC115632057|XP_030384894.1|SLEB
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC115632056|XP_030384892.1|SLEB
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC115631416|XP_030384002.1|SLEB
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP	LOC115634465|XP_030388053.1|SLEB
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC115634071|XP_030387478.1|SLEB
OG0000030	CCAP1982_LOCUS6799|CAD6998183.1|CCAP	LOC115629848|XP_030382289.1|SLEB
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC115631185|XP_030383736.1|SLEB, LOC115631186|XP_030383737.1|SLEB
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC115630766|XP_030383282.1|SLEB, LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC115631052|XP_030383546.1|SLEB
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC115621800|XP_030371439.1|SLEB
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC115621799|XP_030371437.1|SLEB
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC115623477|XP_030373705.1|SLEB
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC115621020|XP_030370399.1|SLEB
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC115620249|XP_030369258.1|SLEB
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC115621341|XP_030370821.1|SLEB
OG0000036	CCAP1982_LOCUS6228|CAD6997589.1|CCAP	LOC115627397|XP_030378912.1|SLEB
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC115626848|XP_030378208.1|SLEB
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC115633983|XP_030387367.1|SLEB
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC115624024|XP_030374460.1|SLEB
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC115624181|XP_030374637.1|SLEB, LOC115623538|XP_030373780.1|SLEB, LOC115631500|XP_030384120.1|SLEB
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC115624165|XP_030374623.1|SLEB
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC115632695|XP_030385792.1|SLEB
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC115632698|XP_030385795.1|SLEB
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC115632700|XP_030385796.1|SLEB
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC115632701|XP_030385797.1|SLEB
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC115626702|XP_030377994.1|SLEB
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC115632159|XP_030385047.1|SLEB
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC115625471|XP_030376380.1|SLEB
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC115625469|XP_030376378.1|SLEB
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC115621014|XP_030370394.1|SLEB
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC115632844|XP_030385961.1|SLEB, LOC115632845|XP_030385962.1|SLEB, LOC115632843|XP_030385960.1|SLEB, LOC115632842|XP_030385959.1|SLEB
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC115624036|XP_030374474.1|SLEB
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC115621355|XP_030370842.1|SLEB, LOC115621366|XP_030370854.1|SLEB
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC115634038|XP_030387442.1|SLEB
OG0000053	CCAP1982_LOCUS20994|CAD7012895.1|CCAP, CCAP1982_LOCUS21331|CAD7013260.1|CCAP, CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC115634037|XP_030387441.1|SLEB
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC115634626|XP_030388341.1|SLEB
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB
