Orthogroup	CCAP.longest_only	DSER.longest_only
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC110182737|XP_020806498.1|DSER
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER, LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER, LOC110180669|XP_020804016.1|DSER, LOC110182130|XP_020805798.1|DSER, LOC110180696|XP_020804037.1|DSER, LOC110182417|XP_020806112.1|DSER, LOC110180695|XP_020804036.1|DSER, LOC110182139|XP_020805809.1|DSER, LOC110180676|XP_020804021.1|DSER, LOC110180666|XP_020804015.1|DSER, LOC110182416|XP_020806111.1|DSER, LOC110180677|XP_020804022.1|DSER, LOC110182131|XP_020805799.1|DSER, LOC110182138|XP_020805807.1|DSER, LOC110182428|XP_020806124.1|DSER
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC110185948|XP_020810624.1|DSER
OG0000006	CCAP1982_LOCUS6242|CAD6997606.1|CCAP	LOC110182133|XP_020805802.1|DSER
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC110184727|XP_020809014.1|DSER
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC110182363|XP_020806064.1|DSER, LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER, LOC110182364|XP_020806065.1|DSER, LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER, LOC110184731|XP_020809018.1|DSER, LOC110184732|XP_020809019.1|DSER
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC110188534|XP_020813940.1|DSER
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC110183610|XP_020807586.1|DSER
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC110183609|XP_020807585.1|DSER
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC110183613|XP_020807591.1|DSER
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC110191898|XP_020818543.1|DSER
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC110191819|XP_020818443.1|DSER
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC110191725|XP_020818302.1|DSER
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC110191899|XP_020818544.1|DSER
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC110191820|XP_020818444.1|DSER
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC110188739|XP_020814232.1|DSER
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC110182164|XP_020805826.1|DSER
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC110183810|XP_020807821.1|DSER
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC110178863|XP_020801799.1|DSER
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC110178859|XP_020801786.1|DSER
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC110190967|XP_020817320.1|DSER
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC110176037|XP_020797910.1|DSER
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER, LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER, LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC110189766|XP_020815644.1|DSER
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC110188689|XP_020814151.1|DSER
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC110188838|XP_020814394.1|DSER
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC110188074|XP_020813284.1|DSER
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC110191421|XP_020817937.1|DSER, LOC110191071|XP_020817464.1|DSER
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC110185112|XP_020809466.1|DSER, LOC110182974|XP_020806826.1|DSER
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC110186803|XP_020811744.1|DSER
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC110191952|XP_020818633.1|DSER
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC110179844|XP_020803110.1|DSER
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC110182944|XP_020806786.1|DSER, LOC110189651|XP_020815456.1|DSER
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC110184702|XP_020808977.1|DSER
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC110184746|XP_020809033.1|DSER
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC110184752|XP_020809041.1|DSER
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC110186753|XP_020811674.1|DSER, LOC110186755|XP_020811676.1|DSER, LOC110186756|XP_020811677.1|DSER, LOC110186746|XP_020811668.1|DSER, LOC110186754|XP_020811675.1|DSER, LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC110186419|XP_020811254.1|DSER
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC110188252|XP_020813584.1|DSER
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC110190995|XP_020817366.1|DSER
OG0000021	CCAP1982_LOCUS4579|CAD6995878.1|CCAP	LOC110178105|XP_020800778.1|DSER
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC110176354|XP_020798342.1|DSER
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER, LOC110180829|XP_020804169.1|DSER, LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC110188454|XP_020813842.1|DSER
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC110188692|XP_020814155.1|DSER
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC110188691|XP_020814154.1|DSER
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC110188690|XP_020814152.1|DSER
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC110185697|XP_020810324.1|DSER, LOC110179322|XP_020802473.1|DSER
OG0000025	CCAP1982_LOCUS6236|CAD6997600.1|CCAP	LOC110182423|XP_020806118.1|DSER, LOC110182432|XP_020806127.1|DSER, LOC110181330|XP_020804708.1|DSER
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER, LOC110188271|XP_020813620.1|DSER
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC110176950|XP_020799111.1|DSER
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC110176976|XP_020799142.1|DSER
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC110176929|XP_020799084.1|DSER
OG0000028	CCAP1982_LOCUS11976|CAD7003526.1|CCAP, CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC110190608|XP_020816860.1|DSER
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC110181434|XP_020804839.1|DSER, LOC110177071|XP_020799247.1|DSER, LOC110185765|XP_020810430.1|DSER, LOC110178924|XP_020801869.1|DSER
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC110183999|XP_020808015.1|DSER, LOC110184000|XP_020808016.1|DSER
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC110184885|XP_020809189.1|DSER, LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC110183330|XP_020807237.1|DSER
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC110191017|XP_020817393.1|DSER
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC110184859|XP_020809159.1|DSER, LOC110184879|XP_020809185.1|DSER, LOC110184890|XP_020809195.1|DSER, LOC110185580|XP_020810168.1|DSER, LOC110185578|XP_020810167.1|DSER, LOC110185768|XP_020810429.1|DSER
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC110188341|XP_020813708.1|DSER
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC110191887|XP_020818531.1|DSER
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC110187659|XP_020812737.1|DSER
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC110186335|XP_020811144.1|DSER
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC110178458|XP_020801255.1|DSER
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC110187856|XP_020813000.1|DSER, LOC110188004|XP_020813185.1|DSER
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER, LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER, LOC110186555|XP_020811417.1|DSER, LOC110186661|XP_020811584.1|DSER
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC110186693|XP_020811620.1|DSER
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC110178672|XP_020801529.1|DSER
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC110187537|XP_020812593.1|DSER
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC110189583|XP_020815375.1|DSER
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER, LOC110190447|XP_020816607.1|DSER
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC110190454|XP_020816613.1|DSER
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC110188465|XP_020813853.1|DSER
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC110188330|XP_020813697.1|DSER
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC110188568|XP_020813987.1|DSER, LOC110188331|XP_020813698.1|DSER
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC110188656|XP_020814093.1|DSER
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC110180270|XP_020803585.1|DSER
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC110190034|XP_020815995.1|DSER, LOC110190383|XP_020816472.1|DSER, LOC110190030|XP_020815992.1|DSER, LOC110190392|XP_020816504.1|DSER, LOC110190033|XP_020815994.1|DSER, LOC110190029|XP_020815991.1|DSER, LOC110190031|XP_020815993.1|DSER
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC110187927|XP_020813097.1|DSER
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC110186721|XP_020811651.1|DSER
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC110176579|XP_020798652.1|DSER
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC110191159|XP_020817576.1|DSER, LOC110185541|XP_020810108.1|DSER, LOC110188577|XP_020814000.1|DSER, LOC110188482|XP_020813871.1|DSER, LOC110188395|XP_020813776.1|DSER, LOC110178467|XP_020801266.1|DSER, LOC110178444|XP_020801237.1|DSER
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC110176132|XP_020798030.1|DSER, LOC110176120|XP_020798020.1|DSER
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC110176110|XP_020798009.1|DSER
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC110176101|XP_020798000.1|DSER
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC110176153|XP_020798053.1|DSER
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC110191806|XP_020818417.1|DSER
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC110191860|XP_020818499.1|DSER, LOC110191877|XP_020818520.1|DSER, LOC110191876|XP_020818519.1|DSER
