Orthogroup	CCAP.longest_only	DSEC.longest_only
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC6621634|XP_002045742.2|DSEC
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC116801805|XP_032579403.1|DSEC
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC6619030|XP_032578205.1|DSEC
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC6606667|XP_002031467.1|DSEC
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC6609401|XP_002034086.1|DSEC
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC6614265|XP_002038705.1|DSEC
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC6614261|XP_032579066.1|DSEC
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC6614263|XP_002038703.1|DSEC
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC6614259|XP_032579064.1|DSEC
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC6611562|XP_002036100.1|DSEC
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC6611565|XP_002036103.2|DSEC
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC6611563|XP_002036101.1|DSEC
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC6605908|XP_002030721.1|DSEC
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC6617677|XP_032583255.1|DSEC, LOC6617675|XP_002041988.1|DSEC, LOC6617676|XP_002041989.1|DSEC
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC6613129|XP_002037610.2|DSEC, LOC6615712|XP_002040083.1|DSEC
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC6611956|XP_002036473.1|DSEC
OG0000032	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP	LOC6606692|XP_002031492.2|DSEC
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC6614280|XP_002038720.1|DSEC
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC6606280|XP_032578992.1|DSEC
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC6613804|XP_032577945.1|DSEC
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC6607601|XP_002032369.2|DSEC
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC6609848|XP_002034500.1|DSEC
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC6619358|XP_002043575.1|DSEC
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC6619712|XP_032578272.1|DSEC
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC6619716|XP_002043931.1|DSEC, LOC6619717|XP_002043932.1|DSEC, LOC6619713|XP_032578123.1|DSEC, LOC6619715|XP_002043930.1|DSEC, LOC6619714|XP_002043929.1|DSEC
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC6605191|XP_002030030.1|DSEC
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC6605189|XP_002030028.1|DSEC, LOC6605190|XP_002030029.1|DSEC
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC6611095|XP_002035652.1|DSEC
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC6611094|XP_002035651.1|DSEC
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC6609036|XP_032573031.1|DSEC
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC6605929|XP_002030742.1|DSEC, LOC6605928|XP_002030741.1|DSEC
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC6605926|XP_002030739.1|DSEC
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC6616784|XP_002041121.1|DSEC
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC6616788|XP_002041125.1|DSEC
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC6616783|XP_002041120.1|DSEC
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC6608707|XP_002033431.1|DSEC
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC6616568|XP_002040927.1|DSEC, LOC6616571|XP_032575631.1|DSEC, LOC6616570|XP_002040929.1|DSEC, LOC116800887|XP_032573137.1|DSEC, LOC6616572|XP_002040931.1|DSEC, LOC6616569|XP_032573136.1|DSEC
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC6607242|XP_032578378.1|DSEC
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC6606627|XP_002031428.1|DSEC
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC6607024|XP_002031813.1|DSEC, LOC6607642|XP_002032407.1|DSEC, LOC6607025|XP_002031814.1|DSEC, LOC6607026|XP_002031815.1|DSEC, LOC6607022|XP_002031811.2|DSEC, LOC6607023|XP_002031812.1|DSEC, LOC6609846|XP_002034498.1|DSEC, LOC6609845|XP_002034497.1|DSEC
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC6608186|XP_002032931.2|DSEC
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC6608184|XP_002032929.1|DSEC
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC6608180|XP_002032925.1|DSEC
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC6606233|XP_002031041.1|DSEC
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC
OG0000059	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP	LOC6617066|XP_002041394.1|DSEC, LOC6617064|XP_002041392.1|DSEC, LOC6617063|XP_002041391.1|DSEC, LOC6617065|XP_002041393.1|DSEC, LOC6617058|XP_002041386.1|DSEC
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	LOC6612941|XP_032579191.1|DSEC
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP	LOC6611375|XP_002035920.1|DSEC
OG0000061	CCAP1982_LOCUS7592|CAD6999045.1|CCAP	LOC6611382|XP_002035927.1|DSEC
OG0000061	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	LOC6611377|XP_032583318.1|DSEC, LOC6611378|XP_002035923.2|DSEC
OG0000062	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP	LOC6619830|XP_032581369.1|DSEC, LOC6614677|XP_002039104.1|DSEC, LOC6613921|XP_002038386.1|DSEC, LOC6614678|XP_002039105.1|DSEC, LOC116803533|XP_032583118.1|DSEC, LOC116801522|XP_032577635.1|DSEC
OG0000063	CCAP1982_LOCUS12099|CAD7003661.1|CCAP	LOC116800923|XP_032573468.1|DSEC, LOC6605135|XP_002029976.1|DSEC, LOC6605136|XP_002029977.1|DSEC, LOC6605137|XP_032573466.1|DSEC
OG0000065	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP	LOC6620871|XP_032577187.1|DSEC, LOC6611715|XP_032583141.1|DSEC, LOC116801475|XP_032577197.1|DSEC, LOC6606677|XP_032577192.1|DSEC, LOC6616851|XP_002041187.2|DSEC, LOC6616853|XP_002041189.1|DSEC, LOC6616852|XP_002041188.1|DSEC
OG0000067	CCAP1982_LOCUS14065|CAD7005713.1|CCAP	LOC6620079|XP_002044291.1|DSEC
OG0000067	CCAP1982_LOCUS14066|CAD7005714.1|CCAP	LOC6610892|XP_002035455.1|DSEC
OG0000067	CCAP1982_LOCUS21530|CAD7013467.1|CCAP	LOC6608367|XP_002033103.1|DSEC
OG0000067	CCAP1982_LOCUS14064|CAD7005712.1|CCAP	LOC6610891|XP_002035454.1|DSEC
OG0000069	CCAP1982_LOCUS8182|CAD6999652.1|CCAP	LOC6618939|XP_002043184.2|DSEC
