Orthogroup	CCAP.longest_only	DELE.longest_only
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC108145867|XP_017126995.1|DELE
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC108145871|XP_017126998.1|DELE
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC108148323|XP_017130803.1|DELE
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC108148325|XP_017130805.1|DELE
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC108148321|XP_017130801.1|DELE
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC108148322|XP_017130802.1|DELE
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC108148324|XP_017130804.1|DELE
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC108137036|XP_017114024.1|DELE
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC108139189|XP_017117303.1|DELE
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC108145523|XP_017126497.1|DELE
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC108145522|XP_017126496.1|DELE
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC108145538|XP_017126526.1|DELE
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC108145542|XP_017126531.1|DELE
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC108149749|XP_017133029.1|DELE
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC108134833|XP_017110785.1|DELE
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC108146660|XP_017128198.1|DELE
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC108135085|XP_017111146.1|DELE
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC108136687|XP_017113497.1|DELE
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC108135797|XP_017112156.1|DELE
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC108144651|XP_017125185.1|DELE
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC108140478|XP_017118708.1|DELE
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC108143220|XP_017123005.1|DELE
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC108149934|XP_017133339.1|DELE, LOC108134991|XP_017111013.1|DELE
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC108142474|XP_017121847.1|DELE
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC108142172|XP_017121346.1|DELE
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC108142475|XP_017121848.1|DELE
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC108148802|XP_017131514.1|DELE
OG0000020	CCAP1982_LOCUS1002|CAD6992120.1|CCAP	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE
OG0000020	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP	LOC108136813|XP_017113705.1|DELE
OG0000020	CCAP1982_LOCUS999|CAD6992115.1|CCAP	LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	CCAP1982_LOCUS162|CAD6991224.1|CCAP	LOC108134787|XP_017110724.1|DELE
OG0000022	CCAP1982_LOCUS19689|CAD7011600.1|CCAP	LOC108144256|XP_017124426.1|DELE
OG0000022	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP	LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE
OG0000023	CCAP1982_LOCUS4737|CAD6996031.1|CCAP	LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE
OG0000023	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP	LOC108140949|XP_017119506.1|DELE
OG0000023	CCAP1982_LOCUS4752|CAD6996046.1|CCAP	LOC108141054|XP_017119691.1|DELE
OG0000023	CCAP1982_LOCUS4751|CAD6996045.1|CCAP	LOC108141157|XP_017119872.1|DELE
OG0000023	CCAP1982_LOCUS4754|CAD6996047.1|CCAP	LOC108141055|XP_017119693.1|DELE
OG0000024	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP	LOC108134565|XP_017110407.1|DELE
OG0000026	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE
OG0000027	CCAP1982_LOCUS8299|CAD6999776.1|CCAP	LOC108138066|XP_017115531.1|DELE
OG0000027	CCAP1982_LOCUS8293|CAD6999770.1|CCAP	LOC108138053|XP_017115518.1|DELE
OG0000027	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP	LOC108138043|XP_017115505.1|DELE
OG0000028	CCAP1982_LOCUS11984|CAD7003534.1|CCAP	LOC108146069|XP_017127372.1|DELE
OG0000028	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP	LOC108145772|XP_017126831.1|DELE
OG0000029	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE
OG0000030	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP	LOC108138030|XP_017115492.1|DELE, LOC108138012|XP_017115471.1|DELE, LOC108138011|XP_017115470.1|DELE, LOC108138092|XP_017115567.1|DELE
OG0000030	CCAP1982_LOCUS21173|CAD7013099.1|CCAP	LOC108147758|XP_017129978.1|DELE, LOC108143463|XP_017123389.1|DELE
OG0000031	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP	LOC108142073|XP_017121248.1|DELE
OG0000032	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP	LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000034	CCAP1982_LOCUS7893|CAD6999366.1|CCAP	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	CCAP1982_LOCUS4712|CAD6996006.1|CCAP	LOC108141221|XP_017119962.1|DELE
OG0000036	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP	LOC108141229|XP_017119974.1|DELE
OG0000036	CCAP1982_LOCUS1595|CAD6992752.1|CCAP	LOC108141167|XP_017119884.1|DELE
OG0000036	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP	LOC108134742|XP_017110664.1|DELE
OG0000037	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP	LOC108145158|XP_017125873.1|DELE
OG0000037	CCAP1982_LOCUS2613|CAD6993815.1|CCAP	LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP	LOC108146067|XP_017127370.1|DELE
OG0000041	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE
OG0000043	CCAP1982_LOCUS4613|CAD6995911.1|CCAP	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE
OG0000043	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP	LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000044	CCAP1982_LOCUS840|CAD6991952.1|CCAP	LOC108143748|XP_017123768.1|DELE
OG0000044	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP	LOC108143753|XP_017123772.1|DELE, LOC108143769|XP_017123786.1|DELE, LOC108143754|XP_017123773.1|DELE, LOC108143771|XP_017123788.1|DELE, LOC108143751|XP_017123771.1|DELE, LOC108143749|XP_017123769.1|DELE
OG0000044	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP	LOC108140749|XP_017119215.1|DELE
OG0000045	CCAP1982_LOCUS11539|CAD7003076.1|CCAP	LOC108150162|XP_017133621.1|DELE
OG0000045	CCAP1982_LOCUS11540|CAD7003077.1|CCAP	LOC108150135|XP_017133591.1|DELE, LOC108150141|XP_017133599.1|DELE
OG0000045	CCAP1982_LOCUS11541|CAD7003078.1|CCAP	LOC108146641|XP_017128175.1|DELE
OG0000045	CCAP1982_LOCUS11542|CAD7003079.1|CCAP	LOC108146602|XP_017128138.1|DELE
OG0000047	CCAP1982_LOCUS9943|CAD7001446.1|CCAP	LOC108149120|XP_017132010.1|DELE
OG0000048	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP	LOC108145662|XP_017126704.1|DELE, LOC108145661|XP_017126703.1|DELE
OG0000048	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE
OG0000048	CCAP1982_LOCUS14852|CAD7006538.1|CCAP	LOC108146211|XP_017127619.1|DELE
OG0000049	CCAP1982_LOCUS3089|CAD6994333.1|CCAP	LOC108140396|XP_017118593.1|DELE
OG0000049	CCAP1982_LOCUS3087|CAD6994331.1|CCAP	LOC108140391|XP_017118587.1|DELE
OG0000049	CCAP1982_LOCUS3086|CAD6994330.1|CCAP	LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE
OG0000049	CCAP1982_LOCUS3090|CAD6994334.1|CCAP	LOC108140395|XP_017118592.1|DELE
OG0000050	CCAP1982_LOCUS13741|CAD7005381.1|CCAP	LOC108144105|XP_017124238.1|DELE
OG0000050	CCAP1982_LOCUS13740|CAD7005380.1|CCAP	LOC108143124|XP_017122854.1|DELE, LOC108143123|XP_017122853.1|DELE, LOC108143198|XP_017122940.1|DELE, LOC108143121|XP_017122851.1|DELE, LOC108143197|XP_017122939.1|DELE, LOC108143120|XP_017122849.1|DELE, LOC108143122|XP_017122852.1|DELE
OG0000051	CCAP1982_LOCUS274|CAD6991345.1|CCAP	LOC108143756|XP_017123775.1|DELE
OG0000051	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP	LOC108143275|XP_017123079.1|DELE
OG0000051	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP	LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE
OG0000052	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP	LOC108135036|XP_017111063.1|DELE, LOC108136729|XP_017113543.1|DELE, LOC108135035|XP_017111062.1|DELE, LOC108135034|XP_017111060.1|DELE, LOC108135047|XP_017111075.1|DELE, LOC108135173|XP_017111287.1|DELE, LOC108145160|XP_017125875.1|DELE, LOC108145159|XP_017125874.1|DELE
OG0000053	CCAP1982_LOCUS20953|CAD7012854.1|CCAP	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE
OG0000053	CCAP1982_LOCUS20955|CAD7012856.1|CCAP	LOC108145357|XP_017126239.1|DELE
OG0000053	CCAP1982_LOCUS20994|CAD7012895.1|CCAP, CCAP1982_LOCUS21331|CAD7013260.1|CCAP	LOC108137373|XP_017114513.1|DELE
OG0000053	CCAP1982_LOCUS20956|CAD7012857.1|CCAP	LOC108145356|XP_017126238.1|DELE
OG0000053	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP	LOC108145362|XP_017126243.1|DELE
OG0000054	CCAP1982_LOCUS1028|CAD6992150.1|CCAP	LOC108140678|XP_017119113.1|DELE
OG0000054	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP	LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000058	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE
OG0000059	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP	LOC108148904|XP_017131709.1|DELE, LOC108148902|XP_017131707.1|DELE, LOC108148903|XP_017131708.1|DELE, LOC108148901|XP_017131706.1|DELE, LOC108148972|XP_017131800.1|DELE, LOC108148971|XP_017131799.1|DELE, LOC108148470|XP_017130991.1|DELE
OG0000060	CCAP1982_LOCUS3311|CAD6994573.1|CCAP	LOC108143025|XP_017122707.1|DELE
OG0000061	CCAP1982_LOCUS7588|CAD6999041.1|CCAP	LOC108138018|XP_017115477.1|DELE
OG0000061	CCAP1982_LOCUS7592|CAD6999045.1|CCAP	LOC108138006|XP_017115465.1|DELE
OG0000061	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP	LOC108138025|XP_017115485.1|DELE, LOC108138035|XP_017115497.1|DELE
OG0000062	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP	LOC108136516|XP_017113265.1|DELE, LOC108138778|XP_017116734.1|DELE, LOC108138779|XP_017116735.1|DELE, LOC108141958|XP_017121089.1|DELE, LOC108136038|XP_017112458.1|DELE, LOC108136028|XP_017112449.1|DELE, LOC108134584|XP_017110431.1|DELE, LOC108134586|XP_017110432.1|DELE, LOC108134589|XP_017110436.1|DELE
OG0000063	CCAP1982_LOCUS12099|CAD7003661.1|CCAP	LOC108150132|XP_017133588.1|DELE, LOC108150112|XP_017133565.1|DELE, LOC108150366|XP_017133993.1|DELE, LOC108150356|XP_017133979.1|DELE
OG0000065	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP	LOC108134781|XP_017110718.1|DELE, LOC108141665|XP_017120628.1|DELE, LOC108134782|XP_017110720.1|DELE, LOC108135129|XP_017111226.1|DELE, LOC108135083|XP_017111141.1|DELE, LOC108135130|XP_017111227.1|DELE
OG0000067	CCAP1982_LOCUS14065|CAD7005713.1|CCAP	LOC108140552|XP_017118898.1|DELE
OG0000067	CCAP1982_LOCUS14066|CAD7005714.1|CCAP	LOC108147479|XP_017129518.1|DELE
OG0000067	CCAP1982_LOCUS21530|CAD7013467.1|CCAP	LOC108141513|XP_017120431.1|DELE
OG0000067	CCAP1982_LOCUS14064|CAD7005712.1|CCAP	LOC108147383|XP_017129307.1|DELE
OG0000069	CCAP1982_LOCUS8182|CAD6999652.1|CCAP	LOC108147571|XP_017129645.1|DELE
OG0000071	CCAP1982_LOCUS13882|CAD7005522.1|CCAP, CCAP1982_LOCUS13883|CAD7005523.1|CCAP	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE
OG0000072	CCAP1982_LOCUS22450|CAD7014454.1|CCAP	LOC108137979|XP_017115440.1|DELE
OG0000072	CCAP1982_LOCUS22440|CAD7014444.1|CCAP	LOC108137893|XP_017115321.1|DELE
