Orthogroup	AALB.longest_only	DELE.longest_only
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC108143220|XP_017123005.1|DELE
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC108142474|XP_017121847.1|DELE
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC108148802|XP_017131514.1|DELE, LOC108145240|XP_017125995.1|DELE
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE, LOC108136813|XP_017113705.1|DELE, LOC108140627|XP_017119032.1|DELE, LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC108139148|XP_017117255.1|DELE, LOC108134787|XP_017110724.1|DELE, LOC108137723|XP_017115107.1|DELE
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC108144256|XP_017124426.1|DELE, LOC108145706|XP_017126756.1|DELE, LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE, LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC108140988|XP_017119550.1|DELE, LOC108140990|XP_017119554.1|DELE, LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE, LOC108140949|XP_017119506.1|DELE, LOC108141054|XP_017119691.1|DELE, LOC108141157|XP_017119872.1|DELE, LOC108141055|XP_017119693.1|DELE
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE, LOC108144317|XP_017124507.1|DELE, LOC108134565|XP_017110407.1|DELE, LOC108149067|XP_017131913.1|DELE
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC108148017|XP_017130341.1|DELE, LOC108136491|XP_017113196.1|DELE
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC108138066|XP_017115531.1|DELE, LOC108138053|XP_017115518.1|DELE, LOC108138043|XP_017115505.1|DELE
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC108146071|XP_017127374.1|DELE, LOC108146072|XP_017127376.1|DELE, LOC108146069|XP_017127372.1|DELE, LOC108146070|XP_017127373.1|DELE, LOC108146073|XP_017127378.1|DELE, LOC108145772|XP_017126831.1|DELE
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE, LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC108141556|XP_017120489.1|DELE, LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE, LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC108141229|XP_017119974.1|DELE
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC108145158|XP_017125873.1|DELE, LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC108148259|XP_017130681.1|DELE
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE, LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC108137997|XP_017115461.1|DELE, LOC108137888|XP_017115315.1|DELE, LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE, LOC108150380|XP_017134008.1|DELE, LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE, LOC108146211|XP_017127619.1|DELE
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC108140399|XP_017118596.1|DELE, LOC108140396|XP_017118593.1|DELE, LOC108140391|XP_017118587.1|DELE, LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE, LOC108140395|XP_017118592.1|DELE
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC108144105|XP_017124238.1|DELE, LOC108143124|XP_017122854.1|DELE, LOC108143123|XP_017122853.1|DELE, LOC108143198|XP_017122940.1|DELE, LOC108143121|XP_017122851.1|DELE, LOC108143197|XP_017122939.1|DELE, LOC108143120|XP_017122849.1|DELE, LOC108143122|XP_017122852.1|DELE
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC108143756|XP_017123775.1|DELE, LOC108143275|XP_017123079.1|DELE, LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE, LOC108145357|XP_017126239.1|DELE
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC108140678|XP_017119113.1|DELE, LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC108148506|XP_017131032.1|DELE, LOC108148507|XP_017131034.1|DELE, LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE, LOC108148509|XP_017131036.1|DELE
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC108148700|XP_017131340.1|DELE, LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE, LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000057	LOC118462888|XP_035784864.1|AALB, LOC118466619|XP_035792094.1|AALB	LOC108149908|XP_017133298.1|DELE
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC108137714|XP_017115086.1|DELE
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC108143025|XP_017122707.1|DELE
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC108140552|XP_017118898.1|DELE, LOC108147479|XP_017129518.1|DELE
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC108142223|XP_017121430.1|DELE
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC108135597|XP_017111897.1|DELE, LOC108136670|XP_017113481.1|DELE, LOC108143529|XP_017123510.1|DELE, LOC108144464|XP_017124859.1|DELE
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC108136307|XP_017112891.1|DELE, LOC108138084|XP_017115563.1|DELE, LOC108141686|XP_017120657.1|DELE
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC108135493|XP_017111725.1|DELE, LOC108135492|XP_017111724.1|DELE
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC108137979|XP_017115440.1|DELE, LOC108137893|XP_017115321.1|DELE, LOC108137978|XP_017115439.1|DELE
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC108144661|XP_017125196.1|DELE
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC108150393|XP_017134024.1|DELE
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC108141036|XP_017119625.1|DELE
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC108142390|XP_017121714.1|DELE, LOC108135696|XP_017112027.1|DELE
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC108145993|XP_017127221.1|DELE
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC108134879|XP_017110865.1|DELE
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC108143509|XP_017123469.1|DELE
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC108143053|XP_017122754.1|DELE
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC108144573|XP_017125051.1|DELE
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC108148773|XP_017131468.1|DELE
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC108143331|XP_017123140.1|DELE, LOC108146642|XP_017128176.1|DELE, LOC108141001|XP_017119564.1|DELE, LOC108144954|XP_017125592.1|DELE, LOC108136186|XP_017112673.1|DELE
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC108144727|XP_017125313.1|DELE, LOC108144830|XP_017125456.1|DELE, LOC108144561|XP_017125028.1|DELE
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC108137556|XP_017114771.1|DELE, LOC108137394|XP_017114542.1|DELE, LOC108139183|XP_017117297.1|DELE, LOC108139182|XP_017117296.1|DELE
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC108141924|XP_017121037.1|DELE, LOC108142089|XP_017121272.1|DELE, LOC108141663|XP_017120626.1|DELE, LOC108141752|XP_017120736.1|DELE, LOC108141923|XP_017121035.1|DELE
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC108145181|XP_017125909.1|DELE
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC108141471|XP_017120366.1|DELE
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC108149598|XP_017132782.1|DELE
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC108145443|XP_017126361.1|DELE
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC108141653|XP_017120612.1|DELE
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC108145086|XP_017125761.1|DELE
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC108141125|XP_017119833.1|DELE, LOC108140991|XP_017119555.1|DELE
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC108139313|XP_017117508.1|DELE
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC108150208|XP_017133709.1|DELE
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC108141353|XP_017120159.1|DELE, LOC108141325|XP_017120093.1|DELE, LOC108146219|XP_017127627.1|DELE, LOC108145938|XP_017127135.1|DELE
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC108148708|XP_017131350.1|DELE
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC108138282|XP_017115927.1|DELE, LOC108136749|XP_017113584.1|DELE, LOC108136955|XP_017113929.1|DELE
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC108149483|XP_017132590.1|DELE, LOC108149273|XP_017132205.1|DELE
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC108150099|XP_017133552.1|DELE, LOC108150100|XP_017133553.1|DELE, LOC108148190|XP_017130585.1|DELE
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC108138746|XP_017116635.1|DELE, LOC108138284|XP_017115929.1|DELE, LOC108140674|XP_017119108.1|DELE, LOC108138624|XP_017116401.1|DELE
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC108134780|XP_017110717.1|DELE
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC108136339|XP_017112932.1|DELE
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC108146008|XP_017127262.1|DELE, LOC108146010|XP_017127274.1|DELE
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC108144533|XP_017124982.1|DELE
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC108145434|XP_017126345.1|DELE, LOC108147095|XP_017128871.1|DELE
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC108150149|XP_017133604.1|DELE, LOC108135601|XP_017111902.1|DELE, LOC108135599|XP_017111899.1|DELE, LOC108144606|XP_017125116.1|DELE
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC108141735|XP_017120717.1|DELE, LOC108145705|XP_017126755.1|DELE
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC108136674|XP_017113486.1|DELE, LOC108136167|XP_017112653.1|DELE, LOC108136675|XP_017113487.1|DELE, LOC108150095|XP_017133547.1|DELE, LOC108143740|XP_017123762.1|DELE, LOC108143955|XP_017124042.1|DELE, LOC108143741|XP_017123763.1|DELE
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC108135305|XP_017111479.1|DELE, LOC108135351|XP_017111532.1|DELE
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC108142109|XP_017121293.1|DELE, LOC108142059|XP_017121232.1|DELE
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC108142251|XP_017121459.1|DELE, LOC108142847|XP_017122405.1|DELE, LOC108142851|XP_017122408.1|DELE, LOC108142800|XP_017122344.1|DELE
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC108143602|XP_017123614.1|DELE, LOC108143335|XP_017123143.1|DELE, LOC108145905|XP_017127098.1|DELE, LOC108143305|XP_017123108.1|DELE
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC108147660|XP_017129832.1|DELE, LOC108145153|XP_017125862.1|DELE, LOC108143829|XP_017123866.1|DELE
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC108149996|XP_017133417.1|DELE, LOC108148204|XP_017130600.1|DELE, LOC108148205|XP_017130601.1|DELE, LOC108138199|XP_017115809.1|DELE, LOC108142622|XP_017122099.1|DELE
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC108149302|XP_017132242.1|DELE, LOC108149304|XP_017132243.1|DELE, LOC108149305|XP_017132244.1|DELE, LOC108149307|XP_017132247.1|DELE
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC108148033|XP_017130362.1|DELE, LOC108147816|XP_017130059.1|DELE, LOC108144956|XP_017125590.1|DELE, LOC108149318|XP_017132266.1|DELE
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC108135133|XP_017111230.1|DELE, LOC108135026|XP_017111046.1|DELE, LOC108135059|XP_017111091.1|DELE
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC108137071|XP_017114066.1|DELE
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC108144394|XP_017124663.1|DELE
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC108137437|XP_017114591.1|DELE, LOC108139344|XP_017117557.1|DELE, LOC108139343|XP_017117556.1|DELE, LOC108139345|XP_017117558.1|DELE
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC108147769|XP_017129988.1|DELE, LOC108142313|XP_017121554.1|DELE, LOC108141307|XP_017120063.1|DELE, LOC108149198|XP_017132117.1|DELE
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC108144268|XP_017124442.1|DELE, LOC108136864|XP_017113794.1|DELE, LOC108148237|XP_017130642.1|DELE, LOC108148236|XP_017130640.1|DELE, LOC108148239|XP_017130644.1|DELE
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC108144356|XP_017124607.1|DELE, LOC108145410|XP_017126299.1|DELE, LOC108145353|XP_017126231.1|DELE
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC108148774|XP_017131471.1|DELE
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC108136899|XP_017113845.1|DELE
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC108148524|XP_017131051.1|DELE
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC108141207|XP_017119944.1|DELE, LOC108140979|XP_017119537.1|DELE, LOC108141206|XP_017119942.1|DELE, LOC108141242|XP_017119988.1|DELE
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC108145252|XP_017126018.1|DELE, LOC108141660|XP_017120618.1|DELE, LOC108145226|XP_017125977.1|DELE
OG0000129	LOC118456548|XP_035773308.1|AALB	LOC108138513|XP_017116247.1|DELE, LOC108150127|XP_017133582.1|DELE, LOC108141963|XP_017121097.1|DELE, LOC108140011|XP_017118203.1|DELE, LOC108138512|XP_017116246.1|DELE
OG0000130	LOC118464719|XP_035788184.1|AALB	LOC108142383|XP_017121706.1|DELE, LOC108142691|XP_017122189.1|DELE, LOC108142382|XP_017121705.1|DELE, LOC108142380|XP_017121704.1|DELE
OG0000132	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB	LOC108138336|XP_017115989.1|DELE, LOC108138353|XP_017116013.1|DELE, LOC108136780|XP_017113631.1|DELE
OG0000134	LOC118464308|XP_035787537.1|AALB	LOC108135231|XP_017111382.1|DELE
OG0000134	LOC118458491|XP_035776937.1|AALB	LOC108149954|XP_017133359.1|DELE, LOC108147842|XP_017130089.1|DELE, LOC108135330|XP_017111507.1|DELE
OG0000137	LOC118459373|XP_035778562.1|AALB	LOC108148293|XP_017130752.1|DELE
OG0000137	LOC118466961|XP_035792755.1|AALB, LOC118467197|XP_035793304.1|AALB	LOC108142433|XP_017121783.1|DELE
OG0000140	LOC118458081|XP_035776133.1|AALB, LOC118458082|XP_035776136.1|AALB, LOC118466021|XP_035790730.1|AALB, LOC118465203|XP_035789081.1|AALB, LOC118465619|XP_035789896.1|AALB, LOC118463502|XP_035785994.1|AALB, LOC118464216|XP_035787280.1|AALB, LOC118463503|XP_035785996.1|AALB	LOC108148775|XP_017131473.1|DELE
OG0000141	LOC118467705|XP_035794382.1|AALB	LOC108147394|XP_017129319.1|DELE, LOC108147460|XP_017129480.1|DELE, LOC108147461|XP_017129482.1|DELE, LOC108147462|XP_017129483.1|DELE
OG0000142	LOC118468696|XP_035795705.1|AALB	LOC108139146|XP_017117253.1|DELE
OG0000142	LOC118462517|XP_035784278.1|AALB	LOC108134990|XP_017111012.1|DELE, LOC108150545|XP_017134266.1|DELE
OG0000142	LOC118457471|XP_035774992.1|AALB	LOC108136437|XP_017113085.1|DELE
OG0000143	LOC118467175|XP_035793250.1|AALB	LOC108135695|XP_017112026.1|DELE
