Orthogroup	AALB.longest_only	AEAL.longest_only
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL
OG0000014	LOC118462714|XP_035784546.1|AALB	LOC115265232|XP_029725374.1|AEAL
OG0000014	LOC118456863|XP_035773863.1|AALB, LOC118463648|XP_035786284.1|AALB, LOC118468421|XP_035795077.1|AALB, LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB	LOC115260572|XP_029717367.1|AEAL
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL
OG0000016	LOC118463956|XP_035786832.1|AALB	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL
OG0000016	LOC118468981|XP_035796265.1|AALB	LOC109432057|XP_019563902.1|AEAL
OG0000016	LOC118458000|XP_035775969.1|AALB	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL
OG0000016	LOC118464033|XP_035786987.1|AALB	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL
OG0000016	LOC118464459|XP_035787743.1|AALB	LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL
OG0000016	LOC118464140|XP_035787136.1|AALB	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL
OG0000016	LOC118463980|XP_035786885.1|AALB	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC109414002|XP_019543272.1|AEAL
OG0000018	LOC118463106|XP_035785316.1|AALB	LOC109399209|XP_019527192.1|AEAL
OG0000018	LOC118465487|XP_035789683.1|AALB	LOC109413967|XP_019543245.2|AEAL
OG0000018	LOC118465489|XP_035789685.1|AALB	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL, LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL, LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL, LOC109413969|XP_019543246.2|AEAL
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB	LOC109623324|XP_029721557.1|AEAL
OG0000019	LOC118467701|XP_035794377.1|AALB	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL
OG0000019	LOC118457590|XP_035775173.1|AALB	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL
OG0000019	LOC118460669|XP_035781036.1|AALB	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL
OG0000020	LOC118461366|XP_035782501.1|AALB	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL, LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL
OG0000020	LOC118457118|XP_035774313.1|AALB	LOC109424074|XP_019554703.2|AEAL
OG0000020	LOC118468857|XP_035796008.1|AALB	LOC109424077|XP_019554704.2|AEAL
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC109412802|XP_029732887.1|AEAL
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL
OG0000023	LOC118465606|XP_035789874.1|AALB	LOC109403033|XP_019531286.2|AEAL
OG0000023	LOC118465607|XP_035789875.1|AALB	LOC109403032|XP_019531283.2|AEAL
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC109412054|XP_019541244.2|AEAL
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC109413799|XP_019543073.1|AEAL
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	LOC109431226|XP_029724373.1|AEAL
OG0000025	LOC118467560|XP_035794083.1|AALB	LOC115264617|XP_029724354.1|AEAL
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL
OG0000027	LOC118458886|XP_035777730.1|AALB	LOC109432455|XP_019564332.2|AEAL, LOC109421216|XP_019551248.2|AEAL, LOC115259293|XP_029715687.1|AEAL, LOC109421329|XP_019551381.2|AEAL, LOC109432449|XP_019564327.2|AEAL, LOC109421190|XP_029727634.1|AEAL, LOC109421217|XP_029727617.1|AEAL, LOC109432448|XP_019564326.2|AEAL, LOC109432441|XP_019564320.2|AEAL, LOC109432439|XP_019564318.2|AEAL, LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL
OG0000027	LOC118458881|XP_035777725.1|AALB, LOC118458885|XP_035777729.1|AALB, LOC118458884|XP_035777728.1|AALB, LOC118458347|XP_035776592.1|AALB, LOC118458344|XP_035776590.1|AALB, LOC118459103|XP_035778060.1|AALB, LOC118458345|XP_035776591.1|AALB, LOC118468376|XP_035795028.1|AALB, LOC118458349|XP_035776594.1|AALB	LOC115265571|XP_029727062.1|AEAL, LOC115253746|XP_029726930.1|AEAL, LOC115253563|XP_019564355.2|AEAL, LOC109432453|XP_019564330.2|AEAL, LOC109421223|XP_019551254.2|AEAL, LOC115265527|XP_029726929.1|AEAL, LOC115253427|XP_019564349.2|AEAL, LOC115265528|XP_029726931.1|AEAL, LOC109432477|XP_019564350.2|AEAL, LOC115265570|XP_029727061.1|AEAL, LOC115265526|XP_029726928.1|AEAL, LOC115253430|XP_019564352.2|AEAL, LOC109432478|XP_029726927.1|AEAL, LOC109421332|XP_019551387.2|AEAL, LOC115259291|XP_029715685.1|AEAL
OG0000027	LOC118456231|XP_035772706.1|AALB	LOC115265811|XP_029727614.1|AEAL
OG0000027	LOC118469008|XP_035796336.1|AALB	LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL
OG0000027	LOC118456249|XP_035772738.1|AALB	LOC109421231|XP_019564335.2|AEAL
OG0000028	LOC118456178|XP_035772621.1|AALB	LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL
OG0000029	LOC118458435|XP_035776786.1|AALB	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL
OG0000029	LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB	LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL
OG0000029	LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL
OG0000031	LOC118467035|XP_035792911.1|AALB	LOC115253560|XP_029713715.1|AEAL, LOC115257879|XP_029713709.1|AEAL
OG0000031	LOC118466020|XP_035790729.1|AALB, LOC118465693|XP_035790014.1|AALB, LOC118467045|XP_035792924.1|AALB, LOC118467042|XP_035792921.1|AALB	LOC115257854|XP_029713671.1|AEAL, LOC109403394|XP_019531763.2|AEAL
OG0000031	LOC118467043|XP_035792922.1|AALB	LOC115257634|XP_029713321.1|AEAL, LOC115257385|XP_029712776.1|AEAL, LOC109403393|XP_029712807.1|AEAL, LOC115257883|XP_029713713.1|AEAL
OG0000031	LOC118467044|XP_035792923.1|AALB	LOC115257390|XP_029712796.1|AEAL, LOC115257425|XP_029712868.1|AEAL, LOC109403416|XP_019531788.2|AEAL, LOC115257407|XP_029712833.1|AEAL, LOC115257859|XP_029713678.1|AEAL, LOC109403414|XP_029713283.1|AEAL, LOC109416716|XP_029713308.1|AEAL, LOC115257689|XP_029713417.1|AEAL, LOC115257849|XP_029713666.1|AEAL, LOC109416732|XP_029713153.1|AEAL, LOC109416725|XP_029713140.1|AEAL, LOC109403407|XP_019531780.1|AEAL, LOC115257575|XP_029713212.1|AEAL
OG0000032	LOC118456851|XP_035773843.1|AALB	LOC109404182|XP_019532551.2|AEAL
OG0000032	LOC118459702|XP_035779237.1|AALB	LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL
OG0000032	LOC118457171|XP_035774395.1|AALB	LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL
OG0000034	LOC118466655|XP_035792144.1|AALB	LOC109622498|XP_029726333.1|AEAL
OG0000034	LOC118463234|XP_035785585.1|AALB	LOC109422421|XP_019552762.2|AEAL
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC109424827|XP_019555564.2|AEAL
OG0000036	LOC118465413|XP_035789528.1|AALB	LOC109427449|XP_029711324.1|AEAL
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL
OG0000038	LOC118464578|XP_035787914.1|AALB	LOC109404300|XP_019532679.1|AEAL, LOC115265054|XP_029725109.1|AEAL, LOC109403140|XP_019531426.2|AEAL
OG0000038	LOC118467864|XP_035794665.1|AALB	LOC109399492|XP_019527483.1|AEAL, LOC115270445|XP_029736034.1|AEAL
OG0000038	LOC118467867|XP_035794667.1|AALB	LOC115270362|XP_029735743.1|AEAL, LOC109404363|XP_019532757.2|AEAL, LOC109399504|XP_019527495.1|AEAL, LOC115270447|XP_029736037.1|AEAL, LOC109399503|XP_019527494.2|AEAL, LOC109399506|XP_029735745.1|AEAL, LOC109404357|XP_029735742.1|AEAL, LOC109404310|XP_019532688.1|AEAL, LOC109403106|XP_019531388.2|AEAL, LOC115265052|XP_029725107.1|AEAL, LOC109403102|XP_019531384.1|AEAL, LOC109404311|XP_019532690.1|AEAL, LOC109404353|XP_019532747.2|AEAL, LOC109399493|XP_019527484.1|AEAL, LOC109399495|XP_029736036.1|AEAL, LOC109403117|XP_019531397.2|AEAL, LOC115269903|XP_029734564.1|AEAL, LOC109404330|XP_019532705.2|AEAL, LOC109404321|XP_019532699.2|AEAL, LOC115268370|XP_029732241.1|AEAL, LOC109425906|XP_019556824.1|AEAL, LOC115265051|XP_029725106.1|AEAL, LOC109403100|XP_019531382.1|AEAL, LOC109404307|XP_019532685.1|AEAL, LOC109433067|XP_019564999.2|AEAL, LOC109403138|XP_019531425.1|AEAL, LOC115270366|XP_029735747.1|AEAL, LOC109404304|XP_019532681.1|AEAL
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL
OG0000039	LOC118458769|XP_035777454.1|AALB	LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL
