Orthogroup	AALB.longest_only	DSIM.longest_only
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC6739089|XP_016032930.1|DSIM
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC6736980|XP_002083827.1|DSIM
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC6729811|XP_002105114.1|DSIM, LOC6729810|XP_002105113.1|DSIM, LOC27208716|XP_016036498.1|DSIM, LOC6729806|XP_002105109.2|DSIM, LOC6729809|XP_002105112.1|DSIM, LOC6729812|XP_002105115.1|DSIM, LOC6729813|XP_002105116.1|DSIM
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC6730019|XP_002105313.2|DSIM, LOC6735524|XP_016028869.1|DSIM
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC27207807|XP_039147183.1|DSIM, LOC6733705|XP_002080752.3|DSIM, LOC6731489|XP_016024167.1|DSIM, LOC6727407|XP_016033953.2|DSIM, LOC6728507|XP_016035147.1|DSIM, LOC6733023|XP_016025710.1|DSIM, LOC6732748|XP_016025473.2|DSIM
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC6725592|XP_039153232.1|DSIM
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC6729419|XP_002104734.2|DSIM, LOC6728358|XP_016034980.1|DSIM, LOC6726014|XP_016039394.1|DSIM
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC27206614|XP_039147853.1|DSIM, LOC6736292|XP_002083176.1|DSIM, LOC6736297|XP_002083181.2|DSIM, LOC27207162|XP_016029777.2|DSIM, LOC120284703|XP_039149016.1|DSIM, LOC6736296|XP_002083180.1|DSIM, LOC27206641|XP_016022646.2|DSIM, LOC6739595|XP_002076490.1|DSIM, LOC27207148|XP_016029776.1|DSIM
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC6727100|XP_002102493.1|DSIM, LOC6727104|XP_002102497.2|DSIM, LOC6727107|XP_016033584.1|DSIM, LOC6735713|XP_002082629.1|DSIM, LOC6727106|XP_039151383.1|DSIM, LOC6727099|XP_002102492.1|DSIM, LOC6727095|XP_016033580.1|DSIM, LOC6727097|XP_002102490.1|DSIM, LOC6727094|XP_016033578.1|DSIM
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC6733991|XP_002081035.1|DSIM, LOC120284488|XP_039148839.1|DSIM, LOC6739389|XP_002076289.1|DSIM, LOC27209398|XP_016027021.1|DSIM, LOC6733990|XP_002081034.2|DSIM, LOC6732909|XP_002080014.1|DSIM, LOC6733989|XP_002081033.1|DSIM, LOC6739427|XP_002076329.1|DSIM
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC27207833|XP_016038650.1|DSIM
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	LOC120285797|XP_039154346.1|DSIM
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC6725713|XP_002106716.1|DSIM, LOC6726897|XP_002102299.1|DSIM, LOC6727211|XP_002102603.1|DSIM
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC6731383|XP_002078536.1|DSIM, LOC6731386|XP_002078539.1|DSIM, LOC6731384|XP_002078537.1|DSIM
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC120284825|XP_039150147.1|DSIM, LOC120284826|XP_039150148.1|DSIM, LOC6738682|XP_016032507.2|DSIM, LOC120284824|XP_039150146.1|DSIM, LOC27207609|XP_039150149.1|DSIM, LOC6738680|XP_039149230.1|DSIM, LOC6738681|XP_016032508.2|DSIM, LOC120284827|XP_039150150.1|DSIM, LOC120284696|XP_039148939.1|DSIM
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC6739710|XP_002076603.1|DSIM, LOC6733757|XP_002080801.1|DSIM, LOC6735151|XP_002082126.1|DSIM, LOC6731526|XP_002078674.1|DSIM, LOC6731962|XP_016024641.1|DSIM, LOC6728974|XP_002104302.1|DSIM, LOC27208471|XP_016032409.1|DSIM
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6732472|XP_016025109.1|DSIM, LOC27206502|XP_016025100.2|DSIM, LOC6732447|XP_002079568.2|DSIM, LOC6736718|XP_002083574.1|DSIM, LOC6730782|XP_002077950.2|DSIM, LOC6733504|XP_016026473.1|DSIM
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6728385|XP_016034993.2|DSIM, LOC6728379|XP_016034990.1|DSIM, LOC6728383|XP_002103731.2|DSIM, LOC6728381|XP_016034991.1|DSIM, LOC6728387|XP_039151488.1|DSIM, LOC6728378|XP_002103726.1|DSIM
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6734824|XP_002081826.2|DSIM, LOC6732560|XP_002079679.3|DSIM, LOC6732561|XP_002079680.1|DSIM, LOC27209034|XP_016025242.1|DSIM, LOC6732919|XP_002080023.2|DSIM, LOC6728308|XP_016034943.1|DSIM, LOC6728309|XP_016034944.1|DSIM, LOC6731186|XP_002078345.3|DSIM
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6727116|XP_002102509.1|DSIM
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC6727985|XP_002103337.2|DSIM
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6735171|XP_016028454.1|DSIM, LOC6727491|XP_002102871.2|DSIM, LOC6727490|XP_002102870.2|DSIM
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6738693|XP_002085495.1|DSIM
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6738696|XP_016032514.1|DSIM
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6726964|XP_002102366.2|DSIM
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6729586|XP_002104894.1|DSIM, LOC6740781|XP_016036235.1|DSIM, LOC6729587|XP_002104895.1|DSIM, LOC6729591|XP_002104899.1|DSIM, LOC6729588|XP_016036234.1|DSIM, LOC6729589|XP_002104897.1|DSIM, LOC6729598|XP_002104906.1|DSIM, LOC6729596|XP_002104904.1|DSIM, LOC6729597|XP_016036238.1|DSIM
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC27207593|XP_016035207.2|DSIM, LOC6728570|XP_016035206.2|DSIM, LOC6728571|XP_002103912.1|DSIM, LOC6728574|XP_002103915.1|DSIM, LOC6728568|XP_002103909.1|DSIM, LOC6728566|XP_002103907.3|DSIM, LOC6730335|XP_016037102.1|DSIM
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6734785|XP_039147648.1|DSIM, LOC6734782|XP_002081785.2|DSIM, LOC6734347|XP_002081368.2|DSIM, LOC27206290|XP_016031336.1|DSIM, LOC6734356|XP_002081377.1|DSIM, LOC6737553|XP_016031338.1|DSIM
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6738290|XP_002085101.1|DSIM, LOC6738287|XP_039149226.1|DSIM, LOC6738291|XP_002085102.1|DSIM
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6727737|XP_002103099.1|DSIM, LOC6727734|XP_002103096.1|DSIM, LOC6727738|XP_002103100.1|DSIM, LOC6727740|XP_002103102.1|DSIM, LOC6727739|XP_002103101.1|DSIM, LOC6727733|XP_002103095.1|DSIM
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC6734037|XP_002081073.1|DSIM, LOC6739122|XP_002085915.1|DSIM, LOC6739125|XP_002085918.1|DSIM, LOC6739124|XP_002085917.1|DSIM, LOC27208454|XP_016032970.1|DSIM, LOC6739126|XP_002085919.1|DSIM, LOC6739123|XP_016032971.1|DSIM
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6728912|XP_016035601.1|DSIM, LOC6728321|XP_002103670.1|DSIM, LOC6728085|XP_002103437.1|DSIM, LOC6728404|XP_039151489.1|DSIM
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6733546|XP_002080601.2|DSIM, LOC6733544|XP_016026500.1|DSIM, LOC6733543|XP_002080598.2|DSIM
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6727939|XP_039151973.1|DSIM, LOC6727938|XP_016034544.1|DSIM, LOC6727936|XP_002103291.1|DSIM, LOC6727937|XP_016034543.1|DSIM
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC6730204|XP_002105489.1|DSIM, LOC6730202|XP_002105487.1|DSIM, LOC6730203|XP_002105488.1|DSIM
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6729191|XP_016035843.1|DSIM, LOC6729192|XP_016035844.1|DSIM, LOC6729193|XP_002104514.1|DSIM, LOC6729195|XP_002104516.1|DSIM, LOC6729194|XP_002104515.1|DSIM, LOC6728632|XP_002103973.1|DSIM, LOC6728631|XP_016035267.1|DSIM
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6735235|XP_016028557.1|DSIM, LOC6732889|XP_002079994.1|DSIM, LOC6735234|XP_002082207.1|DSIM, LOC6735232|XP_002082205.1|DSIM, LOC6731187|XP_002078346.1|DSIM, LOC6725215|XP_002106238.1|DSIM
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6740094|XP_016039113.1|DSIM
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC27206381|XP_016037061.1|DSIM
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6727258|XP_016033773.1|DSIM, LOC6736894|XP_016030541.1|DSIM
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6738999|XP_016032827.1|DSIM
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6738497|XP_016032344.1|DSIM, LOC6727391|XP_016033933.1|DSIM, LOC120284775|XP_039149541.1|DSIM, LOC6738508|XP_039149536.1|DSIM, LOC6735356|XP_016028689.1|DSIM, LOC6726193|XP_016040252.1|DSIM
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6731198|XP_002078357.1|DSIM, LOC6724811|XP_016037593.1|DSIM, LOC6731197|XP_016023746.1|DSIM, LOC6739846|XP_002076739.1|DSIM
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC6737710|XP_039150099.1|DSIM
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6737960|XP_016031706.1|DSIM, LOC6737959|XP_039149304.1|DSIM, LOC6737961|XP_002084777.1|DSIM
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6734771|XP_002081774.1|DSIM, LOC6734779|XP_002081782.1|DSIM, LOC6734773|XP_016027978.1|DSIM
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6735060|XP_016028345.1|DSIM
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC27206379|XP_039153085.1|DSIM
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6739755|XP_039150533.1|DSIM
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC6736960|XP_002083807.1|DSIM, LOC27206301|XP_016032324.1|DSIM
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6736800|XP_016030455.1|DSIM
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6726415|XP_002107372.3|DSIM
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6735263|XP_002082233.1|DSIM
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6728793|XP_002104128.1|DSIM
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC27208378|XP_016029441.1|DSIM
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6739786|XP_016036667.1|DSIM
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6735299|XP_002082259.1|DSIM, LOC6739023|XP_002085818.1|DSIM, LOC6727087|XP_002102484.1|DSIM, LOC6727351|XP_016040222.1|DSIM, LOC6726287|XP_002107248.2|DSIM
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6734869|XP_002081870.3|DSIM, LOC6734871|XP_039147232.1|DSIM, LOC6734800|XP_002081803.1|DSIM
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6735734|XP_016029105.1|DSIM, LOC6729147|XP_002104468.1|DSIM, LOC6728152|XP_002103502.1|DSIM
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC6731833|XP_002078968.2|DSIM, LOC6731564|XP_002078705.1|DSIM, LOC6731563|XP_016024230.1|DSIM, LOC6731560|XP_002078701.1|DSIM, LOC6731562|XP_016024229.1|DSIM, LOC6731834|XP_002078969.1|DSIM
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6735164|XP_016028449.1|DSIM
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6734690|XP_002081697.1|DSIM
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6733406|XP_039148680.1|DSIM
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6735244|XP_002082217.1|DSIM
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6731703|XP_002078839.2|DSIM
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6733235|XP_016026114.1|DSIM
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC6727037|XP_002102435.1|DSIM, LOC6727103|XP_002102496.1|DSIM
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC6728738|XP_002104073.1|DSIM
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6737468|XP_002084304.1|DSIM
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6733740|XP_002080786.2|DSIM, LOC6733746|XP_016026706.1|DSIM, LOC6736772|XP_002083628.1|DSIM, LOC6736298|XP_016029779.1|DSIM
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6730014|XP_016036778.1|DSIM
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6732003|XP_016024679.1|DSIM, LOC6727564|XP_016034162.1|DSIM, LOC6727565|XP_016034164.1|DSIM
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6731455|XP_016024109.1|DSIM
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6737538|XP_002084373.2|DSIM, LOC6726915|XP_002102317.1|DSIM
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC6732786|XP_016025498.1|DSIM, LOC6732455|XP_002079575.1|DSIM, LOC6728671|XP_016035335.1|DSIM, LOC6732853|XP_002079963.2|DSIM
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6728369|XP_002103717.1|DSIM
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6724923|XP_016037782.1|DSIM
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC27207534|XP_016032499.1|DSIM, LOC27207047|XP_016032497.2|DSIM, LOC6738674|XP_016032493.2|DSIM, LOC120284835|XP_039150176.1|DSIM
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6735023|XP_002082004.1|DSIM
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6733641|XP_016026602.1|DSIM, LOC6735806|XP_002082719.1|DSIM
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6737362|XP_002084200.1|DSIM, LOC6738500|XP_002085306.1|DSIM, LOC27207409|XP_016032345.1|DSIM, LOC6733940|XP_016026992.1|DSIM
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6731627|XP_002078767.1|DSIM, LOC6738320|XP_016032165.1|DSIM, LOC6738319|XP_002085129.2|DSIM
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC6727357|XP_002102742.2|DSIM, LOC6737448|XP_039150302.1|DSIM, LOC6737449|XP_002084285.3|DSIM, LOC6728924|XP_002104252.1|DSIM, LOC6728929|XP_002104257.2|DSIM, LOC6728930|XP_002104258.1|DSIM
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6731858|XP_002078993.1|DSIM, LOC6731857|XP_016024540.1|DSIM
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6731848|XP_016024531.1|DSIM, LOC27208206|XP_016024529.1|DSIM
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6737135|XP_002083982.1|DSIM, LOC6737136|XP_002083983.2|DSIM, LOC6737137|XP_002083984.1|DSIM, LOC6737138|XP_002083985.1|DSIM
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6735301|XP_002082261.1|DSIM, LOC6735304|XP_002082264.1|DSIM, LOC6739475|XP_002076375.1|DSIM
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6726584|XP_002107536.1|DSIM, LOC6726167|XP_002107143.1|DSIM, LOC6726553|XP_002107507.1|DSIM, LOC6726552|XP_002107506.1|DSIM
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC6732644|XP_016025356.2|DSIM, LOC6731264|XP_002078422.2|DSIM, LOC6734348|XP_002081369.1|DSIM, LOC6726892|XP_002102294.1|DSIM
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6732271|XP_016024938.1|DSIM, LOC6732270|XP_002079399.2|DSIM, LOC27208966|XP_016024937.1|DSIM, LOC6732269|XP_002079398.1|DSIM
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6731055|XP_039150598.1|DSIM, LOC6732291|XP_002079420.1|DSIM
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6728692|XP_002104028.2|DSIM, LOC6728690|XP_016035360.2|DSIM, LOC6728691|XP_002104027.1|DSIM
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6724797|XP_002105838.1|DSIM
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6734025|XP_016027044.1|DSIM
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6725520|XP_002106533.1|DSIM, LOC6728083|XP_002103435.1|DSIM, LOC6728081|XP_002103433.1|DSIM, LOC6728082|XP_002103434.1|DSIM
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6730645|XP_016023081.1|DSIM, LOC6725674|XP_016038931.1|DSIM, LOC6733724|XP_039148554.1|DSIM, LOC6730941|XP_039154462.1|DSIM
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC6736097|XP_002082998.1|DSIM, LOC6728300|XP_016034934.1|DSIM, LOC6726983|XP_002102384.1|DSIM, LOC6726982|XP_002102383.2|DSIM, LOC6726984|XP_002102385.2|DSIM
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC6734813|XP_002081816.1|DSIM, LOC27208977|XP_016026539.1|DSIM, LOC6733578|XP_002080632.2|DSIM, LOC6733588|XP_016026546.1|DSIM
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC6729834|XP_016036531.1|DSIM
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC6728310|XP_002103659.2|DSIM
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC6730114|XP_002105407.1|DSIM, LOC6732374|XP_016025028.1|DSIM
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC6727120|XP_016033596.1|DSIM, LOC6727121|XP_002102514.1|DSIM, LOC6727119|XP_002102512.1|DSIM, LOC6727118|XP_016033595.1|DSIM
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC6735515|XP_016028855.1|DSIM, LOC6735513|XP_016028854.1|DSIM, LOC6727189|XP_039151032.1|DSIM
