Orthogroup	AALB.longest_only	DPER.longest_only
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC6594636|XP_026850331.1|DPER, LOC6594634|XP_002019930.1|DPER, LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER, LOC6591365|XP_002017250.2|DPER, LOC6604573|XP_026840043.1|DPER, LOC6591362|XP_002017247.1|DPER, LOC6591562|XP_002017111.1|DPER, LOC6601280|XP_026841960.1|DPER, LOC6591389|XP_002017359.1|DPER, LOC6590982|XP_002016547.1|DPER, LOC6590981|XP_002016546.2|DPER
OG0000010	LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB	LOC113567423|XP_026850962.1|DPER
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC113567398|XP_026850915.1|DPER, LOC113567415|XP_026850950.1|DPER
OG0000010	LOC118464059|XP_035786999.1|AALB	LOC113567250|XP_026850220.1|DPER
OG0000011	LOC118459877|XP_035779560.1|AALB	LOC113565948|XP_026845158.1|DPER
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC6589910|XP_026840670.1|DPER, LOC6589909|XP_002016518.1|DPER, LOC6589908|XP_026841658.1|DPER, LOC6589911|XP_026840671.1|DPER, LOC113565188|XP_026842345.1|DPER, LOC6589913|XP_026842148.1|DPER, LOC6590584|XP_026841794.1|DPER, LOC6589912|XP_002016521.1|DPER, LOC6590586|XP_002016525.1|DPER, LOC6590587|XP_002016526.1|DPER, LOC6590588|XP_002016527.1|DPER, LOC6590215|XP_002016528.1|DPER, LOC6590216|XP_002016529.1|DPER
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC6600889|XP_026840828.1|DPER
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC6598353|XP_002023428.2|DPER
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC6594205|XP_002019664.1|DPER, LOC6594496|XP_002019695.1|DPER
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC6602278|XP_002027327.1|DPER
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC6587278|XP_002013456.1|DPER, LOC6588391|XP_002013455.2|DPER, LOC6598714|XP_002023893.1|DPER, LOC6598715|XP_026850871.1|DPER
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC6587871|XP_002013173.2|DPER, LOC6593077|XP_002017890.1|DPER
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC6587678|XP_002013954.1|DPER
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC6599243|XP_002024300.1|DPER
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC6602189|XP_026848039.1|DPER
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC6601448|XP_002026450.1|DPER
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC6587177|XP_002013000.1|DPER, LOC6587211|XP_002013001.2|DPER, LOC113564910|XP_026840077.1|DPER, LOC6588514|XP_002012998.2|DPER, LOC6587186|XP_002012999.1|DPER, LOC6587637|XP_002013003.2|DPER, LOC6587295|XP_002013004.1|DPER, LOC6587205|XP_002013002.1|DPER
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC6594838|XP_002020242.2|DPER, LOC6590666|XP_002015941.1|DPER
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC6589657|XP_002014518.1|DPER, LOC6594627|XP_026850533.1|DPER, LOC6594128|XP_002019432.1|DPER, LOC6593366|XP_002018585.1|DPER, LOC6589656|XP_026844645.1|DPER
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC6599244|XP_026848260.1|DPER
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC113565817|XP_026844838.1|DPER, LOC6598730|XP_026840231.1|DPER, LOC6597578|XP_026848930.1|DPER
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC6593244|XP_026840814.1|DPER, LOC6601032|XP_002026120.1|DPER, LOC6601031|XP_002026119.1|DPER, LOC6601062|XP_002026117.2|DPER, LOC6601060|XP_002026115.1|DPER, LOC6601030|XP_002026118.2|DPER, LOC6604616|XP_002029500.2|DPER, LOC113566795|XP_026849746.1|DPER, LOC6601061|XP_002026116.1|DPER, LOC113566796|XP_026849747.1|DPER, LOC113566793|XP_026849743.1|DPER, LOC113566797|XP_026849748.1|DPER, LOC113566794|XP_026849744.1|DPER
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC6594351|XP_026840807.1|DPER, LOC6594350|XP_002019529.2|DPER, LOC6594355|XP_002019534.1|DPER, LOC6594114|XP_002019536.2|DPER, LOC6590773|XP_002016461.1|DPER, LOC6594113|XP_002019535.2|DPER, LOC6594346|XP_002019525.2|DPER, LOC6594348|XP_002019527.1|DPER, LOC6594344|XP_002019523.1|DPER
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC6592576|XP_002017741.1|DPER, LOC6592577|XP_002017742.1|DPER, LOC6592579|XP_002017744.1|DPER, LOC6592578|XP_002017743.2|DPER, LOC6593580|XP_002018871.1|DPER, LOC6592580|XP_002017745.1|DPER, LOC6591036|XP_002016629.1|DPER
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC6596516|XP_002021511.1|DPER, LOC6599955|XP_002025032.1|DPER
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	LOC6604122|XP_002029055.1|DPER
OG0000025	LOC118467560|XP_035794083.1|AALB	LOC113567384|XP_026850889.1|DPER
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC6600343|XP_026848406.1|DPER, LOC6587226|XP_002013258.1|DPER, LOC6587539|XP_002013259.1|DPER, LOC6587439|XP_026847477.1|DPER, LOC6598768|XP_002023910.1|DPER
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC6589175|XP_002014624.1|DPER, LOC6589890|XP_026844932.1|DPER, LOC6589176|XP_002014625.1|DPER
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC113566562|XP_026848458.1|DPER, LOC113566573|XP_026848580.1|DPER, LOC6602376|XP_026848583.1|DPER, LOC6602403|XP_002027408.2|DPER, LOC113566574|XP_026848581.1|DPER, LOC113566575|XP_026848582.1|DPER, LOC6602374|XP_026848578.1|DPER, LOC6599696|XP_002024949.1|DPER
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC6592269|XP_002017847.2|DPER, LOC6590423|XP_002016595.1|DPER, LOC6587627|XP_026841612.1|DPER, LOC6599019|XP_002024136.1|DPER
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6603379|XP_002028365.1|DPER, LOC6596433|XP_002021831.1|DPER, LOC6596572|XP_002021833.1|DPER, LOC6596432|XP_002021830.2|DPER
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6598612|XP_002023857.1|DPER, LOC6598610|XP_026850099.1|DPER, LOC6598613|XP_002023858.2|DPER, LOC6598611|XP_026840271.1|DPER, LOC6598616|XP_002023861.1|DPER, LOC6598615|XP_002023860.1|DPER
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6589244|XP_002014736.2|DPER, LOC6589243|XP_002014735.1|DPER, LOC6589242|XP_002014734.1|DPER, LOC6593810|XP_002019277.1|DPER, LOC6593809|XP_002019276.1|DPER, LOC6593808|XP_026844827.1|DPER
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6594433|XP_002019545.1|DPER
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC6587691|XP_002013731.1|DPER
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6590968|XP_002015904.2|DPER, LOC6588198|XP_002012851.2|DPER, LOC6588191|XP_002012852.1|DPER, LOC6588222|XP_002012850.1|DPER, LOC6587269|XP_002012849.2|DPER
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6602410|XP_002027415.1|DPER
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6602412|XP_026848529.1|DPER
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6591968|XP_026846968.1|DPER
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6591525|XP_002017073.1|DPER, LOC6591526|XP_002017074.1|DPER, LOC6591518|XP_002017066.1|DPER, LOC6591551|XP_002017060.1|DPER
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC6594473|XP_002019739.2|DPER, LOC6594475|XP_002019741.1|DPER, LOC6594476|XP_002019742.1|DPER, LOC113567252|XP_026850237.1|DPER, LOC6594474|XP_002019740.1|DPER, LOC6594076|XP_002019736.1|DPER, LOC6594478|XP_002019744.1|DPER, LOC6594479|XP_002019745.1|DPER
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6589933|XP_002015961.2|DPER, LOC6592655|XP_026842447.1|DPER, LOC6592377|XP_002017999.1|DPER
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6599712|XP_002024897.1|DPER, LOC6599711|XP_002024896.1|DPER, LOC6599880|XP_026847455.1|DPER, LOC6599882|XP_002024936.1|DPER, LOC6599879|XP_002024933.1|DPER
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6598767|XP_002023801.1|DPER, LOC113564913|XP_026840082.1|DPER, LOC6598735|XP_002023804.1|DPER, LOC6598764|XP_002023798.1|DPER, LOC6598765|XP_002023799.1|DPER, LOC6598736|XP_026840083.1|DPER
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC6600939|XP_002026041.2|DPER, LOC6603417|XP_002028422.1|DPER, LOC6603416|XP_002028421.2|DPER, LOC6603438|XP_026848195.1|DPER, LOC6603412|XP_002028417.1|DPER, LOC6603413|XP_026848216.1|DPER, LOC113566500|XP_026848194.1|DPER, LOC6603415|XP_026848193.1|DPER, LOC6603437|XP_002028415.2|DPER, LOC6603414|XP_002028419.2|DPER
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6588071|XP_002014115.1|DPER, LOC6598821|XP_026848488.1|DPER, LOC6598820|XP_002023932.1|DPER, LOC6591581|XP_026848899.1|DPER, LOC113566604|XP_026848831.1|DPER
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6589988|XP_002015740.1|DPER, LOC6589987|XP_002015739.1|DPER, LOC6589986|XP_002015738.1|DPER
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6594489|XP_002019960.1|DPER, LOC6594490|XP_002019961.1|DPER, LOC6594491|XP_026850312.1|DPER, LOC6594493|XP_002019964.1|DPER, LOC6590894|XP_002016261.1|DPER, LOC6594492|XP_002019963.1|DPER
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC113567436|XP_026851056.1|DPER, LOC113567435|XP_026851054.1|DPER, LOC113567434|XP_026851053.1|DPER, LOC113567362|XP_026850717.1|DPER, LOC113566737|XP_026849496.1|DPER, LOC113566729|XP_026849439.1|DPER, LOC113567357|XP_026850699.1|DPER
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6595083|XP_002020145.1|DPER, LOC6595082|XP_002020144.1|DPER, LOC6595081|XP_002020143.1|DPER, LOC6588033|XP_002012860.1|DPER, LOC6588046|XP_002012859.1|DPER
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6593806|XP_002019273.1|DPER, LOC6593936|XP_002019265.2|DPER, LOC6590269|XP_002015472.1|DPER, LOC6593807|XP_002019274.1|DPER, LOC6600389|XP_002025477.1|DPER
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6603233|XP_026845368.1|DPER
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC6595218|XP_026848071.1|DPER
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6587985|XP_002013720.1|DPER, LOC6600313|XP_026849051.1|DPER
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6599619|XP_026849500.1|DPER
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6600249|XP_026849073.1|DPER, LOC6595219|XP_026850489.1|DPER, LOC113564897|XP_026839974.1|DPER, LOC6595222|XP_026849095.1|DPER, LOC6593500|XP_002019163.2|DPER, LOC6597733|XP_026846914.1|DPER
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6593928|XP_002019257.1|DPER, LOC6600003|XP_026849240.1|DPER, LOC6593930|XP_002019259.1|DPER, LOC6593929|XP_002019258.1|DPER
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC113566413|XP_026847671.1|DPER
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6602203|XP_002027211.2|DPER, LOC6602202|XP_002027210.1|DPER, LOC6602204|XP_002027212.1|DPER
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6589942|XP_002015970.1|DPER, LOC6589935|XP_002015963.1|DPER, LOC6589940|XP_026842218.1|DPER
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6590059|XP_002016391.2|DPER
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC6596773|XP_026845891.1|DPER
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6598784|XP_026845038.1|DPER
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC6601461|XP_002026428.1|DPER, LOC6595912|XP_002021058.1|DPER
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6599674|XP_026847351.1|DPER
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6597369|XP_002022410.2|DPER
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6592709|XP_002018511.1|DPER
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6594922|XP_002020130.2|DPER
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC6601317|XP_026842235.1|DPER
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6588313|XP_026850466.1|DPER
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6590621|XP_002016708.1|DPER, LOC6595620|XP_026844510.1|DPER, LOC6592106|XP_002017289.1|DPER, LOC6596196|XP_002021125.1|DPER, LOC6594273|XP_026849445.1|DPER, LOC6599452|XP_002024516.1|DPER, LOC6598424|XP_002023602.1|DPER
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6602128|XP_002027100.1|DPER, LOC6602151|XP_026842704.1|DPER, LOC6602152|XP_026842703.1|DPER, LOC6601604|XP_026841767.1|DPER
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6590930|XP_002016009.1|DPER, LOC6587757|XP_002012761.1|DPER, LOC6588213|XP_002013604.1|DPER
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC113565890|XP_026845054.1|DPER, LOC6589605|XP_002014312.2|DPER, LOC6593873|XP_002019170.1|DPER, LOC6593874|XP_026842967.1|DPER, LOC113565380|XP_026842968.1|DPER, LOC6593875|XP_002019172.1|DPER, LOC6589606|XP_002014313.2|DPER, LOC113565891|XP_026845056.1|DPER
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6591191|XP_002015915.1|DPER
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6600795|XP_002025966.1|DPER
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6602085|XP_002027163.1|DPER
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6589907|XP_002016516.1|DPER
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6589273|XP_026844109.1|DPER
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6601258|XP_002026327.1|DPER
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC113565706|XP_026844403.1|DPER
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6601937|XP_002026979.1|DPER
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6592691|XP_002017728.1|DPER, LOC6593093|XP_026842252.1|DPER, LOC113566321|XP_026847263.1|DPER, LOC6601034|XP_002026122.2|DPER
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6587436|XP_026850695.1|DPER
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6589208|XP_002014698.1|DPER, LOC6588440|XP_002013817.1|DPER, LOC6588470|XP_002013826.1|DPER
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6588885|XP_026844631.1|DPER
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6600289|XP_026849039.1|DPER, LOC6587848|XP_002013277.1|DPER
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC6588640|XP_002013209.1|DPER, LOC6588001|XP_002013207.1|DPER, LOC6587692|XP_002012897.1|DPER, LOC6593471|XP_026843094.1|DPER
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6598722|XP_002023869.1|DPER
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6598378|XP_026846207.1|DPER
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC6602368|XP_026848566.1|DPER, LOC6602367|XP_026848565.1|DPER, LOC113566568|XP_026848547.1|DPER, LOC6602366|XP_026848564.1|DPER, LOC6602370|XP_026848567.1|DPER, LOC6602371|XP_026848545.1|DPER
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6589981|XP_002016329.1|DPER
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6593018|XP_002018259.1|DPER
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6600283|XP_002025396.1|DPER, LOC6596091|XP_026845530.1|DPER, LOC113566017|XP_026845529.1|DPER, LOC6601265|XP_002026394.1|DPER
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6593376|XP_002019042.1|DPER, LOC6599813|XP_002024913.1|DPER
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC113567433|XP_026851048.1|DPER, LOC6591576|XP_002017405.2|DPER, LOC6591573|XP_026849170.1|DPER
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6589777|XP_002014720.1|DPER, LOC6589778|XP_026844019.1|DPER, LOC6594954|XP_002020322.2|DPER
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6596622|XP_002021630.1|DPER
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6597183|XP_002022328.2|DPER, LOC6597184|XP_002022329.2|DPER, LOC6597186|XP_002022331.1|DPER, LOC6597187|XP_002022332.2|DPER
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6590619|XP_002016706.1|DPER, LOC6590615|XP_002016702.1|DPER, LOC6590616|XP_002016703.1|DPER
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6600036|XP_002025083.2|DPER, LOC113566310|XP_026847204.1|DPER
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC6593354|XP_002018820.2|DPER, LOC6588309|XP_002013782.2|DPER, LOC6588086|XP_002013767.2|DPER
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6597997|XP_002023222.1|DPER, LOC6598029|XP_002023221.1|DPER, LOC6598028|XP_002023220.1|DPER, LOC6598027|XP_002023219.1|DPER
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6589861|XP_002015166.1|DPER, LOC6599402|XP_026847098.1|DPER
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6598639|XP_002023820.1|DPER, LOC6598637|XP_002023818.1|DPER, LOC6598638|XP_002023819.1|DPER
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6600097|XP_002025205.2|DPER
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6590173|XP_002016107.1|DPER
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6599963|XP_002025040.1|DPER, LOC6587257|XP_002013500.1|DPER, LOC6587434|XP_002013499.1|DPER
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6595720|XP_002020578.1|DPER, LOC6599189|XP_002024346.1|DPER, LOC6592948|XP_002017692.1|DPER, LOC6589395|XP_002014644.1|DPER
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC6600859|XP_002025996.1|DPER, LOC6591749|XP_002016987.1|DPER, LOC6591748|XP_002016986.1|DPER
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC6592458|XP_002017793.1|DPER, LOC6592447|XP_002017792.2|DPER, LOC6592445|XP_026841433.1|DPER, LOC6592444|XP_026841435.1|DPER
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC6587197|XP_026840187.1|DPER
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC6587322|XP_026840529.1|DPER
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC6595651|XP_002020775.1|DPER, LOC6593662|XP_026843526.1|DPER
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC6594438|XP_002019550.1|DPER, LOC6594439|XP_002019551.2|DPER, LOC6594437|XP_002019549.1|DPER, LOC6594436|XP_002019548.2|DPER
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC6591138|XP_026841346.1|DPER, LOC6591137|XP_002015931.1|DPER
OG0000129	LOC118456548|XP_035773308.1|AALB	LOC6600225|XP_026846733.1|DPER, LOC6595739|XP_002021356.1|DPER, LOC113565640|XP_026844003.1|DPER, LOC6604479|XP_026846732.1|DPER
OG0000130	LOC118464719|XP_035788184.1|AALB	LOC113566721|XP_026849408.1|DPER, LOC6601427|XP_026847802.1|DPER, LOC6601429|XP_002026465.2|DPER, LOC6599462|XP_002024611.2|DPER
OG0000132	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB	LOC6589424|XP_002014544.2|DPER, LOC6591607|XP_002017102.1|DPER
OG0000134	LOC118464308|XP_035787537.1|AALB	LOC6588294|XP_002012910.1|DPER
OG0000134	LOC118458491|XP_035776937.1|AALB	LOC6597038|XP_026845611.1|DPER, LOC6596579|XP_026843085.1|DPER
