Orthogroup	AALB.longest_only	DANA.longest_only
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC6495461|XP_014763319.1|DANA, LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA, LOC6495181|XP_001958900.1|DANA, LOC6495184|XP_001958896.1|DANA, LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA, LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA, LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC6500746|XP_001953834.1|DANA, LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	LOC116655386|XP_032309137.1|DANA, LOC116656184|XP_032311480.1|DANA, LOC116656219|XP_032311561.1|DANA, LOC116656446|XP_032311954.1|DANA, LOC116655390|XP_032309143.1|DANA, LOC116656440|XP_032311942.1|DANA, LOC116656388|XP_032311771.1|DANA, LOC116656355|XP_032311687.1|DANA, LOC116655388|XP_032309140.1|DANA, LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA, LOC116655080|XP_032308035.1|DANA, LOC116655389|XP_032309141.1|DANA, LOC26514258|XP_032311543.1|DANA, LOC116655395|XP_032309151.1|DANA, LOC116656478|XP_032312029.1|DANA, LOC116655083|XP_032308038.1|DANA, LOC26514016|XP_032312054.1|DANA, LOC116656386|XP_032311769.1|DANA, LOC116655195|XP_032308626.1|DANA, LOC116655801|XP_032310036.1|DANA
OG0000014	LOC118457066|XP_035774267.1|AALB	LOC116655469|XP_032309335.1|DANA, LOC116655425|XP_032309209.1|DANA, LOC116656371|XP_032311725.1|DANA, LOC116655243|XP_032308680.1|DANA
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC6500386|XP_001953106.1|DANA, LOC6495063|XP_001959144.1|DANA
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC6493807|XP_014764542.1|DANA
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC6493787|XP_001958436.1|DANA
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC6505609|XP_001964601.1|DANA, LOC6505610|XP_001964600.1|DANA, LOC6505613|XP_032305481.1|DANA, LOC6505612|XP_001964599.1|DANA, LOC6505608|XP_001964602.1|DANA
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC6499398|XP_032312200.1|DANA, LOC6494967|XP_001959313.1|DANA
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA, LOC6500139|XP_032312147.1|DANA, LOC6501153|XP_001954651.1|DANA, LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC6503446|XP_001967498.1|DANA, LOC6499833|XP_001953817.3|DANA, LOC6503731|XP_032308490.1|DANA
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC6495509|XP_001959002.1|DANA, LOC6492952|XP_001956727.1|DANA, LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA, LOC6507069|XP_001956716.1|DANA, LOC6492946|XP_001956717.1|DANA
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC6500082|XP_001953260.1|DANA, LOC6500077|XP_001953265.1|DANA, LOC6500461|XP_001953266.1|DANA, LOC6494760|XP_001959725.1|DANA, LOC6500076|XP_001953267.1|DANA, LOC6500083|XP_001953259.2|DANA, LOC6500087|XP_001953255.2|DANA, LOC6500085|XP_032312233.1|DANA, LOC6500088|XP_014766376.1|DANA
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC116654715|XP_032306639.1|DANA, LOC6495396|XP_001958754.1|DANA, LOC6495253|XP_001958752.1|DANA, LOC6495252|XP_001958753.1|DANA, LOC6498256|XP_001962412.1|DANA, LOC6495254|XP_001958751.1|DANA, LOC6496529|XP_001961079.1|DANA
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	LOC26513707|XP_032309216.1|DANA
OG0000025	LOC118467560|XP_035794083.1|AALB	LOC116655982|XP_032310866.1|DANA
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC6497408|XP_001962144.1|DANA, LOC6497406|XP_001962147.2|DANA, LOC6497407|XP_001962145.1|DANA
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC6506315|XP_001958127.1|DANA, LOC116655856|XP_032310373.1|DANA, LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA, LOC6506316|XP_001958125.1|DANA, LOC116655895|XP_032310688.1|DANA, LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA, LOC6506803|XP_001957208.1|DANA
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA, LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6499841|XP_001953793.1|DANA, LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA, LOC6499843|XP_032305552.1|DANA, LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC6505844|XP_001964473.1|DANA
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6493979|XP_001961214.2|DANA, LOC6498848|XP_001955809.2|DANA
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6501134|XP_001954615.2|DANA
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA, LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA, LOC6493169|XP_001957191.1|DANA
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6500644|XP_001953636.2|DANA, LOC6499920|XP_001953633.1|DANA, LOC6500645|XP_001953637.1|DANA, LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA, LOC6499921|XP_001953632.1|DANA
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC6494319|XP_001960538.2|DANA, LOC6502855|XP_001958555.2|DANA, LOC6493851|XP_001958559.1|DANA, LOC6493850|XP_001958558.2|DANA, LOC6502856|XP_032309510.1|DANA, LOC6493852|XP_001958560.2|DANA, LOC6502857|XP_001958557.2|DANA
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6499129|XP_001955245.1|DANA, LOC6500659|XP_001953666.2|DANA, LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA, LOC6495214|XP_001958837.1|DANA
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6499283|XP_001954953.1|DANA, LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA, LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC6501597|XP_001955556.1|DANA, LOC6501596|XP_001955554.1|DANA, LOC6498987|XP_001955555.1|DANA
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6499765|XP_001953966.1|DANA, LOC6499766|XP_001953965.2|DANA, LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA, LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA, LOC6497335|XP_001962298.1|DANA, LOC6503754|XP_001963803.1|DANA
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6504067|XP_001964111.1|DANA
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC6505935|XP_001964647.1|DANA
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6499795|XP_032305657.1|DANA, LOC6499794|XP_001953901.1|DANA, LOC6506620|XP_001957527.1|DANA
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6506201|XP_001958352.1|DANA
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6506532|XP_001957704.2|DANA, LOC6500414|XP_001953168.2|DANA, LOC6507230|XP_001956426.2|DANA, LOC6495108|XP_001959037.2|DANA, LOC6504517|XP_032308101.1|DANA
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6503961|XP_001965215.1|DANA, LOC6503769|XP_001963776.1|DANA, LOC6498205|XP_001962291.1|DANA, LOC6498204|XP_001962290.1|DANA
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC6507148|XP_001956586.1|DANA
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6506125|XP_001958498.2|DANA, LOC6493818|XP_001958499.2|DANA, LOC6493817|XP_001958497.2|DANA
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6496435|XP_001960911.2|DANA, LOC6494126|XP_001960916.1|DANA, LOC6496437|XP_001960913.2|DANA
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6495130|XP_032306843.1|DANA
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC6504831|XP_032309092.1|DANA
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6501709|XP_014767186.1|DANA
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC6506390|XP_001957961.1|DANA, LOC6493409|XP_001957690.2|DANA
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6507708|XP_032310567.1|DANA
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6498742|XP_001967290.3|DANA
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6495454|XP_001958879.1|DANA
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6500548|XP_001953433.1|DANA
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC6494255|XP_001960658.2|DANA
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6498930|XP_001955657.2|DANA
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6496013|XP_001960040.1|DANA, LOC6506366|XP_001958015.1|DANA, LOC6500459|XP_001953252.2|DANA, LOC6504531|XP_014759488.1|DANA
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6492911|XP_032306632.1|DANA, LOC6492910|XP_001955590.1|DANA, LOC6501610|XP_001955588.1|DANA, LOC116656055|XP_032311275.1|DANA, LOC26515084|XP_014764086.1|DANA, LOC116656191|XP_032311532.1|DANA, LOC116656193|XP_032311533.1|DANA, LOC6505843|XP_032311161.1|DANA, LOC6492912|XP_001960641.1|DANA
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6496417|XP_001960874.1|DANA, LOC6501080|XP_032305850.1|DANA, LOC6501083|XP_001954522.1|DANA, LOC6499028|XP_001955484.1|DANA, LOC6499027|XP_032311475.1|DANA
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC6496922|XP_001963135.1|DANA, LOC6497178|XP_001962608.1|DANA, LOC6497179|XP_001962607.1|DANA, LOC6497181|XP_001962605.1|DANA, LOC6497182|XP_001962604.2|DANA, LOC6497183|XP_001962603.1|DANA, LOC6497180|XP_001962606.1|DANA, LOC6498600|XP_014762200.1|DANA
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6493976|XP_001961222.1|DANA
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6496169|XP_001960366.1|DANA
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6496031|XP_001960084.1|DANA
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6495180|XP_001958901.1|DANA
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6496978|XP_001963012.1|DANA
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6496644|XP_001961321.1|DANA
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC6500432|XP_001953205.1|DANA
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC6494393|XP_001965927.1|DANA
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6507779|XP_001956330.2|DANA
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6495340|XP_001958614.1|DANA, LOC6495339|XP_032306761.1|DANA, LOC6507692|XP_014765406.1|DANA, LOC6507073|XP_032309532.1|DANA
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6505932|XP_001964640.2|DANA
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6497391|XP_001962180.1|DANA, LOC6500890|XP_001954116.1|DANA, LOC6500891|XP_001954117.1|DANA
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6498089|XP_001962057.1|DANA
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6493460|XP_001957805.1|DANA, LOC6493461|XP_001957806.1|DANA, LOC6501401|XP_001955180.1|DANA
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC26515135|XP_032306053.1|DANA, LOC26513823|XP_032305336.1|DANA, LOC6500320|XP_001952965.1|DANA, LOC6497252|XP_001962468.1|DANA
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6499837|XP_001953808.1|DANA
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6503889|XP_001963789.1|DANA
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC6493631|XP_032309640.1|DANA, LOC6493637|XP_032310766.1|DANA, LOC6493632|XP_001958135.2|DANA, LOC116655751|XP_032309645.1|DANA, LOC116655752|XP_032309646.1|DANA
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6496059|XP_001960131.2|DANA
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6495563|XP_001959110.1|DANA
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6493013|XP_001956853.1|DANA, LOC6506530|XP_001957705.2|DANA, LOC26514817|XP_014765666.1|DANA, LOC6495378|XP_001958702.1|DANA
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6492993|XP_001956811.1|DANA
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC6506095|XP_001965114.2|DANA, LOC6500031|XP_001953356.1|DANA, LOC6500504|XP_032307642.1|DANA, LOC6500505|XP_001953361.1|DANA
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6498617|XP_032311444.1|DANA, LOC6498616|XP_032311446.1|DANA, LOC6498615|XP_001963161.2|DANA
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6498607|XP_001963150.1|DANA, LOC6498606|XP_001963149.2|DANA
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6493509|XP_001957895.2|DANA, LOC6493510|XP_001957896.1|DANA, LOC6493511|XP_001957897.1|DANA, LOC6506428|XP_001957898.1|DANA
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6494597|XP_001960038.1|DANA, LOC6494598|XP_001960034.3|DANA, LOC6496010|XP_001960035.1|DANA
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6504959|XP_001965732.1|DANA, LOC6504534|XP_001967086.1|DANA
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC26514615|XP_014759306.1|DANA, LOC6499153|XP_001955201.2|DANA, LOC6497498|XP_014761715.2|DANA, LOC26514152|XP_014765581.1|DANA
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6497093|XP_001962768.1|DANA, LOC6497092|XP_001962769.1|DANA, LOC116654468|XP_032311254.1|DANA, LOC6498420|XP_032311255.1|DANA
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6497208|XP_001962556.2|DANA, LOC6505594|XP_001964630.1|DANA, LOC6503719|XP_001965264.1|DANA, LOC6503708|XP_032311143.1|DANA
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6500638|XP_001953621.1|DANA, LOC6500637|XP_001953620.1|DANA, LOC6500639|XP_001953623.1|DANA, LOC6499924|XP_032307469.1|DANA
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6504852|XP_014759830.1|DANA
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6502526|XP_001959929.1|DANA
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6500257|XP_001952924.1|DANA, LOC6498269|XP_001962431.1|DANA, LOC6500259|XP_001952922.1|DANA, LOC6500258|XP_001952923.2|DANA
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6497421|XP_001962120.1|DANA, LOC6505057|XP_032307888.1|DANA, LOC6495324|XP_001958631.1|DANA, LOC6507209|XP_032311380.1|DANA
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC6494655|XP_001959924.1|DANA, LOC6499709|XP_001954084.1|DANA, LOC6499440|XP_032312082.1|DANA, LOC6499441|XP_001954634.1|DANA, LOC6501146|XP_001954636.1|DANA
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC6495418|XP_001958805.1|DANA, LOC6504313|XP_001967793.2|DANA
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC6505922|XP_014760838.1|DANA
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC6500877|XP_014766772.1|DANA
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC6501441|XP_014767048.1|DANA, LOC26514746|XP_032307471.1|DANA
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC6500069|XP_001953278.1|DANA, LOC6500068|XP_001953279.1|DANA, LOC6500070|XP_001953277.1|DANA, LOC6500071|XP_001953276.2|DANA
