Orthogroup	AALB.longest_only	DERE.longest_only
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC6545627|XP_026832753.1|DERE
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC6554353|XP_001982051.1|DERE, LOC6553767|XP_001980392.1|DERE, LOC6553763|XP_026839524.1|DERE, LOC113564842|XP_026839519.1|DERE, LOC6553724|XP_001980393.1|DERE, LOC6554050|XP_001980491.1|DERE, LOC6554051|XP_001980492.1|DERE
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC6553473|XP_001980267.1|DERE, LOC6547825|XP_001974973.1|DERE
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC6553744|XP_001980362.1|DERE
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC6551195|XP_001977029.1|DERE
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC6544283|XP_001973711.1|DERE
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC6545112|XP_001972081.1|DERE
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC113564308|XP_026836578.1|DERE, LOC113564837|XP_026839515.1|DERE, LOC6555070|XP_001981612.1|DERE, LOC6555069|XP_001981611.1|DERE, LOC113564283|XP_026836268.1|DERE, LOC6555065|XP_001981607.1|DERE, LOC113563849|XP_026832170.1|DERE, LOC113563848|XP_026832169.1|DERE, LOC113563851|XP_026832173.1|DERE, LOC113563850|XP_026832172.1|DERE, LOC6555062|XP_001981604.2|DERE, LOC6555064|XP_026839386.1|DERE
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC6555052|XP_026839769.1|DERE, LOC6547855|XP_001975038.1|DERE
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC6549413|XP_026836257.1|DERE, LOC6540649|XP_026834533.1|DERE, LOC6543425|XP_026834766.1|DERE, LOC6553828|XP_026839892.1|DERE, LOC6554060|XP_001980549.1|DERE, LOC6548804|XP_001974084.1|DERE, LOC6549412|XP_001974317.1|DERE
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC6551659|XP_001977237.1|DERE
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC6554651|XP_001981975.1|DERE, LOC6553703|XP_001980409.1|DERE, LOC26526932|XP_026837924.1|DERE
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC6548724|XP_001975398.1|DERE, LOC6543861|XP_001971088.1|DERE, LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE, LOC6545495|XP_001971097.1|DERE, LOC6545494|XP_001971096.1|DERE
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC113563731|XP_026831631.1|DERE, LOC6553285|XP_001979203.1|DERE, LOC6546697|XP_026836761.1|DERE, LOC6553284|XP_026831910.1|DERE, LOC6553277|XP_001979195.2|DERE, LOC6553329|XP_001979191.2|DERE, LOC6553331|XP_001979193.1|DERE, LOC6553328|XP_001979190.1|DERE
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC6547181|XP_001976079.1|DERE, LOC6547180|XP_001976078.1|DERE, LOC6547179|XP_001976077.1|DERE, LOC6547183|XP_001976081.1|DERE, LOC6547182|XP_001976080.1|DERE, LOC6549069|XP_001974169.1|DERE, LOC6547184|XP_001976082.1|DERE, LOC6549473|XP_001975764.1|DERE
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC6540718|XP_001968765.1|DERE
OG0000025	LOC118467560|XP_035794083.1|AALB	LOC113564765|XP_026839399.1|DERE
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC6551346|XP_001977080.1|DERE, LOC6553336|XP_001979309.1|DERE
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC6541432|XP_001970185.1|DERE, LOC6541563|XP_001970188.1|DERE, LOC6541340|XP_001970186.1|DERE
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC6545328|XP_001973336.1|DERE, LOC6545326|XP_026833776.1|DERE, LOC6545325|XP_026832190.1|DERE, LOC6545324|XP_026833774.1|DERE, LOC6545516|XP_001973330.1|DERE, LOC6545103|XP_001973211.1|DERE
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC6551894|XP_001980609.1|DERE, LOC6541177|XP_001969159.1|DERE, LOC6547215|XP_001974713.1|DERE, LOC6543371|XP_001969207.2|DERE, LOC6552797|XP_001981008.1|DERE, LOC6546309|XP_026833134.1|DERE
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE, LOC113563971|XP_026833917.1|DERE
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6553974|XP_015009875.1|DERE, LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE, LOC113564299|XP_026836470.1|DERE
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6547752|XP_001976261.2|DERE, LOC6547627|XP_001976262.1|DERE, LOC113564268|XP_026836067.1|DERE, LOC6553711|XP_001980355.1|DERE
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC6553049|XP_001980037.3|DERE
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6547304|XP_026836461.1|DERE, LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6553078|XP_001979073.2|DERE
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC6551884|XP_001980608.2|DERE, LOC6551882|XP_001980606.1|DERE, LOC6551883|XP_001980607.1|DERE, LOC6551896|XP_001980611.1|DERE, LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6548915|XP_026836112.1|DERE, LOC6548919|XP_001975347.1|DERE, LOC6549604|XP_001975737.1|DERE, LOC6546188|XP_001972281.1|DERE, LOC6549507|XP_001975729.1|DERE, LOC6546189|XP_001972282.1|DERE
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6545047|XP_001973229.1|DERE, LOC6545045|XP_001973227.2|DERE, LOC6544963|XP_001973230.1|DERE
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6552334|XP_001979793.1|DERE, LOC6552331|XP_001979790.1|DERE, LOC6552229|XP_001979794.1|DERE, LOC6552231|XP_001979796.1|DERE, LOC6552230|XP_001979795.1|DERE, LOC6552330|XP_001979789.1|DERE
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC6544231|XP_001973747.1|DERE, LOC6544204|XP_026833494.1|DERE, LOC26526578|XP_026833595.1|DERE, LOC6544232|XP_026833594.1|DERE, LOC6544203|XP_001973745.2|DERE
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6552520|XP_001980945.1|DERE, LOC6553748|XP_001980366.1|DERE, LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6541123|XP_001970454.1|DERE, LOC6542707|XP_001970455.1|DERE, LOC6542876|XP_001970456.1|DERE
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6553130|XP_001980075.1|DERE, LOC6553131|XP_001980076.1|DERE, LOC6553059|XP_001980078.1|DERE, LOC6553132|XP_026836543.1|DERE
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE, LOC6555461|XP_001981219.1|DERE, LOC113564309|XP_026836595.1|DERE
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6554751|XP_001982187.1|DERE, LOC6554750|XP_001982186.1|DERE, LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE, LOC6551980|XP_001980665.2|DERE
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE, LOC6543269|XP_001969993.1|DERE
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6551123|XP_026838344.1|DERE
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC6554918|XP_026832695.1|DERE
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6553482|XP_001979359.1|DERE, LOC6544666|XP_001972003.3|DERE
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6543541|XP_001973625.1|DERE
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6546215|XP_001972910.3|DERE, LOC6553949|XP_001979475.2|DERE, LOC6546278|XP_001972902.2|DERE, LOC6547621|XP_001974885.1|DERE, LOC6549927|XP_026837643.1|DERE
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6541526|XP_001970002.1|DERE, LOC6555523|XP_001982429.1|DERE, LOC6542508|XP_001970001.1|DERE, LOC6550273|XP_001977632.1|DERE
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC6544447|XP_001972434.2|DERE
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6544819|XP_026832512.1|DERE, LOC6544818|XP_026832511.1|DERE, LOC6544820|XP_001972656.1|DERE
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6548840|XP_001975354.1|DERE, LOC6548921|XP_001975349.1|DERE, LOC6548838|XP_001975352.2|DERE
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6547037|XP_026835680.1|DERE
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC6555769|XP_026837941.1|DERE
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6553627|XP_015009630.1|DERE
OG0000073	LOC118468553|XP_035795347.1|AALB	LOC6550857|XP_026837405.1|DERE
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC6545304|XP_001972062.2|DERE, LOC6546439|XP_001972925.1|DERE
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6544188|XP_015013837.1|DERE
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6550413|XP_001977744.3|DERE
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6547656|XP_001974813.2|DERE
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6552303|XP_001980828.1|DERE
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC6548296|XP_001976581.1|DERE
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6554318|XP_001981477.2|DERE
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6547567|XP_001974844.1|DERE, LOC6543899|XP_001973650.1|DERE, LOC6553294|XP_001979187.1|DERE, LOC6549869|XP_001978650.1|DERE, LOC6550069|XP_001977566.1|DERE
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6548270|XP_001975252.1|DERE, LOC6548272|XP_001975254.1|DERE, LOC6548314|XP_001975327.1|DERE
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6549322|XP_026837009.1|DERE, LOC6554914|XP_001982236.1|DERE, LOC6552838|XP_001979871.1|DERE
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC6541689|XP_026834543.1|DERE, LOC6543321|XP_001969237.1|DERE, LOC6543013|XP_001969236.1|DERE, LOC6543404|XP_001969234.1|DERE, LOC6543089|XP_001969235.1|DERE, LOC6542300|XP_001969971.2|DERE
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6547297|XP_001974723.1|DERE
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6548751|XP_001975436.1|DERE
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6541232|XP_001970598.1|DERE
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6547336|XP_001974796.1|DERE
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6541207|XP_001969370.1|DERE
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6543073|XP_015014662.1|DERE
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC6553054|XP_001979141.1|DERE, LOC6553281|XP_001979199.1|DERE
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC6552316|XP_001980769.1|DERE
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6543975|XP_026832426.1|DERE
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6543160|XP_026835138.1|DERE, LOC6542384|XP_026835110.1|DERE, LOC6543999|XP_001971891.1|DERE, LOC6545497|XP_001971099.2|DERE
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6555007|XP_015009056.1|DERE
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6541159|XP_001969819.1|DERE, LOC113563760|XP_026831978.1|DERE, LOC6551848|XP_026831615.1|DERE
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6541764|XP_026834401.1|DERE
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6546506|XP_026832953.1|DERE, LOC6552799|XP_001979027.1|DERE
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC6549153|XP_001974282.1|DERE, LOC6541172|XP_026834907.1|DERE, LOC6552105|XP_001980699.1|DERE, LOC6549084|XP_001974223.1|DERE
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6553676|XP_001980418.1|DERE
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6555581|XP_015008726.1|DERE
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC113563952|XP_026833685.1|DERE, LOC113563950|XP_026833684.1|DERE, LOC6545510|XP_015012990.1|DERE
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6546722|XP_001974594.1|DERE
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6540855|XP_001970375.1|DERE, LOC6547312|XP_001976339.1|DERE
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6545153|XP_001971583.1|DERE, LOC6546214|XP_001972909.1|DERE, LOC26526609|XP_015014313.1|DERE, LOC6547246|XP_026836375.1|DERE
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6541678|XP_001969298.1|DERE, LOC6545266|XP_001973256.1|DERE
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC6545983|XP_001972191.2|DERE, LOC6552845|XP_001980953.1|DERE, LOC6552850|XP_001980958.2|DERE
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6541724|XP_026834322.1|DERE, LOC6541702|XP_026835082.1|DERE
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6542019|XP_001969959.1|DERE
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6544572|XP_001971451.2|DERE, LOC6544308|XP_001971450.1|DERE, LOC6544307|XP_001971449.3|DERE, LOC6544306|XP_001971448.1|DERE
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6547569|XP_001974846.1|DERE, LOC6547573|XP_001974850.1|DERE, LOC6547572|XP_026836839.1|DERE
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6549919|XP_001978671.1|DERE, LOC6550010|XP_001977476.1|DERE, LOC113564579|XP_026838421.1|DERE, LOC6549742|XP_001978647.2|DERE
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC113564127|XP_026835137.1|DERE, LOC6549603|XP_001975736.1|DERE, LOC6552710|XP_026831517.1|DERE, LOC6549195|XP_026836393.1|DERE
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6540738|XP_001969562.1|DERE, LOC6540920|XP_001969563.1|DERE, LOC6540785|XP_001969564.1|DERE, LOC6540760|XP_001969565.1|DERE
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6540609|XP_001968779.3|DERE, LOC6540594|XP_001968778.1|DERE, LOC6543468|XP_001969543.1|DERE
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6552165|XP_001980717.1|DERE, LOC6552163|XP_001980715.1|DERE, LOC6552164|XP_001980716.1|DERE
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6555510|XP_015008783.1|DERE
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6546603|XP_001976042.1|DERE
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6549747|XP_001977350.1|DERE, LOC6552855|XP_001979940.1|DERE, LOC6552857|XP_026831855.1|DERE, LOC6552856|XP_001979941.1|DERE
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6541936|XP_001968351.2|DERE, LOC6551621|XP_001977124.1|DERE, LOC6543179|XP_001969187.2|DERE, LOC6541798|XP_001968644.1|DERE
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC6548565|XP_001976637.1|DERE, LOC6553667|XP_026839511.1|DERE, LOC6553075|XP_001979096.1|DERE, LOC6553074|XP_001979095.1|DERE, LOC6553076|XP_001979097.1|DERE
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC6548499|XP_026835634.1|DERE, LOC113564261|XP_026836019.1|DERE, LOC6541590|XP_001970428.1|DERE, LOC6543273|XP_001970427.1|DERE, LOC6540959|XP_001970425.3|DERE
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC6554806|XP_015009019.2|DERE
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC6553712|XP_001980356.1|DERE
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC6554336|XP_001981300.2|DERE, LOC6543059|XP_001968919.2|DERE
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC6553214|XP_001979216.1|DERE, LOC6553215|XP_001979217.1|DERE, LOC6553213|XP_001979215.1|DERE, LOC6553212|XP_001979214.2|DERE
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC6547674|XP_026836856.1|DERE, LOC6547673|XP_026837174.1|DERE, LOC6553622|XP_001979280.3|DERE
OG0000129	LOC118456548|XP_035773308.1|AALB	LOC6551485|XP_001978469.1|DERE, LOC6544586|XP_001972385.1|DERE, LOC26527022|XP_015015590.1|DERE, LOC6551486|XP_001978470.2|DERE
OG0000130	LOC118464719|XP_035788184.1|AALB	LOC6545208|XP_001972099.1|DERE, LOC6544918|XP_026833930.1|DERE
OG0000132	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB	LOC6541175|XP_001969759.3|DERE, LOC6541657|XP_001969760.1|DERE, LOC6551904|XP_001979665.1|DERE
OG0000134	LOC118464308|XP_035787537.1|AALB	LOC6552776|XP_001979961.1|DERE
OG0000134	LOC118458491|XP_035776937.1|AALB	LOC6551363|XP_001978376.3|DERE, LOC6543339|XP_001968275.1|DERE, LOC6542600|XP_001969921.1|DERE
OG0000134	LOC118456592|XP_035773383.1|AALB	LOC6546205|XP_001971773.2|DERE
OG0000137	LOC118459373|XP_035778562.1|AALB	LOC6552702|XP_001979021.1|DERE
OG0000137	LOC118466961|XP_035792755.1|AALB, LOC118467197|XP_035793304.1|AALB	LOC6544719|XP_001971526.1|DERE
OG0000137	LOC118466212|XP_035791127.1|AALB	LOC26527006|XP_015011494.1|DERE
OG0000140	LOC118458081|XP_035776133.1|AALB, LOC118458082|XP_035776136.1|AALB, LOC118466021|XP_035790730.1|AALB, LOC118465203|XP_035789081.1|AALB, LOC118465619|XP_035789896.1|AALB, LOC118463502|XP_035785994.1|AALB, LOC118464216|XP_035787280.1|AALB, LOC118463503|XP_035785996.1|AALB	LOC6554805|XP_001981583.1|DERE
