Orthogroup	AALB.longest_only	CCAP.longest_only
OG0000021	LOC118467519|XP_035793970.1|AALB	CCAP1982_LOCUS162|CAD6991224.1|CCAP, CCAP1982_LOCUS4579|CAD6995878.1|CCAP
OG0000022	LOC118466446|XP_035791660.1|AALB	CCAP1982_LOCUS19689|CAD7011600.1|CCAP, CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP, CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	CCAP1982_LOCUS4748|CAD6996042.1|CCAP, CCAP1982_LOCUS4747|CAD6996041.1|CCAP, CCAP1982_LOCUS4746|CAD6996040.1|CCAP, CCAP1982_LOCUS4737|CAD6996031.1|CCAP, CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP, CCAP1982_LOCUS4752|CAD6996046.1|CCAP, CCAP1982_LOCUS4751|CAD6996045.1|CCAP, CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC118462632|XP_035784369.1|AALB	CCAP1982_LOCUS20679|CAD7012594.1|CCAP, CCAP1982_LOCUS20680|CAD7012595.1|CCAP, CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP, CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	CCAP1982_LOCUS6236|CAD6997600.1|CCAP
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	CCAP1982_LOCUS8299|CAD6999776.1|CCAP, CCAP1982_LOCUS8293|CAD6999770.1|CCAP, CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP, CCAP1982_LOCUS8295|CAD6999772.1|CCAP
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	CCAP1982_LOCUS11976|CAD7003526.1|CCAP, CCAP1982_LOCUS11984|CAD7003534.1|CCAP, CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	CCAP1982_LOCUS3830|CAD6995107.1|CCAP, CCAP1982_LOCUS3831|CAD6995108.1|CCAP, CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP, CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	CCAP1982_LOCUS1098|CAD6992228.1|CCAP, CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC118457097|XP_035774277.1|AALB	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB	CCAP1982_LOCUS6228|CAD6997589.1|CCAP
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP, CCAP1982_LOCUS23033|CAD7015077.1|CCAP, CCAP1982_LOCUS1675|CAD6992838.1|CCAP, CCAP1982_LOCUS23014|CAD7015058.1|CCAP, CCAP1982_LOCUS1676|CAD6992840.1|CCAP, CCAP1982_LOCUS2613|CAD6993815.1|CCAP, CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP
OG0000038	LOC118464582|XP_035787918.1|AALB	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC118457785|XP_035775523.1|AALB	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	CCAP1982_LOCUS4613|CAD6995911.1|CCAP, CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000047	LOC118458488|XP_035776933.1|AALB	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	CCAP1982_LOCUS21994|CAD7013985.1|CCAP, CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP, CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	CCAP1982_LOCUS3089|CAD6994333.1|CCAP, CCAP1982_LOCUS3087|CAD6994331.1|CCAP, CCAP1982_LOCUS3086|CAD6994330.1|CCAP, CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC118466326|XP_035791335.1|AALB	CCAP1982_LOCUS13741|CAD7005381.1|CCAP, CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	CCAP1982_LOCUS274|CAD6991345.1|CCAP, CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP, CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	CCAP1982_LOCUS20953|CAD7012854.1|CCAP, CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	CCAP1982_LOCUS1028|CAD6992150.1|CCAP, CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	CCAP1982_LOCUS1093|CAD6992223.1|CCAP, CCAP1982_LOCUS1092|CAD6992222.1|CCAP
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000060	LOC118457079|XP_035774255.1|AALB	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000067	LOC118462964|XP_035785018.1|AALB	CCAP1982_LOCUS14065|CAD7005713.1|CCAP, CCAP1982_LOCUS1335|CAD6992483.1|CCAP, CCAP1982_LOCUS1336|CAD6992484.1|CCAP, CCAP1982_LOCUS14066|CAD7005714.1|CCAP
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	CCAP1982_LOCUS13882|CAD7005522.1|CCAP, CCAP1982_LOCUS13883|CAD7005523.1|CCAP
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	CCAP1982_LOCUS22450|CAD7014454.1|CCAP, CCAP1982_LOCUS22440|CAD7014444.1|CCAP, CCAP1982_LOCUS22446|CAD7014450.1|CCAP
OG0000073	LOC118466982|XP_035792790.1|AALB	CCAP1982_LOCUS19678|CAD7011589.1|CCAP
OG0000073	LOC118458541|XP_035777018.1|AALB	CCAP1982_LOCUS2823|CAD6994046.1|CCAP
OG0000073	LOC118457867|XP_035775664.1|AALB	CCAP1982_LOCUS2819|CAD6994042.1|CCAP
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	CCAP1982_LOCUS12639|CAD7004220.1|CCAP
OG0000076	LOC118462886|XP_035784863.1|AALB	CCAP1982_LOCUS11742|CAD7003280.1|CCAP
OG0000077	LOC118467920|XP_035794755.1|AALB	CCAP1982_LOCUS20515|CAD7012432.1|CCAP
OG0000077	LOC118460116|XP_035780047.1|AALB	CCAP1982_LOCUS1052|CAD6992178.1|CCAP
OG0000077	LOC118463835|XP_035786622.1|AALB	CCAP1982_LOCUS19492|CAD7011392.1|CCAP
OG0000077	LOC118466147|XP_035791003.1|AALB	CCAP1982_LOCUS3920|CAD6995201.1|CCAP
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	CCAP1982_LOCUS19396|CAD7011289.1|CCAP
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	CCAP1982_LOCUS774|CAD6991883.1|CCAP, CCAP1982_LOCUS8015|CAD6999491.1|CCAP, CCAP1982_LOCUS52|CAD6991105.1|CCAP
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	CCAP1982_LOCUS6083|CAD6997437.1|CCAP, CCAP1982_LOCUS6084|CAD6997438.1|CCAP
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	CCAP1982_LOCUS21786|CAD7013760.1|CCAP
OG0000084	LOC118463937|XP_035786798.1|AALB	CCAP1982_LOCUS21697|CAD7013654.1|CCAP, CCAP1982_LOCUS21696|CAD7013653.1|CCAP, CCAP1982_LOCUS21698|CAD7013655.1|CCAP, CCAP1982_LOCUS21699|CAD7013657.1|CCAP, CCAP1982_LOCUS21700|CAD7013658.1|CCAP, CCAP1982_LOCUS21695|CAD7013652.1|CCAP, CCAP1982_LOCUS21694|CAD7013651.1|CCAP
OG0000085	LOC118463156|XP_035785432.1|AALB	CCAP1982_LOCUS20067|CAD7011957.1|CCAP, CCAP1982_LOCUS20066|CAD7011955.1|CCAP, CCAP1982_LOCUS21031|CAD7012934.1|CCAP
OG0000086	LOC118467052|XP_035792946.1|AALB	CCAP1982_LOCUS22578|CAD7014579.1|CCAP
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	CCAP1982_LOCUS5747|CAD6997095.1|CCAP
OG0000088	LOC118462894|XP_035784880.1|AALB	CCAP1982_LOCUS20832|CAD7012728.1|CCAP
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	CCAP1982_LOCUS487|CAD6991569.1|CCAP
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	CCAP1982_LOCUS12882|CAD7004477.1|CCAP
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	CCAP1982_LOCUS20695|CAD7012611.1|CCAP, CCAP1982_LOCUS20698|CAD7012614.1|CCAP, CCAP1982_LOCUS20704|CAD7012620.1|CCAP, CCAP1982_LOCUS20703|CAD7012619.1|CCAP, CCAP1982_LOCUS20702|CAD7012618.1|CCAP
OG0000091	LOC118468298|XP_035794920.1|AALB	CCAP1982_LOCUS2528|CAD6993730.1|CCAP
OG0000091	LOC118461077|XP_035781863.1|AALB	CCAP1982_LOCUS1153|CAD6992285.1|CCAP, CCAP1982_LOCUS1156|CAD6992288.1|CCAP, CCAP1982_LOCUS1155|CAD6992287.1|CCAP, CCAP1982_LOCUS1154|CAD6992286.1|CCAP
OG0000092	LOC118457781|XP_035775518.1|AALB	CCAP1982_LOCUS4954|CAD6996271.1|CCAP
OG0000093	LOC118468732|XP_035795763.1|AALB	CCAP1982_LOCUS8218|CAD6999691.1|CCAP
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	CCAP1982_LOCUS12193|CAD7003757.1|CCAP, CCAP1982_LOCUS12194|CAD7003758.1|CCAP, CCAP1982_LOCUS3416|CAD6994681.1|CCAP, CCAP1982_LOCUS3417|CAD6994682.1|CCAP
OG0000096	LOC118467953|XP_035794822.1|AALB	CCAP1982_LOCUS8438|CAD6999925.1|CCAP, CCAP1982_LOCUS5468|CAD6996795.1|CCAP, CCAP1982_LOCUS5460|CAD6996785.1|CCAP, CCAP1982_LOCUS5463|CAD6996789.1|CCAP, CCAP1982_LOCUS5462|CAD6996788.1|CCAP, CCAP1982_LOCUS5464|CAD6996791.1|CCAP, CCAP1982_LOCUS5467|CAD6996794.1|CCAP, CCAP1982_LOCUS5465|CAD6996792.1|CCAP, CCAP1982_LOCUS5466|CAD6996793.1|CCAP, CCAP1982_LOCUS6165|CAD6997525.1|CCAP, CCAP1982_LOCUS7697|CAD6999159.1|CCAP, CCAP1982_LOCUS8044|CAD6999519.1|CCAP, CCAP1982_LOCUS8045|CAD6999521.1|CCAP, CCAP1982_LOCUS8046|CAD6999522.1|CCAP, CCAP1982_LOCUS5461|CAD6996787.1|CCAP, CCAP1982_LOCUS7698|CAD6999161.1|CCAP
OG0000098	LOC118458982|XP_035777873.1|AALB	CCAP1982_LOCUS3817|CAD6995094.1|CCAP
OG0000101	LOC118462817|XP_035784730.1|AALB	CCAP1982_LOCUS12876|CAD7004470.1|CCAP, CCAP1982_LOCUS12874|CAD7004468.1|CCAP, CCAP1982_LOCUS12873|CAD7004467.1|CCAP, CCAP1982_LOCUS12877|CAD7004471.1|CCAP, CCAP1982_LOCUS12875|CAD7004469.1|CCAP
OG0000102	LOC118457482|XP_035775000.1|AALB	CCAP1982_LOCUS7221|CAD6998654.1|CCAP, CCAP1982_LOCUS5355|CAD6996671.1|CCAP, CCAP1982_LOCUS13057|CAD7004662.1|CCAP
OG0000103	LOC118467670|XP_035794319.1|AALB	CCAP1982_LOCUS12819|CAD7004408.1|CCAP, CCAP1982_LOCUS12815|CAD7004405.1|CCAP, CCAP1982_LOCUS13027|CAD7004632.1|CCAP, CCAP1982_LOCUS21308|CAD7013237.1|CCAP, CCAP1982_LOCUS21309|CAD7013238.1|CCAP
OG0000104	LOC118464278|XP_035787434.1|AALB	CCAP1982_LOCUS5280|CAD6996610.1|CCAP, CCAP1982_LOCUS1505|CAD6992660.1|CCAP, CCAP1982_LOCUS1506|CAD6992661.1|CCAP, CCAP1982_LOCUS12239|CAD7003806.1|CCAP, CCAP1982_LOCUS12238|CAD7003805.1|CCAP, CCAP1982_LOCUS12237|CAD7003804.1|CCAP
OG0000105	LOC118457265|XP_035774549.1|AALB	CCAP1982_LOCUS4847|CAD6996155.1|CCAP, CCAP1982_LOCUS4851|CAD6996159.1|CCAP, CCAP1982_LOCUS4850|CAD6996158.1|CCAP
OG0000109	LOC118459572|XP_035778973.1|AALB	CCAP1982_LOCUS7956|CAD6999432.1|CCAP
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	CCAP1982_LOCUS12357|CAD7003935.1|CCAP, CCAP1982_LOCUS12358|CAD7003936.1|CCAP
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	CCAP1982_LOCUS20745|CAD7012644.1|CCAP, CCAP1982_LOCUS20746|CAD7012645.1|CCAP
OG0000113	LOC118462848|XP_035784798.1|AALB	CCAP1982_LOCUS2584|CAD6993786.1|CCAP
OG0000115	LOC118460434|XP_035780619.1|AALB, LOC118464508|XP_035787837.1|AALB	CCAP1982_LOCUS23112|CAD7015162.1|CCAP, CCAP1982_LOCUS22018|CAD7014012.1|CCAP, CCAP1982_LOCUS14578|CAD7006253.1|CCAP, CCAP1982_LOCUS4327|CAD6995621.1|CCAP
