Orthogroup	AALB.longest_only	DVIR.longest_only
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6634268|XP_002057550.2|DVIR, LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6629979|XP_002054337.1|DVIR, LOC6629980|XP_032294917.1|DVIR, LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6627126|XP_032291548.1|DVIR, LOC6629970|XP_002053079.1|DVIR, LOC6630819|XP_002054726.2|DVIR, LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6630003|XP_002054716.2|DVIR
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR, LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6624851|XP_002050852.1|DVIR, LOC6624848|XP_002050849.2|DVIR, LOC6626318|XP_002049525.1|DVIR, LOC6623898|XP_015031386.1|DVIR, LOC6624041|XP_002047846.1|DVIR, LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6623801|XP_002046214.1|DVIR, LOC6623780|XP_002046212.1|DVIR, LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6632699|XP_002056032.2|DVIR, LOC6632702|XP_002056035.3|DVIR, LOC6632698|XP_002056031.1|DVIR, LOC116650324|XP_032289598.1|DVIR, LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC116651245|XP_032293110.1|DVIR, LOC116650744|XP_032291206.1|DVIR, LOC6622355|XP_002047925.1|DVIR, LOC6622345|XP_002047924.2|DVIR, LOC6622312|XP_002047926.2|DVIR, LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6633160|XP_002056609.1|DVIR, LOC6632364|XP_002056725.1|DVIR, LOC6630427|XP_002053739.1|DVIR
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6625282|XP_002049664.3|DVIR, LOC6624847|XP_002049663.1|DVIR, LOC6624846|XP_002049662.1|DVIR
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6633223|XP_002056282.1|DVIR, LOC6629800|XP_002053376.1|DVIR, LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6630825|XP_002054732.1|DVIR, LOC6630824|XP_002054731.1|DVIR, LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR, LOC6627508|XP_002052791.1|DVIR
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6628288|XP_002051345.2|DVIR, LOC6628289|XP_032293797.1|DVIR, LOC6637243|XP_002060538.2|DVIR, LOC6628292|XP_002051349.1|DVIR, LOC6628291|XP_002051348.1|DVIR, LOC6628290|XP_002051347.1|DVIR, LOC6633609|XP_002056917.1|DVIR
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6634792|XP_002058128.1|DVIR, LOC6634791|XP_002058127.1|DVIR
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC6632878|XP_032289764.1|DVIR
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6632379|XP_002056002.1|DVIR, LOC6623824|XP_002047391.1|DVIR
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6623911|XP_002046867.1|DVIR
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6626486|XP_015029513.1|DVIR, LOC6631686|XP_032295536.1|DVIR
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6628714|XP_002051332.1|DVIR, LOC6631435|XP_002054957.2|DVIR, LOC6628614|XP_002051334.1|DVIR, LOC6628613|XP_002051333.1|DVIR
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC6623560|XP_002048623.2|DVIR
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6622067|XP_002047717.2|DVIR, LOC6622389|XP_032290781.1|DVIR, LOC116650646|XP_032290782.1|DVIR
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6635857|XP_002059479.1|DVIR, LOC6627108|XP_002050848.2|DVIR, LOC6627106|XP_002050846.1|DVIR
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6625785|XP_002049583.1|DVIR
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC6634684|XP_032289237.1|DVIR
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6635019|XP_015024910.1|DVIR
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC116650728|XP_032291099.1|DVIR, LOC6624120|XP_002046531.3|DVIR, LOC6623893|XP_002046826.2|DVIR
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6636598|XP_015023834.1|DVIR
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6632148|XP_002055757.3|DVIR
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6627101|XP_002049944.1|DVIR
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6629945|XP_002053003.1|DVIR
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC6624992|XP_002049450.1|DVIR
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6631157|XP_002054511.2|DVIR
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6625190|XP_002049123.3|DVIR, LOC26531397|XP_015030323.1|DVIR, LOC6625191|XP_002049124.2|DVIR, LOC6622767|XP_002048006.1|DVIR, LOC6632525|XP_002056424.2|DVIR, LOC6632017|XP_002055232.3|DVIR, LOC6631517|XP_002055314.1|DVIR
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6635875|XP_002059348.1|DVIR, LOC6625499|XP_002049016.1|DVIR
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6624944|XP_002050224.1|DVIR, LOC6631012|XP_032295246.1|DVIR, LOC6634864|XP_002058699.1|DVIR
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC6624533|XP_002047646.1|DVIR, LOC6627816|XP_002051141.2|DVIR
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6625031|XP_002050290.1|DVIR
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6627277|XP_002050654.1|DVIR
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6625945|XP_015029990.1|DVIR
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6625022|XP_002050781.1|DVIR, LOC6637034|XP_032292292.1|DVIR
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6627342|XP_002052453.1|DVIR
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6624854|XP_002049202.1|DVIR
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC6630704|XP_002054644.1|DVIR
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC6635266|XP_002058736.2|DVIR
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6623346|XP_002047269.1|DVIR
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6625113|XP_002049287.1|DVIR, LOC6625413|XP_002049290.1|DVIR, LOC6622878|XP_002046497.1|DVIR, LOC6623278|XP_002048567.1|DVIR, LOC6622829|XP_002047055.2|DVIR
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6630750|XP_032294848.1|DVIR
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6627714|XP_002051636.1|DVIR, LOC6632846|XP_002056244.1|DVIR, LOC6632847|XP_002056245.1|DVIR
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6627672|XP_002051948.1|DVIR
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6623745|XP_002047834.1|DVIR, LOC116651603|XP_032294227.1|DVIR, LOC6628121|XP_032296013.1|DVIR
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC6633088|XP_002056271.1|DVIR, LOC6633047|XP_002056270.1|DVIR, LOC6633089|XP_002056272.1|DVIR, LOC6628330|XP_002051202.1|DVIR
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6632457|XP_002056303.1|DVIR, LOC6634916|XP_002058676.1|DVIR
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6633490|XP_015025434.1|DVIR
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC6622499|XP_032291169.1|DVIR, LOC6622530|XP_015030654.1|DVIR, LOC26531878|XP_032290505.1|DVIR, LOC116650581|XP_032290504.1|DVIR, LOC6622479|XP_015030655.1|DVIR, LOC6622519|XP_015030651.1|DVIR
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6626051|XP_002050456.1|DVIR
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6627172|XP_002048695.1|DVIR
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6623591|XP_002046807.1|DVIR, LOC6623698|XP_002046808.1|DVIR, LOC6623703|XP_002046809.1|DVIR, LOC6636437|XP_032291286.1|DVIR, LOC116649737|XP_032291663.1|DVIR
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6634072|XP_002057874.1|DVIR, LOC6623916|XP_002046238.1|DVIR
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC6634229|XP_002057740.1|DVIR, LOC6631244|XP_002053645.1|DVIR, LOC6631241|XP_032293557.1|DVIR
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6628484|XP_002052031.2|DVIR
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6628432|XP_002052040.2|DVIR, LOC6628433|XP_032294226.1|DVIR
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6622405|XP_002046654.1|DVIR, LOC6622336|XP_032291383.1|DVIR, LOC6622410|XP_002046655.1|DVIR, LOC6622454|XP_002046656.2|DVIR, LOC6622494|XP_002046657.1|DVIR
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6625186|XP_002049119.1|DVIR, LOC6624898|XP_002049116.1|DVIR, LOC6624897|XP_002049115.1|DVIR
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6631730|XP_002055577.1|DVIR, LOC6631731|XP_002055578.1|DVIR, LOC6632015|XP_002055230.1|DVIR, LOC6632116|XP_002055254.1|DVIR
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC26530946|XP_015024980.1|DVIR, LOC6622156|XP_002048476.2|DVIR, LOC6631790|XP_002055369.2|DVIR, LOC6633853|XP_002057376.2|DVIR
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6633971|XP_002057479.1|DVIR, LOC6633970|XP_002057478.1|DVIR, LOC6633968|XP_002057476.1|DVIR, LOC6633969|XP_002057477.1|DVIR
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6627951|XP_002051424.1|DVIR, LOC6633235|XP_002056774.2|DVIR, LOC6629584|XP_002054876.1|DVIR
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6632723|XP_002056046.1|DVIR, LOC6632724|XP_002056047.1|DVIR
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6634529|XP_002057958.1|DVIR
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6625102|XP_002050121.1|DVIR
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6632053|XP_002055250.1|DVIR, LOC6630360|XP_002054040.1|DVIR, LOC6630940|XP_032295844.1|DVIR
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6628202|XP_002052211.2|DVIR, LOC6635441|XP_002058981.1|DVIR, LOC116651034|XP_032292531.1|DVIR, LOC6636460|XP_002059819.1|DVIR, LOC6629169|XP_002051908.1|DVIR
