Orthogroup	AALB.longest_only	DMAU.longest_only
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC117142344|XP_033162152.1|DMAU, LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	LOC117141766|XP_033161286.1|DMAU, LOC117139678|XP_033158048.1|DMAU, LOC117136459|XP_033153277.1|DMAU, LOC117150445|XP_033173222.1|DMAU, LOC117149978|XP_033172760.1|DMAU, LOC117150378|XP_033173130.1|DMAU
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC117140134|XP_033158791.1|DMAU
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC117143636|XP_033164304.1|DMAU, LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU, LOC117145918|XP_033167668.1|DMAU, LOC117143368|XP_033163935.1|DMAU, LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC117142241|XP_033161985.1|DMAU, LOC117143646|XP_033164316.1|DMAU, LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC117138252|XP_033156103.1|DMAU, LOC117139751|XP_033158206.1|DMAU, LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU, LOC117139203|XP_033157266.1|DMAU, LOC117139198|XP_033157262.1|DMAU
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC117144283|XP_033165277.1|DMAU, LOC117144284|XP_033165278.1|DMAU, LOC117144282|XP_033165275.1|DMAU, LOC117135977|XP_033152481.1|DMAU, LOC117145126|XP_033166537.1|DMAU, LOC117144278|XP_033165272.1|DMAU, LOC117144775|XP_033166033.1|DMAU, LOC117144277|XP_033165271.1|DMAU, LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC117137467|XP_033154805.1|DMAU, LOC117137468|XP_033154806.1|DMAU, LOC117137469|XP_033154807.1|DMAU, LOC117137862|XP_033155468.1|DMAU, LOC117136255|XP_033152953.1|DMAU, LOC117150619|XP_033173479.1|DMAU, LOC117136506|XP_033153341.1|DMAU, LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU, LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC117142835|XP_033162961.1|DMAU, LOC117140739|XP_033159710.1|DMAU, LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC117139362|XP_033157505.1|DMAU, LOC117139334|XP_033157472.1|DMAU, LOC117139375|XP_033157515.1|DMAU, LOC117139373|XP_033157513.1|DMAU, LOC117139374|XP_033157514.1|DMAU, LOC117139371|XP_033157510.1|DMAU, LOC117139372|XP_033157511.1|DMAU, LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC117145028|XP_033166421.1|DMAU, LOC117136167|XP_033152799.1|DMAU, LOC117136614|XP_033153490.1|DMAU, LOC117135122|XP_033151033.1|DMAU, LOC117144854|XP_033166148.1|DMAU, LOC117140740|XP_033159707.1|DMAU
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU, LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC117145857|XP_033167568.1|DMAU, LOC117145860|XP_033167571.1|DMAU, LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU, LOC117150484|XP_033173274.1|DMAU, LOC117150483|XP_033173273.1|DMAU, LOC117149319|XP_033172656.1|DMAU, LOC117143947|XP_033164772.1|DMAU, LOC117145446|XP_033166996.1|DMAU, LOC117143867|XP_033164627.1|DMAU
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC117145004|XP_033166383.1|DMAU
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC117137024|XP_033154116.1|DMAU, LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC117144249|XP_033165219.1|DMAU
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC117143574|XP_033164210.1|DMAU, LOC117143570|XP_033164205.1|DMAU, LOC117143572|XP_033164208.1|DMAU, LOC117145149|XP_033166580.1|DMAU, LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC117137846|XP_033155439.1|DMAU, LOC117137896|XP_033155525.1|DMAU, LOC117136744|XP_033153666.1|DMAU, LOC117141645|XP_033161109.1|DMAU, LOC117137194|XP_033154412.1|DMAU, LOC117141646|XP_033161110.1|DMAU
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU, LOC117140935|XP_033160022.1|DMAU, LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC117144267|XP_033165261.1|DMAU, LOC117143819|XP_033164555.1|DMAU, LOC117145062|XP_033166468.1|DMAU, LOC117145059|XP_033166464.1|DMAU, LOC117145061|XP_033166467.1|DMAU, LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC117136135|XP_033152731.1|DMAU, LOC117142030|XP_033161785.1|DMAU, LOC117142027|XP_033161782.1|DMAU, LOC117142031|XP_033161786.1|DMAU, LOC117142029|XP_033161784.1|DMAU, LOC117142024|XP_033161778.1|DMAU, LOC117142028|XP_033161783.1|DMAU
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC117143815|XP_033164552.1|DMAU, LOC117143638|XP_033164307.1|DMAU, LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC117137106|XP_033154284.1|DMAU, LOC117137105|XP_033154282.1|DMAU, LOC117137096|XP_033154272.1|DMAU
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC117144491|XP_033165568.1|DMAU, LOC117145202|XP_033166655.1|DMAU, LOC117145522|XP_033167105.1|DMAU, LOC117144100|XP_033165007.1|DMAU
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC117143514|XP_033164128.1|DMAU, LOC117143478|XP_033164083.1|DMAU, LOC117143727|XP_033164422.1|DMAU
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC117145913|XP_033167658.1|DMAU, LOC117145909|XP_033167655.1|DMAU, LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU, LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU, LOC117141672|XP_033161161.1|DMAU, LOC117147163|XP_033169841.1|DMAU
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC117142997|XP_033163243.1|DMAU
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC117143290|XP_033163776.1|DMAU, LOC117141618|XP_033161029.1|DMAU
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC117140079|XP_033158722.1|DMAU
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC117140267|XP_033158984.1|DMAU, LOC117142608|XP_033162579.1|DMAU, LOC117139306|XP_033157439.1|DMAU, LOC117135414|XP_033151458.1|DMAU, LOC117147929|XP_033170959.1|DMAU
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC117140982|XP_033160124.1|DMAU, LOC117148893|XP_033172490.1|DMAU, LOC117137413|XP_033154736.1|DMAU, LOC117146922|XP_033169442.1|DMAU
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC117139106|XP_033157130.1|DMAU
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC117139290|XP_033157411.1|DMAU, LOC117139289|XP_033157410.1|DMAU, LOC117139278|XP_033157396.1|DMAU
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC117136935|XP_033153969.1|DMAU, LOC117136352|XP_033153109.1|DMAU, LOC117136936|XP_033153970.1|DMAU
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC117138354|XP_033156291.1|DMAU
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC117147893|XP_033170883.1|DMAU
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC117142466|XP_033162348.1|DMAU
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC117142069|XP_033161840.1|DMAU, LOC117139233|XP_033157330.1|DMAU
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC117141100|XP_033160313.1|DMAU
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC117147320|XP_033170062.1|DMAU
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC117138525|XP_033156554.1|DMAU
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC117142441|XP_033162295.1|DMAU
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC117138466|XP_033156483.1|DMAU
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC117144652|XP_033165842.1|DMAU
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC117138008|XP_033155701.1|DMAU, LOC117140111|XP_033158764.1|DMAU, LOC117145393|XP_033166920.1|DMAU, LOC117146596|XP_033168812.1|DMAU, LOC117147316|XP_033170056.1|DMAU
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC117137720|XP_033155183.1|DMAU, LOC117137725|XP_033155191.1|DMAU, LOC117136966|XP_033154021.1|DMAU
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC117138620|XP_033156721.1|DMAU, LOC117135990|XP_033152496.1|DMAU, LOC117142679|XP_033162708.1|DMAU, LOC117143259|XP_033163721.1|DMAU
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC117145762|XP_033167461.1|DMAU, LOC117140536|XP_033159420.1|DMAU, LOC117146342|XP_033168371.1|DMAU, LOC117144457|XP_033165508.1|DMAU, LOC117144620|XP_033165809.1|DMAU, LOC117145464|XP_033167065.1|DMAU
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC117136635|XP_033153517.1|DMAU
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC117137735|XP_033155207.1|DMAU
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC117136080|XP_033152640.1|DMAU
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC117136149|XP_033152757.1|DMAU, LOC117136148|XP_033152756.1|DMAU
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC117147902|XP_033170903.1|DMAU
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC117137209|XP_033154454.1|DMAU
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC117142383|XP_033162216.1|DMAU, LOC117144287|XP_033165282.1|DMAU
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC117143491|XP_033164095.1|DMAU
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC117141024|XP_033160189.1|DMAU
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC117137570|XP_033154966.1|DMAU, LOC117137567|XP_033154963.1|DMAU, LOC117140816|XP_033159812.1|DMAU, LOC117140429|XP_033159236.1|DMAU
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC117145728|XP_033167368.1|DMAU
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC117150761|XP_033173689.1|DMAU, LOC117146070|XP_033167902.1|DMAU, LOC117145462|XP_033167023.1|DMAU
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC117150555|XP_033173394.1|DMAU
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC117141136|XP_033160352.1|DMAU, LOC117145630|XP_033167240.1|DMAU
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC117135195|XP_033151161.1|DMAU, LOC117138374|XP_033156337.1|DMAU, LOC117143020|XP_033163289.1|DMAU, LOC117140669|XP_033159611.1|DMAU
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC117142871|XP_033163030.1|DMAU
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC117148254|XP_033171448.1|DMAU
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC117139588|XP_033157894.1|DMAU, LOC117139584|XP_033157886.1|DMAU, LOC117139153|XP_033157202.1|DMAU, LOC117139589|XP_033157895.1|DMAU, LOC117139587|XP_033157892.1|DMAU, LOC117139591|XP_033157897.1|DMAU
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC117136562|XP_033153409.1|DMAU
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC117136840|XP_033153811.1|DMAU, LOC117135879|XP_033152313.1|DMAU
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC117139741|XP_033158189.1|DMAU, LOC117140271|XP_033158987.1|DMAU, LOC117140269|XP_033158986.1|DMAU, LOC117136710|XP_033153622.1|DMAU
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC117140901|XP_033159956.1|DMAU, LOC117139491|XP_033157704.1|DMAU, LOC117139490|XP_033157702.1|DMAU
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC117145209|XP_033166665.1|DMAU, LOC117140646|XP_033159577.1|DMAU, LOC117143467|XP_033164071.1|DMAU
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC117150480|XP_033173269.1|DMAU, LOC117150327|XP_033173057.1|DMAU, LOC117150326|XP_033173056.1|DMAU
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC117150299|XP_033173013.1|DMAU, LOC117150298|XP_033173011.1|DMAU
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC117141555|XP_033160952.1|DMAU, LOC117141556|XP_033160954.1|DMAU, LOC117140295|XP_033159023.1|DMAU, LOC117139048|XP_033157042.1|DMAU
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC117137612|XP_033155029.1|DMAU, LOC117137549|XP_033154938.1|DMAU, LOC117136205|XP_033152849.1|DMAU
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC117147934|XP_033170970.1|DMAU, LOC117147426|XP_033170197.1|DMAU, LOC117147670|XP_033170537.1|DMAU, LOC117147441|XP_033170213.1|DMAU
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC117150311|XP_033173029.1|DMAU, LOC117137340|XP_033154626.1|DMAU, LOC117144993|XP_033166357.1|DMAU, LOC117139674|XP_033158046.1|DMAU
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC117140280|XP_033159003.1|DMAU, LOC117140287|XP_033159016.1|DMAU, LOC117140343|XP_033159086.1|DMAU, LOC117140312|XP_033159052.1|DMAU
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC117150387|XP_033173140.1|DMAU, LOC117135603|XP_033151847.1|DMAU
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC117143976|XP_033164804.1|DMAU, LOC117144044|XP_033164905.1|DMAU, LOC117144043|XP_033164903.1|DMAU
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC117148598|XP_033171970.1|DMAU
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC117135556|XP_033151747.1|DMAU
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC117147561|XP_033170393.1|DMAU, LOC117142505|XP_033162432.1|DMAU, LOC117142503|XP_033162430.1|DMAU, LOC117142506|XP_033162433.1|DMAU
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC117150526|XP_033173341.1|DMAU, LOC117147492|XP_033170284.1|DMAU, LOC117136699|XP_033153608.1|DMAU, LOC117141442|XP_033160827.1|DMAU
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC117136062|XP_033152602.1|DMAU, LOC117143860|XP_033164616.1|DMAU, LOC117143990|XP_033164824.1|DMAU, LOC117144271|XP_033165263.1|DMAU, LOC117144217|XP_033165162.1|DMAU
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC117135459|XP_033151542.1|DMAU, LOC117137979|XP_033155643.1|DMAU, LOC117136693|XP_033153599.1|DMAU, LOC117137964|XP_033155626.1|DMAU
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC117143411|XP_033163996.1|DMAU
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC117143914|XP_033164718.1|DMAU
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC117143345|XP_033163901.1|DMAU, LOC117143550|XP_033164184.1|DMAU
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC117145521|XP_033167104.1|DMAU, LOC117144375|XP_033165393.1|DMAU, LOC117145520|XP_033167103.1|DMAU, LOC117143556|XP_033164189.1|DMAU
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC117137914|XP_033155550.1|DMAU, LOC117135481|XP_033151591.1|DMAU, LOC117145151|XP_033166582.1|DMAU
OG0000129	LOC118456548|XP_035773308.1|AALB	LOC117148507|XP_033171802.1|DMAU, LOC117141699|XP_033161197.1|DMAU, LOC117150016|XP_033172785.1|DMAU, LOC117148506|XP_033171801.1|DMAU
