Orthogroup	AALB.longest_only	DSEC.longest_only
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC, LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC6606692|XP_002031492.2|DSEC, LOC6606694|XP_002031494.1|DSEC, LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC, LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC6606280|XP_032578992.1|DSEC
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC6609848|XP_002034500.1|DSEC, LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB	LOC6614108|XP_032577608.1|DSEC
OG0000041	LOC118457785|XP_035775523.1|AALB	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000043	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC, LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000047	LOC118458488|XP_035776933.1|AALB	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC
OG0000048	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC, LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB	LOC6616787|XP_002041124.1|DSEC, LOC6616784|XP_002041121.1|DSEC, LOC6616788|XP_002041125.1|DSEC, LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC, LOC6616783|XP_002041120.1|DSEC
OG0000050	LOC118466326|XP_035791335.1|AALB	LOC6608707|XP_002033431.1|DSEC, LOC6616568|XP_002040927.1|DSEC, LOC6616571|XP_032575631.1|DSEC, LOC6616570|XP_002040929.1|DSEC, LOC116800887|XP_032573137.1|DSEC, LOC6616572|XP_002040931.1|DSEC, LOC6616569|XP_032573136.1|DSEC
OG0000051	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB	LOC6607242|XP_032578378.1|DSEC, LOC6606627|XP_002031428.1|DSEC, LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC
OG0000053	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC, LOC6608186|XP_002032931.2|DSEC
OG0000054	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB	LOC6606233|XP_002031041.1|DSEC, LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000055	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB	LOC6612847|XP_002037341.1|DSEC, LOC6612845|XP_002037339.1|DSEC, LOC6612846|XP_002037340.1|DSEC, LOC116801473|XP_032577167.1|DSEC
OG0000056	LOC118463646|XP_035786286.1|AALB	LOC6607531|XP_002032300.1|DSEC, LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC, LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC
OG0000060	LOC118462342|XP_035784016.1|AALB	LOC6618583|XP_002042842.1|DSEC
OG0000060	LOC118457079|XP_035774255.1|AALB	LOC6612941|XP_032579191.1|DSEC
OG0000067	LOC118462964|XP_035785018.1|AALB	LOC6620079|XP_002044291.1|DSEC, LOC6610892|XP_002035455.1|DSEC
OG0000067	LOC118463317|XP_035785696.1|AALB	LOC6616446|XP_002040807.1|DSEC
OG0000068	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB	LOC6606120|XP_032575928.1|DSEC, LOC6620399|XP_032576530.1|DSEC, LOC6606128|XP_032573930.1|DSEC, LOC6610046|XP_002034662.2|DSEC, LOC6615215|XP_032581888.1|DSEC
OG0000070	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB	LOC6613612|XP_002038082.1|DSEC, LOC6615903|XP_002040271.1|DSEC, LOC6613611|XP_002038081.1|DSEC, LOC6614825|XP_002039244.1|DSEC
OG0000071	LOC118464383|XP_035787619.1|AALB	LOC6605331|XP_002030168.2|DSEC
OG0000071	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB	LOC6605584|XP_032575054.1|DSEC, LOC6605583|XP_002030402.2|DSEC, LOC6605585|XP_002030404.1|DSEC
OG0000072	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB	LOC6609446|XP_002034131.1|DSEC, LOC6609453|XP_002034138.1|DSEC, LOC6609448|XP_032571731.1|DSEC
OG0000073	LOC118466982|XP_035792790.1|AALB	LOC6609744|XP_002034398.2|DSEC
OG0000073	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB	LOC6616009|XP_032581764.1|DSEC
OG0000073	LOC118458541|XP_035777018.1|AALB	LOC6614351|XP_032576696.1|DSEC
OG0000074	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB	LOC6610960|XP_002035517.1|DSEC, LOC6606103|XP_002030912.1|DSEC
OG0000076	LOC118462886|XP_035784863.1|AALB	LOC6610804|XP_032574471.1|DSEC
OG0000076	LOC118456474|XP_035773167.1|AALB	LOC6614957|XP_002039374.1|DSEC
OG0000077	LOC118467920|XP_035794755.1|AALB	LOC6609946|XP_002034592.1|DSEC
OG0000077	LOC118460116|XP_035780047.1|AALB	LOC6607116|XP_002031904.1|DSEC
OG0000077	LOC118463835|XP_035786622.1|AALB	LOC6618789|XP_002043039.2|DSEC
OG0000077	LOC118466147|XP_035791003.1|AALB	LOC6618743|XP_032576637.1|DSEC
OG0000078	LOC118456476|XP_035773179.1|AALB	LOC6609985|XP_032572329.1|DSEC, LOC6616471|XP_032574945.1|DSEC, LOC6614250|XP_032578587.1|DSEC, LOC6615175|XP_002039591.1|DSEC, LOC6618086|XP_002042384.1|DSEC
OG0000080	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB	LOC6609553|XP_032570859.1|DSEC, LOC6609476|XP_002034161.1|DSEC
OG0000082	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB	LOC6615566|XP_002039940.2|DSEC, LOC6606452|XP_002031255.1|DSEC
OG0000083	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB	LOC116800215|XP_032569927.1|DSEC, LOC6611746|XP_002036269.1|DSEC, LOC6611745|XP_032583492.1|DSEC, LOC6611743|XP_032583597.1|DSEC, LOC6611744|XP_032583168.1|DSEC, LOC6612009|XP_032569925.1|DSEC
OG0000084	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB	LOC6609841|XP_002034493.1|DSEC
OG0000084	LOC118463937|XP_035786798.1|AALB	LOC6609358|XP_002034047.1|DSEC
OG0000085	LOC118467757|XP_035794478.1|AALB	LOC6608029|XP_032572862.1|DSEC
OG0000086	LOC118467052|XP_035792946.1|AALB	LOC6609922|XP_002034572.1|DSEC
OG0000087	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB	LOC6611885|XP_002036403.2|DSEC
OG0000088	LOC118462894|XP_035784880.1|AALB	LOC6607857|XP_032572237.1|DSEC
OG0000089	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB	LOC6614195|XP_002038642.1|DSEC, LOC6614269|XP_002038709.1|DSEC
OG0000089	LOC118465461|XP_035789653.1|AALB	LOC6607057|XP_002031845.1|DSEC
OG0000089	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB	LOC6605081|XP_002029922.1|DSEC
OG0000090	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB	LOC6608382|XP_002033118.1|DSEC, LOC6608386|XP_032571023.1|DSEC, LOC6610773|XP_002035339.1|DSEC, LOC6610282|XP_032573795.1|DSEC
OG0000091	LOC118468298|XP_035794920.1|AALB	LOC6612658|XP_032576233.1|DSEC
OG0000091	LOC118461077|XP_035781863.1|AALB	LOC6612181|XP_032580799.1|DSEC, LOC6613760|XP_032578418.1|DSEC, LOC116801651|XP_032578417.1|DSEC
OG0000093	LOC118468732|XP_035795763.1|AALB	LOC6611634|XP_002036170.1|DSEC
OG0000094	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB	LOC6605148|XP_002029989.1|DSEC, LOC6614059|XP_002038513.1|DSEC
OG0000096	LOC118467953|XP_035794822.1|AALB	LOC6614658|XP_002039085.1|DSEC, LOC6611394|XP_002035938.1|DSEC, LOC6606981|XP_032576845.1|DSEC, LOC6614724|XP_032569761.1|DSEC
OG0000098	LOC118458982|XP_035777873.1|AALB	LOC6606676|XP_002031476.1|DSEC, LOC6621482|XP_032577186.1|DSEC
OG0000099	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB	LOC6616099|XP_032580297.1|DSEC
OG0000101	LOC118462817|XP_035784730.1|AALB	LOC6618410|XP_002042680.2|DSEC, LOC6619343|XP_032573862.1|DSEC, LOC6618409|XP_032573873.1|DSEC, LOC6618414|XP_032573872.1|DSEC
OG0000102	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB	LOC6609708|XP_032571910.1|DSEC
OG0000102	LOC118457482|XP_035775000.1|AALB	LOC6608277|XP_002033021.1|DSEC, LOC6615642|XP_032570858.1|DSEC
OG0000103	LOC118467670|XP_035794319.1|AALB	LOC6604961|XP_002029804.1|DSEC, LOC6606121|XP_002030929.1|DSEC, LOC116801298|XP_032575929.1|DSEC, LOC6608599|XP_002033333.1|DSEC
OG0000104	LOC118464278|XP_035787434.1|AALB	LOC6611808|XP_002036330.1|DSEC, LOC6605951|XP_002030763.2|DSEC, LOC6605950|XP_002030762.1|DSEC
OG0000105	LOC118457265|XP_035774549.1|AALB	LOC6619284|XP_032579009.1|DSEC, LOC6605055|XP_002029896.2|DSEC, LOC6607252|XP_002032031.1|DSEC, LOC6607258|XP_002032037.1|DSEC, LOC6607259|XP_002032038.1|DSEC
OG0000109	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB	LOC6612035|XP_002036552.2|DSEC, LOC6612033|XP_032579423.1|DSEC, LOC6612032|XP_032583488.1|DSEC
OG0000109	LOC118459572|XP_035778973.1|AALB	LOC6612023|XP_002036540.1|DSEC, LOC6612022|XP_002036539.1|DSEC
OG0000110	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB	LOC6620844|XP_032573645.1|DSEC, LOC6611144|XP_002035701.2|DSEC, LOC6611145|XP_002035702.1|DSEC
OG0000111	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB	LOC6609987|XP_002034623.1|DSEC, LOC6620815|XP_032571778.1|DSEC, LOC6620816|XP_002045014.1|DSEC
OG0000112	LOC118467359|XP_035793654.1|AALB	LOC6615207|XP_002039617.1|DSEC, LOC6617976|XP_002042284.1|DSEC, LOC6615171|XP_002039587.1|DSEC, LOC6615170|XP_002039586.1|DSEC
OG0000113	LOC118462848|XP_035784798.1|AALB	LOC6611439|XP_002035982.2|DSEC, LOC6609037|XP_032571701.1|DSEC, LOC6614036|XP_002038490.1|DSEC, LOC6614519|XP_002038950.2|DSEC
OG0000117	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB	LOC6611215|XP_002035771.1|DSEC, LOC6611214|XP_002035770.2|DSEC, LOC6611213|XP_002035769.1|DSEC, LOC6611212|XP_002035768.1|DSEC
OG0000118	LOC118457110|XP_035774302.1|AALB	LOC6613457|XP_002037929.1|DSEC, LOC6613456|XP_002037928.1|DSEC, LOC6611235|XP_002035791.1|DSEC
OG0000119	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB	LOC6607002|XP_002031791.1|DSEC, LOC6621198|XP_002045377.1|DSEC, LOC6607001|XP_002031790.1|DSEC
OG0000120	LOC118463432|XP_035785893.1|AALB	LOC6615886|XP_002040256.1|DSEC
OG0000120	LOC118464687|XP_035788103.1|AALB	LOC6608695|XP_032572430.1|DSEC
OG0000121	LOC118459567|XP_035778961.1|AALB	LOC6621159|XP_002045338.1|DSEC, LOC6606383|XP_002031188.1|DSEC, LOC6606381|XP_002031186.1|DSEC, LOC6621300|XP_002045474.2|DSEC, LOC6606382|XP_002031187.1|DSEC, LOC6621299|XP_002045475.2|DSEC
OG0000122	LOC118456844|XP_035773833.1|AALB	LOC6617448|XP_032583537.1|DSEC, LOC6619859|XP_002044072.2|DSEC, LOC6608366|XP_032570800.1|DSEC, LOC6613313|XP_002037789.1|DSEC
OG0000123	LOC118461289|XP_035782355.1|AALB	LOC6618845|XP_002043094.1|DSEC, LOC6606606|XP_002031407.1|DSEC, LOC6614134|XP_002038587.1|DSEC, LOC6614133|XP_002038586.1|DSEC, LOC6614135|XP_002038588.1|DSEC
OG0000124	LOC118465756|XP_035790152.1|AALB	LOC6609490|XP_002034175.2|DSEC, LOC6608219|XP_032570933.1|DSEC, LOC6608220|XP_032570934.1|DSEC, LOC6608222|XP_002032966.2|DSEC
OG0000125	LOC118457525|XP_035775063.1|AALB	LOC6617143|XP_032576639.1|DSEC
OG0000125	LOC118463575|XP_035786112.1|AALB	LOC6606616|XP_002031417.2|DSEC
OG0000126	LOC118460528|XP_035780801.1|AALB	LOC6612756|XP_002037259.1|DSEC, LOC6611315|XP_002035862.1|DSEC
OG0000127	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB	LOC6614284|XP_002038724.1|DSEC, LOC6614285|XP_002038725.1|DSEC, LOC6614283|XP_002038723.1|DSEC, LOC6614282|XP_032579442.1|DSEC
OG0000128	LOC118463140|XP_035785395.1|AALB	LOC6615333|XP_032571841.1|DSEC, LOC6615332|XP_002039730.1|DSEC, LOC6614348|XP_032578458.1|DSEC
OG0000129	LOC118456548|XP_035773308.1|AALB	LOC6612241|XP_002036753.1|DSEC, LOC6605270|XP_032575245.1|DSEC, LOC116800634|XP_032572551.1|DSEC, LOC116802521|XP_032582873.1|DSEC, LOC6612240|XP_032581536.1|DSEC
OG0000130	LOC118464719|XP_035788184.1|AALB	LOC6611001|XP_002035558.2|DSEC, LOC6610996|XP_002035553.1|DSEC, LOC6610997|XP_002035554.2|DSEC, LOC6611000|XP_032574071.1|DSEC
