Orthogroup	DBUS.longest_only	DSUB.longest_only
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC108601444|XP_017844830.1|DBUS	LOC117899151|XP_034664850.1|DSUB
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC117892376|XP_034654476.1|DSUB
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC117897187|XP_034661778.1|DSUB
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC117899529|XP_034665488.1|DSUB
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC117892105|XP_034654005.1|DSUB
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC117903845|XP_034672195.1|DSUB
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC117899292|XP_034665095.1|DSUB, LOC117899291|XP_034665094.1|DSUB
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC117891086|XP_034652156.1|DSUB
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC117890435|XP_034651155.1|DSUB
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC117900183|XP_034666320.1|DSUB, LOC117900621|XP_034666940.1|DSUB
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC108598989|XP_017841254.1|DBUS, LOC117134764|XP_033149298.1|DBUS	LOC117895261|XP_034658673.1|DSUB
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC117899339|XP_034665171.1|DSUB
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC117899361|XP_034665230.1|DSUB
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC117892172|XP_034654141.1|DSUB
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC117898500|XP_034663833.1|DSUB
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC117898411|XP_034663671.1|DSUB
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB
OG0000021	LOC108598850|XP_017841097.1|DBUS	LOC117894607|XP_034657649.1|DSUB
OG0000021	LOC108595011|XP_017835635.1|DBUS	LOC117892599|XP_034654829.1|DSUB
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC117892038|XP_034653853.1|DSUB
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC117892039|XP_034653854.1|DSUB
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC117891478|XP_034652849.1|DSUB
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC117891531|XP_034652923.1|DSUB
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC117892040|XP_034653856.1|DSUB
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC117896843|XP_034661258.1|DSUB
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC108597711|XP_017839890.1|DBUS	LOC117892923|XP_034655129.1|DSUB
OG0000023	LOC117134624|XP_033150075.1|DBUS	LOC117896148|XP_034660114.1|DSUB
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC117896153|XP_034660122.1|DSUB
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC117896150|XP_034660117.1|DSUB
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC117891805|XP_034653377.1|DSUB
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC117901020|XP_034667512.1|DSUB
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC117891118|XP_034652213.1|DSUB
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC117889599|XP_034649905.1|DSUB
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS	LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC117894266|XP_034657112.1|DSUB
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC117898949|XP_034664564.1|DSUB
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC117901334|XP_034667933.1|DSUB
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC117903801|XP_034672130.1|DSUB
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC117891426|XP_034652788.1|DSUB
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC117891425|XP_034652787.1|DSUB
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC117902583|XP_034669972.1|DSUB
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC117902581|XP_034669969.1|DSUB
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC117902582|XP_034669970.1|DSUB
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC117894264|XP_034657109.1|DSUB
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC117893334|XP_034655815.1|DSUB
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC117897419|XP_034662142.1|DSUB
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC117903895|XP_034672289.1|DSUB
OG0000039	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS	LOC117903894|XP_034672287.1|DSUB
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC117892341|XP_034654394.1|DSUB
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC117899278|XP_034665074.1|DSUB
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC117899588|XP_034665597.1|DSUB
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC117891862|XP_034653515.1|DSUB, LOC117891861|XP_034653514.1|DSUB, LOC117891863|XP_034653516.1|DSUB, LOC117901781|XP_034668580.1|DSUB
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC117891864|XP_034653517.1|DSUB
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC117895983|XP_034659856.1|DSUB
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC117893875|XP_034656539.1|DSUB
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC117892263|XP_034654274.1|DSUB, LOC117892238|XP_034654240.1|DSUB
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC117892077|XP_034653957.1|DSUB, LOC117899466|XP_034665373.1|DSUB, LOC117899066|XP_034664724.1|DSUB, LOC117899065|XP_034664723.1|DSUB
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC117891323|XP_034652630.1|DSUB
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC117891482|XP_034652852.1|DSUB
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC117892480|XP_034654625.1|DSUB
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC117893757|XP_034656383.1|DSUB
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC117891376|XP_034652704.1|DSUB
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC117894523|XP_034657528.1|DSUB
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC108601427|XP_017844814.1|DBUS	LOC117898481|XP_034663808.1|DSUB
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC117898484|XP_034663812.1|DSUB
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC117898479|XP_034663805.1|DSUB
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC117899170|XP_034664920.1|DSUB
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC117898482|XP_034663809.1|DSUB
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC117893220|XP_034655645.1|DSUB
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC117896438|XP_034660657.1|DSUB
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC117892469|XP_034654613.1|DSUB
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC117892468|XP_034654612.1|DSUB
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC117890537|XP_034651353.1|DSUB
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC117890535|XP_034651347.1|DSUB
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC117890534|XP_034651344.1|DSUB
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC117890538|XP_034651354.1|DSUB
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC117898651|XP_034664113.1|DSUB
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC117897281|XP_034661904.1|DSUB
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC117898462|XP_034663775.1|DSUB
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC117898461|XP_034663774.1|DSUB
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC117897244|XP_034661856.1|DSUB, LOC117897243|XP_034661853.1|DSUB
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC117902360|XP_034669563.1|DSUB, LOC117902358|XP_034669561.1|DSUB, LOC117890151|XP_034650732.1|DSUB
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC117902359|XP_034669562.1|DSUB
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC117894861|XP_034658013.1|DSUB
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC117896653|XP_034660990.1|DSUB, LOC117899423|XP_034665309.1|DSUB
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC117896652|XP_034660989.1|DSUB
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC117896696|XP_034661039.1|DSUB
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC117903129|XP_034670852.1|DSUB
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC117901895|XP_034668749.1|DSUB
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC117896666|XP_034661004.1|DSUB
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC117896503|XP_034660743.1|DSUB
OG0000060	LOC108605927|XP_017851236.1|DBUS	LOC117891116|XP_034652214.1|DSUB
OG0000061	LOC108602145|XP_017845670.1|DBUS	LOC117901880|XP_034668728.1|DSUB
OG0000061	LOC108594753|XP_017835384.1|DBUS	LOC117901276|XP_034667861.1|DSUB, LOC117901275|XP_034667859.1|DSUB
OG0000062	LOC108606274|XP_017851741.1|DBUS	LOC117903497|XP_034671468.1|DSUB
OG0000062	LOC108607908|XP_017854511.1|DBUS	LOC117901308|XP_034667909.1|DSUB, LOC117902037|XP_034668991.1|DSUB
OG0000063	LOC108598139|XP_033149614.1|DBUS	LOC117893344|XP_034655825.1|DSUB
OG0000063	LOC108598875|XP_017841124.1|DBUS	LOC117894179|XP_034656976.1|DSUB
OG0000063	LOC108598617|XP_017840805.2|DBUS, LOC108598825|XP_017841064.2|DBUS	LOC117894178|XP_034656974.1|DSUB
OG0000064	LOC117134905|XP_033150234.1|DBUS	LOC117900495|XP_034666775.1|DSUB
OG0000065	LOC108602948|XP_017846787.1|DBUS	LOC117898583|XP_034664016.1|DSUB
OG0000065	LOC108604232|XP_017849089.1|DBUS, LOC108597099|XP_017838955.1|DBUS	LOC117899737|XP_034665873.1|DSUB, LOC117899738|XP_034665874.1|DSUB, LOC117899736|XP_034665872.1|DSUB, LOC117897956|XP_034662949.1|DSUB
OG0000066	LOC108605823|XP_017851118.1|DBUS	LOC117896596|XP_034660913.1|DSUB, LOC117896671|XP_034661009.1|DSUB
OG0000066	LOC108596039|XP_017836905.1|DBUS	LOC117901021|XP_034667513.1|DSUB
OG0000066	LOC108602400|XP_017846000.1|DBUS	LOC117897646|XP_034662513.1|DSUB
OG0000066	LOC108606855|XP_017852841.1|DBUS	LOC117893060|XP_034655357.1|DSUB
OG0000066	LOC108606023|XP_017851338.1|DBUS	LOC117902112|XP_034669115.1|DSUB
OG0000067	LOC108603517|XP_017847897.1|DBUS	LOC117899613|XP_034665647.1|DSUB
OG0000067	LOC108598960|XP_017841219.2|DBUS	LOC117895462|XP_034659028.1|DSUB
OG0000067	LOC108596347|XP_017837491.1|DBUS	LOC117890918|XP_034651937.1|DSUB
OG0000067	LOC108600356|XP_017843371.2|DBUS	LOC117895461|XP_034659026.1|DSUB
OG0000067	LOC108598075|XP_017840177.1|DBUS	LOC117894476|XP_034657468.1|DSUB
OG0000068	LOC108596576|XP_017837985.1|DBUS	LOC117893309|XP_034655788.1|DSUB, LOC117901009|XP_034667498.1|DSUB
OG0000068	LOC108604996|XP_017850051.2|DBUS	LOC117902385|XP_034669640.1|DSUB
