Orthogroup	DBUS.longest_only	DVIR.longest_only
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR, LOC116649826|XP_032288863.1|DVIR
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC6635697|XP_002059270.2|DVIR
OG0000011	LOC108606030|XP_017851346.1|DBUS, LOC108600675|XP_017843868.1|DBUS	LOC6624639|XP_002048133.1|DVIR, LOC6624698|XP_002048132.1|DVIR, LOC6624619|XP_002048380.1|DVIR, LOC6634187|XP_002057780.1|DVIR, LOC6622606|XP_002047207.2|DVIR
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS	LOC6624920|XP_002050775.2|DVIR
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000015	LOC108605744|XP_017851034.1|DBUS	LOC116651432|XP_032293641.1|DVIR
OG0000015	LOC108594831|XP_017835461.1|DBUS, LOC108603867|XP_017848527.1|DBUS, LOC108606193|XP_017851541.2|DBUS, LOC108604954|XP_017850016.1|DBUS, LOC108605941|XP_017851254.2|DBUS	LOC116651430|XP_032293637.1|DVIR, LOC116651431|XP_032293638.1|DVIR
OG0000015	LOC117134842|XP_033149849.1|DBUS, LOC117134841|XP_033149848.1|DBUS, LOC108607907|XP_017854509.1|DBUS	LOC6629199|XP_002051601.2|DVIR
OG0000015	LOC117134844|XP_033149858.1|DBUS, LOC108598228|XP_017840333.1|DBUS	LOC26531129|XP_015031696.1|DVIR
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC6628970|XP_032293497.1|DVIR
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC117134873|XP_033150152.1|DBUS, LOC108601314|XP_017844702.1|DBUS, LOC117134851|XP_033149937.1|DBUS, LOC108601332|XP_033149826.1|DBUS	LOC6630620|XP_032292274.1|DVIR, LOC116650326|XP_032289604.1|DVIR, LOC26531549|XP_032289465.1|DVIR
OG0000017	LOC108602535|XP_017846156.1|DBUS	LOC6633214|XP_002055979.2|DVIR
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC108602938|XP_017846769.1|DBUS	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR
OG0000019	LOC108602932|XP_017846764.1|DBUS	LOC6630453|XP_002053914.1|DVIR
OG0000019	LOC108602934|XP_017846766.1|DBUS	LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC108604274|XP_033150157.1|DBUS	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC108598850|XP_017841097.1|DBUS	LOC6624373|XP_002047473.1|DVIR
OG0000021	LOC108595011|XP_017835635.1|DBUS	LOC6627017|XP_002049727.2|DVIR
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC6627016|XP_002049726.1|DVIR
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC6627019|XP_002049729.1|DVIR
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC108599848|XP_017842465.1|DBUS	LOC6622533|XP_002046430.1|DVIR
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC6622522|XP_002046428.1|DVIR
OG0000023	LOC117134624|XP_033150075.1|DBUS	LOC26530945|XP_015026270.1|DVIR
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC6625162|XP_002048929.1|DVIR
OG0000024	LOC108595394|XP_017836112.1|DBUS	LOC6628415|XP_002052328.1|DVIR
OG0000025	LOC108607483|XP_017853815.1|DBUS	LOC6635606|XP_002058949.1|DVIR
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC108598252|XP_017840356.2|DBUS	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR
OG0000028	LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS	LOC6622591|XP_032290503.1|DVIR
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC6633403|XP_002057213.1|DVIR
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC108600689|XP_033150743.1|DBUS	LOC6634269|XP_002057551.2|DVIR
OG0000031	LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC108601658|XP_017845046.1|DBUS	LOC6634892|XP_002058480.2|DVIR
OG0000032	LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC6629977|XP_002054335.1|DVIR
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR
OG0000034	LOC108597047|XP_017838843.1|DBUS	LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC6630607|XP_002054482.2|DVIR
OG0000036	LOC108607107|XP_017853223.1|DBUS	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC6629970|XP_002053079.1|DVIR
OG0000037	LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS	LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS	LOC6632395|XP_002056631.2|DVIR
OG0000039	LOC108606087|XP_017851422.2|DBUS	LOC6631925|XP_002055752.1|DVIR, LOC116652072|XP_032295834.1|DVIR
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC108604138|XP_017848936.1|DBUS	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC117134763|XP_033149297.1|DBUS	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR
OG0000042	LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC6629466|XP_032291044.1|DVIR, LOC6629465|XP_032291038.1|DVIR, LOC6629467|XP_002053883.2|DVIR, LOC6634417|XP_032296431.1|DVIR, LOC116652297|XP_032296495.1|DVIR
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC6624851|XP_002050852.1|DVIR
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC6624848|XP_002050849.2|DVIR
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC6626318|XP_002049525.1|DVIR
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC6623898|XP_015031386.1|DVIR
OG0000047	LOC108599569|XP_017841975.1|DBUS	LOC6624041|XP_002047846.1|DVIR
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC6623128|XP_002046219.1|DVIR
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC6623801|XP_002046214.1|DVIR
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC6623780|XP_002046212.1|DVIR
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC108601427|XP_017844814.1|DBUS	LOC6632704|XP_002056037.1|DVIR
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC6632699|XP_002056032.2|DVIR
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC6632702|XP_002056035.3|DVIR
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC6632698|XP_002056031.1|DVIR
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC116650324|XP_032289598.1|DVIR
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC6632703|XP_002056036.2|DVIR
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC6622345|XP_002047924.2|DVIR
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC6622403|XP_002047934.2|DVIR
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC6633160|XP_002056609.1|DVIR
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC6630427|XP_002053739.1|DVIR
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC6633117|XP_002056591.1|DVIR, LOC6633119|XP_002056593.1|DVIR, LOC6633120|XP_032289606.1|DVIR, LOC6633118|XP_002056592.2|DVIR
OG0000052	LOC108595895|XP_017836674.1|DBUS	LOC6626909|XP_002050284.2|DVIR, LOC6626910|XP_002050285.2|DVIR
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC6626911|XP_002050286.2|DVIR
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC6625282|XP_002049664.3|DVIR
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC6624847|XP_002049663.1|DVIR
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC6624846|XP_002049662.1|DVIR
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC6624845|XP_002049661.1|DVIR
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC6624806|XP_002049656.1|DVIR
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC6633223|XP_002056282.1|DVIR
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC6629800|XP_002053376.1|DVIR
