Orthogroup	DBUS.longest_only	DERE.longest_only
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC26526932|XP_026837924.1|DERE
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC6548724|XP_001975398.1|DERE
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC6556144|XP_001982999.1|DERE, LOC6545492|XP_001971094.1|DERE, LOC6545493|XP_026833569.1|DERE, LOC6556143|XP_001982998.1|DERE
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC113563731|XP_026831631.1|DERE
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC6553285|XP_001979203.1|DERE
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC6546697|XP_026836761.1|DERE
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC6553284|XP_026831910.1|DERE
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC6553277|XP_001979195.2|DERE
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC6553329|XP_001979191.2|DERE
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC6553331|XP_001979193.1|DERE
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC6553328|XP_001979190.1|DERE
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC6547182|XP_001976080.1|DERE
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC6549069|XP_001974169.1|DERE
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC6549473|XP_001975764.1|DERE
OG0000025	LOC108607483|XP_017853815.1|DBUS	LOC6540718|XP_001968765.1|DERE
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC113564765|XP_026839399.1|DERE
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC6551694|XP_001977155.1|DERE
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC6543477|XP_001969495.1|DERE
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC6551346|XP_001977080.1|DERE
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC6553336|XP_001979309.1|DERE
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC6541432|XP_001970185.1|DERE
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC6541563|XP_001970188.1|DERE
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC6541340|XP_001970186.1|DERE
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC6545516|XP_001973330.1|DERE
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC6545103|XP_001973211.1|DERE
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC6552797|XP_001981008.1|DERE
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC6546309|XP_026833134.1|DERE
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC6540832|XP_001969798.1|DERE
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC6542410|XP_001968441.1|DERE
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC6547811|XP_001976404.1|DERE
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC6555505|XP_026838381.1|DERE
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC6541519|XP_001969009.2|DERE, LOC6543250|XP_001968986.1|DERE
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC113563971|XP_026833917.1|DERE
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC6542615|XP_001969442.1|DERE
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC6553974|XP_015009875.1|DERE
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC6553916|XP_015010087.1|DERE, LOC6553973|XP_026831770.1|DERE, LOC6553976|XP_001980433.2|DERE, LOC6553975|XP_026831724.1|DERE
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC113564299|XP_026836470.1|DERE
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC6548262|XP_001974108.1|DERE, LOC6548263|XP_001974109.1|DERE, LOC6541653|XP_001970703.1|DERE, LOC6542775|XP_001970704.2|DERE
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC6541460|XP_001970702.1|DERE
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC6547752|XP_001976261.2|DERE
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC6547627|XP_001976262.1|DERE
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC6553210|XP_001979212.1|DERE
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC6553049|XP_001980037.3|DERE
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC6552090|XP_001978801.1|DERE
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC6554160|XP_026832544.1|DERE, LOC113563885|XP_026832533.1|DERE
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC6553809|XP_001979566.1|DERE, LOC6553808|XP_001979565.1|DERE
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC6545503|XP_001973343.1|DERE
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC6545505|XP_026833772.1|DERE
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC6553078|XP_001979073.2|DERE
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC6550737|XP_001978160.1|DERE
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC6551666|XP_001977244.1|DERE
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC6551893|XP_026835202.1|DERE, LOC6551780|XP_001980593.1|DERE
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC6551781|XP_001980594.1|DERE
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC6551892|XP_001979714.2|DERE, LOC6551891|XP_001979713.1|DERE
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC6551889|XP_001979711.1|DERE
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC6554299|XP_001981067.1|DERE
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC6554981|XP_001981824.1|DERE, LOC26526627|XP_015009397.2|DERE, LOC6554997|XP_001981822.1|DERE, LOC6554980|XP_001981823.2|DERE, LOC6554990|XP_001981815.1|DERE, LOC6554992|XP_001981817.1|DERE, LOC6554991|XP_001981816.2|DERE
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC6547072|XP_001974652.1|DERE, LOC6547084|XP_001974656.1|DERE, LOC6547081|XP_026835970.1|DERE, LOC6547083|XP_026836041.1|DERE, LOC6547082|XP_001974654.1|DERE
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC6547085|XP_001974657.2|DERE
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC6551883|XP_001980607.1|DERE
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC6551896|XP_001980611.1|DERE
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC6554744|XP_001981087.1|DERE, LOC6549065|XP_026836066.1|DERE, LOC6551880|XP_001980604.1|DERE
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC6554933|XP_001981812.1|DERE
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC6554929|XP_001981808.1|DERE, LOC6554928|XP_001981807.1|DERE
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC6543777|XP_001972312.1|DERE
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC6543776|XP_001972311.2|DERE, LOC6543775|XP_001972310.1|DERE
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC6544619|XP_001971501.1|DERE
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC6544620|XP_001971502.1|DERE
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC6550460|XP_001977787.1|DERE
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC6554301|XP_001982125.2|DERE, LOC6554302|XP_001982126.1|DERE
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC6548915|XP_026836112.1|DERE
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC6548919|XP_001975347.1|DERE
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC6549604|XP_001975737.1|DERE
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC6546188|XP_001972281.1|DERE
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC6549507|XP_001975729.1|DERE
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC6544966|XP_001973233.1|DERE, LOC6544967|XP_001973234.1|DERE
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC6545047|XP_001973229.1|DERE
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC6545045|XP_001973227.2|DERE
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC6544963|XP_001973230.1|DERE
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC6552334|XP_001979793.1|DERE
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC6552331|XP_001979790.1|DERE
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC6552229|XP_001979794.1|DERE
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC6552230|XP_001979795.1|DERE
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC6552330|XP_001979789.1|DERE
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC6544204|XP_026833494.1|DERE
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC6544232|XP_026833594.1|DERE
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC6552520|XP_001980945.1|DERE
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC6553748|XP_001980366.1|DERE
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC6553801|XP_001980449.1|DERE, LOC6552141|XP_001979934.1|DERE, LOC6553800|XP_001980448.1|DERE, LOC6553799|XP_001980447.1|DERE
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC6552258|XP_001980739.1|DERE, LOC6555308|XP_001982081.1|DERE, LOC6552259|XP_001980740.3|DERE, LOC6552256|XP_001980737.2|DERE, LOC6552257|XP_001980738.1|DERE
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC6547302|XP_001974728.1|DERE
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC6547301|XP_001974727.1|DERE
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC6541123|XP_001970454.1|DERE
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC6542707|XP_001970455.1|DERE
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC6542876|XP_001970456.1|DERE
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC6542254|XP_001970457.1|DERE
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC6542856|XP_001970461.3|DERE
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC6553130|XP_001980075.1|DERE
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC6553131|XP_001980076.1|DERE
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC26527116|XP_015009429.1|DERE, LOC6555464|XP_001981222.1|DERE
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC6555461|XP_001981219.1|DERE
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC6554751|XP_001982187.1|DERE
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC6554782|XP_001982185.1|DERE, LOC6554781|XP_001982184.3|DERE
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC6551980|XP_001980665.2|DERE
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC6548959|XP_001974191.1|DERE, LOC6548960|XP_001974192.1|DERE
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC6543269|XP_001969993.1|DERE
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC6555433|XP_001981659.1|DERE, LOC6555434|XP_001981660.1|DERE
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC6555432|XP_001981658.1|DERE
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC6555439|XP_001981665.1|DERE
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC6551123|XP_026838344.1|DERE
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC6549244|XP_001974429.1|DERE
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC6552399|XP_001978925.3|DERE
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC6554918|XP_026832695.1|DERE
OG0000060	LOC108605927|XP_017851236.1|DBUS	LOC6551264|XP_001978379.1|DERE
OG0000060	LOC108594930|XP_033150017.1|DBUS	LOC6542766|XP_001968438.1|DERE
OG0000061	LOC108602145|XP_017845670.1|DBUS	LOC6541628|XP_001968975.1|DERE
OG0000061	LOC108594753|XP_017835384.1|DBUS	LOC6542667|XP_001968981.1|DERE
OG0000061	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS	LOC6542105|XP_001968978.2|DERE
OG0000062	LOC108606274|XP_017851741.1|DBUS	LOC6549684|XP_001977426.1|DERE
OG0000062	LOC108607908|XP_017854511.1|DBUS	LOC6549489|XP_001974263.1|DERE, LOC6549488|XP_001974262.1|DERE
OG0000063	LOC108598139|XP_033149614.1|DBUS	LOC6546128|XP_001972262.1|DERE
OG0000063	LOC108598875|XP_017841124.1|DBUS	LOC6546125|XP_001972259.1|DERE
OG0000063	LOC108598617|XP_017840805.2|DBUS, LOC108598825|XP_017841064.2|DBUS	LOC6546126|XP_026832754.1|DERE, LOC6546127|XP_001972261.2|DERE
OG0000065	LOC108602948|XP_017846787.1|DBUS	LOC6553678|XP_001980420.1|DERE
OG0000065	LOC108604232|XP_017849089.1|DBUS, LOC108597099|XP_017838955.1|DBUS	LOC6542088|XP_001969217.1|DERE, LOC6553677|XP_026832116.1|DERE, LOC6552530|XP_001979844.1|DERE, LOC6552533|XP_001979847.1|DERE, LOC6552532|XP_001979846.1|DERE
OG0000066	LOC108605823|XP_017851118.1|DBUS	LOC6553068|XP_026839624.1|DERE, LOC6554272|XP_001981468.2|DERE
OG0000066	LOC108596039|XP_017836905.1|DBUS	LOC6548358|XP_001973961.1|DERE
OG0000066	LOC108602400|XP_017846000.1|DBUS	LOC6553030|XP_001980092.1|DERE
OG0000066	LOC108606855|XP_017852841.1|DBUS	LOC6551730|XP_001977216.1|DERE
OG0000066	LOC108606023|XP_017851338.1|DBUS	LOC6547937|XP_026836122.1|DERE
OG0000067	LOC108603517|XP_017847897.1|DBUS	LOC6553482|XP_001979359.1|DERE
OG0000067	LOC108598960|XP_017841219.2|DBUS	LOC6544666|XP_001972003.3|DERE
