Orthogroup	DBUS.longest_only	DBIA.longest_only
OG0000009	LOC108601444|XP_017844830.1|DBUS	LOC108031027|XP_016959717.1|DBIA
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC108023117|XP_016947872.1|DBIA
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC108024778|XP_016950383.1|DBIA
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC108035868|XP_016967106.1|DBIA, LOC108021910|XP_016946220.1|DBIA
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	LOC108022025|XP_016946391.1|DBIA
OG0000014	LOC117134671|XP_033148998.1|DBUS	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC108027769|XP_016954820.1|DBIA, LOC108027730|XP_016954771.1|DBIA
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC108028402|XP_016955706.1|DBIA
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC108031537|XP_016960562.1|DBIA
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC108024628|XP_016950157.1|DBIA
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC108034268|XP_016964616.1|DBIA, LOC108033875|XP_016964007.1|DBIA
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC108027666|XP_016954700.1|DBIA
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC108027081|XP_016953819.1|DBIA
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC108022678|XP_016947238.1|DBIA
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC108022247|XP_016946595.1|DBIA
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC108022243|XP_016946590.1|DBIA
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC108036897|XP_016968766.1|DBIA
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC108027148|XP_016953858.1|DBIA
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC108027143|XP_016953853.1|DBIA
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC108026627|XP_016953132.1|DBIA
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC108034270|XP_016964618.1|DBIA
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC108029512|XP_016957298.1|DBIA
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC108032654|XP_016962104.1|DBIA
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC108035881|XP_016967123.1|DBIA
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC108031286|XP_016960018.1|DBIA
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC108023610|XP_016948706.1|DBIA
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC108032680|XP_016962144.1|DBIA, LOC108032585|XP_016961981.1|DBIA
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC108033238|XP_016962991.1|DBIA, LOC108033489|XP_016963320.1|DBIA, LOC108034388|XP_016964759.1|DBIA, LOC108027702|XP_016954741.1|DBIA, LOC108032586|XP_016961983.1|DBIA
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC108027269|XP_016954133.1|DBIA, LOC108027231|XP_016954053.1|DBIA, LOC108027230|XP_016954052.1|DBIA, LOC108027165|XP_016953917.1|DBIA
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC108035889|XP_016967133.1|DBIA, LOC108033536|XP_016963370.1|DBIA, LOC108033501|XP_016963332.1|DBIA, LOC108030100|XP_016958275.1|DBIA, LOC108030101|XP_016958276.1|DBIA
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC108030098|XP_016958274.1|DBIA
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC108035237|XP_016966261.1|DBIA
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC108034999|XP_016965831.1|DBIA
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC108036755|XP_016968570.1|DBIA
OG0000035	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS	LOC108036884|XP_016968752.1|DBIA
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC108032009|XP_016961298.1|DBIA, LOC108030957|XP_016959646.1|DBIA, LOC108032010|XP_016961299.1|DBIA
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC108030746|XP_016959281.1|DBIA
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC108030931|XP_016959614.1|DBIA
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC108027177|XP_016953954.1|DBIA
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC108025609|XP_016951633.1|DBIA
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC108025590|XP_016951608.1|DBIA
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC108024821|XP_016950440.1|DBIA
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC108025485|XP_016951488.1|DBIA
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC108029979|XP_016957976.1|DBIA, LOC108029981|XP_016957978.1|DBIA, LOC108029869|XP_016957848.1|DBIA, LOC108029870|XP_016957849.1|DBIA, LOC108029978|XP_016957975.1|DBIA, LOC108029980|XP_016957977.1|DBIA
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC108029982|XP_016957980.1|DBIA
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC108024406|XP_016949807.1|DBIA
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC108026455|XP_016952884.1|DBIA
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC108028610|XP_016956020.1|DBIA
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC108028181|XP_016955331.1|DBIA
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC108028143|XP_016955289.1|DBIA
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC108024100|XP_016949365.1|DBIA, LOC108024103|XP_016949370.1|DBIA
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC108024088|XP_016949352.1|DBIA, LOC108024336|XP_016949726.1|DBIA, LOC108024337|XP_016949728.1|DBIA, LOC108024872|XP_016950506.1|DBIA, LOC108024879|XP_016950512.1|DBIA, LOC108029852|XP_016957830.1|DBIA
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC108036240|XP_016967738.1|DBIA
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC108036255|XP_016967753.1|DBIA
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC108029392|XP_016957110.1|DBIA
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC108035707|XP_016966919.1|DBIA
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC108029377|XP_016957093.1|DBIA
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC108035016|XP_016965849.1|DBIA
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC108024404|XP_016949805.1|DBIA
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC108024363|XP_016949755.1|DBIA
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC108024349|XP_016949740.1|DBIA
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC108024840|XP_016950465.1|DBIA
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC108024876|XP_016950510.1|DBIA
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC108030724|XP_016959254.1|DBIA
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC108030723|XP_016959253.1|DBIA
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC108031259|XP_016959986.1|DBIA
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC108031167|XP_016959876.1|DBIA
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC108031055|XP_016959745.1|DBIA, LOC108031066|XP_016959760.1|DBIA
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC108031139|XP_016959843.1|DBIA, LOC108024786|XP_016950390.1|DBIA, LOC108031304|XP_016960037.1|DBIA, LOC108031177|XP_016959886.1|DBIA, LOC108031170|XP_016959879.1|DBIA
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC108029994|XP_016957997.1|DBIA
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC108029937|XP_016957921.1|DBIA
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC108029369|XP_016957086.1|DBIA
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC108029362|XP_016957079.1|DBIA
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC108029361|XP_016957078.1|DBIA
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC108029360|XP_016957077.1|DBIA
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC108029370|XP_016957087.1|DBIA
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC108026311|XP_016952687.1|DBIA
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC108026084|XP_016952272.1|DBIA, LOC108026092|XP_016952281.1|DBIA
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC108025121|XP_016950876.1|DBIA
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC108025100|XP_016950852.1|DBIA
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC108031456|XP_016960380.1|DBIA
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC108031455|XP_016960379.1|DBIA, LOC108031454|XP_016960378.1|DBIA, LOC108031452|XP_016960376.1|DBIA
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC108031088|XP_016959782.1|DBIA, LOC108031982|XP_016961266.1|DBIA
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC108036205|XP_016967686.1|DBIA, LOC108032411|XP_016961720.1|DBIA, LOC108032495|XP_016961804.1|DBIA, LOC108036206|XP_016967687.1|DBIA
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC108033435|XP_016963248.1|DBIA
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC108029081|XP_016956700.1|DBIA
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC108025316|XP_016951215.1|DBIA, LOC108025317|XP_016951216.1|DBIA
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC108025519|XP_016951529.1|DBIA
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC108025314|XP_016951213.1|DBIA
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC108031902|XP_016961196.1|DBIA
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC108033390|XP_016963198.1|DBIA
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC108023813|XP_016948948.1|DBIA
