Orthogroup	DBUS.longest_only	DSER.longest_only
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC110184728|XP_020809015.1|DSER, LOC110184729|XP_020809016.1|DSER, LOC110184693|XP_020808964.1|DSER, LOC110184736|XP_020809022.1|DSER, LOC110184730|XP_020809017.1|DSER
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC110190669|XP_020816933.1|DSER, LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC108601444|XP_017844830.1|DBUS	LOC110186309|XP_020811090.1|DSER
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC110178269|XP_020800994.1|DSER
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC110182144|XP_020805814.1|DSER, LOC110182164|XP_020805826.1|DSER, LOC110182441|XP_020806135.1|DSER
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC110182421|XP_020806117.1|DSER, LOC110180707|XP_020804047.1|DSER, LOC110180709|XP_020804049.1|DSER, LOC110181329|XP_020804707.1|DSER, LOC110182137|XP_020805806.1|DSER, LOC110180684|XP_020804028.1|DSER, LOC110180662|XP_020804012.1|DSER, LOC110183810|XP_020807821.1|DSER
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC110181698|XP_020805203.1|DSER, LOC110180096|XP_020803382.1|DSER, LOC110181688|XP_020805193.1|DSER, LOC110176319|XP_020798300.1|DSER
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC110178311|XP_020801063.1|DSER, LOC110178377|XP_020801172.1|DSER, LOC110178312|XP_020801065.1|DSER, LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC110178292|XP_020801024.1|DSER, LOC110178324|XP_020801093.1|DSER
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC110188838|XP_020814394.1|DSER
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC110188074|XP_020813284.1|DSER
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC110191200|XP_020817626.1|DSER, LOC110191337|XP_020817840.1|DSER
OG0000015	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS	LOC110188001|XP_020813183.1|DSER, LOC110188000|XP_020813182.1|DSER
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC110185112|XP_020809466.1|DSER
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC110182974|XP_020806826.1|DSER
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC110186803|XP_020811744.1|DSER
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC110181494|XP_020804920.1|DSER
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC110189526|XP_020815315.1|DSER
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC110191952|XP_020818633.1|DSER
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC110179844|XP_020803110.1|DSER
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC110189651|XP_020815456.1|DSER
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC110177433|XP_020799815.1|DSER, LOC110177434|XP_020799816.1|DSER
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC110178450|XP_020801244.1|DSER, LOC110178456|XP_020801250.1|DSER
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC110189689|XP_020815522.1|DSER
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC110183096|XP_020806947.1|DSER, LOC110183098|XP_020806949.1|DSER, LOC110183097|XP_020806948.1|DSER
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC110184702|XP_020808977.1|DSER
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC110184746|XP_020809033.1|DSER
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC110184752|XP_020809041.1|DSER
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC110186753|XP_020811674.1|DSER
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC110186746|XP_020811668.1|DSER
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC110186754|XP_020811675.1|DSER
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC110186749|XP_020811671.1|DSER, LOC110186750|XP_020811672.1|DSER
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC110186419|XP_020811254.1|DSER
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC110179314|XP_020802461.1|DSER
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC110178058|XP_020800723.1|DSER, LOC110183820|XP_020807830.1|DSER
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC110188252|XP_020813584.1|DSER
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC110186984|XP_020811998.1|DSER
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC110187270|XP_020812316.1|DSER, LOC110183751|XP_020807766.1|DSER
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC110180622|XP_020803965.1|DSER
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC110177674|XP_020800156.1|DSER
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC110177755|XP_020800276.1|DSER
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC110177907|XP_020800536.1|DSER
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC110181842|XP_020805408.1|DSER
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC110184678|XP_020808951.1|DSER
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC110189278|XP_020814959.1|DSER
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC110176354|XP_020798342.1|DSER
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC110178666|XP_020801520.1|DSER, LOC110178667|XP_020801521.1|DSER, LOC110178668|XP_020801523.1|DSER, LOC110178669|XP_020801524.1|DSER, LOC110178663|XP_020801518.1|DSER, LOC110178665|XP_020801519.1|DSER
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC110188311|XP_020813678.1|DSER
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC110188309|XP_020813677.1|DSER, LOC110188457|XP_020813846.1|DSER
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC110180829|XP_020804169.1|DSER
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC110188308|XP_020813675.1|DSER, LOC110188456|XP_020813844.1|DSER
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC110188454|XP_020813842.1|DSER
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC110188692|XP_020814155.1|DSER
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC110188691|XP_020814154.1|DSER
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC110188690|XP_020814152.1|DSER
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC110179365|XP_020802539.1|DSER
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC110185697|XP_020810324.1|DSER
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC110180569|XP_020803926.1|DSER
OG0000025	LOC108607483|XP_017853815.1|DBUS	LOC110182356|XP_020806054.1|DSER
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC110176041|XP_020797911.1|DSER
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC110182689|XP_020806441.1|DSER
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC110179505|XP_020802740.1|DSER, LOC110189572|XP_020815365.1|DSER
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC110188271|XP_020813620.1|DSER
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC110176950|XP_020799111.1|DSER
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC110176976|XP_020799142.1|DSER
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC110176929|XP_020799084.1|DSER
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS	LOC110190400|XP_020816511.1|DSER, LOC110190401|XP_020816513.1|DSER, LOC110190052|XP_020816017.1|DSER
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC110190608|XP_020816860.1|DSER
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC110185765|XP_020810430.1|DSER
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC110178924|XP_020801869.1|DSER
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC110183999|XP_020808015.1|DSER
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC110184885|XP_020809189.1|DSER
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC110178494|XP_020801301.1|DSER, LOC110178495|XP_020801302.1|DSER
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC110180192|XP_020803508.1|DSER
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC110185921|XP_020810593.1|DSER
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC110185929|XP_020810602.1|DSER
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC110183330|XP_020807237.1|DSER
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC110191017|XP_020817393.1|DSER
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC110189708|XP_020815547.1|DSER, LOC110190954|XP_020817297.1|DSER, LOC110188628|XP_020814064.1|DSER
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC110190425|XP_020816566.1|DSER, LOC110191021|XP_020817396.1|DSER, LOC110179845|XP_020803112.1|DSER, LOC110190965|XP_020817315.1|DSER, LOC110191414|XP_020817930.1|DSER, LOC110190900|XP_020817217.1|DSER, LOC110188663|XP_020814116.1|DSER, LOC110191408|XP_020817925.1|DSER, LOC110191413|XP_020817929.1|DSER
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC110189687|XP_020815520.1|DSER, LOC110189316|XP_020815019.1|DSER, LOC110189317|XP_020815020.1|DSER
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC110189686|XP_020815519.1|DSER
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC110184859|XP_020809159.1|DSER
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC110184879|XP_020809185.1|DSER
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC110184890|XP_020809195.1|DSER
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC110185768|XP_020810429.1|DSER
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC110188341|XP_020813708.1|DSER
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC110191887|XP_020818531.1|DSER
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC110187659|XP_020812737.1|DSER
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC110186335|XP_020811144.1|DSER
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC110188328|XP_020813694.1|DSER, LOC110188288|XP_020813646.1|DSER
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC110187819|XP_020812959.1|DSER, LOC110190399|XP_020816510.1|DSER
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC110189906|XP_020815830.1|DSER
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC110181782|XP_020805320.1|DSER
OG0000039	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS	LOC110182039|XP_020805628.1|DSER
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC110181937|XP_020805533.1|DSER
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC110177295|XP_020799616.1|DSER, LOC110190225|XP_020816248.1|DSER
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC110190236|XP_020816258.1|DSER
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC110177298|XP_020799618.1|DSER, LOC110177453|XP_020799846.1|DSER, LOC110177296|XP_020799617.1|DSER
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC110177417|XP_020799793.1|DSER
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC110186252|XP_020810992.1|DSER
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC110186567|XP_020811434.1|DSER, LOC110186639|XP_020811558.1|DSER, LOC110186484|XP_020811330.1|DSER, LOC110186805|XP_020811746.1|DSER, LOC110186801|XP_020811741.1|DSER, LOC110186551|XP_020811415.1|DSER, LOC110186535|XP_020811395.1|DSER, LOC110186667|XP_020811591.1|DSER
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC110191593|XP_020818136.1|DSER, LOC110191603|XP_020818147.1|DSER, LOC110191604|XP_020818149.1|DSER, LOC110191595|XP_020818140.1|DSER, LOC110191594|XP_020818138.1|DSER, LOC110191596|XP_020818141.1|DSER, LOC110191698|XP_020818273.1|DSER, LOC110191696|XP_020818271.1|DSER, LOC110191597|XP_020818142.1|DSER
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC110191697|XP_020818272.1|DSER, LOC110191695|XP_020818269.1|DSER
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC110187778|XP_020812905.1|DSER, LOC110187703|XP_020812796.1|DSER, LOC110187702|XP_020812795.1|DSER
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC110187858|XP_020813002.1|DSER, LOC110191369|XP_020817880.1|DSER, LOC110187786|XP_020812917.1|DSER
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC110186554|XP_020811416.1|DSER, LOC110186305|XP_020811085.1|DSER
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC110186559|XP_020811423.1|DSER, LOC110186558|XP_020811422.1|DSER, LOC110186306|XP_020811086.1|DSER, LOC110186581|XP_020811453.1|DSER
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC110178672|XP_020801529.1|DSER
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC110178605|XP_020801449.1|DSER, LOC110178606|XP_020801450.1|DSER
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC110186854|XP_020811804.1|DSER, LOC110176386|XP_020798377.1|DSER, LOC110186862|XP_020811816.1|DSER
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC110187537|XP_020812593.1|DSER
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC110180077|XP_020803358.1|DSER, LOC110180079|XP_020803360.1|DSER
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC110180089|XP_020803371.1|DSER, LOC110180088|XP_020803370.1|DSER, LOC110185913|XP_020810588.1|DSER, LOC110185924|XP_020810599.1|DSER, LOC110184743|XP_020809034.1|DSER, LOC110184620|XP_020808877.1|DSER, LOC110184815|XP_020809118.1|DSER
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC110180463|XP_020803800.1|DSER
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC110176287|XP_020798269.1|DSER
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC110189583|XP_020815375.1|DSER
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC110184762|XP_020809052.1|DSER
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC110189698|XP_020815532.1|DSER
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC110190450|XP_020816610.1|DSER, LOC110190451|XP_020816611.1|DSER
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC110190448|XP_020816608.1|DSER, LOC110190459|XP_020816619.1|DSER
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC110190447|XP_020816607.1|DSER
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC110190454|XP_020816613.1|DSER
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC110188535|XP_020813941.1|DSER
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC110188465|XP_020813853.1|DSER
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC110188330|XP_020813697.1|DSER
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC110188331|XP_020813698.1|DSER
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC110188656|XP_020814093.1|DSER
OG0000050	LOC108598028|XP_017840131.1|DBUS	LOC110190034|XP_020815995.1|DSER
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC110190392|XP_020816504.1|DSER
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC110190029|XP_020815991.1|DSER
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC110187927|XP_020813097.1|DSER
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC110186721|XP_020811651.1|DSER
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC110176579|XP_020798652.1|DSER
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC110191159|XP_020817576.1|DSER, LOC110185541|XP_020810108.1|DSER, LOC110188577|XP_020814000.1|DSER, LOC110188482|XP_020813871.1|DSER, LOC110188395|XP_020813776.1|DSER
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC110178467|XP_020801266.1|DSER
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC110178444|XP_020801237.1|DSER
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC110176132|XP_020798030.1|DSER
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC110176120|XP_020798020.1|DSER
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC110176110|XP_020798009.1|DSER
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC110176101|XP_020798000.1|DSER
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC110176153|XP_020798053.1|DSER
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC110191806|XP_020818417.1|DSER
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC110191860|XP_020818499.1|DSER
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC110186692|XP_020811619.1|DSER
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC110191245|XP_020817684.1|DSER
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC110191006|XP_020817383.1|DSER, LOC110191004|XP_020817381.1|DSER, LOC110191023|XP_020817399.1|DSER, LOC110191359|XP_020817866.1|DSER
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC110185667|XP_020810288.1|DSER, LOC110183409|XP_020807348.1|DSER, LOC110185666|XP_020810287.1|DSER, LOC110183419|XP_020807360.1|DSER
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC110185668|XP_020810289.1|DSER
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC110182841|XP_020806632.1|DSER
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC110186820|XP_020811767.1|DSER, LOC110186812|XP_020811757.1|DSER
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC110186800|XP_020811738.1|DSER
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC110186808|XP_020811749.1|DSER
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC110178856|XP_020801778.1|DSER
