Orthogroup	DBUS.longest_only	AAEG.longest_only
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC108603000|XP_017846884.1|DBUS, LOC108596111|XP_017837026.1|DBUS	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS, LOC108601284|XP_017844673.1|DBUS	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108604342|XP_017849258.1|DBUS, LOC108601560|XP_017844947.1|DBUS, LOC108601249|XP_017844637.1|DBUS, LOC108594958|XP_017835581.1|DBUS	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108607439|XP_017853757.2|DBUS, LOC108603823|XP_017848442.1|DBUS, LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS, LOC108607440|XP_017853760.2|DBUS	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108602127|XP_017845643.1|DBUS, LOC108606823|XP_017852795.1|DBUS	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC117134624|XP_033150075.1|DBUS, LOC108601632|XP_017845020.1|DBUS, LOC108601651|XP_017845040.1|DBUS, LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS, LOC108601245|XP_033150074.1|DBUS, LOC108602727|XP_017846368.1|DBUS, LOC108602726|XP_017846367.1|DBUS, LOC117134644|XP_033150071.1|DBUS	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC108594640|XP_017835273.1|DBUS, LOC108594639|XP_033150985.1|DBUS, LOC108594980|XP_017835602.1|DBUS, LOC117135103|XP_033151001.1|DBUS, LOC108595136|XP_017835788.1|DBUS, LOC108596281|XP_017837347.1|DBUS, LOC108594612|XP_017835244.1|DBUS, LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS, LOC108595405|XP_017836123.1|DBUS, LOC108595394|XP_017836112.1|DBUS, LOC108597622|XP_017839754.1|DBUS	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC108607483|XP_017853815.1|DBUS	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC110679737|XP_021711158.1|AAEG, LOC110678352|XP_021706806.1|AAEG, LOC110679747|XP_021711169.1|AAEG, LOC110679741|XP_021711162.1|AAEG, LOC110678304|XP_021706667.1|AAEG, LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC108600961|XP_017844639.1|DBUS, LOC108608302|XP_017855118.1|DBUS, LOC108600155|XP_017843044.1|DBUS	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG
OG0000032	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC5565959|XP_001650301.1|AAEG
OG0000036	LOC108607107|XP_017853223.1|DBUS	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
OG0000041	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC108602073|XP_017845582.1|DBUS, LOC108601821|XP_017845247.1|DBUS	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS, LOC108598310|XP_017840415.1|DBUS, LOC108598311|XP_017840416.1|DBUS	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS, LOC108599709|XP_017842195.1|DBUS	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC108602122|XP_017845638.1|DBUS, LOC108603519|XP_017847901.1|DBUS, LOC108601326|XP_017844713.1|DBUS	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC108601235|XP_017844623.1|DBUS, LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS, LOC108602080|XP_017845593.1|DBUS, LOC108598485|XP_017840632.1|DBUS	LOC5574529|XP_001655182.1|AAEG
OG0000057	LOC117134803|XP_033149641.1|DBUS	LOC110674257|XP_021694215.1|AAEG
OG0000058	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC108605486|XP_017850670.1|DBUS, LOC108605501|XP_017850738.1|DBUS	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC108602145|XP_017845670.1|DBUS, LOC108594753|XP_017835384.1|DBUS, LOC108594775|XP_017835406.1|DBUS, LOC108599629|XP_017842090.1|DBUS, LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000067	LOC108603517|XP_017847897.1|DBUS, LOC108598960|XP_017841219.2|DBUS	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC108596347|XP_017837491.1|DBUS, LOC108600356|XP_017843371.2|DBUS	LOC5577759|XP_021704690.1|AAEG
OG0000067	LOC108598075|XP_017840177.1|DBUS	LOC5571448|XP_021695477.1|AAEG
OG0000068	LOC108596576|XP_017837985.1|DBUS, LOC108604183|XP_017849015.1|DBUS, LOC108604996|XP_017850051.2|DBUS	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000070	LOC108601128|XP_017844545.1|DBUS, LOC108603861|XP_033149223.1|DBUS, LOC108606170|XP_017851511.2|DBUS, LOC108600264|XP_017843206.1|DBUS, LOC108601682|XP_017845084.1|DBUS	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC108600865|XP_017844159.2|DBUS	LOC5575314|XP_001655688.2|AAEG
OG0000071	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC108595719|XP_017836490.1|DBUS, LOC108594812|XP_017835440.1|DBUS, LOC108595671|XP_017836439.1|DBUS	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC108596382|XP_017837542.1|DBUS	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC108606257|XP_017851695.1|DBUS	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC108602957|XP_017846798.1|DBUS	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC108600842|XP_033149439.1|DBUS, LOC108600601|XP_017843769.2|DBUS	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC108600032|XP_017842842.1|DBUS	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC108607277|XP_017853461.1|DBUS	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC108596705|XP_017838216.1|DBUS	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC108603705|XP_017848234.1|DBUS	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC108597238|XP_017839176.1|DBUS	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC108603566|XP_017847972.1|DBUS	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC108595297|XP_017835998.1|DBUS, LOC108595427|XP_017836144.1|DBUS, LOC108595437|XP_017836156.1|DBUS, LOC108598842|XP_017841085.1|DBUS, LOC108602138|XP_017845655.1|DBUS, LOC108607118|XP_017853240.1|DBUS, LOC108607224|XP_017853386.1|DBUS	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC108597403|XP_017839438.1|DBUS, LOC108596751|XP_017838316.1|DBUS	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC108594984|XP_017835606.1|DBUS, LOC108601638|XP_017845027.1|DBUS, LOC108602837|XP_017846578.1|DBUS	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC108598442|XP_017840564.2|DBUS, LOC108608236|XP_017855013.1|DBUS	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC108596367|XP_017837520.1|DBUS	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC108596833|XP_017838444.1|DBUS	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC108597194|XP_017839111.1|DBUS	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC108595905|XP_017836685.1|DBUS, LOC108595913|XP_033149146.1|DBUS	LOC5575040|XP_001661772.2|AAEG
OG0000087	LOC108602830|XP_017846606.2|DBUS	LOC5565379|XP_001649705.1|AAEG, LOC5565357|XP_001649701.1|AAEG, LOC5565382|XP_001649702.1|AAEG, LOC5565390|XP_001649703.1|AAEG, LOC5565391|XP_001649704.1|AAEG, LOC5565356|XP_001649700.1|AAEG, LOC5565381|XP_001649699.1|AAEG, LOC5565397|XP_001649698.1|AAEG, LOC5565363|XP_001649697.1|AAEG
OG0000087	LOC108594397|XP_017835055.2|DBUS, LOC108594213|XP_017834809.1|DBUS	LOC5565393|XP_001649714.1|AAEG, LOC5565362|XP_001649713.1|AAEG
OG0000088	LOC108596419|XP_017837625.1|DBUS	LOC5573732|XP_001654757.1|AAEG
OG0000089	LOC108603673|XP_017848160.1|DBUS	LOC5577489|XP_001663407.1|AAEG
OG0000089	LOC108602744|XP_033149214.1|DBUS	LOC5575826|XP_021694449.1|AAEG
OG0000089	LOC108599916|XP_017842604.1|DBUS	LOC110676106|XP_021698339.1|AAEG, LOC5564238|XP_021698338.1|AAEG
OG0000090	LOC108596533|XP_017837911.1|DBUS, LOC108595000|XP_017835621.1|DBUS, LOC108598990|XP_017841255.1|DBUS, LOC108599322|XP_017841614.1|DBUS, LOC108598575|XP_017840751.1|DBUS	LOC5570363|XP_001659077.2|AAEG, LOC5570364|XP_001659080.1|AAEG, LOC5570370|XP_021706827.1|AAEG
OG0000091	LOC108603501|XP_017847855.1|DBUS	LOC5578943|XP_021693136.1|AAEG
OG0000091	LOC108594365|XP_017835015.1|DBUS, LOC108603403|XP_017847679.1|DBUS, LOC108603402|XP_017847678.1|DBUS	LOC5579216|XP_021706364.1|AAEG
OG0000094	LOC108598080|XP_017840183.1|DBUS, LOC108598081|XP_017840184.1|DBUS, LOC108598079|XP_017840182.1|DBUS, LOC108601416|XP_017844804.1|DBUS	LOC5564844|XP_001649199.1|AAEG, LOC5564847|XP_001649198.1|AAEG, LOC5564843|XP_001649200.2|AAEG, LOC110675627|XP_021696812.1|AAEG, LOC23687714|XP_011493336.1|AAEG, LOC5568023|XP_001657845.3|AAEG, LOC23687647|XP_011493754.2|AAEG, LOC110681164|XP_021712629.1|AAEG, LOC5576885|XP_001662985.3|AAEG, LOC5564832|XP_021703017.1|AAEG
OG0000099	LOC108606666|XP_017852484.1|DBUS	LOC5569661|XP_001652925.2|AAEG, LOC5569664|XP_001652928.1|AAEG, LOC5569665|XP_021705200.1|AAEG, LOC5569662|XP_001652926.3|AAEG, LOC5569663|XP_001652927.1|AAEG
OG0000101	LOC108600820|XP_017844099.2|DBUS, LOC108597898|XP_017840006.1|DBUS, LOC108597897|XP_017840005.1|DBUS, LOC117134769|XP_033149322.1|DBUS, LOC108597899|XP_017840007.1|DBUS, LOC117134798|XP_033149601.1|DBUS	LOC5567622|XP_021696506.1|AAEG
OG0000102	LOC108596624|XP_017838058.1|DBUS	LOC5575366|XP_001661890.1|AAEG, LOC5575359|XP_001661891.2|AAEG, LOC5574118|XP_001661190.2|AAEG, LOC5566259|XP_001650639.2|AAEG, LOC5566258|XP_001650638.2|AAEG, LOC5578062|XP_021699381.1|AAEG, LOC5578064|XP_001663685.2|AAEG, LOC5578063|XP_001663686.2|AAEG
