Orthogroup	DBUS.longest_only	DSUP.longest_only
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC119557630|XP_037726388.1|DSUP
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC119559471|XP_037728511.1|DSUP
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC119561925|XP_037731293.1|DSUP
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC119555565|XP_037722943.1|DSUP
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC119562617|XP_037731769.1|DSUP, LOC119562618|XP_037731771.1|DSUP
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC119552736|XP_037718429.1|DSUP
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC119550337|XP_037714884.1|DSUP, LOC119558631|XP_037727964.1|DSUP
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC119562595|XP_037731744.1|DSUP
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC119546290|XP_037708399.1|DSUP
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC119554781|XP_037721753.1|DSUP
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC119554782|XP_037721754.1|DSUP
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC119554784|XP_037721757.1|DSUP
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC119545699|XP_037707379.1|DSUP
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC119553849|XP_037720426.1|DSUP
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC119545700|XP_037707380.1|DSUP
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC119545696|XP_037707377.1|DSUP, LOC119545697|XP_037707378.1|DSUP
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC119551011|XP_037715994.1|DSUP
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC119549986|XP_037714317.1|DSUP
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC119546352|XP_037708508.1|DSUP, LOC119548418|XP_037711587.1|DSUP, LOC119560332|XP_037729650.1|DSUP, LOC119546657|XP_037709040.1|DSUP, LOC119546786|XP_037709271.1|DSUP, LOC119550100|XP_037714508.1|DSUP, LOC119546737|XP_037709159.1|DSUP
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC119561092|XP_037730913.1|DSUP
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC119556769|XP_037725126.1|DSUP
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC119547825|XP_037710775.1|DSUP, LOC119546570|XP_037708891.1|DSUP
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC119548675|XP_037712046.1|DSUP
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC119549002|XP_037712540.1|DSUP
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC119550684|XP_037715475.1|DSUP
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC119550497|XP_037715116.1|DSUP
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC119556017|XP_037723717.1|DSUP
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC119552371|XP_037718001.1|DSUP
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC119555956|XP_037723602.1|DSUP
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC119550370|XP_037714944.1|DSUP
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC119555582|XP_037722984.1|DSUP, LOC119555585|XP_037722986.1|DSUP, LOC119555586|XP_037722987.1|DSUP
OG0000023	LOC117134624|XP_033150075.1|DBUS	LOC119559780|XP_037728787.1|DSUP
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC119559792|XP_037728800.1|DSUP, LOC119559788|XP_037728797.1|DSUP
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC119559786|XP_037728794.1|DSUP
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC119559783|XP_037728790.1|DSUP
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC119550999|XP_037715976.1|DSUP
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC119559784|XP_037728792.1|DSUP
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC119559779|XP_037728786.1|DSUP
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC119559782|XP_037728789.1|DSUP
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC119559778|XP_037728785.1|DSUP
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC119559785|XP_037728793.1|DSUP
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC119551121|XP_037716233.1|DSUP
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC119548131|XP_037711156.1|DSUP, LOC119548130|XP_037711155.1|DSUP, LOC119546161|XP_037708208.1|DSUP, LOC119548129|XP_037711154.1|DSUP
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC119551919|XP_037717477.1|DSUP
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC119556135|XP_037723954.1|DSUP
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC119546077|XP_037708082.1|DSUP
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC119557908|XP_037726842.1|DSUP
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC119547110|XP_037709748.1|DSUP
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC119557301|XP_037725939.1|DSUP, LOC119561040|XP_037730797.1|DSUP
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC119560123|XP_037729401.1|DSUP
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC119548404|XP_037711568.1|DSUP
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC119548409|XP_037711576.1|DSUP
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC119548453|XP_037711645.1|DSUP
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS	LOC119555148|XP_037722304.1|DSUP
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC119555138|XP_037722293.1|DSUP
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC119554646|XP_037721574.1|DSUP
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC119548587|XP_037711848.1|DSUP, LOC119560689|XP_037730195.1|DSUP
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC119554065|XP_037720734.1|DSUP
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC119547225|XP_037709914.1|DSUP
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC119546258|XP_037708345.1|DSUP, LOC119546257|XP_037708344.1|DSUP
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC119558624|XP_037727958.1|DSUP, LOC119549822|XP_037714028.1|DSUP, LOC119550805|XP_037715669.1|DSUP, LOC119558621|XP_037727957.1|DSUP
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC119557894|XP_037726826.1|DSUP
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC119546941|XP_037709506.1|DSUP, LOC119546197|XP_037708251.1|DSUP, LOC119548227|XP_037711293.1|DSUP
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC119547774|XP_037710713.1|DSUP, LOC119546228|XP_037708296.1|DSUP, LOC119552950|XP_037718858.1|DSUP, LOC119547137|XP_037709777.1|DSUP, LOC119548228|XP_037711295.1|DSUP
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC119548568|XP_037711813.1|DSUP, LOC119546475|XP_037708689.1|DSUP, LOC119546474|XP_037708687.1|DSUP
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC119559763|XP_037728765.1|DSUP
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC119559968|XP_037729132.1|DSUP, LOC119559770|XP_037728775.1|DSUP, LOC119559771|XP_037728776.1|DSUP, LOC119560219|XP_037729506.1|DSUP
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC119560574|XP_037730023.1|DSUP, LOC119559967|XP_037729131.1|DSUP
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC119554734|XP_037721683.1|DSUP, LOC119551151|XP_037716271.1|DSUP, LOC119546299|XP_037708415.1|DSUP, LOC119546423|XP_037708616.1|DSUP, LOC119547670|XP_037710556.1|DSUP, LOC119546302|XP_037708421.1|DSUP, LOC119551206|XP_037716367.1|DSUP, LOC119551207|XP_037716368.1|DSUP
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC119551205|XP_037716366.1|DSUP
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC119548454|XP_037711646.1|DSUP
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC119547534|XP_037710356.1|DSUP
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC119546951|XP_037709518.1|DSUP
OG0000035	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS	LOC119561804|XP_037731211.1|DSUP, LOC119551694|XP_037717091.1|DSUP, LOC119553283|XP_037719521.1|DSUP
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC119560416|XP_037729780.1|DSUP
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC119555899|XP_037723507.1|DSUP
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC119560377|XP_037729713.1|DSUP
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC119545810|XP_037707622.1|DSUP
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC119560063|XP_037729297.1|DSUP, LOC119560052|XP_037729285.1|DSUP, LOC119559867|XP_037728904.1|DSUP
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC119555136|XP_037722291.1|DSUP
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC119555124|XP_037722276.1|DSUP
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC119560141|XP_037729421.1|DSUP
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC119556467|XP_037724643.1|DSUP
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC119555839|XP_037723395.1|DSUP
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC119556456|XP_037724634.1|DSUP, LOC119563112|XP_037732283.1|DSUP
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC119563113|XP_037732284.1|DSUP
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC119556472|XP_037724654.1|DSUP, LOC119556489|XP_037724679.1|DSUP, LOC119556482|XP_037724666.1|DSUP, LOC119555315|XP_037722571.1|DSUP
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC119552243|XP_037717993.1|DSUP
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC119546490|XP_037708720.1|DSUP
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC119554437|XP_037721279.1|DSUP, LOC119554447|XP_037721290.1|DSUP, LOC119562401|XP_037731528.1|DSUP, LOC119550675|XP_037715466.1|DSUP, LOC119550683|XP_037715478.1|DSUP
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC119551176|XP_037716303.1|DSUP, LOC119551178|XP_037716307.1|DSUP, LOC119551177|XP_037716304.1|DSUP, LOC119549542|XP_037713620.1|DSUP, LOC119549541|XP_037713619.1|DSUP, LOC119549540|XP_037713618.1|DSUP, LOC119549537|XP_037713608.1|DSUP
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC119551182|XP_037716311.1|DSUP
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC119563115|XP_037732286.1|DSUP
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC119556175|XP_037724028.1|DSUP, LOC119563048|XP_037732184.1|DSUP
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC119556257|XP_037724233.1|DSUP, LOC119556250|XP_037724220.1|DSUP, LOC119554418|XP_037721239.1|DSUP, LOC119556264|XP_037724244.1|DSUP
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC119558156|XP_037727329.1|DSUP
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC119555966|XP_037723621.1|DSUP, LOC119555955|XP_037723600.1|DSUP
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC119553763|XP_037720298.1|DSUP
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC119552534|XP_037718081.1|DSUP, LOC119554143|XP_037720848.1|DSUP
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC119554102|XP_037720779.1|DSUP
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC119553760|XP_037720293.1|DSUP
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC119555986|XP_037723641.1|DSUP, LOC119555989|XP_037723648.1|DSUP
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC119556096|XP_037723888.1|DSUP, LOC119556859|XP_037725261.1|DSUP, LOC119553613|XP_037720003.1|DSUP, LOC119549774|XP_037713961.1|DSUP, LOC119558359|XP_037727794.1|DSUP, LOC119556004|XP_037723685.1|DSUP
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC119550226|XP_037714721.1|DSUP
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC119550295|XP_037714817.1|DSUP
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC119559372|XP_037728340.1|DSUP
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC119553262|XP_037719480.1|DSUP
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC119559393|XP_037728384.1|DSUP
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC119553985|XP_037720620.1|DSUP, LOC119553987|XP_037720622.1|DSUP
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC119553986|XP_037720621.1|DSUP
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC119553984|XP_037720618.1|DSUP
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC119555323|XP_037722579.1|DSUP
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC119563293|XP_037732549.1|DSUP
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC119563399|XP_037732686.1|DSUP
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC119553498|XP_037719841.1|DSUP
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC119555370|XP_037722644.1|DSUP
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC119558111|XP_037727267.1|DSUP
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC119554992|XP_037722058.1|DSUP
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC119554440|XP_037721278.1|DSUP
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC119560029|XP_037729252.1|DSUP
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC119551943|XP_037717559.1|DSUP, LOC119546183|XP_037708239.1|DSUP, LOC119556804|XP_037725175.1|DSUP, LOC119556794|XP_037725162.1|DSUP
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC119560909|XP_037730537.1|DSUP, LOC119562894|XP_037731939.1|DSUP, LOC119560209|XP_037729495.1|DSUP, LOC119560185|XP_037729475.1|DSUP, LOC119560154|XP_037729437.1|DSUP
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC119549090|XP_037712749.1|DSUP
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC119549091|XP_037712751.1|DSUP
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC119549495|XP_037713527.1|DSUP
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC119551763|XP_037717217.1|DSUP
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC119551749|XP_037717203.1|DSUP
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC119551753|XP_037717206.1|DSUP
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC119556528|XP_037724737.1|DSUP
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC119563344|XP_037732619.1|DSUP, LOC119563343|XP_037732618.1|DSUP
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC119545658|XP_037707312.1|DSUP
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC119563020|XP_037732144.1|DSUP
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC119563022|XP_037732148.1|DSUP, LOC119563021|XP_037732147.1|DSUP
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC119556291|XP_037724281.1|DSUP, LOC119553956|XP_037720582.1|DSUP
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC119551503|XP_037716797.1|DSUP, LOC119546999|XP_037709593.1|DSUP, LOC119546998|XP_037709592.1|DSUP, LOC119548424|XP_037711591.1|DSUP, LOC119551928|XP_037717493.1|DSUP
