Orthogroup	DBUS.longest_only	CCAP.longest_only
OG0000012	LOC108595898|XP_017836676.1|DBUS	CCAP1982_LOCUS22581|CAD7014586.1|CCAP
OG0000012	LOC108595900|XP_017836679.1|DBUS	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC108596692|XP_017838201.1|DBUS	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC108603181|XP_017847228.1|DBUS	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC108599948|XP_017842685.1|DBUS	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC108603387|XP_017847647.1|DBUS	CCAP1982_LOCUS3120|CAD6994367.1|CCAP
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC117134671|XP_033148998.1|DBUS	CCAP1982_LOCUS11701|CAD7003239.1|CCAP
OG0000016	LOC108603000|XP_017846884.1|DBUS, LOC108596111|XP_017837026.1|DBUS	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC108603521|XP_017847904.1|DBUS	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC108596316|XP_017837414.1|DBUS	CCAP1982_LOCUS8417|CAD6999907.1|CCAP
OG0000016	LOC108601639|XP_017845028.2|DBUS	CCAP1982_LOCUS4923|CAD6996239.1|CCAP
OG0000016	LOC108599665|XP_017842156.1|DBUS	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000017	LOC108594623|XP_017835255.1|DBUS	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP
OG0000018	LOC108599199|XP_017841484.1|DBUS	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000018	LOC108597971|XP_017840076.1|DBUS	CCAP1982_LOCUS12546|CAD7004125.1|CCAP
OG0000018	LOC108599156|XP_017841431.1|DBUS	CCAP1982_LOCUS12550|CAD7004129.1|CCAP
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	CCAP1982_LOCUS12549|CAD7004128.1|CCAP, CCAP1982_LOCUS12547|CAD7004126.1|CCAP, CCAP1982_LOCUS12548|CAD7004127.1|CCAP
OG0000019	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP
OG0000019	LOC108601284|XP_017844673.1|DBUS	CCAP1982_LOCUS6466|CAD6997842.1|CCAP, CCAP1982_LOCUS6464|CAD6997840.1|CCAP, CCAP1982_LOCUS6465|CAD6997841.1|CCAP
OG0000020	LOC108604342|XP_017849258.1|DBUS	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC108607439|XP_017853757.2|DBUS	CCAP1982_LOCUS1002|CAD6992120.1|CCAP
OG0000020	LOC108603823|XP_017848442.1|DBUS	CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP
OG0000020	LOC108607440|XP_017853760.2|DBUS	CCAP1982_LOCUS999|CAD6992115.1|CCAP
OG0000022	LOC108595778|XP_017836559.1|DBUS	CCAP1982_LOCUS19689|CAD7011600.1|CCAP
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	CCAP1982_LOCUS20712|CAD7012626.1|CCAP, CCAP1982_LOCUS20711|CAD7012625.1|CCAP, CCAP1982_LOCUS20713|CAD7012627.1|CCAP, CCAP1982_LOCUS20710|CAD7012624.1|CCAP, CCAP1982_LOCUS20709|CAD7012623.1|CCAP
OG0000022	LOC108597711|XP_017839890.1|DBUS	CCAP1982_LOCUS19687|CAD7011598.1|CCAP, CCAP1982_LOCUS19688|CAD7011599.1|CCAP
OG0000023	LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS	CCAP1982_LOCUS4737|CAD6996031.1|CCAP
OG0000023	LOC108601245|XP_033150074.1|DBUS	CCAP1982_LOCUS4757|CAD6996050.1|CCAP, CCAP1982_LOCUS4749|CAD6996043.1|CCAP
OG0000023	LOC108602727|XP_017846368.1|DBUS	CCAP1982_LOCUS4752|CAD6996046.1|CCAP
OG0000023	LOC108602726|XP_017846367.1|DBUS	CCAP1982_LOCUS4751|CAD6996045.1|CCAP
OG0000023	LOC117134644|XP_033150071.1|DBUS	CCAP1982_LOCUS4754|CAD6996047.1|CCAP
OG0000024	LOC108594640|XP_017835273.1|DBUS	CCAP1982_LOCUS20678|CAD7012593.1|CCAP, CCAP1982_LOCUS20681|CAD7012596.1|CCAP
OG0000024	LOC108596281|XP_017837347.1|DBUS	CCAP1982_LOCUS20674|CAD7012589.1|CCAP, CCAP1982_LOCUS20677|CAD7012592.1|CCAP, CCAP1982_LOCUS20675|CAD7012590.1|CCAP
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS	CCAP1982_LOCUS20099|CAD7011988.1|CCAP, CCAP1982_LOCUS19694|CAD7011605.1|CCAP, CCAP1982_LOCUS19695|CAD7011606.1|CCAP, CCAP1982_LOCUS20098|CAD7011987.1|CCAP, CCAP1982_LOCUS19700|CAD7011611.1|CCAP, CCAP1982_LOCUS20101|CAD7011990.1|CCAP, CCAP1982_LOCUS20096|CAD7011985.1|CCAP
OG0000027	LOC108600961|XP_017844639.1|DBUS	CCAP1982_LOCUS8299|CAD6999776.1|CCAP
OG0000027	LOC108608302|XP_017855118.1|DBUS	CCAP1982_LOCUS8293|CAD6999770.1|CCAP
OG0000027	LOC108600155|XP_017843044.1|DBUS	CCAP1982_LOCUS8298|CAD6999775.1|CCAP, CCAP1982_LOCUS8294|CAD6999771.1|CCAP, CCAP1982_LOCUS8297|CAD6999774.1|CCAP, CCAP1982_LOCUS8296|CAD6999773.1|CCAP
OG0000028	LOC108599710|XP_017842196.1|DBUS	CCAP1982_LOCUS14876|CAD7006562.1|CCAP
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS	CCAP1982_LOCUS11976|CAD7003526.1|CCAP
OG0000028	LOC108598250|XP_017840354.1|DBUS	CCAP1982_LOCUS11984|CAD7003534.1|CCAP
OG0000028	LOC108597900|XP_017840008.2|DBUS	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC108608102|XP_033150830.1|DBUS	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS, LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC108596350|XP_017837498.1|DBUS	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC108604099|XP_017848870.1|DBUS	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000036	LOC108601814|XP_017845240.1|DBUS	CCAP1982_LOCUS1098|CAD6992228.1|CCAP, CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC108604642|XP_017849680.1|DBUS	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000036	LOC108607107|XP_017853223.1|DBUS	CCAP1982_LOCUS6228|CAD6997589.1|CCAP
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000037	LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS	CCAP1982_LOCUS2611|CAD6993814.1|CCAP, CCAP1982_LOCUS2612|CAD6993816.1|CCAP
OG0000038	LOC108598255|XP_017840359.1|DBUS	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC108602016|XP_033149810.1|DBUS	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC108602073|XP_017845582.1|DBUS	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC108601821|XP_017845247.1|DBUS	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000045	LOC108599876|XP_017842521.1|DBUS	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC108598310|XP_017840415.1|DBUS	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC108598311|XP_017840416.1|DBUS	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC108595112|XP_017835761.1|DBUS	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	CCAP1982_LOCUS14846|CAD7006532.1|CCAP, CCAP1982_LOCUS14847|CAD7006533.1|CCAP
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS	CCAP1982_LOCUS14853|CAD7006539.1|CCAP, CCAP1982_LOCUS14855|CAD7006541.1|CCAP, CCAP1982_LOCUS14857|CAD7006543.1|CCAP, CCAP1982_LOCUS14856|CAD7006542.1|CCAP, CCAP1982_LOCUS14858|CAD7006544.1|CCAP
OG0000048	LOC108599709|XP_017842195.1|DBUS	CCAP1982_LOCUS14852|CAD7006538.1|CCAP
OG0000049	LOC108604092|XP_017848863.1|DBUS	CCAP1982_LOCUS3089|CAD6994333.1|CCAP
OG0000049	LOC108602189|XP_017845724.1|DBUS	CCAP1982_LOCUS3087|CAD6994331.1|CCAP
OG0000049	LOC108602386|XP_017845985.1|DBUS	CCAP1982_LOCUS3086|CAD6994330.1|CCAP
OG0000049	LOC108601428|XP_017844815.1|DBUS	CCAP1982_LOCUS3090|CAD6994334.1|CCAP
OG0000050	LOC108598028|XP_017840131.1|DBUS, LOC108598030|XP_017840133.2|DBUS, LOC108598031|XP_017840135.1|DBUS	CCAP1982_LOCUS13740|CAD7005380.1|CCAP
OG0000051	LOC108602122|XP_017845638.1|DBUS	CCAP1982_LOCUS274|CAD6991345.1|CCAP
OG0000051	LOC108603519|XP_017847901.1|DBUS	CCAP1982_LOCUS4232|CAD6995519.1|CCAP, CCAP1982_LOCUS4234|CAD6995521.1|CCAP
OG0000051	LOC108601326|XP_017844713.1|DBUS	CCAP1982_LOCUS4223|CAD6995510.1|CCAP, CCAP1982_LOCUS170|CAD6991233.1|CCAP, CCAP1982_LOCUS4233|CAD6995520.1|CCAP
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS, LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS, LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	CCAP1982_LOCUS19453|CAD7011350.1|CCAP, CCAP1982_LOCUS12190|CAD7003754.1|CCAP, CCAP1982_LOCUS12192|CAD7003756.1|CCAP, CCAP1982_LOCUS12191|CAD7003755.1|CCAP
OG0000053	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS	CCAP1982_LOCUS20953|CAD7012854.1|CCAP
OG0000053	LOC108596363|XP_017837514.1|DBUS	CCAP1982_LOCUS20955|CAD7012856.1|CCAP
OG0000053	LOC108596359|XP_017837509.1|DBUS	CCAP1982_LOCUS20956|CAD7012857.1|CCAP
OG0000053	LOC108596165|XP_017837161.1|DBUS	CCAP1982_LOCUS20959|CAD7012860.1|CCAP, CCAP1982_LOCUS21332|CAD7013261.1|CCAP, CCAP1982_LOCUS20960|CAD7012861.1|CCAP
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	CCAP1982_LOCUS1028|CAD6992150.1|CCAP
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	CCAP1982_LOCUS1030|CAD6992152.1|CCAP, CCAP1982_LOCUS626|CAD6991713.1|CCAP
OG0000058	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS	CCAP1982_LOCUS13059|CAD7004664.1|CCAP, CCAP1982_LOCUS14675|CAD7006353.1|CCAP
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS, LOC108602589|XP_017846217.1|DBUS, LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	CCAP1982_LOCUS3622|CAD6994887.1|CCAP, CCAP1982_LOCUS3628|CAD6994893.1|CCAP, CCAP1982_LOCUS3630|CAD6994895.1|CCAP, CCAP1982_LOCUS3620|CAD6994885.1|CCAP, CCAP1982_LOCUS3626|CAD6994891.1|CCAP
OG0000060	LOC108604124|XP_017848902.1|DBUS	CCAP1982_LOCUS3311|CAD6994573.1|CCAP
OG0000061	LOC108602145|XP_017845670.1|DBUS	CCAP1982_LOCUS7588|CAD6999041.1|CCAP
OG0000061	LOC108594753|XP_017835384.1|DBUS	CCAP1982_LOCUS7592|CAD6999045.1|CCAP
OG0000061	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS	CCAP1982_LOCUS7589|CAD6999042.1|CCAP, CCAP1982_LOCUS7590|CAD6999043.1|CCAP
OG0000062	LOC108606274|XP_017851741.1|DBUS, LOC108607908|XP_017854511.1|DBUS	CCAP1982_LOCUS9178|CAD7000705.1|CCAP, CCAP1982_LOCUS2476|CAD6993670.1|CCAP, CCAP1982_LOCUS9173|CAD7000700.1|CCAP, CCAP1982_LOCUS9182|CAD7000709.1|CCAP, CCAP1982_LOCUS9181|CAD7000708.1|CCAP, CCAP1982_LOCUS9180|CAD7000707.1|CCAP
OG0000063	LOC108598139|XP_033149614.1|DBUS, LOC108598875|XP_017841124.1|DBUS, LOC108598617|XP_017840805.2|DBUS, LOC108598825|XP_017841064.2|DBUS	CCAP1982_LOCUS12099|CAD7003661.1|CCAP
OG0000065	LOC108602948|XP_017846787.1|DBUS, LOC108604232|XP_017849089.1|DBUS, LOC108597099|XP_017838955.1|DBUS	CCAP1982_LOCUS3818|CAD6995095.1|CCAP, CCAP1982_LOCUS3819|CAD6995096.1|CCAP, CCAP1982_LOCUS3788|CAD6995064.1|CCAP
OG0000067	LOC108603517|XP_017847897.1|DBUS	CCAP1982_LOCUS14065|CAD7005713.1|CCAP
OG0000067	LOC108598960|XP_017841219.2|DBUS	CCAP1982_LOCUS14066|CAD7005714.1|CCAP
OG0000067	LOC108596347|XP_017837491.1|DBUS	CCAP1982_LOCUS21530|CAD7013467.1|CCAP
OG0000067	LOC108600356|XP_017843371.2|DBUS	CCAP1982_LOCUS14064|CAD7005712.1|CCAP
OG0000069	LOC108597146|XP_017839029.1|DBUS, LOC108599348|XP_017841640.2|DBUS, LOC108608344|XP_017855176.1|DBUS	CCAP1982_LOCUS8182|CAD6999652.1|CCAP
OG0000071	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS	CCAP1982_LOCUS13882|CAD7005522.1|CCAP, CCAP1982_LOCUS13883|CAD7005523.1|CCAP
OG0000072	LOC108595719|XP_017836490.1|DBUS	CCAP1982_LOCUS22450|CAD7014454.1|CCAP
OG0000072	LOC108594812|XP_017835440.1|DBUS	CCAP1982_LOCUS22440|CAD7014444.1|CCAP
OG0000072	LOC108595671|XP_017836439.1|DBUS	CCAP1982_LOCUS22446|CAD7014450.1|CCAP
OG0000073	LOC108596382|XP_017837542.1|DBUS	CCAP1982_LOCUS19678|CAD7011589.1|CCAP
OG0000073	LOC108602957|XP_017846798.1|DBUS	CCAP1982_LOCUS2823|CAD6994046.1|CCAP
