Orthogroup	DBUS.longest_only	DMAU.longest_only
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC117135792|XP_033152175.1|DMAU
OG0000010	LOC108603408|XP_017847686.1|DBUS, LOC117134729|XP_033149263.1|DBUS	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC117136473|XP_033153295.1|DMAU
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC117148236|XP_033171424.1|DMAU
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC117142434|XP_033162286.1|DMAU
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC117141743|XP_033161255.1|DMAU
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC117143333|XP_033163884.1|DMAU
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	LOC117149978|XP_033172760.1|DMAU
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC117143253|XP_033163704.1|DMAU
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC117136077|XP_033152622.1|DMAU
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC117144517|XP_033165627.1|DMAU
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC117137377|XP_033154680.1|DMAU
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC117148789|XP_033172290.1|DMAU
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC117135957|XP_033152442.1|DMAU
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC117145868|XP_033167581.1|DMAU
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC117140134|XP_033158791.1|DMAU
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC117136736|XP_033153658.1|DMAU
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC117144630|XP_033165816.1|DMAU, LOC117144632|XP_033165817.1|DMAU
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC117137416|XP_033154735.1|DMAU
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC117136539|XP_033153380.1|DMAU
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC117150949|XP_033174013.1|DMAU, LOC117139948|XP_033158530.1|DMAU
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC117141482|XP_033160851.1|DMAU
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC117141483|XP_033160852.1|DMAU
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC117143233|XP_033163675.1|DMAU
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC117143229|XP_033163670.1|DMAU
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC117143234|XP_033163676.1|DMAU
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC117143636|XP_033164304.1|DMAU
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC117136475|XP_033153300.1|DMAU
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC117139859|XP_033158405.1|DMAU, LOC117138462|XP_033156478.1|DMAU, LOC117140141|XP_033158803.1|DMAU
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC117145918|XP_033167668.1|DMAU
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC117143368|XP_033163935.1|DMAU
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC117135687|XP_033151982.1|DMAU, LOC117139836|XP_033158373.1|DMAU
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC117135318|XP_033151407.1|DMAU
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC117150020|XP_033172787.1|DMAU, LOC117150137|XP_033172836.1|DMAU
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC117136145|XP_033152741.1|DMAU
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC117136571|XP_033153419.1|DMAU
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC117136553|XP_033153398.1|DMAU
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC117149951|XP_033172741.1|DMAU, LOC117149949|XP_033172738.1|DMAU
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC117146855|XP_033169316.1|DMAU
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC117142241|XP_033161985.1|DMAU
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC117148061|XP_033171143.1|DMAU
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC117138252|XP_033156103.1|DMAU
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC117139202|XP_033157265.1|DMAU, LOC117139201|XP_033157264.1|DMAU, LOC117139199|XP_033157263.1|DMAU, LOC117139197|XP_033157261.1|DMAU
OG0000023	LOC117134624|XP_033150075.1|DBUS	LOC117144283|XP_033165277.1|DMAU
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC117144284|XP_033165278.1|DMAU
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC117144282|XP_033165275.1|DMAU
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC117135977|XP_033152481.1|DMAU
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC117145126|XP_033166537.1|DMAU
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC117144278|XP_033165272.1|DMAU
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC117144775|XP_033166033.1|DMAU
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC117144277|XP_033165271.1|DMAU
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC117144765|XP_033166018.1|DMAU
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC117136255|XP_033152953.1|DMAU
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC117150619|XP_033173479.1|DMAU
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC117135440|XP_033151508.1|DMAU
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC117143378|XP_033163951.1|DMAU
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC117148470|XP_033171735.1|DMAU
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC117135160|XP_033151111.1|DMAU
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC117146899|XP_033169397.1|DMAU, LOC117142902|XP_033163074.1|DMAU
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC117145491|XP_033167059.1|DMAU
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC117142835|XP_033162961.1|DMAU
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC117140739|XP_033159710.1|DMAU
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC117150817|XP_033173768.1|DMAU
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC117139373|XP_033157513.1|DMAU
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC117141110|XP_033160324.1|DMAU
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC117144854|XP_033166148.1|DMAU
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC117140740|XP_033159707.1|DMAU
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC117150768|XP_033173696.1|DMAU
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC117143350|XP_033163916.1|DMAU
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC117137054|XP_033154154.1|DMAU
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC117148684|XP_033172115.1|DMAU
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC117144354|XP_033165364.1|DMAU, LOC117137476|XP_033154845.1|DMAU, LOC117145782|XP_033167456.1|DMAU
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC117135426|XP_033151476.1|DMAU, LOC117138977|XP_033156935.1|DMAU, LOC117135570|XP_033151785.1|DMAU, LOC117138460|XP_033156477.1|DMAU
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC117150913|XP_033173999.1|DMAU
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC117145857|XP_033167568.1|DMAU
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC117145495|XP_033167064.1|DMAU, LOC117145861|XP_033167572.1|DMAU, LOC117145862|XP_033167573.1|DMAU, LOC117145859|XP_033167570.1|DMAU
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC117143209|XP_033163650.1|DMAU, LOC117150287|XP_033172997.1|DMAU, LOC117143200|XP_033163638.1|DMAU, LOC117138299|XP_033156190.1|DMAU, LOC117138297|XP_033156188.1|DMAU
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC117138298|XP_033156189.1|DMAU
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC117138566|XP_033156617.1|DMAU, LOC117141167|XP_033160397.1|DMAU
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC117150484|XP_033173274.1|DMAU
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC117150483|XP_033173273.1|DMAU
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC117143867|XP_033164627.1|DMAU
OG0000035	LOC117134686|XP_033149074.1|DBUS, LOC108602071|XP_017845580.2|DBUS, LOC108604409|XP_017849365.2|DBUS, LOC108597433|XP_017839480.2|DBUS	LOC117149959|XP_033172748.1|DMAU, LOC117139681|XP_033158055.1|DMAU, LOC117138223|XP_033156059.1|DMAU, LOC117138222|XP_033156058.1|DMAU, LOC117143714|XP_033164404.1|DMAU, LOC117150075|XP_033172814.1|DMAU, LOC117150140|XP_033172837.1|DMAU, LOC117141067|XP_033160256.1|DMAU, LOC117150145|XP_033172839.1|DMAU, LOC117149971|XP_033172758.1|DMAU, LOC117150146|XP_033172840.1|DMAU, LOC117150018|XP_033172786.1|DMAU, LOC117150076|XP_033172815.1|DMAU, LOC117149623|XP_033172695.1|DMAU, LOC117149638|XP_033172698.1|DMAU, LOC117142656|XP_033162678.1|DMAU, LOC117149972|XP_033172759.1|DMAU, LOC117149044|XP_033172603.1|DMAU, LOC117149965|XP_033172753.1|DMAU, LOC117149095|XP_033172630.1|DMAU
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC117145150|XP_033166581.1|DMAU
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC117145004|XP_033166383.1|DMAU
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC117145915|XP_033167661.1|DMAU
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC117145828|XP_033167521.1|DMAU, LOC117145827|XP_033167520.1|DMAU
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC117145239|XP_033166706.1|DMAU, LOC117143582|XP_033164221.1|DMAU
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC117139364|XP_033157507.1|DMAU
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC117141232|XP_033160483.1|DMAU
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC117144249|XP_033165219.1|DMAU
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC117148457|XP_033171719.1|DMAU
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC117146886|XP_033169374.1|DMAU
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC117145128|XP_033166540.1|DMAU, LOC117143448|XP_033164046.1|DMAU
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC117143449|XP_033164048.1|DMAU
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC117144294|XP_033165289.1|DMAU, LOC117144293|XP_033165288.1|DMAU
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC117143965|XP_033164790.1|DMAU
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC117143756|XP_033164463.1|DMAU
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC117143749|XP_033164453.1|DMAU, LOC117144930|XP_033166274.1|DMAU, LOC117143589|XP_033164228.1|DMAU, LOC117145103|XP_033166514.1|DMAU, LOC117144174|XP_033165110.1|DMAU, LOC117145105|XP_033166515.1|DMAU
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC117138472|XP_033156493.1|DMAU, LOC117138473|XP_033156494.1|DMAU, LOC117138470|XP_033156490.1|DMAU
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC117138471|XP_033156492.1|DMAU
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC117143572|XP_033164208.1|DMAU
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC117145149|XP_033166580.1|DMAU
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC117143571|XP_033164207.1|DMAU, LOC117143573|XP_033164209.1|DMAU, LOC117145745|XP_033167398.1|DMAU, LOC117143372|XP_033163938.1|DMAU
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC117143901|XP_033164698.1|DMAU
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC117143451|XP_033164051.1|DMAU, LOC117145465|XP_033167027.1|DMAU
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC117139739|XP_033158187.1|DMAU
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC117139893|XP_033158462.1|DMAU, LOC117140400|XP_033159161.1|DMAU, LOC117139892|XP_033158461.1|DMAU
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC117139487|XP_033157699.1|DMAU
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC117139486|XP_033157698.1|DMAU
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC117147192|XP_033169884.1|DMAU, LOC117148363|XP_033171610.1|DMAU
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC117147217|XP_033169922.1|DMAU, LOC117144703|XP_033165923.1|DMAU, LOC117144838|XP_033166122.1|DMAU, LOC117143845|XP_033164592.1|DMAU, LOC117143549|XP_033164180.1|DMAU, LOC117138631|XP_033156736.1|DMAU, LOC117143844|XP_033164591.1|DMAU, LOC117136443|XP_033153251.1|DMAU
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC117137846|XP_033155439.1|DMAU
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC117137896|XP_033155525.1|DMAU
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC117136744|XP_033153666.1|DMAU
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC117141645|XP_033161109.1|DMAU
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC117137194|XP_033154412.1|DMAU
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC117140937|XP_033160024.1|DMAU, LOC117140309|XP_033159045.1|DMAU
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS	LOC117140936|XP_033160023.1|DMAU, LOC117140939|XP_033160026.1|DMAU
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC117140935|XP_033160022.1|DMAU
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC117140941|XP_033160028.1|DMAU
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC117144267|XP_033165261.1|DMAU
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC117143819|XP_033164555.1|DMAU
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC117145062|XP_033166468.1|DMAU
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC117145061|XP_033166467.1|DMAU
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC117144466|XP_033165523.1|DMAU
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC117142031|XP_033161786.1|DMAU
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC117142024|XP_033161778.1|DMAU
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC117143815|XP_033164552.1|DMAU
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC117143638|XP_033164307.1|DMAU
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC117142373|XP_033162194.1|DMAU, LOC117145370|XP_033166885.1|DMAU, LOC117145371|XP_033166886.1|DMAU
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC117145316|XP_033166802.1|DMAU, LOC117143900|XP_033164697.1|DMAU, LOC117143487|XP_033164091.1|DMAU, LOC117143488|XP_033164092.1|DMAU, LOC117143804|XP_033164539.1|DMAU, LOC117145315|XP_033166801.1|DMAU
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC117136886|XP_033153888.1|DMAU
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC117136885|XP_033153886.1|DMAU
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC117137106|XP_033154284.1|DMAU
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC117137105|XP_033154282.1|DMAU
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC117137096|XP_033154272.1|DMAU
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC117137094|XP_033154271.1|DMAU
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC117137107|XP_033154285.1|DMAU
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC117144491|XP_033165568.1|DMAU
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC117145202|XP_033166655.1|DMAU
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC117143478|XP_033164083.1|DMAU
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC117143727|XP_033164422.1|DMAU
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC117145913|XP_033167658.1|DMAU
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC117145912|XP_033167657.1|DMAU, LOC117144981|XP_033166341.1|DMAU, LOC117145911|XP_033167656.1|DMAU
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC117144813|XP_033166080.1|DMAU
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC117135854|XP_033152264.1|DMAU, LOC117146035|XP_033167861.1|DMAU, LOC117138585|XP_033156655.1|DMAU
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC117141672|XP_033161161.1|DMAU
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC117147163|XP_033169841.1|DMAU
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC117144560|XP_033165696.1|DMAU, LOC117144394|XP_033165420.1|DMAU
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC117143436|XP_033164033.1|DMAU
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC117143722|XP_033164415.1|DMAU
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC117148535|XP_033171846.1|DMAU
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC117141177|XP_033160409.1|DMAU
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC117144989|XP_033166351.1|DMAU
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC117142997|XP_033163243.1|DMAU
OG0000060	LOC108605927|XP_017851236.1|DBUS	LOC117147337|XP_033170084.1|DMAU
OG0000060	LOC108594930|XP_033150017.1|DBUS	LOC117150499|XP_033173294.1|DMAU
OG0000061	LOC108602145|XP_017845670.1|DBUS	LOC117144713|XP_033165946.1|DMAU
OG0000061	LOC108594753|XP_017835384.1|DBUS	LOC117147510|XP_033170317.1|DMAU
OG0000061	LOC108603702|XP_017848228.1|DBUS, LOC108599637|XP_017842101.2|DBUS	LOC117148009|XP_033171063.1|DMAU
OG0000062	LOC108606274|XP_017851741.1|DBUS	LOC117147633|XP_033170492.1|DMAU
