Orthogroup	DBUS.longest_only	DPSE.longest_only
OG0000015	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS	LOC13036345|XP_003736506.3|DPSE
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC4801993|XP_001359004.1|DPSE
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC6898475|XP_002138517.1|DPSE
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC4801351|XP_001358460.1|DPSE
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC4805675|XP_001362034.4|DPSE
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC4814924|XP_001354857.1|DPSE
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC26534122|XP_033239163.1|DPSE, LOC6898658|XP_004444310.1|DPSE
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC6896970|XP_002137155.1|DPSE
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC4812150|XP_001352883.1|DPSE
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC6898665|XP_002138670.2|DPSE, LOC4804841|XP_001361337.4|DPSE
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC117183391|XP_033233068.1|DPSE, LOC6898222|XP_002138288.3|DPSE, LOC6898223|XP_033234356.1|DPSE, LOC117183697|XP_033234424.1|DPSE, LOC117183690|XP_033234357.1|DPSE, LOC4800683|XP_002137062.3|DPSE
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC4804478|XP_001361036.2|DPSE
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC4804840|XP_001361336.1|DPSE
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC117183964|XP_033235603.1|DPSE, LOC6903208|XP_033235602.1|DPSE, LOC4817633|XP_002132903.2|DPSE
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC5495511|XP_001353833.1|DPSE
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC4813481|XP_001353829.1|DPSE
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	LOC6900711|XP_002135074.2|DPSE, LOC6900710|XP_002135073.3|DPSE
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC6897057|XP_002137241.2|DPSE, LOC26533605|XP_015037040.2|DPSE, LOC6897058|XP_002137242.2|DPSE
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC4801129|XP_033235715.1|DPSE
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC4801131|XP_001358273.2|DPSE
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC6897061|XP_002137245.2|DPSE, LOC6897060|XP_033233125.1|DPSE, LOC4801132|XP_001358274.2|DPSE
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC6896759|XP_002136966.1|DPSE
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC4803770|XP_001360432.3|DPSE
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC6902791|XP_002132528.2|DPSE
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC117183221|XP_033232918.1|DPSE
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC6897832|XP_002137937.1|DPSE
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC4818201|XP_033236143.1|DPSE
OG0000021	LOC108598850|XP_017841097.1|DBUS	LOC6900570|XP_002134946.1|DPSE
OG0000021	LOC108595011|XP_017835635.1|DBUS	LOC6898833|XP_002138806.2|DPSE
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC6898835|XP_002138808.1|DPSE
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC6898834|XP_002138807.1|DPSE
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC6898840|XP_002138811.3|DPSE
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC4805268|XP_001361693.2|DPSE
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC6901774|XP_002134444.3|DPSE, LOC6901777|XP_002134447.3|DPSE
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC6898836|XP_002138809.1|DPSE
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC6897478|XP_002137627.1|DPSE
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC4804646|XP_033234778.1|DPSE
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE
OG0000022	LOC108597711|XP_017839890.1|DBUS	LOC6899948|XP_002135316.2|DPSE
OG0000023	LOC108601632|XP_017845020.1|DBUS	LOC6897864|XP_033232668.1|DPSE
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC4802962|XP_001359775.3|DPSE
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC4802964|XP_001359777.4|DPSE
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC4804210|XP_001360806.2|DPSE
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC6897865|XP_033232678.1|DPSE
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC4802957|XP_001359771.3|DPSE
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC5495505|XP_001359769.4|DPSE
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC5384073|XP_001359768.2|DPSE
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC4805107|XP_001361564.1|DPSE
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC6899225|XP_002136299.3|DPSE
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC6901557|XP_002134231.1|DPSE
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC117183559|XP_033233680.1|DPSE, LOC117183558|XP_033233678.1|DPSE
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC4814777|XP_001354707.2|DPSE
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC4818162|XP_001357184.4|DPSE
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC6902829|XP_002132565.2|DPSE
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC4817432|XP_001356466.2|DPSE
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS	LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC6900255|XP_002135584.2|DPSE
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC6897267|XP_033233167.1|DPSE
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC4813458|XP_001353977.2|DPSE
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC4817563|XP_001356970.3|DPSE
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC4816660|XP_001355989.2|DPSE
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC4804482|XP_001361038.2|DPSE
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC4816069|XP_001355235.2|DPSE
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC6902663|XP_015036753.2|DPSE
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC26533742|XP_033235774.1|DPSE
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC6896921|XP_033236577.1|DPSE
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC6898089|XP_002138174.1|DPSE
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC6898093|XP_002138175.2|DPSE
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC4817450|XP_001356533.3|DPSE
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC4817037|XP_001356534.3|DPSE
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC6902878|XP_002132612.2|DPSE
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC4801521|XP_033232300.1|DPSE
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC4802757|XP_001359618.3|DPSE
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC117183241|XP_033232365.1|DPSE, LOC4800563|XP_033232364.1|DPSE
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC6897556|XP_033241818.1|DPSE
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC4815394|XP_001354810.3|DPSE
OG0000039	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS	LOC6901425|XP_002134111.2|DPSE
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC6901668|XP_002134337.3|DPSE
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC6897940|XP_033236826.1|DPSE, LOC4803145|XP_001359935.3|DPSE, LOC13036404|XP_003736919.2|DPSE, LOC6897941|XP_002138044.3|DPSE
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC4803144|XP_001359934.2|DPSE
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC117183223|XP_033241858.1|DPSE, LOC117185673|XP_033241861.1|DPSE, LOC6897578|XP_015037767.2|DPSE, LOC13036406|XP_033241860.1|DPSE, LOC6897971|XP_002138070.1|DPSE
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC4803208|XP_001359988.4|DPSE
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC4801113|XP_001358260.2|DPSE
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC4804794|XP_001361299.3|DPSE, LOC5495510|XP_001361301.4|DPSE, LOC6898652|XP_002138657.1|DPSE, LOC4804796|XP_033234018.1|DPSE, LOC6898651|XP_033233475.1|DPSE, LOC6902899|XP_002132633.1|DPSE
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC4804792|XP_001361298.2|DPSE
OG0000043	LOC108602016|XP_033149810.1|DBUS	LOC4803134|XP_001359926.3|DPSE
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC4803126|XP_001359920.4|DPSE
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC4802344|XP_001359278.1|DPSE
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC6897570|XP_033232296.1|DPSE, LOC6899656|XP_033239795.1|DPSE
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC4812813|XP_033238456.1|DPSE
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC4813084|XP_001353641.2|DPSE
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC6900434|XP_002134825.3|DPSE
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC4816274|XP_001355928.3|DPSE, LOC6900435|XP_002134826.1|DPSE
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC6902130|XP_002133661.3|DPSE, LOC6902128|XP_002133659.2|DPSE
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC6898136|XP_002138215.2|DPSE, LOC6896807|XP_002137011.2|DPSE, LOC6896809|XP_002137013.2|DPSE, LOC6896808|XP_002137012.2|DPSE
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC4803784|XP_001360446.3|DPSE
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC4803787|XP_001360449.3|DPSE
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC6903509|XP_002132386.2|DPSE, LOC6902682|XP_002133198.2|DPSE
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC4805161|XP_001361611.2|DPSE
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC6900020|XP_002135385.1|DPSE, LOC6900019|XP_002135384.1|DPSE
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC4812161|XP_001352552.3|DPSE
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC4812224|XP_033238777.1|DPSE
OG0000049	LOC108601427|XP_017844814.1|DBUS	LOC6896800|XP_015037024.2|DPSE, LOC6896904|XP_002137091.3|DPSE
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC4800760|XP_001357975.3|DPSE
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC4800765|XP_001357980.2|DPSE
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC4800759|XP_001357974.3|DPSE
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC4800766|XP_001357981.4|DPSE
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC4800764|XP_001357979.3|DPSE
OG0000050	LOC108598028|XP_017840131.1|DBUS	LOC6899905|XP_002135273.2|DPSE
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC6899911|XP_002135279.1|DPSE
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC6899913|XP_002135281.2|DPSE
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC4802029|XP_001359029.3|DPSE
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC6897665|XP_002137803.2|DPSE, LOC6897664|XP_033232373.1|DPSE
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC4801488|XP_001358571.4|DPSE, LOC4801489|XP_001358572.4|DPSE
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC4803747|XP_001360412.1|DPSE
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC4803748|XP_001360413.3|DPSE
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC4803611|XP_001360303.3|DPSE
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC6898153|XP_002138231.3|DPSE
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC4803609|XP_001360302.2|DPSE
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC6898152|XP_002138230.3|DPSE
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC6898150|XP_002138228.2|DPSE
OG0000054	LOC117134982|XP_033150557.1|DBUS	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC4803310|XP_001360074.4|DPSE
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC6896734|XP_002136946.1|DPSE
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC4800581|XP_015038723.2|DPSE
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC4800580|XP_001357831.3|DPSE
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC6897000|XP_002137186.2|DPSE, LOC6896999|XP_002137185.2|DPSE
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC6902428|XP_002133362.2|DPSE, LOC6902422|XP_002133356.2|DPSE, LOC6898067|XP_002138152.1|DPSE
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC4816156|XP_001355873.3|DPSE
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC4816089|XP_001355320.2|DPSE
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC6897146|XP_033232929.1|DPSE
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC4801319|XP_001358434.2|DPSE
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC4816062|XP_001355381.1|DPSE
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC4817672|XP_001357060.2|DPSE
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC6897604|XP_002137749.3|DPSE
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC4800333|XP_033234022.1|DPSE
OG0000060	LOC108605927|XP_017851236.1|DBUS	LOC4815703|XP_001355362.3|DPSE
OG0000061	LOC108602145|XP_017845670.1|DBUS	LOC4816506|XP_001356011.2|DPSE
OG0000061	LOC108594753|XP_017835384.1|DBUS	LOC4816666|XP_001356006.2|DPSE, LOC6902543|XP_033236222.1|DPSE
