Orthogroup	DBUS.longest_only	BCOP.longest_only
OG0000024	LOC108594640|XP_017835273.1|DBUS, LOC108594639|XP_033150985.1|DBUS, LOC108594980|XP_017835602.1|DBUS, LOC117135103|XP_033151001.1|DBUS, LOC108595136|XP_017835788.1|DBUS, LOC108596281|XP_017837347.1|DBUS, LOC108594612|XP_017835244.1|DBUS, LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS, LOC108595405|XP_017836123.1|DBUS, LOC108595394|XP_017836112.1|DBUS, LOC108597622|XP_017839754.1|DBUS	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC119075399|XP_037037738.1|BCOP
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP, LOC119084799|XP_037050765.1|BCOP
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC108599710|XP_017842196.1|DBUS, LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000030	LOC108608102|XP_033150830.1|DBUS, LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS, LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS, LOC108605352|XP_017850510.1|DBUS	LOC119070696|XP_037031044.1|BCOP
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000032	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000033	LOC108596493|XP_017837798.1|DBUS, LOC108594868|XP_017835496.1|DBUS	LOC119070917|XP_037031350.1|BCOP
OG0000034	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC119081013|XP_037045591.1|BCOP, LOC119070626|XP_037030946.1|BCOP, LOC119072973|XP_037034184.1|BCOP, LOC119072974|XP_037034185.1|BCOP, LOC119071410|XP_037032183.1|BCOP, LOC119070946|XP_037031394.1|BCOP, LOC119070948|XP_037031395.1|BCOP, LOC119070950|XP_037031397.1|BCOP, LOC119070428|XP_037030664.1|BCOP, LOC119077740|XP_037040914.1|BCOP, LOC119083666|XP_037049346.1|BCOP, LOC119066782|XP_037025340.1|BCOP
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC119070319|XP_037030483.1|BCOP
OG0000036	LOC108607107|XP_017853223.1|DBUS	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC119077484|XP_037040593.1|BCOP
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC119077423|XP_037040532.1|BCOP, LOC119083711|XP_037049395.1|BCOP
OG0000041	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC119070988|XP_037031473.1|BCOP
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS, LOC108601375|XP_033149906.1|DBUS	LOC119068087|XP_037027400.1|BCOP
OG0000043	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP, LOC119077492|XP_037040609.1|BCOP, LOC119068375|XP_037027839.1|BCOP, LOC119075787|XP_037038245.1|BCOP, LOC119084856|XP_037050885.1|BCOP
OG0000044	LOC108602073|XP_017845582.1|DBUS, LOC108601821|XP_017845247.1|DBUS	LOC119081961|XP_037047159.1|BCOP, LOC119070043|XP_037030222.1|BCOP
OG0000047	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC108601427|XP_017844814.1|DBUS	LOC119081689|XP_037046681.1|BCOP
OG0000049	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC108602122|XP_017845638.1|DBUS, LOC108603519|XP_017847901.1|DBUS, LOC108601326|XP_017844713.1|DBUS	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS, LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS, LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC119073702|XP_037035202.1|BCOP
OG0000053	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC119083998|XP_037049705.1|BCOP
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC108601235|XP_017844623.1|DBUS, LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS, LOC108602080|XP_017845593.1|DBUS, LOC108598485|XP_017840632.1|DBUS	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000057	LOC117134803|XP_033149641.1|DBUS	LOC119073087|XP_037034294.1|BCOP, LOC119079795|XP_037043751.1|BCOP, LOC119068952|XP_037028712.1|BCOP, LOC119066033|XP_037024146.1|BCOP, LOC119074187|XP_037036075.1|BCOP, LOC119078385|XP_037041781.1|BCOP, LOC119078383|XP_037041779.1|BCOP, LOC119077205|XP_037040283.1|BCOP
OG0000058	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC108605486|XP_017850670.1|DBUS, LOC108605501|XP_017850738.1|DBUS	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC119069761|XP_037029789.1|BCOP
OG0000067	LOC108603517|XP_017847897.1|DBUS, LOC108598960|XP_017841219.2|DBUS	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC108596347|XP_017837491.1|DBUS, LOC108600356|XP_017843371.2|DBUS	LOC119085608|XP_037051927.1|BCOP
OG0000067	LOC108598075|XP_017840177.1|DBUS	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC108596576|XP_017837985.1|DBUS, LOC108604183|XP_017849015.1|DBUS, LOC108604996|XP_017850051.2|DBUS	LOC119084165|XP_037049915.1|BCOP, LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP, LOC119070188|XP_037030388.1|BCOP, LOC119079055|XP_037042758.1|BCOP, LOC119072981|XP_037034196.1|BCOP
OG0000070	LOC108601128|XP_017844545.1|DBUS, LOC108603861|XP_033149223.1|DBUS, LOC108606170|XP_017851511.2|DBUS, LOC108600264|XP_017843206.1|DBUS, LOC108601682|XP_017845084.1|DBUS	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC108600865|XP_017844159.2|DBUS	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP, LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP, LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC108596382|XP_017837542.1|DBUS	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC108606257|XP_017851695.1|DBUS	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC108602957|XP_017846798.1|DBUS	LOC119069220|XP_037029092.1|BCOP
OG0000074	LOC108600842|XP_033149439.1|DBUS, LOC108600601|XP_017843769.2|DBUS	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000075	LOC108598567|XP_017840740.2|DBUS, LOC108598547|XP_017840720.1|DBUS, LOC108598795|XP_017841028.2|DBUS, LOC108598386|XP_017840493.1|DBUS	LOC119080898|XP_037045374.1|BCOP, LOC119080899|XP_037045375.1|BCOP, LOC119080897|XP_037045372.1|BCOP
OG0000076	LOC108600032|XP_017842842.1|DBUS	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC108607277|XP_017853461.1|DBUS	LOC119068533|XP_037028044.1|BCOP
OG0000076	LOC108606263|XP_017851709.1|DBUS	LOC119066422|XP_037024794.1|BCOP
OG0000077	LOC108596705|XP_017838216.1|DBUS	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC108603705|XP_017848234.1|DBUS	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC108597238|XP_017839176.1|DBUS	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC108603566|XP_017847972.1|DBUS	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC108595297|XP_017835998.1|DBUS, LOC108595427|XP_017836144.1|DBUS, LOC108595437|XP_017836156.1|DBUS, LOC108598842|XP_017841085.1|DBUS, LOC108602138|XP_017845655.1|DBUS, LOC108607118|XP_017853240.1|DBUS, LOC108607224|XP_017853386.1|DBUS	LOC119072413|XP_037033522.1|BCOP
OG0000079	LOC108605780|XP_033150835.1|DBUS, LOC108604682|XP_017849730.1|DBUS	LOC119073294|XP_037034574.1|BCOP
OG0000080	LOC108597403|XP_017839438.1|DBUS, LOC108596751|XP_017838316.1|DBUS	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC108598616|XP_017840803.1|DBUS	LOC119072492|XP_037033632.1|BCOP
OG0000082	LOC108594984|XP_017835606.1|DBUS, LOC108601638|XP_017845027.1|DBUS, LOC108602837|XP_017846578.1|DBUS	LOC119077224|XP_037040299.1|BCOP, LOC119077326|XP_037040404.1|BCOP, LOC119077878|XP_037041127.1|BCOP, LOC119069214|XP_037029085.1|BCOP, LOC119080439|XP_037044697.1|BCOP, LOC119067719|XP_037026731.1|BCOP, LOC119067656|XP_037026651.1|BCOP, LOC119067657|XP_037026652.1|BCOP, LOC119067658|XP_037026653.1|BCOP, LOC119075075|XP_037037362.1|BCOP, LOC119084030|XP_037049750.1|BCOP, LOC119079425|XP_037043226.1|BCOP, LOC119083787|XP_037049484.1|BCOP
OG0000083	LOC108598442|XP_017840564.2|DBUS	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP
OG0000083	LOC108608236|XP_017855013.1|DBUS	LOC119077030|XP_037040043.1|BCOP
OG0000084	LOC108596367|XP_017837520.1|DBUS	LOC119071066|XP_037031596.1|BCOP, LOC119071181|XP_037031846.1|BCOP
OG0000085	LOC108597194|XP_017839111.1|DBUS	LOC119077040|XP_037040059.1|BCOP
OG0000086	LOC108595905|XP_017836685.1|DBUS, LOC108595913|XP_033149146.1|DBUS	LOC119080738|XP_037045178.1|BCOP, LOC119067907|XP_037027094.1|BCOP, LOC119080632|XP_037044934.1|BCOP, LOC119068130|XP_037027486.1|BCOP
OG0000087	LOC108602830|XP_017846606.2|DBUS	LOC119084681|XP_037050656.1|BCOP
OG0000087	LOC108594397|XP_017835055.2|DBUS, LOC108594213|XP_017834809.1|DBUS	LOC119075761|XP_037038197.1|BCOP
OG0000088	LOC108596419|XP_017837625.1|DBUS	LOC119079125|XP_037042849.1|BCOP
OG0000088	LOC108600586|XP_017843752.1|DBUS, LOC108598974|XP_017841236.1|DBUS, LOC108600741|XP_017843975.1|DBUS, LOC108599008|XP_017841274.1|DBUS	LOC119082220|XP_037047569.1|BCOP
OG0000089	LOC108603673|XP_017848160.1|DBUS	LOC119082274|XP_037047643.1|BCOP
OG0000089	LOC108602744|XP_033149214.1|DBUS	LOC119068248|XP_037027675.1|BCOP
