Orthogroup	DBUS.longest_only	AALB.longest_only
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC108603000|XP_017846884.1|DBUS, LOC108596111|XP_017837026.1|DBUS	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS, LOC108601284|XP_017844673.1|DBUS	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC108604342|XP_017849258.1|DBUS, LOC108601560|XP_017844947.1|DBUS, LOC108601249|XP_017844637.1|DBUS, LOC108594958|XP_017835581.1|DBUS	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC108607439|XP_017853757.2|DBUS, LOC108603823|XP_017848442.1|DBUS, LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS, LOC108607440|XP_017853760.2|DBUS	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC108605475|XP_017850651.1|DBUS	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC108602127|XP_017845643.1|DBUS, LOC108606823|XP_017852795.1|DBUS	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC108595778|XP_017836559.1|DBUS, LOC108599848|XP_017842465.1|DBUS, LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS, LOC108597711|XP_017839890.1|DBUS	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC117134624|XP_033150075.1|DBUS, LOC108601632|XP_017845020.1|DBUS, LOC108601651|XP_017845040.1|DBUS, LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS, LOC108601245|XP_033150074.1|DBUS, LOC108602727|XP_017846368.1|DBUS, LOC108602726|XP_017846367.1|DBUS, LOC117134644|XP_033150071.1|DBUS	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC108594640|XP_017835273.1|DBUS, LOC108594639|XP_033150985.1|DBUS, LOC108594980|XP_017835602.1|DBUS, LOC117135103|XP_033151001.1|DBUS, LOC108595136|XP_017835788.1|DBUS, LOC108596281|XP_017837347.1|DBUS, LOC108594612|XP_017835244.1|DBUS, LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS, LOC108595405|XP_017836123.1|DBUS, LOC108595394|XP_017836112.1|DBUS, LOC108597622|XP_017839754.1|DBUS	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC108606718|XP_017852587.1|DBUS, LOC108607483|XP_017853815.1|DBUS	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC108600961|XP_017844639.1|DBUS, LOC108608302|XP_017855118.1|DBUS, LOC108600155|XP_017843044.1|DBUS	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC108607107|XP_017853223.1|DBUS	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS, LOC108599709|XP_017842195.1|DBUS	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC108598028|XP_017840131.1|DBUS, LOC108598030|XP_017840133.2|DBUS, LOC108598031|XP_017840135.1|DBUS	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC108602122|XP_017845638.1|DBUS, LOC108603519|XP_017847901.1|DBUS, LOC108601326|XP_017844713.1|DBUS	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC108602318|XP_017845891.1|DBUS, LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS, LOC108602521|XP_017846144.1|DBUS	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC108601235|XP_017844623.1|DBUS, LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS, LOC108602080|XP_017845593.1|DBUS, LOC108598485|XP_017840632.1|DBUS	LOC118463646|XP_035786286.1|AALB
OG0000057	LOC117134803|XP_033149641.1|DBUS	LOC118466619|XP_035792094.1|AALB
OG0000058	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC108605486|XP_017850670.1|DBUS, LOC108605501|XP_017850738.1|DBUS	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC108603517|XP_017847897.1|DBUS, LOC108598960|XP_017841219.2|DBUS	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC108598075|XP_017840177.1|DBUS	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC108596576|XP_017837985.1|DBUS, LOC108604183|XP_017849015.1|DBUS, LOC108604996|XP_017850051.2|DBUS	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC108601128|XP_017844545.1|DBUS, LOC108603861|XP_033149223.1|DBUS, LOC108606170|XP_017851511.2|DBUS, LOC108600264|XP_017843206.1|DBUS, LOC108601682|XP_017845084.1|DBUS	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC108600865|XP_017844159.2|DBUS	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC108595719|XP_017836490.1|DBUS, LOC108594812|XP_017835440.1|DBUS, LOC108595671|XP_017836439.1|DBUS	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC108596382|XP_017837542.1|DBUS	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC108606257|XP_017851695.1|DBUS	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC108602957|XP_017846798.1|DBUS	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC108600842|XP_033149439.1|DBUS, LOC108600601|XP_017843769.2|DBUS	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC108600032|XP_017842842.1|DBUS	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC108607277|XP_017853461.1|DBUS	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC108596705|XP_017838216.1|DBUS	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC108603705|XP_017848234.1|DBUS	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC108597238|XP_017839176.1|DBUS	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC108603566|XP_017847972.1|DBUS	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC108595297|XP_017835998.1|DBUS, LOC108595427|XP_017836144.1|DBUS, LOC108595437|XP_017836156.1|DBUS, LOC108598842|XP_017841085.1|DBUS, LOC108602138|XP_017845655.1|DBUS, LOC108607118|XP_017853240.1|DBUS, LOC108607224|XP_017853386.1|DBUS	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC108597403|XP_017839438.1|DBUS, LOC108596751|XP_017838316.1|DBUS	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC108594984|XP_017835606.1|DBUS, LOC108601638|XP_017845027.1|DBUS, LOC108602837|XP_017846578.1|DBUS	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC108598442|XP_017840564.2|DBUS, LOC108608236|XP_017855013.1|DBUS	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC108596367|XP_017837520.1|DBUS	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC108596833|XP_017838444.1|DBUS	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC108597194|XP_017839111.1|DBUS	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC108595905|XP_017836685.1|DBUS, LOC108595913|XP_033149146.1|DBUS	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC108602830|XP_017846606.2|DBUS	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC108596419|XP_017837625.1|DBUS	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC108603673|XP_017848160.1|DBUS	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC108602744|XP_033149214.1|DBUS	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC108599916|XP_017842604.1|DBUS	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC108596533|XP_017837911.1|DBUS, LOC108595000|XP_017835621.1|DBUS, LOC108598990|XP_017841255.1|DBUS, LOC108599322|XP_017841614.1|DBUS, LOC108598575|XP_017840751.1|DBUS	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC108603501|XP_017847855.1|DBUS	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC108594365|XP_017835015.1|DBUS, LOC108603403|XP_017847679.1|DBUS, LOC108603402|XP_017847678.1|DBUS	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC108607545|XP_017853920.1|DBUS, LOC108603101|XP_033150841.1|DBUS	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC108598080|XP_017840183.1|DBUS, LOC108598081|XP_017840184.1|DBUS, LOC108598079|XP_017840182.1|DBUS, LOC108601416|XP_017844804.1|DBUS	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC108604818|XP_017849916.1|DBUS, LOC108604817|XP_017849915.2|DBUS, LOC108598852|XP_017841102.2|DBUS	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC108602947|XP_017846786.1|DBUS	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC108606666|XP_017852484.1|DBUS	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC108600820|XP_017844099.2|DBUS, LOC108597898|XP_017840006.1|DBUS, LOC108597897|XP_017840005.1|DBUS, LOC117134769|XP_033149322.1|DBUS, LOC108597899|XP_017840007.1|DBUS, LOC117134798|XP_033149601.1|DBUS	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC108596624|XP_017838058.1|DBUS	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC108594981|XP_017835603.1|DBUS	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC108598786|XP_017841018.2|DBUS, LOC108598520|XP_017840689.2|DBUS, LOC108596814|XP_017838418.1|DBUS	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC108600531|XP_017843673.2|DBUS, LOC108599046|XP_017841315.1|DBUS	LOC118464278|XP_035787434.1|AALB
OG0000105	LOC117134791|XP_033149540.1|DBUS, LOC108601437|XP_017844824.1|DBUS	LOC118457265|XP_035774549.1|AALB
OG0000109	LOC108594532|XP_017835224.1|DBUS	LOC118467353|XP_035793644.1|AALB, LOC118460030|XP_035779864.1|AALB
OG0000109	LOC108598653|XP_033149257.1|DBUS	LOC118459572|XP_035778973.1|AALB
OG0000110	LOC108597992|XP_017840097.1|DBUS, LOC108598723|XP_017840942.1|DBUS, LOC108597993|XP_017840098.1|DBUS, LOC108597995|XP_033149356.1|DBUS, LOC108598479|XP_017840618.1|DBUS	LOC118463974|XP_035786869.1|AALB, LOC118463973|XP_035786868.1|AALB
OG0000111	LOC108595291|XP_017835993.1|DBUS, LOC108595741|XP_017836516.1|DBUS	LOC118469050|XP_035796408.1|AALB, LOC118463092|XP_035785265.1|AALB, LOC118463385|XP_035785816.1|AALB, LOC118467776|XP_035794507.1|AALB, LOC118463948|XP_035786818.1|AALB
OG0000112	LOC108605061|XP_017850117.1|DBUS, LOC108605050|XP_017850107.1|DBUS, LOC108606017|XP_017851332.1|DBUS, LOC108605875|XP_017851177.1|DBUS, LOC108606748|XP_017852636.1|DBUS	LOC118467359|XP_035793654.1|AALB
OG0000113	LOC108604575|XP_017849595.1|DBUS, LOC108600652|XP_017843838.2|DBUS	LOC118462848|XP_035784798.1|AALB
OG0000117	LOC108602137|XP_017845657.1|DBUS, LOC108603069|XP_017847020.1|DBUS, LOC108603222|XP_017845754.1|DBUS, LOC108603273|XP_033150795.1|DBUS	LOC118458656|XP_035777238.1|AALB, LOC118457117|XP_035774312.1|AALB, LOC118456329|XP_035772878.1|AALB
OG0000118	LOC108606418|XP_017852007.1|DBUS, LOC108606874|XP_017852886.1|DBUS, LOC108601705|XP_017845108.1|DBUS	LOC118457110|XP_035774302.1|AALB
OG0000119	LOC108604291|XP_017849192.1|DBUS, LOC108602574|XP_017846201.1|DBUS, LOC108602566|XP_017846189.1|DBUS	LOC118458699|XP_035777331.1|AALB, LOC118460125|XP_035780068.1|AALB, LOC118457053|XP_035774195.1|AALB, LOC118456913|XP_035773931.1|AALB, LOC118458698|XP_035777330.1|AALB
OG0000120	LOC108597208|XP_017839139.1|DBUS, LOC108605238|XP_017850340.1|DBUS	LOC118463432|XP_035785893.1|AALB
OG0000120	LOC108596912|XP_017838608.1|DBUS	LOC118464687|XP_035788103.1|AALB
OG0000121	LOC108601261|XP_017844649.1|DBUS, LOC108602587|XP_017846215.1|DBUS, LOC108606058|XP_017851394.1|DBUS, LOC108602647|XP_017846282.1|DBUS	LOC118459567|XP_035778961.1|AALB
OG0000122	LOC108595833|XP_017836616.1|DBUS, LOC108605338|XP_033150253.1|DBUS, LOC108594762|XP_017835390.1|DBUS, LOC108605067|XP_017850560.1|DBUS	LOC118456844|XP_035773833.1|AALB
OG0000123	LOC108595656|XP_017836420.1|DBUS, LOC108602509|XP_017846128.1|DBUS	LOC118461289|XP_035782355.1|AALB
OG0000124	LOC108604295|XP_017849198.1|DBUS, LOC108608486|XP_017855371.1|DBUS, LOC108604296|XP_017849202.1|DBUS, LOC108604834|XP_017849938.1|DBUS, LOC108597695|XP_017839860.1|DBUS, LOC108595612|XP_017836365.1|DBUS, LOC108595661|XP_017836427.1|DBUS, LOC108595486|XP_017836226.1|DBUS	LOC118465756|XP_035790152.1|AALB
OG0000125	LOC108602946|XP_017846784.1|DBUS	LOC118457525|XP_035775063.1|AALB
OG0000125	LOC108604285|XP_017849183.1|DBUS	LOC118463575|XP_035786112.1|AALB
OG0000126	LOC108602652|XP_017846288.1|DBUS, LOC108602032|XP_017845528.2|DBUS	LOC118460528|XP_035780801.1|AALB
OG0000127	LOC108602433|XP_017846041.1|DBUS, LOC108602111|XP_017845625.1|DBUS, LOC108602067|XP_017845575.1|DBUS	LOC118456552|XP_035773315.1|AALB, LOC118456551|XP_035773312.1|AALB
OG0000128	LOC108594863|XP_017835491.2|DBUS, LOC108596258|XP_017837304.2|DBUS, LOC108596561|XP_017837951.1|DBUS	LOC118463140|XP_035785395.1|AALB
OG0000129	LOC108606979|XP_017853037.1|DBUS, LOC108598557|XP_017840732.2|DBUS, LOC108600868|XP_017844168.1|DBUS, LOC108606980|XP_017853040.1|DBUS	LOC118456548|XP_035773308.1|AALB
OG0000130	LOC108598755|XP_017840979.2|DBUS, LOC108598612|XP_017840799.1|DBUS, LOC108598191|XP_033149343.1|DBUS, LOC108598190|XP_033149405.1|DBUS, LOC108600450|XP_017843526.1|DBUS, LOC108598634|XP_017840826.2|DBUS, LOC117134616|XP_033149472.1|DBUS, LOC117134652|XP_033149629.1|DBUS	LOC118464719|XP_035788184.1|AALB
OG0000132	LOC108608030|XP_017854696.1|DBUS, LOC108608029|XP_017854695.2|DBUS, LOC108602868|XP_017846646.1|DBUS	LOC118458943|XP_035777814.1|AALB, LOC118468465|XP_035795152.1|AALB
OG0000134	LOC108603028|XP_017846927.1|DBUS	LOC118464308|XP_035787537.1|AALB
