Orthogroup	DBUS.longest_only	DANA.longest_only
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC6494922|XP_001959416.1|DANA
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC6500231|XP_001952977.1|DANA
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC6502876|XP_001967786.1|DANA, LOC116656007|XP_032310968.1|DANA
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC6499942|XP_001953585.2|DANA
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC6495189|XP_001958891.1|DANA, LOC6495188|XP_001958892.1|DANA, LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA, LOC6495185|XP_001958895.2|DANA
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC6495691|XP_001959390.1|DANA, LOC6495692|XP_001959391.1|DANA, LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA, LOC26514216|XP_014763990.1|DANA
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC6495695|XP_001959394.1|DANA, LOC6495696|XP_032306537.1|DANA
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA
OG0000015	LOC108605188|XP_017850271.1|DBUS	LOC26514981|XP_014762390.1|DANA, LOC26514454|XP_032307424.1|DANA, LOC26515278|XP_032307635.1|DANA, LOC6498157|XP_001962200.1|DANA, LOC6498497|XP_001962951.1|DANA, LOC6498498|XP_001962952.1|DANA
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC6500386|XP_001953106.1|DANA
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC6495063|XP_001959144.1|DANA
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC6499904|XP_001953662.1|DANA
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC6494270|XP_001960623.3|DANA
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC6504746|XP_032309021.1|DANA
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC6496662|XP_001961354.1|DANA
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC6501076|XP_001954513.1|DANA
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC6493807|XP_014764542.1|DANA
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC6493898|XP_001961368.1|DANA
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC6499101|XP_001955295.3|DANA, LOC6499102|XP_001955294.1|DANA
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC6494709|XP_001959816.1|DANA
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC6496668|XP_001961367.1|DANA
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC6498652|XP_001963246.1|DANA, LOC6498651|XP_001963245.1|DANA, LOC6498650|XP_001963244.2|DANA, LOC26515517|XP_032311043.1|DANA, LOC6498649|XP_001963243.2|DANA
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC6493787|XP_001958436.1|DANA
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC6506162|XP_001958433.1|DANA
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC6506161|XP_001958434.1|DANA
OG0000018	LOC108599172|XP_033149319.1|DBUS, LOC108599151|XP_017841428.1|DBUS, LOC108599053|XP_017841321.1|DBUS	LOC6506167|XP_032310203.1|DANA, LOC6493788|XP_001958437.1|DANA, LOC6493792|XP_001958441.2|DANA, LOC6493785|XP_001958427.1|DANA, LOC6493790|XP_001958439.1|DANA, LOC6506166|XP_001958429.1|DANA
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC6505609|XP_001964601.1|DANA
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC6505613|XP_032305481.1|DANA
OG0000019	LOC108602936|XP_017846767.1|DBUS	LOC6505612|XP_001964599.1|DANA
OG0000019	LOC108602933|XP_017846765.1|DBUS	LOC6505608|XP_001964602.1|DANA
OG0000020	LOC108604342|XP_017849258.1|DBUS	LOC6499398|XP_032312200.1|DANA
OG0000020	LOC108594958|XP_017835581.1|DBUS	LOC6494967|XP_001959313.1|DANA
OG0000020	LOC108607439|XP_017853757.2|DBUS	LOC6497509|XP_001961936.3|DANA, LOC26514839|XP_032307435.1|DANA, LOC26514326|XP_014762314.1|DANA, LOC6497508|XP_032307386.1|DANA
OG0000020	LOC108603823|XP_017848442.1|DBUS	LOC6500139|XP_032312147.1|DANA
OG0000020	LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS	LOC6501153|XP_001954651.1|DANA
OG0000020	LOC108607440|XP_017853760.2|DBUS	LOC6506852|XP_001965261.1|DANA, LOC6497510|XP_032307412.1|DANA
OG0000021	LOC108595010|XP_017835633.1|DBUS	LOC26515395|XP_032312045.1|DANA
OG0000021	LOC108595013|XP_017835637.1|DBUS	LOC6502914|XP_001967640.3|DANA
OG0000021	LOC108595009|XP_017835632.1|DBUS	LOC6494472|XP_001960263.1|DANA
OG0000021	LOC108595428|XP_017836145.1|DBUS	LOC6494465|XP_001960278.1|DANA
OG0000021	LOC108594982|XP_017835604.1|DBUS	LOC6496057|XP_001960127.1|DANA
OG0000021	LOC108595014|XP_017835638.1|DBUS	LOC6502328|XP_014759082.1|DANA
OG0000021	LOC108602127|XP_017845643.1|DBUS	LOC6503446|XP_001967498.1|DANA
OG0000021	LOC108606823|XP_017852795.1|DBUS	LOC6503731|XP_032308490.1|DANA
OG0000022	LOC108595778|XP_017836559.1|DBUS	LOC6495509|XP_001959002.1|DANA
OG0000022	LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS	LOC6507068|XP_001956719.1|DANA, LOC116655744|XP_032309533.1|DANA, LOC6492948|XP_001956720.1|DANA, LOC116655906|XP_032310747.1|DANA, LOC116655745|XP_032309535.1|DANA, LOC6492947|XP_032309534.1|DANA, LOC6492949|XP_001956722.1|DANA
OG0000023	LOC117134624|XP_033150075.1|DBUS	LOC6500082|XP_001953260.1|DANA
OG0000023	LOC108601651|XP_017845040.1|DBUS	LOC6500077|XP_001953265.1|DANA
OG0000023	LOC108604301|XP_017849208.1|DBUS	LOC6500461|XP_001953266.1|DANA
OG0000023	LOC108596143|XP_017837125.1|DBUS	LOC6494760|XP_001959725.1|DANA
OG0000023	LOC108604433|XP_017849396.1|DBUS	LOC6500076|XP_001953267.1|DANA
OG0000023	LOC108601245|XP_033150074.1|DBUS	LOC6500083|XP_001953259.2|DANA
OG0000023	LOC108602727|XP_017846368.1|DBUS	LOC6500087|XP_001953255.2|DANA
OG0000023	LOC108602726|XP_017846367.1|DBUS	LOC6500085|XP_032312233.1|DANA
OG0000023	LOC117134644|XP_033150071.1|DBUS	LOC6500088|XP_014766376.1|DANA
OG0000024	LOC108595136|XP_017835788.1|DBUS	LOC6495252|XP_001958753.1|DANA
OG0000024	LOC108596281|XP_017837347.1|DBUS	LOC6498256|XP_001962412.1|DANA
OG0000024	LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS	LOC6496529|XP_001961079.1|DANA
OG0000025	LOC108607483|XP_017853815.1|DBUS	LOC6498525|XP_001962995.1|DANA
OG0000025	LOC117134728|XP_033149262.1|DBUS	LOC6498690|XP_001967678.1|DANA, LOC6504929|XP_032310964.1|DANA, LOC26515026|XP_014758997.2|DANA, LOC116655979|XP_032310863.1|DANA, LOC116655980|XP_032310864.1|DANA, LOC26513675|XP_032309215.1|DANA, LOC6504897|XP_001964816.3|DANA, LOC116655982|XP_032310866.1|DANA
OG0000026	LOC108606562|XP_017852268.1|DBUS	LOC6505023|XP_001965614.1|DANA
OG0000026	LOC108597443|XP_017839499.1|DBUS	LOC6498214|XP_001962316.1|DANA
OG0000026	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA
OG0000026	LOC108602219|XP_017845755.1|DBUS	LOC6500045|XP_001953325.1|DANA
OG0000027	LOC108600961|XP_017844639.1|DBUS	LOC6497408|XP_001962144.1|DANA
OG0000027	LOC108608302|XP_017855118.1|DBUS	LOC6497406|XP_001962147.2|DANA
OG0000027	LOC108600155|XP_017843044.1|DBUS	LOC6497407|XP_001962145.1|DANA
OG0000028	LOC108598250|XP_017840354.1|DBUS	LOC116655895|XP_032310688.1|DANA
OG0000028	LOC108597900|XP_017840008.2|DBUS	LOC6506803|XP_001957208.1|DANA
OG0000029	LOC108601292|XP_017844680.1|DBUS	LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA
OG0000029	LOC108599285|XP_017841572.1|DBUS	LOC6506262|XP_014764698.1|DANA
OG0000030	LOC108608102|XP_033150830.1|DBUS	LOC6504294|XP_001965069.1|DANA
OG0000030	LOC108595036|XP_017835704.1|DBUS, LOC108595111|XP_017835820.1|DBUS	LOC6496715|XP_001967320.2|DANA, LOC116655435|XP_032309226.1|DANA
OG0000030	LOC108594814|XP_017835442.1|DBUS, LOC108594815|XP_017835443.1|DBUS, LOC108594821|XP_033149207.1|DBUS, LOC108594803|XP_033149218.1|DBUS, LOC108594804|XP_033149217.1|DBUS	LOC6494711|XP_001959810.1|DANA
OG0000030	LOC108605352|XP_017850510.1|DBUS	LOC6504640|XP_001966489.1|DANA
OG0000031	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA
OG0000031	LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS	LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000031	LOC108596350|XP_017837498.1|DBUS	LOC6496944|XP_001963083.2|DANA
OG0000032	LOC108604099|XP_017848870.1|DBUS	LOC6499841|XP_001953793.1|DANA
OG0000032	LOC108601631|XP_017845019.1|DBUS	LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA, LOC6499843|XP_032305552.1|DANA
OG0000032	LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS	LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000033	LOC108596493|XP_017837798.1|DBUS	LOC6494619|XP_001959999.1|DANA, LOC6494622|XP_001959998.3|DANA
OG0000033	LOC108594868|XP_017835496.1|DBUS	LOC6495993|XP_001960000.1|DANA
OG0000034	LOC108600656|XP_017843844.2|DBUS	LOC6498174|XP_001962232.1|DANA
OG0000034	LOC108597722|XP_017839907.2|DBUS	LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA
OG0000034	LOC108608325|XP_017855153.2|DBUS	LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA
OG0000034	LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS	LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC108601814|XP_017845240.1|DBUS	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC108604642|XP_017849680.1|DBUS	LOC6505844|XP_001964473.1|DANA
OG0000036	LOC108602327|XP_017845903.1|DBUS, LOC108603042|XP_017846950.1|DBUS	LOC6500980|XP_001954293.1|DANA
OG0000036	LOC108601330|XP_033149802.1|DBUS, LOC117134637|XP_033149940.1|DBUS	LOC116656032|XP_032311076.1|DANA, LOC6499049|XP_001955412.1|DANA
OG0000037	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS	LOC6498848|XP_001955809.2|DANA
OG0000038	LOC108598255|XP_017840359.1|DBUS	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC108599609|XP_017842054.2|DBUS	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS	LOC6501134|XP_001954615.2|DANA
OG0000039	LOC108605767|XP_017851059.1|DBUS, LOC108605331|XP_017850490.1|DBUS	LOC6502398|XP_001967387.3|DANA
OG0000039	LOC108606083|XP_017851419.1|DBUS, LOC108599869|XP_017842508.1|DBUS, LOC108605330|XP_017850489.2|DBUS, LOC108606087|XP_017851422.2|DBUS	LOC6504271|XP_032308876.1|DANA
OG0000039	LOC108605392|XP_017850551.1|DBUS	LOC6503200|XP_032311880.1|DANA
OG0000040	LOC108601310|XP_017844699.1|DBUS	LOC6500947|XP_014766809.1|DANA, LOC6501033|XP_001954424.1|DANA
OG0000040	LOC108603822|XP_017848441.1|DBUS	LOC6499533|XP_001954425.2|DANA
OG0000040	LOC108604808|XP_017849901.1|DBUS	LOC6500946|XP_001954224.1|DANA
OG0000040	LOC108601313|XP_017844701.1|DBUS, LOC108604809|XP_017849902.1|DBUS	LOC6500944|XP_001954222.1|DANA
OG0000040	LOC117134625|XP_033150105.1|DBUS	LOC6505623|XP_001964581.1|DANA
OG0000041	LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000042	LOC117134763|XP_033149297.1|DBUS, LOC108594910|XP_017835536.1|DBUS, LOC108595933|XP_017836709.1|DBUS, LOC108595930|XP_017836706.1|DBUS, LOC108594909|XP_017835535.1|DBUS, LOC108595936|XP_017836712.1|DBUS, LOC108594913|XP_017835540.1|DBUS, LOC108594912|XP_017835539.1|DBUS, LOC108594911|XP_017835537.1|DBUS, LOC108595931|XP_017836707.1|DBUS, LOC108595934|XP_017836710.1|DBUS, LOC108595935|XP_017836711.1|DBUS, LOC108595932|XP_017836708.1|DBUS	LOC6495008|XP_001959230.2|DANA, LOC6495010|XP_001959228.2|DANA, LOC6495011|XP_001959229.1|DANA
OG0000042	LOC108601375|XP_033149906.1|DBUS	LOC6495009|XP_001959227.2|DANA
OG0000043	LOC108602049|XP_017845549.1|DBUS	LOC6499523|XP_032311279.1|DANA
OG0000043	LOC117134835|XP_033149811.1|DBUS	LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	LOC108602073|XP_017845582.1|DBUS	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC108601821|XP_017845247.1|DBUS	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA
OG0000045	LOC108599876|XP_017842521.1|DBUS	LOC6493486|XP_001957849.1|DANA
OG0000045	LOC108598309|XP_017840414.1|DBUS, LOC108599339|XP_017841631.2|DBUS	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	LOC108598310|XP_017840415.1|DBUS	LOC6507632|XP_001956043.1|DANA
OG0000045	LOC108598311|XP_017840416.1|DBUS	LOC6507423|XP_032310209.1|DANA
OG0000046	LOC108605644|XP_017850916.1|DBUS, LOC108607283|XP_017853469.1|DBUS	LOC6503183|XP_001963600.1|DANA, LOC6502915|XP_001963599.1|DANA
OG0000046	LOC108605353|XP_017850511.2|DBUS	LOC6503185|XP_032311857.1|DANA, LOC26514371|XP_014767278.1|DANA, LOC6501525|XP_014767090.2|DANA, LOC6501523|XP_001955420.3|DANA, LOC116654466|XP_032311125.1|DANA, LOC6501526|XP_001955423.1|DANA
OG0000047	LOC108595113|XP_033148899.1|DBUS	LOC6496443|XP_001960921.1|DANA
OG0000047	LOC108595086|XP_017835725.1|DBUS	LOC6496440|XP_001960917.1|DANA
OG0000047	LOC108595112|XP_017835761.1|DBUS	LOC6496543|XP_001961111.1|DANA
OG0000047	LOC108601150|XP_033149649.1|DBUS	LOC6493464|XP_001957813.1|DANA
OG0000047	LOC108597760|XP_017839960.1|DBUS	LOC6494029|XP_001961117.1|DANA
OG0000048	LOC108599705|XP_017842191.2|DBUS, LOC108599704|XP_017842190.2|DBUS	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	LOC108599702|XP_017842187.2|DBUS	LOC6493171|XP_001957195.2|DANA
OG0000048	LOC108599709|XP_017842195.1|DBUS	LOC6493169|XP_001957191.1|DANA
OG0000049	LOC108604094|XP_017848864.1|DBUS	LOC6500644|XP_001953636.2|DANA
OG0000049	LOC108604092|XP_017848863.1|DBUS	LOC6499920|XP_001953633.1|DANA
OG0000049	LOC108602189|XP_017845724.1|DBUS	LOC6500645|XP_001953637.1|DANA
OG0000049	LOC108602386|XP_017845985.1|DBUS	LOC6502640|XP_001953638.1|DANA
OG0000049	LOC108601428|XP_017844815.1|DBUS	LOC6499921|XP_001953632.1|DANA
OG0000050	LOC108598030|XP_017840133.2|DBUS	LOC6493850|XP_001958558.2|DANA
OG0000050	LOC108598031|XP_017840135.1|DBUS	LOC6493852|XP_001958560.2|DANA
OG0000051	LOC108602122|XP_017845638.1|DBUS	LOC6499129|XP_001955245.1|DANA
OG0000051	LOC108603519|XP_017847901.1|DBUS	LOC6500659|XP_001953666.2|DANA
OG0000051	LOC108601326|XP_017844713.1|DBUS	LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA
OG0000052	LOC108602705|XP_017846348.1|DBUS, LOC108602704|XP_017846347.1|DBUS	LOC6505124|XP_001964791.1|DANA, LOC6496824|XP_001963326.1|DANA, LOC6498306|XP_001962504.1|DANA, LOC6498305|XP_001962503.1|DANA, LOC6498307|XP_001962505.3|DANA, LOC6499936|XP_001953600.1|DANA
OG0000052	LOC108595895|XP_017836674.1|DBUS, LOC108594866|XP_017835493.1|DBUS, LOC108595449|XP_017836175.2|DBUS, LOC108595766|XP_017836545.1|DBUS, LOC108596993|XP_017838752.1|DBUS	LOC6496593|XP_001961216.2|DANA
OG0000052	LOC108595795|XP_017836575.1|DBUS, LOC108595759|XP_017836537.1|DBUS	LOC6496594|XP_001961217.1|DANA
OG0000053	LOC108596657|XP_017838132.1|DBUS	LOC6495215|XP_001958835.1|DANA
OG0000053	LOC108596656|XP_017838131.1|DBUS	LOC6495434|XP_001958836.2|DANA
OG0000053	LOC108596363|XP_017837514.1|DBUS	LOC6495214|XP_001958837.1|DANA
OG0000053	LOC108596359|XP_017837509.1|DBUS	LOC6495213|XP_001958838.1|DANA
OG0000053	LOC108596165|XP_017837161.1|DBUS	LOC6495436|XP_001958842.1|DANA
OG0000054	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS	LOC6499283|XP_001954953.1|DANA
OG0000054	LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS	LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA
OG0000055	LOC108602318|XP_017845891.1|DBUS	LOC6501596|XP_001955554.1|DANA
OG0000055	LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS	LOC6498987|XP_001955555.1|DANA
OG0000056	LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS	LOC6499765|XP_001953966.1|DANA
OG0000056	LOC108602080|XP_017845593.1|DBUS	LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA
OG0000056	LOC108598485|XP_017840632.1|DBUS	LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA
OG0000058	LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA
OG0000058	LOC117135039|XP_033150759.1|DBUS	LOC6497335|XP_001962298.1|DANA
OG0000058	LOC108606881|XP_017852895.1|DBUS	LOC6503754|XP_001963803.1|DANA
OG0000059	LOC108601365|XP_017844754.1|DBUS, LOC108601366|XP_017844755.1|DBUS	LOC6499240|XP_001955039.1|DANA, LOC6501345|XP_001955040.1|DANA
OG0000059	LOC108602589|XP_017846217.1|DBUS	LOC6499241|XP_001955038.1|DANA
OG0000059	LOC108602779|XP_017846474.2|DBUS, LOC108601372|XP_017844761.1|DBUS, LOC108602778|XP_017846473.2|DBUS	LOC6499239|XP_001955045.1|DANA
OG0000060	LOC108605501|XP_017850738.1|DBUS	LOC6504067|XP_001964111.1|DANA
OG0000060	LOC108596314|XP_017837413.1|DBUS	LOC6497905|XP_001961691.1|DANA
OG0000060	LOC108602170|XP_017845695.1|DBUS	LOC26514467|XP_032305726.1|DANA
OG0000060	LOC108604124|XP_017848902.1|DBUS	LOC6505935|XP_001964647.1|DANA
OG0000060	LOC108605927|XP_017851236.1|DBUS	LOC6502151|XP_001966118.1|DANA
OG0000060	LOC108594930|XP_033150017.1|DBUS	LOC6496714|XP_014759262.1|DANA
OG0000061	LOC108602145|XP_017845670.1|DBUS	LOC6496734|XP_001967353.1|DANA
OG0000061	LOC108594753|XP_017835384.1|DBUS	LOC6496703|XP_001967348.1|DANA
OG0000062	LOC108606274|XP_017851741.1|DBUS	LOC6504406|XP_001967034.1|DANA
OG0000062	LOC108607908|XP_017854511.1|DBUS	LOC6497538|XP_001961881.1|DANA, LOC26515327|XP_014762422.1|DANA, LOC6496869|XP_001963239.2|DANA, LOC116656013|XP_032311002.1|DANA, LOC116656063|XP_032311298.1|DANA
OG0000063	LOC108598139|XP_033149614.1|DBUS	LOC6506480|XP_001957794.2|DANA
OG0000063	LOC108598875|XP_017841124.1|DBUS	LOC6506483|XP_001957791.1|DANA
