Orthogroup	DSUZ.longest_only	DALB.longest_only
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC117566350|XP_034101727.1|DALB, LOC117566352|XP_034101730.1|DALB, LOC117566353|XP_034101731.1|DALB
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC117566351|XP_034101728.1|DALB
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC117570242|XP_034107635.1|DALB
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000005	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC117563579|XP_034097856.1|DALB
OG0000006	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC117571629|XP_034109744.1|DALB
OG0000007	LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ	LOC117571628|XP_034109743.1|DALB
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB
OG0000007	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB
OG0000009	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ	LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB
OG0000009	LOC108011415|XP_036670407.1|DSUZ	LOC117565287|XP_034100206.1|DALB
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC117565994|XP_034101304.1|DALB
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ	LOC117564299|XP_034098888.1|DALB
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB
OG0000012	LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ	LOC117571184|XP_034109105.1|DALB
OG0000012	LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	LOC117568519|XP_034105112.1|DALB
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC108015759|XP_036673283.1|DSUZ	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000014	LOC118879719|XP_036678520.1|DSUZ, LOC108007594|XP_036678380.1|DSUZ	LOC117571584|XP_034109691.1|DALB
OG0000015	LOC108016959|XP_016939387.2|DSUZ	LOC117565931|XP_034101209.1|DALB
OG0000015	LOC108010103|XP_016930413.1|DSUZ	LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC108019413|XP_016942724.1|DSUZ	LOC117573987|XP_034113425.1|DALB
OG0000016	LOC108009286|XP_016929004.1|DSUZ	LOC117567642|XP_034103639.1|DALB
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC108009982|XP_016930246.1|DSUZ	LOC117567926|XP_034104102.1|DALB
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC108010965|XP_016931470.1|DSUZ	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC108006430|XP_016925443.1|DSUZ	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000017	LOC108015782|XP_016937825.2|DSUZ	LOC117573354|XP_034112370.1|DALB, LOC117574908|XP_034114843.1|DALB, LOC117574957|XP_034114906.1|DALB, LOC117569360|XP_034106383.1|DALB
OG0000017	LOC108009905|XP_016930117.1|DSUZ	LOC117568041|XP_034104279.1|DALB
OG0000017	LOC108019403|XP_016942713.1|DSUZ	LOC117571751|XP_034109992.1|DALB
OG0000017	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ	LOC117564917|XP_034099761.1|DALB
OG0000018	LOC108012688|XP_016933605.1|DSUZ	LOC117571926|XP_034110299.1|DALB, LOC117569761|XP_034106945.1|DALB
OG0000018	LOC108012644|XP_016933559.1|DSUZ	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC108012663|XP_016933579.1|DSUZ	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ	LOC117569766|XP_034106951.1|DALB
OG0000018	LOC108013582|XP_016934999.1|DSUZ	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC108009233|XP_016928887.1|DSUZ	LOC117568572|XP_034105192.1|DALB
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC108015714|XP_036672549.1|DSUZ	LOC117576162|XP_034116628.1|DALB
OG0000020	LOC108010610|XP_036674725.1|DSUZ	LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB
OG0000020	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	LOC117565601|XP_034100693.1|DALB
OG0000021	LOC108015921|XP_016937993.1|DSUZ	LOC117570905|XP_034108701.1|DALB
OG0000021	LOC108009589|XP_016929550.1|DSUZ	LOC117566492|XP_034101922.1|DALB
OG0000021	LOC108009874|XP_016930066.1|DSUZ	LOC117570266|XP_034107672.1|DALB
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC108006427|XP_036673222.1|DSUZ	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC108018719|XP_036672548.1|DSUZ	LOC117576017|XP_034116416.1|DALB
OG0000021	LOC108005418|XP_036676931.1|DSUZ	LOC117575314|XP_034115363.1|DALB
OG0000022	LOC108008926|XP_016928324.1|DSUZ	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ	LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB
OG0000023	LOC108013955|XP_036675219.1|DSUZ	LOC117576456|XP_034117119.1|DALB
OG0000023	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ	LOC117565137|XP_034099998.1|DALB
OG0000023	LOC108009166|XP_016928770.1|DSUZ	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC108013954|XP_016935453.2|DSUZ	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC108013962|XP_016935466.1|DSUZ	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC108013947|XP_036675218.1|DSUZ	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC108013965|XP_016935470.1|DSUZ	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB
OG0000024	LOC108010071|XP_016930374.1|DSUZ	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	LOC117575969|XP_034116339.1|DALB
OG0000024	LOC108019756|XP_016943207.1|DSUZ	LOC117571483|XP_034109539.1|DALB
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC108004556|XP_016922979.1|DSUZ	LOC117577993|XP_034118981.1|DALB, LOC117569252|XP_034106220.1|DALB, LOC117570089|XP_034107430.1|DALB
OG0000026	LOC108010503|XP_036668665.1|DSUZ	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC108013851|XP_016935328.2|DSUZ	LOC117573365|XP_034112385.1|DALB
OG0000027	LOC118879783|XP_036678676.1|DSUZ	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC108015770|XP_036678674.1|DSUZ	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ	LOC117566511|XP_034101942.1|DALB
OG0000029	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB
OG0000029	LOC108019543|XP_016942870.2|DSUZ	LOC117569056|XP_034105958.1|DALB
OG0000030	LOC108013240|XP_036677776.1|DSUZ	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC108016627|XP_016938811.1|DSUZ	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC108021690|XP_016946003.1|DSUZ, LOC118879756|XP_036678590.1|DSUZ, LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ, LOC108016076|XP_016938162.1|DSUZ	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000031	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC108018357|XP_036672791.1|DSUZ	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC108007821|XP_016927075.2|DSUZ	LOC117574485|XP_034114214.1|DALB
OG0000032	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000033	LOC118877527|XP_036672470.1|DSUZ, LOC108020436|XP_036671704.1|DSUZ, LOC108008155|XP_016927432.2|DSUZ, LOC108010823|XP_016931314.1|DSUZ, LOC108012454|XP_016933333.1|DSUZ, LOC108013705|XP_016935119.2|DSUZ, LOC108010908|XP_016931435.1|DSUZ, LOC108017678|XP_016940276.1|DSUZ, LOC108017971|XP_016940757.1|DSUZ	LOC117571679|XP_034109811.1|DALB
OG0000033	LOC108017970|XP_016940756.2|DSUZ	LOC117573530|XP_034112668.1|DALB, LOC117566466|XP_034101888.1|DALB, LOC117575231|XP_034115252.1|DALB, LOC117565138|XP_034100000.1|DALB, LOC117564992|XP_034099828.1|DALB, LOC117565338|XP_034100279.1|DALB
OG0000034	LOC108021477|XP_016945708.1|DSUZ	LOC117565378|XP_034100343.1|DALB
OG0000034	LOC108021476|XP_016945707.1|DSUZ	LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB
OG0000034	LOC108021724|XP_016946052.1|DSUZ	LOC117563632|XP_034097930.1|DALB
OG0000034	LOC108011927|XP_016932664.1|DSUZ	LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC118877768|XP_036673685.1|DSUZ, LOC118877323|XP_036671482.1|DSUZ	LOC117577292|XP_034118160.1|DALB
OG0000036	LOC108019328|XP_036675087.1|DSUZ	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC108006404|XP_016925415.2|DSUZ	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC108011658|XP_016932343.2|DSUZ	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC108007854|XP_036674140.1|DSUZ	LOC117576608|XP_034117400.1|DALB
OG0000037	LOC108018132|XP_016941074.1|DSUZ	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	LOC117575741|XP_034115985.1|DALB
OG0000038	LOC108020759|XP_016944626.2|DSUZ	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC108010653|XP_036670653.1|DSUZ	LOC117570080|XP_034107411.1|DALB
OG0000039	LOC108016023|XP_016938107.2|DSUZ	LOC117575707|XP_034115928.1|DALB
OG0000039	LOC108006280|XP_016925226.1|DSUZ	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000039	LOC108006287|XP_016925235.1|DSUZ	LOC117577745|XP_034118547.1|DALB
OG0000039	LOC108019017|XP_016942120.1|DSUZ	LOC117565813|XP_034101004.1|DALB
OG0000040	LOC108016198|XP_036675321.1|DSUZ, LOC108006036|XP_036674433.1|DSUZ	LOC117573615|XP_034112803.1|DALB
OG0000040	LOC108006007|XP_036674432.1|DSUZ	LOC117573619|XP_034112810.1|DALB
OG0000040	LOC108007382|XP_016926528.2|DSUZ	LOC117573618|XP_034112808.1|DALB
OG0000041	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ	LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
