Orthogroup	DSUZ.longest_only	DVIR.longest_only
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC6627946|XP_002051419.1|DVIR
OG0000006	LOC118879268|XP_036678045.1|DSUZ	LOC6637025|XP_002060454.1|DVIR
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC116650729|XP_032291101.1|DVIR
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR
OG0000007	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC6623720|XP_002046325.3|DVIR
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC26531283|XP_015031719.1|DVIR
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC108011415|XP_036670407.1|DSUZ	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC6626542|XP_002050752.1|DVIR
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC118879264|XP_036678040.1|DSUZ	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC118879650|XP_036678438.1|DSUZ	LOC6630837|XP_002053113.1|DVIR
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC118877317|XP_036671430.1|DSUZ	LOC116649824|XP_032288860.1|DVIR
OG0000010	LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ	LOC6637029|XP_002060450.1|DVIR
OG0000011	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ	LOC6623065|XP_002048503.2|DVIR
OG0000011	LOC118877899|XP_036674305.1|DSUZ	LOC6635697|XP_002059270.2|DVIR
OG0000011	LOC108019539|XP_036675111.1|DSUZ	LOC26531915|XP_015024752.1|DVIR
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC6624922|XP_002050777.1|DVIR
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC6625019|XP_002050778.1|DVIR
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC6625021|XP_002050780.1|DVIR
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC6624921|XP_015029085.1|DVIR
OG0000012	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ	LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR
OG0000012	LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ	LOC6627005|XP_002050771.1|DVIR
OG0000012	LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC108015759|XP_036673283.1|DSUZ	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR
OG0000013	LOC108007391|XP_016926534.2|DSUZ	LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000014	LOC118878839|XP_036677760.1|DSUZ	LOC116650074|XP_032289316.1|DVIR
OG0000014	LOC118879093|XP_036677970.1|DSUZ, LOC118878475|XP_036677366.1|DSUZ, LOC118879451|XP_036678220.1|DSUZ, LOC108005664|XP_016924475.1|DSUZ	LOC116649966|XP_032289172.1|DVIR, LOC116649899|XP_032289057.1|DVIR
OG0000015	LOC108016959|XP_016939387.2|DSUZ	LOC6633997|XP_032293758.1|DVIR
OG0000015	LOC108010103|XP_016930413.1|DSUZ	LOC26531562|XP_032293636.1|DVIR
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ	LOC6633127|XP_002056070.1|DVIR
OG0000016	LOC108009286|XP_016929004.1|DSUZ	LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC6630423|XP_002053735.1|DVIR
OG0000016	LOC108009982|XP_016930246.1|DSUZ	LOC6625554|XP_002049004.2|DVIR
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC108010965|XP_016931470.1|DSUZ	LOC6635861|XP_002059335.1|DVIR
OG0000016	LOC108006430|XP_016925443.1|DSUZ	LOC6631018|XP_002054294.1|DVIR
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC6623693|XP_002048319.1|DVIR
OG0000017	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ	LOC6635873|XP_002059346.1|DVIR, LOC6636383|XP_032292047.1|DVIR, LOC6636382|XP_032292048.1|DVIR
OG0000017	LOC108015782|XP_016937825.2|DSUZ	LOC6628970|XP_032293497.1|DVIR, LOC6623565|XP_032291328.1|DVIR, LOC116651590|XP_032294188.1|DVIR
OG0000017	LOC108009905|XP_016930117.1|DSUZ	LOC6627049|XP_002050830.3|DVIR
OG0000017	LOC108019403|XP_016942713.1|DSUZ	LOC6635871|XP_002059345.1|DVIR
OG0000017	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ	LOC6627836|XP_032294331.1|DVIR
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC108012644|XP_016933559.1|DSUZ	LOC6623369|XP_002046140.1|DVIR
OG0000018	LOC108012663|XP_016933579.1|DSUZ	LOC6623326|XP_002046138.1|DVIR
OG0000018	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ, LOC108012675|XP_016933591.2|DSUZ, LOC108012710|XP_016933628.2|DSUZ, LOC118877292|XP_036671250.1|DSUZ	LOC6623391|XP_002046158.1|DVIR
OG0000018	LOC108013582|XP_016934999.1|DSUZ	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC108016142|XP_016938246.1|DSUZ	LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR
OG0000019	LOC108016158|XP_036675606.1|DSUZ	LOC6630458|XP_002053919.1|DVIR
OG0000019	LOC108016141|XP_016938245.1|DSUZ	LOC6630457|XP_002053918.1|DVIR
OG0000019	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	LOC6634957|XP_002058591.1|DVIR
OG0000020	LOC108009233|XP_016928887.1|DSUZ	LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ	LOC6628903|XP_002051547.2|DVIR
OG0000020	LOC108015714|XP_036672549.1|DSUZ	LOC6632501|XP_032289762.1|DVIR
OG0000020	LOC108010610|XP_036674725.1|DSUZ	LOC6632573|XP_015026213.1|DVIR
OG0000020	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC108015921|XP_016937993.1|DSUZ	LOC6627018|XP_002049728.2|DVIR
OG0000021	LOC108009589|XP_016929550.1|DSUZ	LOC6627164|XP_002049737.1|DVIR
OG0000021	LOC108009874|XP_016930066.1|DSUZ	LOC6625700|XP_015029837.1|DVIR
OG0000021	LOC108008720|XP_016928109.1|DSUZ	LOC6625029|XP_002050452.1|DVIR
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC108006427|XP_036673222.1|DSUZ	LOC6629522|XP_002053324.1|DVIR
OG0000021	LOC108018719|XP_036672548.1|DSUZ	LOC6629847|XP_002054468.1|DVIR
OG0000021	LOC108005418|XP_036676931.1|DSUZ	LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC108008926|XP_016928324.1|DSUZ	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR
OG0000022	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ	LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR
OG0000022	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ	LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC108013955|XP_036675219.1|DSUZ	LOC26530945|XP_015026270.1|DVIR
OG0000023	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ	LOC6632666|XP_032289605.1|DVIR
OG0000023	LOC108013952|XP_016935450.2|DSUZ	LOC6632668|XP_002056437.2|DVIR
OG0000023	LOC108019337|XP_016942646.2|DSUZ	LOC6632669|XP_002056438.1|DVIR
OG0000023	LOC108009166|XP_016928770.1|DSUZ	LOC6626291|XP_002050067.1|DVIR
OG0000023	LOC108018731|XP_036675082.1|DSUZ	LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR
OG0000023	LOC108013954|XP_016935453.2|DSUZ	LOC6632533|XP_002056431.1|DVIR
OG0000023	LOC108013962|XP_016935466.1|DSUZ	LOC6632529|XP_002056427.2|DVIR
OG0000023	LOC108013947|XP_036675218.1|DSUZ	LOC6632531|XP_002056429.1|DVIR
OG0000023	LOC108013965|XP_016935470.1|DSUZ	LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR
OG0000024	LOC108010071|XP_016930374.1|DSUZ	LOC6625431|XP_002049268.3|DVIR
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	LOC6634081|XP_002057902.1|DVIR
OG0000024	LOC108019756|XP_016943207.1|DSUZ	LOC6625162|XP_002048929.1|DVIR
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC108004556|XP_016922979.1|DSUZ	LOC6631803|XP_002055737.1|DVIR
OG0000026	LOC108010503|XP_036668665.1|DSUZ	LOC6628165|XP_002051461.1|DVIR
OG0000026	LOC108013851|XP_016935328.2|DSUZ	LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC118879783|XP_036678676.1|DSUZ	LOC6629148|XP_002052895.1|DVIR
OG0000027	LOC108015770|XP_036678674.1|DSUZ	LOC6627465|XP_002052896.1|DVIR
OG0000028	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ	LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR
OG0000029	LOC108019543|XP_016942870.2|DSUZ	LOC6624236|XP_002048359.1|DVIR
OG0000030	LOC108013240|XP_036677776.1|DSUZ	LOC6627555|XP_002052289.1|DVIR
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ	LOC6628998|XP_002052101.1|DVIR
OG0000030	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ	LOC6627051|XP_002050832.1|DVIR, LOC6626964|XP_002050828.1|DVIR, LOC6626963|XP_002050827.1|DVIR
OG0000030	LOC108016627|XP_016938811.1|DSUZ	LOC6633403|XP_002057213.1|DVIR
OG0000030	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ	LOC6632190|XP_002055645.1|DVIR
OG0000031	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ	LOC6634268|XP_002057550.2|DVIR
OG0000031	LOC108021690|XP_016946003.1|DSUZ, LOC118879756|XP_036678590.1|DSUZ, LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ, LOC108016076|XP_016938162.1|DSUZ	LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000031	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ	LOC6629125|XP_002052391.1|DVIR
OG0000032	LOC108018357|XP_036672791.1|DSUZ	LOC6629979|XP_002054337.1|DVIR
OG0000032	LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ, LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ, LOC108007821|XP_016927075.2|DSUZ	LOC6629980|XP_032294917.1|DVIR
OG0000032	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000033	LOC118877527|XP_036672470.1|DSUZ, LOC108020436|XP_036671704.1|DSUZ, LOC108008155|XP_016927432.2|DSUZ, LOC108010823|XP_016931314.1|DSUZ, LOC108012454|XP_016933333.1|DSUZ, LOC108013705|XP_016935119.2|DSUZ, LOC108010908|XP_016931435.1|DSUZ, LOC108017678|XP_016940276.1|DSUZ, LOC108017971|XP_016940757.1|DSUZ	LOC6635949|XP_002059391.1|DVIR
OG0000033	LOC108017970|XP_016940756.2|DSUZ	LOC6630139|XP_002053622.1|DVIR, LOC6630138|XP_002053621.1|DVIR, LOC6629617|XP_002053590.1|DVIR
OG0000034	LOC108021477|XP_016945708.1|DSUZ	LOC6627930|XP_002051996.1|DVIR
OG0000034	LOC108021476|XP_016945707.1|DSUZ	LOC6627931|XP_002051997.2|DVIR
OG0000034	LOC108021724|XP_016946052.1|DSUZ	LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR
OG0000034	LOC108011927|XP_016932664.1|DSUZ	LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC108019328|XP_036675087.1|DSUZ	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC108006404|XP_016925415.2|DSUZ	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC108011658|XP_016932343.2|DSUZ	LOC6634881|XP_002058500.1|DVIR
OG0000036	LOC108007854|XP_036674140.1|DSUZ	LOC6630607|XP_002054482.2|DVIR
OG0000037	LOC108018132|XP_016941074.1|DSUZ	LOC6627126|XP_032291548.1|DVIR
OG0000037	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	LOC6629970|XP_002053079.1|DVIR
OG0000038	LOC108020759|XP_016944626.2|DSUZ	LOC6622648|XP_002047530.1|DVIR
OG0000038	LOC108010653|XP_036670653.1|DSUZ	LOC6624649|XP_002047532.2|DVIR
OG0000039	LOC108016023|XP_016938107.2|DSUZ	LOC6630003|XP_002054716.2|DVIR
OG0000039	LOC108006280|XP_016925226.1|DSUZ	LOC6631924|XP_002055751.1|DVIR
OG0000039	LOC108006287|XP_016925235.1|DSUZ	LOC6636063|XP_002059594.1|DVIR
OG0000039	LOC108019017|XP_016942120.1|DSUZ	LOC6636702|XP_002060175.3|DVIR
OG0000040	LOC108016198|XP_036675321.1|DSUZ, LOC108006036|XP_036674433.1|DSUZ	LOC6629625|XP_002054865.1|DVIR
OG0000040	LOC108006007|XP_036674432.1|DSUZ	LOC6629626|XP_002054866.2|DVIR
OG0000040	LOC108011397|XP_016932008.2|DSUZ, LOC108011398|XP_036675473.1|DSUZ, LOC108007390|XP_036675323.1|DSUZ, LOC108007385|XP_016926531.2|DSUZ	LOC116651842|XP_032294845.1|DVIR, LOC6629623|XP_032294844.1|DVIR
OG0000040	LOC108007382|XP_016926528.2|DSUZ	LOC6629621|XP_002054861.1|DVIR
OG0000040	LOC108010783|XP_016931200.1|DSUZ	LOC6629744|XP_002053886.1|DVIR
OG0000041	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ	LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000042	LOC108017900|XP_016940559.1|DSUZ, LOC108017907|XP_016940566.1|DSUZ, LOC108017901|XP_016940560.1|DSUZ, LOC108017904|XP_036669901.1|DSUZ, LOC108017721|XP_016940320.2|DSUZ, LOC108017910|XP_016940568.2|DSUZ, LOC108017722|XP_016940321.2|DSUZ	LOC6630880|XP_002053792.2|DVIR, LOC6636545|XP_002060049.1|DVIR, LOC6625347|XP_002051000.3|DVIR, LOC6625529|XP_002051023.1|DVIR, LOC6625448|XP_002050998.1|DVIR, LOC6623106|XP_002046713.1|DVIR, LOC6625348|XP_002051001.1|DVIR, LOC6625349|XP_002051002.1|DVIR
OG0000043	LOC108006051|XP_036674427.1|DSUZ	LOC6630320|XP_002053430.1|DVIR
OG0000043	LOC108006016|XP_036674672.1|DSUZ	LOC6630321|XP_002053431.1|DVIR
OG0000043	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ	LOC6630323|XP_002053433.1|DVIR
OG0000043	LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ	LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC108012094|XP_016932860.2|DSUZ	LOC6630493|XP_002053200.1|DVIR
OG0000044	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ	LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC108004812|XP_036670921.1|DSUZ	LOC6624147|XP_002046895.1|DVIR
OG0000045	LOC108012264|XP_016933053.1|DSUZ, LOC108012265|XP_016933055.1|DSUZ	LOC6622199|XP_002046894.1|DVIR
OG0000045	LOC108005813|XP_016924631.1|DSUZ	LOC6624099|XP_002046893.1|DVIR
OG0000045	LOC108005814|XP_016924632.1|DSUZ	LOC6623107|XP_002046892.1|DVIR
OG0000046	LOC108014937|XP_016936647.1|DSUZ, LOC108014936|XP_016936646.1|DSUZ	LOC116652288|XP_032296485.1|DVIR, LOC6634418|XP_032296332.1|DVIR
