Orthogroup	DSUZ.longest_only	DYAK.longest_only
OG0000001	LOC118878822|XP_036677740.1|DSUZ	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC108011106|XP_016931667.2|DSUZ	LOC6528284|XP_002089337.3|DYAK
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC108021294|XP_016945474.2|DSUZ	LOC6526775|XP_002087878.2|DYAK
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC118877697|XP_036673424.1|DSUZ	LOC6538264|XP_002098791.1|DYAK
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC108008949|XP_016928349.1|DSUZ	LOC6530458|XP_002091374.1|DYAK
OG0000003	LOC108008948|XP_016928348.1|DSUZ	LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC108019594|XP_016942924.1|DSUZ	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC6528128|XP_002089195.3|DYAK
OG0000005	LOC118879641|XP_036678429.1|DSUZ	LOC120321200|XP_039229119.1|DYAK, LOC120321199|XP_039229118.1|DYAK
OG0000005	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ	LOC120321241|XP_039229337.1|DYAK
OG0000005	LOC118879258|XP_036678034.1|DSUZ	LOC120322205|XP_039233196.1|DYAK
OG0000005	LOC108016328|XP_036678434.1|DSUZ	LOC120322201|XP_039233192.1|DYAK
OG0000005	LOC118879512|XP_036678269.1|DSUZ	LOC120321243|XP_039229339.1|DYAK
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC108016327|XP_016938453.2|DSUZ	LOC120321198|XP_039229117.1|DYAK
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC26535831|XP_015045247.2|DYAK
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC108013029|XP_016934109.1|DSUZ	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC108012427|XP_016933279.1|DSUZ	LOC6533138|XP_002093864.1|DYAK
OG0000007	LOC108012288|XP_016933078.2|DSUZ	LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC118879795|XP_036678702.1|DSUZ	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC108012353|XP_016933194.1|DSUZ	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC108012354|XP_016933195.2|DSUZ	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC6527620|XP_002088708.1|DYAK
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC6527319|XP_002088412.1|DYAK
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC108011129|XP_016931690.1|DSUZ	LOC6524096|XP_002099960.1|DYAK
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC6535721|XP_002096347.1|DYAK
OG0000009	LOC108015574|XP_036672879.1|DSUZ	LOC6535720|XP_002096346.1|DYAK
OG0000009	LOC108014176|XP_016935699.1|DSUZ	LOC6535722|XP_002096348.1|DYAK
OG0000009	LOC108011415|XP_036670407.1|DSUZ	LOC6533117|XP_002093843.1|DYAK
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC6532044|XP_002092821.1|DYAK
OG0000009	LOC108019245|XP_036673765.1|DSUZ	LOC6536768|XP_002097339.1|DYAK
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC6530109|XP_002091055.1|DYAK
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC118879264|XP_036678040.1|DSUZ	LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC118877317|XP_036671430.1|DSUZ	LOC120322222|XP_039233212.1|DYAK
OG0000010	LOC108006791|XP_016925829.1|DSUZ	LOC120322221|XP_039233211.1|DYAK
OG0000011	LOC108005601|XP_016924394.1|DSUZ	LOC26534881|XP_015054560.1|DYAK
OG0000011	LOC108018989|XP_016942085.1|DSUZ	LOC6525318|XP_002101154.2|DYAK
OG0000011	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ	LOC120320450|XP_039227155.1|DYAK
OG0000011	LOC108010267|XP_016930620.1|DSUZ	LOC6526687|XP_002087792.2|DYAK
OG0000011	LOC108007943|XP_016927205.1|DSUZ	LOC6526836|XP_039227102.1|DYAK, LOC6526837|XP_002087937.1|DYAK
OG0000011	LOC108011057|XP_016931608.2|DSUZ	LOC26535503|XP_015045173.2|DYAK
OG0000011	LOC108020156|XP_036668757.1|DSUZ	LOC6529533|XP_039228709.1|DYAK
OG0000011	LOC108014635|XP_016936289.1|DSUZ	LOC6529527|XP_039228713.1|DYAK
OG0000011	LOC108005222|XP_016923902.1|DSUZ	LOC120320662|XP_039226899.1|DYAK
OG0000011	LOC108012408|XP_016933257.1|DSUZ	LOC6534062|XP_002094748.1|DYAK
OG0000011	LOC108012407|XP_016933256.1|DSUZ	LOC6534063|XP_002094749.1|DYAK
OG0000011	LOC118877899|XP_036674305.1|DSUZ	LOC6536394|XP_002096976.1|DYAK
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC108008112|XP_016927391.1|DSUZ	LOC6530954|XP_002091792.1|DYAK
OG0000012	LOC108008893|XP_036669248.1|DSUZ	LOC6530955|XP_002091793.1|DYAK
OG0000012	LOC108008513|XP_016927870.1|DSUZ	LOC6530135|XP_002091081.1|DYAK
OG0000012	LOC108008168|XP_036669662.1|DSUZ	LOC6530133|XP_002091079.2|DYAK
OG0000012	LOC108009570|XP_016929524.1|DSUZ	LOC6530132|XP_002091078.1|DYAK
OG0000012	LOC108009572|XP_016929528.1|DSUZ	LOC6530131|XP_002091077.2|DYAK
OG0000012	LOC108009569|XP_016929521.1|DSUZ	LOC6530130|XP_002091076.1|DYAK
OG0000012	LOC108009571|XP_016929527.1|DSUZ	LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC108015759|XP_036673283.1|DSUZ	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC108007391|XP_016926534.2|DSUZ	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000014	LOC118879246|XP_036678025.1|DSUZ	LOC120321092|XP_039228481.1|DYAK
OG0000014	LOC118878508|XP_036677404.1|DSUZ, LOC118878474|XP_036677365.1|DSUZ	LOC120320535|XP_039226317.1|DYAK
OG0000014	LOC118878431|XP_036677301.1|DSUZ	LOC120321426|XP_039229753.1|DYAK
OG0000015	LOC108016959|XP_016939387.2|DSUZ	LOC6529704|XP_002090697.2|DYAK
OG0000015	LOC108010739|XP_036668651.1|DSUZ, LOC108012550|XP_016933490.1|DSUZ	LOC6526496|XP_039227173.1|DYAK
OG0000015	LOC108010859|XP_016931327.1|DSUZ	LOC120320869|XP_039227770.1|DYAK
OG0000015	LOC108009429|XP_016929253.1|DSUZ	LOC6526950|XP_002088046.2|DYAK
OG0000015	LOC108018900|XP_016941980.1|DSUZ	LOC6526894|XP_002087993.1|DYAK
OG0000015	LOC108010103|XP_016930413.1|DSUZ	LOC6530275|XP_002091207.2|DYAK
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ	LOC6536965|XP_002097534.1|DYAK
OG0000016	LOC108009286|XP_016929004.1|DSUZ	LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC108009982|XP_016930246.1|DSUZ	LOC6531360|XP_002092163.2|DYAK
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC6525488|XP_002101323.1|DYAK
OG0000016	LOC108010965|XP_016931470.1|DSUZ	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC108006430|XP_016925443.1|DSUZ	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC108018993|XP_036676279.1|DSUZ	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC108009448|XP_016929291.1|DSUZ	LOC6528495|XP_002089541.2|DYAK
OG0000017	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ	LOC6539128|XP_002086029.1|DYAK
OG0000017	LOC108006071|XP_036673105.1|DSUZ	LOC6536204|XP_002096795.1|DYAK
OG0000017	LOC108015782|XP_016937825.2|DSUZ	LOC6538219|XP_002098746.2|DYAK
OG0000017	LOC108009905|XP_016930117.1|DSUZ	LOC6531831|XP_002092618.3|DYAK
OG0000017	LOC108019403|XP_016942713.1|DSUZ	LOC6529100|XP_002090113.1|DYAK
OG0000017	LOC108009903|XP_016930115.2|DSUZ, LOC108009904|XP_036669180.1|DSUZ	LOC6531832|XP_002092619.1|DYAK
OG0000017	LOC108010173|XP_036669903.1|DSUZ	LOC6526432|XP_002087551.1|DYAK
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC108012688|XP_016933605.1|DSUZ	LOC26535738|XP_015049834.1|DYAK
OG0000018	LOC108012644|XP_016933559.1|DSUZ	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC108012663|XP_016933579.1|DSUZ	LOC6533166|XP_002093892.1|DYAK
OG0000018	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ, LOC108012675|XP_016933591.2|DSUZ	LOC26534877|XP_015049829.1|DYAK, LOC26534805|XP_015049828.1|DYAK, LOC26535405|XP_015049827.1|DYAK
OG0000018	LOC108012710|XP_016933628.2|DSUZ, LOC118877292|XP_036671250.1|DSUZ	LOC26534941|XP_015049831.1|DYAK
OG0000019	LOC108016142|XP_016938246.1|DSUZ	LOC6538322|XP_039232218.1|DYAK
OG0000019	LOC108016122|XP_036675619.1|DSUZ	LOC6538324|XP_002098851.2|DYAK
OG0000019	LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ	LOC6538323|XP_002098850.2|DYAK
OG0000019	LOC108016158|XP_036675606.1|DSUZ	LOC6538326|XP_002098853.2|DYAK
OG0000019	LOC108016139|XP_016938240.1|DSUZ	LOC6538321|XP_002098848.1|DYAK
OG0000019	LOC108016146|XP_016938250.2|DSUZ	LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC108009233|XP_016928887.1|DSUZ	LOC6530655|XP_002091553.1|DYAK
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ	LOC6529647|XP_002090641.1|DYAK
OG0000020	LOC108010328|XP_016930743.1|DSUZ	LOC6528749|XP_002089784.2|DYAK
OG0000020	LOC108021143|XP_036673557.1|DSUZ	LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC108015714|XP_036672549.1|DSUZ	LOC6535735|XP_039231556.1|DYAK
OG0000020	LOC108010610|XP_036674725.1|DSUZ	LOC6537431|XP_002097987.1|DYAK
OG0000020	LOC108021708|XP_016946031.1|DSUZ	LOC6529263|XP_002090268.1|DYAK
OG0000020	LOC108021147|XP_016945207.1|DSUZ	LOC6529648|XP_002090642.1|DYAK
OG0000021	LOC108015921|XP_016937993.1|DSUZ	LOC6526678|XP_002087784.1|DYAK
OG0000021	LOC108009589|XP_016929550.1|DSUZ	LOC6530550|XP_002091465.1|DYAK
OG0000021	LOC108009874|XP_016930066.1|DSUZ	LOC6530532|XP_039228836.1|DYAK
OG0000021	LOC108008720|XP_016928109.1|DSUZ	LOC6531172|XP_002092001.1|DYAK
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC108006427|XP_036673222.1|DSUZ	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC108018719|XP_036672548.1|DSUZ	LOC6536819|XP_002097389.1|DYAK
OG0000021	LOC108005418|XP_036676931.1|DSUZ	LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC108008926|XP_016928324.1|DSUZ	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC108012621|XP_016933529.1|DSUZ	LOC6532315|XP_002093075.1|DYAK
OG0000022	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000022	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ	LOC6532325|XP_002093085.1|DYAK
OG0000022	LOC108013018|XP_016934098.1|DSUZ	LOC6532324|XP_002093084.1|DYAK
OG0000023	LOC108013955|XP_036675219.1|DSUZ	LOC6536030|XP_002096645.2|DYAK
OG0000023	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ	LOC6536027|XP_002096642.3|DYAK, LOC6536034|XP_002096649.3|DYAK
OG0000023	LOC108019337|XP_016942646.2|DSUZ	LOC6539886|XP_002086766.1|DYAK
OG0000023	LOC108009166|XP_016928770.1|DSUZ	LOC6531278|XP_002092087.2|DYAK
OG0000023	LOC108018731|XP_036675082.1|DSUZ	LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC108013954|XP_016935453.2|DSUZ	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC108013947|XP_036675218.1|DSUZ	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC108013965|XP_016935470.1|DSUZ	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC108010072|XP_016930375.2|DSUZ	LOC6530300|XP_002091227.1|DYAK
OG0000024	LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ	LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK
OG0000024	LOC108010252|XP_016930594.2|DSUZ	LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC108010071|XP_016930374.1|DSUZ	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	LOC6529811|XP_002090793.1|DYAK
OG0000024	LOC108019756|XP_016943207.1|DSUZ	LOC6529951|XP_002090905.3|DYAK
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC108004556|XP_016922979.1|DSUZ	LOC6525058|XP_002100897.1|DYAK
OG0000026	LOC108010503|XP_036668665.1|DSUZ	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC108005489|XP_016924284.1|DSUZ	LOC6525544|XP_002101379.1|DYAK
OG0000026	LOC108013851|XP_016935328.2|DSUZ	LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC118879783|XP_036678676.1|DSUZ	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC108021423|XP_016945624.1|DSUZ	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC108015770|XP_036678674.1|DSUZ	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ	LOC6534951|XP_039229813.1|DYAK
OG0000028	LOC118877366|XP_036671777.1|DSUZ	LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC108018422|XP_016941467.2|DSUZ	LOC6536587|XP_002097163.1|DYAK
OG0000029	LOC108008251|XP_016927530.2|DSUZ	LOC6528801|XP_002089833.1|DYAK
OG0000029	LOC108018480|XP_016941526.2|DSUZ	LOC6536173|XP_002096764.1|DYAK
OG0000029	LOC108019543|XP_016942870.2|DSUZ	LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC108013240|XP_036677776.1|DSUZ	LOC6527318|XP_002088411.1|DYAK
OG0000030	LOC108019494|XP_016942847.1|DSUZ	LOC6527316|XP_002088409.2|DYAK
OG0000030	LOC108012924|XP_016933943.1|DSUZ	LOC6527317|XP_002088410.1|DYAK
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC108008957|XP_016928357.1|DSUZ	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC108016627|XP_016938811.1|DSUZ	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ	LOC6528958|XP_002089990.1|DYAK, LOC6528971|XP_002090003.2|DYAK
OG0000031	LOC108016065|XP_016938150.1|DSUZ	LOC6528984|XP_002090016.3|DYAK
OG0000031	LOC108021690|XP_016946003.1|DSUZ	LOC6529463|XP_002090465.2|DYAK
OG0000031	LOC108020065|XP_036671004.1|DSUZ	LOC6532903|XP_002093639.1|DYAK
OG0000031	LOC108008340|XP_016927698.1|DSUZ	LOC6526633|XP_002087741.1|DYAK
OG0000031	LOC108016076|XP_016938162.1|DSUZ	LOC6528983|XP_002090015.2|DYAK
OG0000031	LOC108017973|XP_016940764.1|DSUZ	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC108018357|XP_036672791.1|DSUZ	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC108018356|XP_036672750.1|DSUZ	LOC6536800|XP_002097370.2|DYAK
OG0000032	LOC108018408|XP_016941455.1|DSUZ	LOC6536802|XP_002097372.1|DYAK
OG0000032	LOC118877584|XP_036672749.1|DSUZ	LOC6536801|XP_002097371.1|DYAK
OG0000033	LOC108007608|XP_016926802.1|DSUZ, LOC118877727|XP_036673586.1|DSUZ	LOC6538141|XP_039231494.1|DYAK
OG0000033	LOC108007624|XP_036673594.1|DSUZ, LOC108007609|XP_016926803.2|DSUZ	LOC6538142|XP_002098676.1|DYAK
OG0000033	LOC108010823|XP_016931314.1|DSUZ, LOC108012454|XP_016933333.1|DSUZ	LOC6530309|XP_039228670.1|DYAK
OG0000033	LOC108017678|XP_016940276.1|DSUZ	LOC6528345|XP_002089398.1|DYAK
OG0000033	LOC108017971|XP_016940757.1|DSUZ	LOC6528344|XP_002089397.2|DYAK
OG0000033	LOC108017970|XP_016940756.2|DSUZ	LOC6528350|XP_002089399.1|DYAK
OG0000033	LOC108010515|XP_016930878.2|DSUZ	LOC6534298|XP_002094979.1|DYAK
OG0000033	LOC108013858|XP_016935336.2|DSUZ, LOC118878058|XP_036675136.1|DSUZ	LOC6535950|XP_002096566.1|DYAK
OG0000033	LOC108008236|XP_016927516.1|DSUZ, LOC108008237|XP_016927517.1|DSUZ, LOC108008235|XP_016927515.1|DSUZ	LOC6531400|XP_002092203.1|DYAK
OG0000033	LOC108008234|XP_016927514.1|DSUZ	LOC6531401|XP_002092204.1|DYAK
OG0000034	LOC108021477|XP_016945708.1|DSUZ	LOC6529512|XP_002090514.1|DYAK
OG0000034	LOC108021476|XP_016945707.1|DSUZ	LOC6529511|XP_002090513.2|DYAK
OG0000034	LOC108021724|XP_016946052.1|DSUZ	LOC6529510|XP_002090512.1|DYAK
OG0000034	LOC108009317|XP_016929074.1|DSUZ	LOC6529821|XP_002090802.3|DYAK
OG0000034	LOC108007509|XP_016926684.2|DSUZ	LOC6536872|XP_002097441.1|DYAK
