Orthogroup	DSUZ.longest_only	CCAP.longest_only
OG0000028	LOC118877366|XP_036671777.1|DSUZ	CCAP1982_LOCUS11988|CAD7003538.1|CCAP, CCAP1982_LOCUS11989|CAD7003539.1|CCAP, CCAP1982_LOCUS11981|CAD7003531.1|CCAP, CCAP1982_LOCUS11977|CAD7003527.1|CCAP, CCAP1982_LOCUS11980|CAD7003530.1|CCAP, CCAP1982_LOCUS11979|CAD7003529.1|CCAP, CCAP1982_LOCUS11978|CAD7003528.1|CCAP
OG0000029	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ	CCAP1982_LOCUS15014|CAD7006715.1|CCAP, CCAP1982_LOCUS15012|CAD7006713.1|CCAP, CCAP1982_LOCUS15013|CAD7006714.1|CCAP, CCAP1982_LOCUS7170|CAD6998592.1|CCAP
OG0000030	LOC108013240|XP_036677776.1|DSUZ, LOC108019494|XP_016942847.1|DSUZ, LOC108012924|XP_016933943.1|DSUZ	CCAP1982_LOCUS6798|CAD6998182.1|CCAP, CCAP1982_LOCUS6797|CAD6998181.1|CCAP
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ, LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ	CCAP1982_LOCUS21173|CAD7013099.1|CCAP
OG0000031	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ	CCAP1982_LOCUS5718|CAD6997065.1|CCAP, CCAP1982_LOCUS5719|CAD6997066.1|CCAP, CCAP1982_LOCUS5721|CAD6997068.1|CCAP, CCAP1982_LOCUS5722|CAD6997069.1|CCAP
OG0000032	LOC108018357|XP_036672791.1|DSUZ	CCAP1982_LOCUS3832|CAD6995109.1|CCAP, CCAP1982_LOCUS3823|CAD6995100.1|CCAP
OG0000032	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	CCAP1982_LOCUS3828|CAD6995105.1|CCAP, CCAP1982_LOCUS3829|CAD6995106.1|CCAP
OG0000034	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ	CCAP1982_LOCUS7893|CAD6999366.1|CCAP
OG0000035	LOC118877768|XP_036673685.1|DSUZ, LOC118877323|XP_036671482.1|DSUZ	CCAP1982_LOCUS19543|CAD7011443.1|CCAP, CCAP1982_LOCUS19546|CAD7011446.1|CCAP, CCAP1982_LOCUS19545|CAD7011445.1|CCAP
OG0000036	LOC108019328|XP_036675087.1|DSUZ	CCAP1982_LOCUS4712|CAD6996006.1|CCAP
OG0000036	LOC108006404|XP_016925415.2|DSUZ	CCAP1982_LOCUS1597|CAD6992754.1|CCAP, CCAP1982_LOCUS1596|CAD6992753.1|CCAP
OG0000036	LOC108011658|XP_016932343.2|DSUZ	CCAP1982_LOCUS1595|CAD6992752.1|CCAP
OG0000036	LOC108007854|XP_036674140.1|DSUZ	CCAP1982_LOCUS1801|CAD6992969.1|CCAP, CCAP1982_LOCUS1802|CAD6992971.1|CCAP
OG0000037	LOC108018132|XP_016941074.1|DSUZ	CCAP1982_LOCUS23037|CAD7015082.1|CCAP, CCAP1982_LOCUS23038|CAD7015083.1|CCAP
OG0000037	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	CCAP1982_LOCUS2613|CAD6993815.1|CCAP
OG0000038	LOC108020759|XP_016944626.2|DSUZ	CCAP1982_LOCUS13459|CAD7005097.1|CCAP, CCAP1982_LOCUS13458|CAD7005096.1|CCAP, CCAP1982_LOCUS13463|CAD7005101.1|CCAP, CCAP1982_LOCUS13461|CAD7005099.1|CCAP, CCAP1982_LOCUS13462|CAD7005100.1|CCAP, CCAP1982_LOCUS4926|CAD6996243.1|CCAP
OG0000041	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ	CCAP1982_LOCUS5011|CAD6996333.1|CCAP, CCAP1982_LOCUS5012|CAD6996334.1|CCAP, CCAP1982_LOCUS6216|CAD6997577.1|CCAP, CCAP1982_LOCUS4996|CAD6996317.1|CCAP, CCAP1982_LOCUS293|CAD6991363.1|CCAP, CCAP1982_LOCUS4997|CAD6996318.1|CCAP, CCAP1982_LOCUS4992|CAD6996313.1|CCAP, CCAP1982_LOCUS4993|CAD6996314.1|CCAP, CCAP1982_LOCUS5010|CAD6996331.1|CCAP
OG0000043	LOC108006018|XP_016924950.2|DSUZ, LOC108006051|XP_036674427.1|DSUZ, LOC108006016|XP_036674672.1|DSUZ	CCAP1982_LOCUS4613|CAD6995911.1|CCAP
OG0000043	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ, LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ	CCAP1982_LOCUS4625|CAD6995923.1|CCAP, CCAP1982_LOCUS4628|CAD6995926.1|CCAP, CCAP1982_LOCUS4627|CAD6995925.1|CCAP, CCAP1982_LOCUS4626|CAD6995924.1|CCAP, CCAP1982_LOCUS4629|CAD6995927.1|CCAP, CCAP1982_LOCUS4624|CAD6995922.1|CCAP
OG0000044	LOC108012094|XP_016932860.2|DSUZ	CCAP1982_LOCUS840|CAD6991952.1|CCAP
OG0000044	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ, LOC108007915|XP_016927173.2|DSUZ, LOC108007906|XP_016927164.2|DSUZ, LOC108007917|XP_036674250.1|DSUZ	CCAP1982_LOCUS842|CAD6991954.1|CCAP, CCAP1982_LOCUS22505|CAD7014504.1|CCAP, CCAP1982_LOCUS22483|CAD7014481.1|CCAP
OG0000044	LOC108011721|XP_016932432.2|DSUZ	CCAP1982_LOCUS847|CAD6991959.1|CCAP, CCAP1982_LOCUS841|CAD6991953.1|CCAP, CCAP1982_LOCUS843|CAD6991955.1|CCAP
OG0000045	LOC108004812|XP_036670921.1|DSUZ	CCAP1982_LOCUS11539|CAD7003076.1|CCAP
OG0000045	LOC108012264|XP_016933053.1|DSUZ, LOC108012265|XP_016933055.1|DSUZ	CCAP1982_LOCUS11540|CAD7003077.1|CCAP
OG0000045	LOC108005813|XP_016924631.1|DSUZ	CCAP1982_LOCUS11541|CAD7003078.1|CCAP
OG0000045	LOC108005814|XP_016924632.1|DSUZ	CCAP1982_LOCUS11542|CAD7003079.1|CCAP
OG0000047	LOC108019650|XP_016943022.1|DSUZ	CCAP1982_LOCUS9943|CAD7001446.1|CCAP
