Orthogroup	DSUZ.longest_only	AALB.longest_only
OG0000009	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC118879264|XP_036678040.1|DSUZ	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC118877317|XP_036671430.1|DSUZ	LOC118464059|XP_035786999.1|AALB
OG0000010	LOC108006791|XP_016925829.1|DSUZ	LOC118465137|XP_035788967.1|AALB
OG0000012	LOC108010292|XP_016930652.1|DSUZ, LOC108009919|XP_016930137.1|DSUZ, LOC108009918|XP_016930133.2|DSUZ, LOC108010305|XP_016930677.1|DSUZ, LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC108015759|XP_036673283.1|DSUZ, LOC108007391|XP_016926534.2|DSUZ	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC118878921|XP_036677800.1|DSUZ, LOC118879013|XP_036677866.1|DSUZ, LOC118879735|XP_036678526.1|DSUZ, LOC118879094|XP_036677971.1|DSUZ, LOC118879246|XP_036678025.1|DSUZ, LOC118878839|XP_036677760.1|DSUZ, LOC118878508|XP_036677404.1|DSUZ, LOC118878474|XP_036677365.1|DSUZ, LOC118878368|XP_036677001.1|DSUZ, LOC118878106|XP_036675365.1|DSUZ, LOC118879593|XP_036678396.1|DSUZ, LOC118878521|XP_036677419.1|DSUZ, LOC118877177|XP_036670313.1|DSUZ, LOC118879093|XP_036677970.1|DSUZ, LOC118878475|XP_036677366.1|DSUZ, LOC118879451|XP_036678220.1|DSUZ, LOC108005664|XP_016924475.1|DSUZ	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000014	LOC118879539|XP_036678287.1|DSUZ	LOC118462714|XP_035784546.1|AALB
OG0000014	LOC118879719|XP_036678520.1|DSUZ, LOC108007594|XP_036678380.1|DSUZ	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB
OG0000014	LOC118878733|XP_036677645.1|DSUZ, LOC118878702|XP_036677612.1|DSUZ, LOC118878312|XP_036676373.1|DSUZ, LOC118879579|XP_036678375.1|DSUZ, LOC118879580|XP_036678377.1|DSUZ, LOC118879083|XP_036677955.1|DSUZ	LOC118457066|XP_035774267.1|AALB
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ, LOC108009233|XP_016928887.1|DSUZ	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ, LOC108015714|XP_036672549.1|DSUZ, LOC108010610|XP_036674725.1|DSUZ, LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC108006427|XP_036673222.1|DSUZ, LOC108018719|XP_036672548.1|DSUZ, LOC108005418|XP_036676931.1|DSUZ	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC108008926|XP_016928324.1|DSUZ, LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ, LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ, LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC108013955|XP_036675219.1|DSUZ, LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ, LOC108013952|XP_016935450.2|DSUZ, LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ, LOC108013954|XP_016935453.2|DSUZ, LOC108013962|XP_016935466.1|DSUZ, LOC108013947|XP_036675218.1|DSUZ, LOC108013965|XP_016935470.1|DSUZ	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ, LOC108010071|XP_016930374.1|DSUZ, LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ, LOC108019756|XP_016943207.1|DSUZ	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC108016331|XP_036678431.1|DSUZ	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000026	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC118879783|XP_036678676.1|DSUZ, LOC108021423|XP_016945624.1|DSUZ, LOC108015770|XP_036678674.1|DSUZ	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC108017014|XP_016939459.2|DSUZ, LOC118877530|XP_036672475.1|DSUZ, LOC108006594|XP_016925608.2|DSUZ, LOC118876756|XP_036670662.1|DSUZ, LOC108017018|XP_016939463.2|DSUZ, LOC118877233|XP_036670663.1|DSUZ, LOC118877238|XP_036670669.1|DSUZ, LOC118877536|XP_036672481.1|DSUZ, LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ, LOC118877237|XP_036670668.1|DSUZ, LOC118877232|XP_036670660.1|DSUZ, LOC118877535|XP_036672480.1|DSUZ, LOC118877531|XP_036672476.1|DSUZ, LOC118877235|XP_036670665.1|DSUZ, LOC108006595|XP_016925609.2|DSUZ, LOC118877534|XP_036672479.1|DSUZ, LOC118877234|XP_036670664.1|DSUZ, LOC108006593|XP_016925607.2|DSUZ, LOC118877529|XP_036672474.1|DSUZ, LOC118877236|XP_036670666.1|DSUZ, LOC118877532|XP_036672477.1|DSUZ, LOC108017026|XP_016939472.2|DSUZ, LOC118877533|XP_036672478.1|DSUZ, LOC118877366|XP_036671777.1|DSUZ	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ, LOC108021690|XP_016946003.1|DSUZ, LOC118879756|XP_036678590.1|DSUZ, LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ, LOC108016076|XP_016938162.1|DSUZ	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC108018357|XP_036672791.1|DSUZ, LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ, LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ, LOC108007821|XP_016927075.2|DSUZ, LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
OG0000034	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB
OG0000036	LOC108019328|XP_036675087.1|DSUZ	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC108006404|XP_016925415.2|DSUZ	LOC118457097|XP_035774277.1|AALB
OG0000037	LOC108018132|XP_016941074.1|DSUZ, LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC108020759|XP_016944626.2|DSUZ	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC108010653|XP_036670653.1|DSUZ	LOC118467862|XP_035794660.1|AALB
OG0000039	LOC108016023|XP_016938107.2|DSUZ	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB, LOC118458769|XP_035777454.1|AALB
OG0000041	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ	LOC118457785|XP_035775523.1|AALB
OG0000043	LOC108006018|XP_016924950.2|DSUZ, LOC108006051|XP_036674427.1|DSUZ, LOC108006016|XP_036674672.1|DSUZ, LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ, LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ	LOC118465605|XP_035789873.1|AALB, LOC118466656|XP_035792145.1|AALB
OG0000047	LOC108008533|XP_016927892.1|DSUZ, LOC108008555|XP_016927914.1|DSUZ, LOC108019650|XP_016943022.1|DSUZ, LOC108013633|XP_016935067.1|DSUZ, LOC108019638|XP_016943010.1|DSUZ, LOC108012941|XP_016933968.1|DSUZ	LOC118458488|XP_035776933.1|AALB
OG0000048	LOC108007323|XP_016926460.1|DSUZ, LOC108007321|XP_016926458.2|DSUZ, LOC108019378|XP_016942690.1|DSUZ	LOC118465522|XP_035789739.1|AALB, LOC118465712|XP_035790036.1|AALB, LOC118463108|XP_035785323.1|AALB
OG0000049	LOC108020793|XP_016944660.2|DSUZ, LOC108020795|XP_016944662.2|DSUZ, LOC108019317|XP_016942627.2|DSUZ, LOC118877929|XP_036674430.1|DSUZ, LOC108019319|XP_016942628.2|DSUZ, LOC108020803|XP_016944672.2|DSUZ	LOC118465006|XP_035788749.1|AALB, LOC118465007|XP_035788750.1|AALB, LOC118463311|XP_035785688.1|AALB
OG0000050	LOC108009777|XP_016929902.1|DSUZ, LOC118878833|XP_036677754.1|DSUZ, LOC108007679|XP_036672301.1|DSUZ, LOC108007666|XP_016926877.2|DSUZ, LOC118878835|XP_036677757.1|DSUZ, LOC108007675|XP_016926887.1|DSUZ, LOC118878829|XP_036677750.1|DSUZ, LOC108007678|XP_016926890.1|DSUZ, LOC118878832|XP_036677753.1|DSUZ, LOC108007676|XP_016926888.1|DSUZ, LOC118878830|XP_036677751.1|DSUZ, LOC118878828|XP_036677749.1|DSUZ, LOC108007665|XP_016926876.1|DSUZ, LOC108007667|XP_016926878.2|DSUZ, LOC118878834|XP_036677756.1|DSUZ, LOC108007677|XP_016926889.1|DSUZ, LOC118878831|XP_036677752.1|DSUZ	LOC118466326|XP_035791335.1|AALB
OG0000051	LOC108007968|XP_016927228.1|DSUZ, LOC108008061|XP_016927332.1|DSUZ, LOC108019243|XP_016942528.2|DSUZ, LOC108010880|XP_036675361.1|DSUZ, LOC118877892|XP_036674208.1|DSUZ, LOC108017397|XP_036673834.1|DSUZ, LOC108019259|XP_016942548.2|DSUZ	LOC118456657|XP_035773500.1|AALB, LOC118456656|XP_035773499.1|AALB
OG0000053	LOC108019583|XP_016942913.1|DSUZ, LOC108019582|XP_016942912.1|DSUZ, LOC108019581|XP_016942910.1|DSUZ	LOC118467904|XP_035794724.1|AALB, LOC118465671|XP_035789993.1|AALB, LOC118465672|XP_035789994.1|AALB
OG0000054	LOC108007018|XP_016926113.2|DSUZ, LOC108007014|XP_016926109.2|DSUZ, LOC108007012|XP_016926106.2|DSUZ, LOC108007023|XP_016926117.2|DSUZ, LOC108007019|XP_016926114.2|DSUZ	LOC118465600|XP_035789868.1|AALB, LOC118464275|XP_035787431.1|AALB, LOC118464535|XP_035787865.1|AALB, LOC118463932|XP_035786785.1|AALB, LOC118465599|XP_035789867.1|AALB, LOC118465601|XP_035789869.1|AALB
OG0000055	LOC108016465|XP_016938609.1|DSUZ, LOC108006756|XP_016925797.2|DSUZ, LOC108016454|XP_016938596.1|DSUZ	LOC118467238|XP_035793395.1|AALB, LOC118456564|XP_035773329.1|AALB, LOC118467239|XP_035793397.1|AALB
OG0000056	LOC108011021|XP_036674004.1|DSUZ, LOC108011020|XP_036674003.1|DSUZ, LOC108011024|XP_016931542.2|DSUZ, LOC108011023|XP_016931541.2|DSUZ, LOC108011022|XP_016931540.2|DSUZ, LOC108018752|XP_016941818.1|DSUZ, LOC108018751|XP_016941817.2|DSUZ	LOC118463646|XP_035786286.1|AALB
OG0000058	LOC108008838|XP_016928233.1|DSUZ, LOC108008882|XP_016928279.1|DSUZ, LOC108004630|XP_016923063.1|DSUZ, LOC108008875|XP_016928269.1|DSUZ, LOC108010497|XP_016930860.1|DSUZ, LOC108011123|XP_016931684.1|DSUZ	LOC118465012|XP_035788756.1|AALB, LOC118466840|XP_035792555.1|AALB
OG0000060	LOC108005298|XP_016923997.1|DSUZ	LOC118462342|XP_035784016.1|AALB
OG0000060	LOC108012147|XP_016932927.2|DSUZ	LOC118457079|XP_035774255.1|AALB
OG0000067	LOC108018360|XP_036672819.1|DSUZ, LOC108011429|XP_016932047.1|DSUZ	LOC118462964|XP_035785018.1|AALB
OG0000067	LOC108012571|XP_016933475.1|DSUZ	LOC118463317|XP_035785696.1|AALB
OG0000068	LOC108015543|XP_036672326.1|DSUZ, LOC108020078|XP_036672611.1|DSUZ, LOC108015958|XP_036673428.1|DSUZ, LOC108012701|XP_036672080.1|DSUZ, LOC108018226|XP_016941234.1|DSUZ, LOC108008698|XP_016928082.1|DSUZ, LOC108015246|XP_016937086.1|DSUZ	LOC118465636|XP_035789936.1|AALB, LOC118465635|XP_035789931.1|AALB, LOC118466683|XP_035792202.1|AALB, LOC118467770|XP_035794492.1|AALB, LOC118466177|XP_035791057.1|AALB
OG0000070	LOC108010939|XP_016931440.1|DSUZ, LOC108008584|XP_016927954.1|DSUZ, LOC108014746|XP_036671592.1|DSUZ, LOC108008382|XP_016927718.1|DSUZ, LOC108016673|XP_016938880.1|DSUZ	LOC118466080|XP_035790865.1|AALB, LOC118461049|XP_035781833.1|AALB
OG0000071	LOC108010694|XP_036670542.1|DSUZ	LOC118464383|XP_035787619.1|AALB
OG0000071	LOC118877301|XP_036671340.1|DSUZ, LOC108013781|XP_016935236.2|DSUZ	LOC118465593|XP_035789852.1|AALB, LOC118464385|XP_035787624.1|AALB, LOC118467940|XP_035794802.1|AALB, LOC118465893|XP_035790437.1|AALB
OG0000072	LOC108008238|XP_016927518.1|DSUZ, LOC108010178|XP_016930510.2|DSUZ	LOC118465748|XP_035790112.1|AALB, LOC118461286|XP_035782331.1|AALB, LOC118458429|XP_035776779.1|AALB
OG0000073	LOC108006185|XP_016925109.1|DSUZ	LOC118466982|XP_035792790.1|AALB
OG0000073	LOC108016759|XP_036676337.1|DSUZ	LOC118461208|XP_035782153.1|AALB, LOC118461209|XP_035782163.1|AALB
OG0000073	LOC108013859|XP_036672571.1|DSUZ, LOC108017156|XP_036675209.1|DSUZ	LOC118458541|XP_035777018.1|AALB
OG0000074	LOC108012499|XP_036670611.1|DSUZ, LOC108012409|XP_016933258.1|DSUZ, LOC108004794|XP_016923335.2|DSUZ	LOC118467317|XP_035793548.1|AALB, LOC118464632|XP_035787971.1|AALB, LOC118462489|XP_035784094.1|AALB, LOC118462490|XP_035784095.1|AALB, LOC118462491|XP_035784096.1|AALB, LOC118462492|XP_035784098.1|AALB, LOC118465572|XP_035789827.1|AALB, LOC118465573|XP_035789828.1|AALB, LOC118462925|XP_035784926.1|AALB, LOC118467316|XP_035793547.1|AALB, LOC118463374|XP_035785792.1|AALB, LOC118465722|XP_035790060.1|AALB, LOC118463415|XP_035785860.1|AALB, LOC118463299|XP_035785677.1|AALB, LOC118464633|XP_035787972.1|AALB, LOC118465280|XP_035789213.1|AALB, LOC118463180|XP_035785487.1|AALB
OG0000076	LOC108005825|XP_036670890.1|DSUZ	LOC118462886|XP_035784863.1|AALB
OG0000076	LOC108015039|XP_016936760.1|DSUZ	LOC118456474|XP_035773167.1|AALB
OG0000077	LOC108009747|XP_016929834.1|DSUZ	LOC118467920|XP_035794755.1|AALB
OG0000077	LOC108015852|XP_016937909.1|DSUZ	LOC118460116|XP_035780047.1|AALB
OG0000077	LOC108010141|XP_016930463.1|DSUZ	LOC118463835|XP_035786622.1|AALB
OG0000077	LOC108014833|XP_016936524.2|DSUZ	LOC118466147|XP_035791003.1|AALB
OG0000078	LOC108008657|XP_016928031.1|DSUZ, LOC108006897|XP_016925974.2|DSUZ, LOC108011262|XP_036675195.1|DSUZ, LOC108015391|XP_016937300.1|DSUZ, LOC108016956|XP_016939380.1|DSUZ	LOC118456476|XP_035773179.1|AALB
OG0000080	LOC108008669|XP_016928052.2|DSUZ, LOC108018488|XP_016941536.1|DSUZ, LOC108009443|XP_016929282.1|DSUZ	LOC118460320|XP_035780425.1|AALB, LOC118460319|XP_035780424.1|AALB
OG0000082	LOC108005981|XP_016924910.2|DSUZ, LOC108006237|XP_016925166.2|DSUZ, LOC108020861|XP_036674571.1|DSUZ, LOC118877946|XP_036674572.1|DSUZ, LOC108006234|XP_036672863.1|DSUZ	LOC118461897|XP_035783644.1|AALB, LOC118461898|XP_035783645.1|AALB
OG0000083	LOC108021699|XP_016946017.1|DSUZ, LOC108019227|XP_016942512.1|DSUZ, LOC108018957|XP_016942050.1|DSUZ, LOC108019013|XP_016942116.1|DSUZ, LOC108021302|XP_016945444.1|DSUZ	LOC118457381|XP_035774809.1|AALB, LOC118457852|XP_035775635.1|AALB, LOC118457853|XP_035775636.1|AALB
OG0000084	LOC108019885|XP_016943446.1|DSUZ	LOC118460417|XP_035780598.1|AALB, LOC118464572|XP_035787906.1|AALB, LOC118464665|XP_035788069.1|AALB
OG0000084	LOC108017776|XP_016940388.1|DSUZ	LOC118463937|XP_035786798.1|AALB
OG0000085	LOC108017928|XP_036669794.1|DSUZ	LOC118467757|XP_035794478.1|AALB
OG0000086	LOC108009612|XP_016929587.1|DSUZ	LOC118467052|XP_035792946.1|AALB
OG0000087	LOC108006715|XP_016925785.1|DSUZ	LOC118461776|XP_035783398.1|AALB, LOC118461322|XP_035782419.1|AALB, LOC118461763|XP_035783391.1|AALB
OG0000088	LOC108018081|XP_016940973.1|DSUZ	LOC118462894|XP_035784880.1|AALB
OG0000089	LOC108017134|XP_016939601.1|DSUZ, LOC108013957|XP_016935459.1|DSUZ	LOC118464755|XP_035788267.1|AALB, LOC118458513|XP_035776977.1|AALB
OG0000089	LOC108010600|XP_016930978.1|DSUZ	LOC118465461|XP_035789653.1|AALB
OG0000089	LOC108012396|XP_016933244.1|DSUZ	LOC118462651|XP_035784397.1|AALB, LOC118467873|XP_035794676.1|AALB
OG0000090	LOC108009148|XP_016928740.1|DSUZ, LOC108008436|XP_016927775.1|DSUZ, LOC108020200|XP_016943797.1|DSUZ, LOC108013274|XP_016934533.1|DSUZ	LOC118465859|XP_035790384.1|AALB, LOC118464436|XP_035787701.1|AALB, LOC118464435|XP_035787700.1|AALB
OG0000091	LOC108007205|XP_036674733.1|DSUZ	LOC118468298|XP_035794920.1|AALB
OG0000091	LOC108021626|XP_016945921.1|DSUZ, LOC108017510|XP_036673504.1|DSUZ, LOC108020281|XP_036677911.1|DSUZ, LOC108017517|XP_016940076.2|DSUZ, LOC118879030|XP_036677910.1|DSUZ	LOC118461077|XP_035781863.1|AALB
OG0000093	LOC108017965|XP_016940733.1|DSUZ	LOC118468732|XP_035795763.1|AALB
OG0000094	LOC108012257|XP_016933045.2|DSUZ, LOC108014341|XP_016935913.1|DSUZ	LOC118466575|XP_035792014.1|AALB, LOC118460828|XP_035781369.1|AALB
OG0000096	LOC108005944|XP_016924862.1|DSUZ, LOC108021485|XP_016945715.1|DSUZ, LOC108006768|XP_036674772.1|DSUZ, LOC118878143|XP_036675694.1|DSUZ, LOC108005977|XP_016924907.1|DSUZ	LOC118467953|XP_035794822.1|AALB
OG0000098	LOC108018693|XP_036672581.1|DSUZ	LOC118458982|XP_035777873.1|AALB
OG0000099	LOC108016981|XP_016939415.1|DSUZ	LOC118460309|XP_035780405.1|AALB, LOC118460316|XP_035780419.1|AALB
OG0000101	LOC118877221|XP_036670519.1|DSUZ, LOC108020440|XP_036670524.1|DSUZ, LOC118877222|XP_036670523.1|DSUZ, LOC108017021|XP_036671509.1|DSUZ, LOC108020448|XP_036672450.1|DSUZ, LOC118877521|XP_036672462.1|DSUZ, LOC118877329|XP_036671513.1|DSUZ, LOC118877522|XP_036672463.1|DSUZ, LOC118877220|XP_036670518.1|DSUZ	LOC118462817|XP_035784730.1|AALB
OG0000102	LOC108009336|XP_016929103.1|DSUZ	LOC118464146|XP_035787145.1|AALB, LOC118465171|XP_035789026.1|AALB, LOC118463048|XP_035785187.1|AALB
OG0000102	LOC108009476|XP_016929345.1|DSUZ, LOC108008646|XP_016928020.1|DSUZ	LOC118457482|XP_035775000.1|AALB
OG0000103	LOC108012611|XP_016933519.1|DSUZ, LOC108019406|XP_016942716.2|DSUZ, LOC108010501|XP_016930863.2|DSUZ, LOC108009753|XP_016929854.1|DSUZ	LOC118467670|XP_035794319.1|AALB
OG0000104	LOC108008643|XP_016928021.1|DSUZ, LOC108018835|XP_036671763.1|DSUZ	LOC118464278|XP_035787434.1|AALB
