Orthogroup	DSUZ.longest_only	SLEB.longest_only
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC115628616|XP_030380660.1|SLEB
OG0000005	LOC118879641|XP_036678429.1|DSUZ	LOC115630367|XP_030382760.1|SLEB
OG0000005	LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC115633501|XP_030386823.1|SLEB
OG0000006	LOC118879268|XP_036678045.1|DSUZ	LOC115630279|XP_030382674.1|SLEB
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC108016327|XP_016938453.2|DSUZ	LOC115630120|XP_030382591.1|SLEB
OG0000006	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ	LOC115630278|XP_030382673.1|SLEB
OG0000006	LOC118879255|XP_036678031.1|DSUZ	LOC115630135|XP_030382603.1|SLEB
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC115628403|XP_030380351.1|SLEB
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC115624341|XP_030374853.1|SLEB, LOC115623886|XP_030374298.1|SLEB
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC118879648|XP_036678436.1|DSUZ, LOC118879264|XP_036678040.1|DSUZ	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC118879650|XP_036678438.1|DSUZ, LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ, LOC118879273|XP_036678050.1|DSUZ	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC108015759|XP_036673283.1|DSUZ	LOC115624312|XP_030374797.1|SLEB
OG0000013	LOC108007391|XP_016926534.2|DSUZ	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000014	LOC118879539|XP_036678287.1|DSUZ	LOC115629406|XP_030381727.1|SLEB, LOC115624589|XP_030375187.1|SLEB
OG0000015	LOC108016959|XP_016939387.2|DSUZ	LOC115626216|XP_030377371.1|SLEB
OG0000015	LOC108010103|XP_016930413.1|DSUZ	LOC115628471|XP_030380453.1|SLEB
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108009286|XP_016929004.1|DSUZ	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108009982|XP_016930246.1|DSUZ	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC108010965|XP_016931470.1|DSUZ	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108006430|XP_016925443.1|DSUZ	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108018993|XP_036676279.1|DSUZ	LOC115627671|XP_030379272.1|SLEB
OG0000017	LOC108009448|XP_016929291.1|DSUZ	LOC115619974|XP_030368869.1|SLEB
OG0000017	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108015556|XP_016937525.2|DSUZ	LOC115619941|XP_030368828.1|SLEB
OG0000017	LOC108009905|XP_016930117.1|DSUZ	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108019403|XP_016942713.1|DSUZ	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108012688|XP_016933605.1|DSUZ	LOC115632704|XP_030385802.1|SLEB
OG0000018	LOC108012644|XP_016933559.1|DSUZ	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC108012663|XP_016933579.1|DSUZ	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC108016142|XP_016938246.1|DSUZ	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108016158|XP_036675606.1|DSUZ	LOC115621698|XP_030371264.1|SLEB
OG0000019	LOC108016141|XP_016938245.1|DSUZ	LOC115621699|XP_030371266.1|SLEB
OG0000019	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	LOC115620461|XP_030369552.1|SLEB
OG0000020	LOC108009233|XP_016928887.1|DSUZ	LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ	LOC115625139|XP_030375917.1|SLEB
OG0000020	LOC108015714|XP_036672549.1|DSUZ	LOC115623558|XP_030373816.1|SLEB
OG0000020	LOC108010610|XP_036674725.1|DSUZ	LOC115623561|XP_030373817.1|SLEB
OG0000020	LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC108015921|XP_016937993.1|DSUZ	LOC115632536|XP_030385602.1|SLEB
OG0000021	LOC108009589|XP_016929550.1|DSUZ	LOC115624982|XP_030375700.1|SLEB
OG0000021	LOC108008720|XP_016928109.1|DSUZ	LOC115619935|XP_030372749.1|SLEB
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC108006427|XP_036673222.1|DSUZ	LOC115625208|XP_030376037.1|SLEB
OG0000021	LOC108018719|XP_036672548.1|DSUZ	LOC115620616|XP_030369796.1|SLEB
OG0000021	LOC108005418|XP_036676931.1|DSUZ	LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC108008926|XP_016928324.1|DSUZ	LOC115634544|XP_030388214.1|SLEB
OG0000022	LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ	LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB
OG0000022	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ	LOC115624802|XP_030375508.1|SLEB
OG0000023	LOC108013955|XP_036675219.1|DSUZ	LOC115623320|XP_030373442.1|SLEB
OG0000023	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ	LOC115623826|XP_030374229.1|SLEB
OG0000023	LOC108019337|XP_016942646.2|DSUZ	LOC115623325|XP_030373446.1|SLEB
OG0000023	LOC108018731|XP_036675082.1|DSUZ	LOC115623824|XP_030374228.1|SLEB
OG0000023	LOC108013954|XP_016935453.2|DSUZ	LOC115623322|XP_030373444.1|SLEB
OG0000023	LOC108013962|XP_016935466.1|DSUZ	LOC115623324|XP_030373445.1|SLEB
OG0000023	LOC108013947|XP_036675218.1|DSUZ	LOC115623321|XP_030373443.1|SLEB
OG0000023	LOC108013965|XP_016935470.1|DSUZ	LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ	LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	LOC115626230|XP_030377390.1|SLEB
OG0000024	LOC108019756|XP_016943207.1|DSUZ	LOC115633141|XP_030386412.1|SLEB
OG0000025	LOC108018019|XP_016940867.1|DSUZ, LOC108017891|XP_016940550.2|DSUZ	LOC115633541|XP_030386858.1|SLEB, LOC115633463|XP_030386778.1|SLEB
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ	LOC115633533|XP_030386851.1|SLEB
OG0000025	LOC108016331|XP_036678431.1|DSUZ	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000026	LOC108004556|XP_016922979.1|DSUZ	LOC115627188|XP_030378651.1|SLEB
OG0000026	LOC108010503|XP_036668665.1|DSUZ	LOC115626629|XP_030377893.1|SLEB
OG0000026	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC118879783|XP_036678676.1|DSUZ	LOC115632057|XP_030384894.1|SLEB
OG0000027	LOC108021423|XP_016945624.1|DSUZ	LOC115632056|XP_030384892.1|SLEB
OG0000027	LOC108015770|XP_036678674.1|DSUZ	LOC115631416|XP_030384002.1|SLEB
OG0000029	LOC108019543|XP_016942870.2|DSUZ	LOC115634071|XP_030387478.1|SLEB
OG0000030	LOC108013240|XP_036677776.1|DSUZ	LOC115631185|XP_030383736.1|SLEB
OG0000030	LOC108019494|XP_016942847.1|DSUZ, LOC108012924|XP_016933943.1|DSUZ	LOC115631186|XP_030383737.1|SLEB
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ	LOC115630766|XP_030383282.1|SLEB
OG0000030	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ	LOC115633773|XP_030387107.1|SLEB, LOC115634644|XP_030388361.1|SLEB
OG0000030	LOC108016627|XP_016938811.1|DSUZ	LOC115627904|XP_030379659.1|SLEB
OG0000030	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ	LOC115627392|XP_030378906.1|SLEB, LOC115625462|XP_030376370.1|SLEB
OG0000031	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB
OG0000031	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ	LOC115631052|XP_030383546.1|SLEB
OG0000032	LOC108018357|XP_036672791.1|DSUZ	LOC115621800|XP_030371439.1|SLEB
OG0000032	LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	LOC115621799|XP_030371437.1|SLEB
OG0000033	LOC118877527|XP_036672470.1|DSUZ, LOC108020436|XP_036671704.1|DSUZ, LOC108008155|XP_016927432.2|DSUZ, LOC108010823|XP_016931314.1|DSUZ, LOC108012454|XP_016933333.1|DSUZ, LOC108013705|XP_016935119.2|DSUZ, LOC108010908|XP_016931435.1|DSUZ, LOC108017678|XP_016940276.1|DSUZ, LOC108017971|XP_016940757.1|DSUZ	LOC115629219|XP_030381491.1|SLEB, LOC115634381|XP_030387925.1|SLEB, LOC115625129|XP_030375944.1|SLEB, LOC115634231|XP_030387683.1|SLEB, LOC115634372|XP_030387909.1|SLEB
OG0000033	LOC108017970|XP_016940756.2|DSUZ	LOC115629069|XP_030381245.1|SLEB, LOC115629070|XP_030381246.1|SLEB
OG0000034	LOC108021477|XP_016945708.1|DSUZ	LOC115631238|XP_030383807.1|SLEB
OG0000034	LOC108021476|XP_016945707.1|DSUZ	LOC115631233|XP_030383802.1|SLEB
OG0000034	LOC108021724|XP_016946052.1|DSUZ	LOC115631016|XP_030383488.1|SLEB
OG0000034	LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ	LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000035	LOC118877768|XP_036673685.1|DSUZ, LOC118877323|XP_036671482.1|DSUZ	LOC115630074|XP_030382558.1|SLEB, LOC115628142|XP_030379974.1|SLEB, LOC115628135|XP_030379972.1|SLEB, LOC115628137|XP_030379973.1|SLEB, LOC115628134|XP_030379971.1|SLEB, LOC115628143|XP_030379975.1|SLEB, LOC115628789|XP_030380864.1|SLEB, LOC115628787|XP_030380863.1|SLEB
OG0000035	LOC118879693|XP_036678485.1|DSUZ, LOC118879346|XP_036678092.1|DSUZ, LOC118878427|XP_036677296.1|DSUZ, LOC118877441|XP_036672165.1|DSUZ, LOC118878613|XP_036677553.1|DSUZ, LOC118878581|XP_036677500.1|DSUZ, LOC118878510|XP_036677407.1|DSUZ	LOC115628216|XP_030380068.1|SLEB, LOC115628783|XP_030380857.1|SLEB, LOC115629977|XP_030382461.1|SLEB
OG0000035	LOC118879420|XP_036678186.1|DSUZ	LOC115624912|XP_030375621.1|SLEB, LOC115624520|XP_030375099.1|SLEB, LOC115630026|XP_030382522.1|SLEB, LOC115630549|XP_030383019.1|SLEB, LOC115634591|XP_030388280.1|SLEB, LOC115624963|XP_030375678.1|SLEB
OG0000036	LOC108019328|XP_036675087.1|DSUZ	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC108006404|XP_016925415.2|DSUZ	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC108011658|XP_016932343.2|DSUZ	LOC115620249|XP_030369258.1|SLEB
OG0000036	LOC108007854|XP_036674140.1|DSUZ	LOC115621341|XP_030370821.1|SLEB
OG0000037	LOC108018132|XP_016941074.1|DSUZ	LOC115626848|XP_030378208.1|SLEB
OG0000037	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB
OG0000038	LOC108020759|XP_016944626.2|DSUZ	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC108010653|XP_036670653.1|DSUZ	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC108016023|XP_016938107.2|DSUZ	LOC115633921|XP_030387291.1|SLEB
OG0000039	LOC108006280|XP_016925226.1|DSUZ	LOC115633267|XP_030386532.1|SLEB
OG0000039	LOC108006287|XP_016925235.1|DSUZ	LOC115628050|XP_030379855.1|SLEB
OG0000039	LOC108019017|XP_016942120.1|DSUZ	LOC115633390|XP_030386693.1|SLEB
OG0000040	LOC108016198|XP_036675321.1|DSUZ, LOC108006036|XP_036674433.1|DSUZ	LOC115625606|XP_030376600.1|SLEB, LOC115625605|XP_030376599.1|SLEB, LOC115625608|XP_030376603.1|SLEB
OG0000040	LOC108006007|XP_036674432.1|DSUZ	LOC115624210|XP_030374678.1|SLEB
OG0000040	LOC108011397|XP_016932008.2|DSUZ, LOC108011398|XP_036675473.1|DSUZ, LOC108007390|XP_036675323.1|DSUZ, LOC108007385|XP_016926531.2|DSUZ	LOC115624205|XP_030374672.1|SLEB, LOC115624208|XP_030374674.1|SLEB
OG0000040	LOC108010783|XP_016931200.1|DSUZ	LOC115621426|XP_030370938.1|SLEB
OG0000042	LOC108011952|XP_016932694.2|DSUZ	LOC115630085|XP_030382572.1|SLEB
OG0000042	LOC108017900|XP_016940559.1|DSUZ, LOC108017907|XP_016940566.1|DSUZ, LOC108017901|XP_016940560.1|DSUZ, LOC108017904|XP_036669901.1|DSUZ, LOC108017721|XP_016940320.2|DSUZ, LOC108017910|XP_016940568.2|DSUZ, LOC108017722|XP_016940321.2|DSUZ	LOC115634385|XP_030387930.1|SLEB, LOC115634197|XP_030387645.1|SLEB, LOC115629009|XP_030381198.1|SLEB, LOC115628918|XP_030381081.1|SLEB, LOC115634487|XP_030388103.1|SLEB
OG0000043	LOC108006018|XP_016924950.2|DSUZ	LOC115623987|XP_030374418.1|SLEB
OG0000043	LOC108006051|XP_036674427.1|DSUZ	LOC115623491|XP_030373724.1|SLEB
OG0000043	LOC108006016|XP_036674672.1|DSUZ	LOC115623337|XP_030373467.1|SLEB
OG0000043	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ	LOC115623816|XP_030374219.1|SLEB
OG0000043	LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ	LOC115623986|XP_030374417.1|SLEB
OG0000044	LOC108012094|XP_016932860.2|DSUZ	LOC115624024|XP_030374460.1|SLEB
OG0000044	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ	LOC115623538|XP_030373780.1|SLEB
OG0000044	LOC108007915|XP_016927173.2|DSUZ, LOC108007906|XP_016927164.2|DSUZ, LOC108007917|XP_036674250.1|DSUZ	LOC115631500|XP_030384120.1|SLEB
OG0000044	LOC108011721|XP_016932432.2|DSUZ	LOC115624165|XP_030374623.1|SLEB
OG0000045	LOC108004812|XP_036670921.1|DSUZ	LOC115632695|XP_030385792.1|SLEB
OG0000045	LOC108012264|XP_016933053.1|DSUZ, LOC108012265|XP_016933055.1|DSUZ	LOC115632698|XP_030385795.1|SLEB
OG0000045	LOC108005813|XP_016924631.1|DSUZ	LOC115632700|XP_030385796.1|SLEB
OG0000045	LOC108005814|XP_016924632.1|DSUZ	LOC115632701|XP_030385797.1|SLEB
OG0000046	LOC108014425|XP_016936027.2|DSUZ, LOC108014937|XP_016936647.1|DSUZ, LOC108014936|XP_016936646.1|DSUZ, LOC108015074|XP_016936802.1|DSUZ, LOC108011093|XP_036674691.1|DSUZ, LOC108011091|XP_016931645.2|DSUZ, LOC108011090|XP_016931644.1|DSUZ, LOC108008133|XP_016927411.1|DSUZ, LOC108011098|XP_036674670.1|DSUZ	LOC115626838|XP_030378183.1|SLEB, LOC115626960|XP_030378335.1|SLEB, LOC115626959|XP_030378334.1|SLEB
OG0000047	LOC108008533|XP_016927892.1|DSUZ	LOC115631261|XP_030383836.1|SLEB
OG0000047	LOC108008555|XP_016927914.1|DSUZ	LOC115632503|XP_030385556.1|SLEB
OG0000047	LOC108019650|XP_016943022.1|DSUZ	LOC115626702|XP_030377994.1|SLEB
OG0000047	LOC108019638|XP_016943010.1|DSUZ, LOC108012941|XP_016933968.1|DSUZ	LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC108011323|XP_016931922.2|DSUZ, LOC108011315|XP_016931911.1|DSUZ	LOC115632969|XP_030386130.1|SLEB, LOC115632930|XP_030386082.1|SLEB
OG0000048	LOC108007321|XP_016926458.2|DSUZ	LOC115632620|XP_030385708.1|SLEB
OG0000048	LOC108019378|XP_016942690.1|DSUZ	LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC108020793|XP_016944660.2|DSUZ	LOC115631187|XP_030383738.1|SLEB
OG0000049	LOC108020795|XP_016944662.2|DSUZ	LOC115625471|XP_030376380.1|SLEB
