Orthogroup	DSUZ.longest_only	DGUA.longest_only
OG0000011	LOC108005601|XP_016924394.1|DSUZ, LOC108015328|XP_036678699.1|DSUZ, LOC108018989|XP_016942085.1|DSUZ, LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ, LOC108010267|XP_016930620.1|DSUZ, LOC108009077|XP_016928601.2|DSUZ, LOC108007943|XP_016927205.1|DSUZ, LOC108011057|XP_016931608.2|DSUZ, LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ, LOC108018712|XP_036678677.1|DSUZ, LOC108009845|XP_016930030.1|DSUZ, LOC108007942|XP_016927238.1|DSUZ, LOC108007310|XP_016926446.1|DSUZ, LOC108020156|XP_036668757.1|DSUZ, LOC108014609|XP_016936264.1|DSUZ, LOC108014635|XP_016936289.1|DSUZ, LOC108005222|XP_016923902.1|DSUZ	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC108012408|XP_016933257.1|DSUZ	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC118877899|XP_036674305.1|DSUZ	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA
OG0000012	LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ	LOC117585406|XP_034130769.1|DGUA
OG0000012	LOC108008513|XP_016927870.1|DSUZ	LOC117592596|XP_034142370.1|DGUA
OG0000012	LOC108008168|XP_036669662.1|DSUZ	LOC117592593|XP_034142368.1|DGUA
OG0000012	LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ	LOC117592595|XP_034142369.1|DGUA
OG0000012	LOC108009569|XP_016929521.1|DSUZ	LOC117592597|XP_034142371.1|DGUA
OG0000012	LOC108009571|XP_016929527.1|DSUZ	LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC108015759|XP_036673283.1|DSUZ	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC108007391|XP_016926534.2|DSUZ	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC108010103|XP_016930413.1|DSUZ	LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC108009286|XP_016929004.1|DSUZ	LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC108009982|XP_016930246.1|DSUZ	LOC117592229|XP_034141753.1|DGUA
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC108010965|XP_016931470.1|DSUZ	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC108006430|XP_016925443.1|DSUZ	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC108009448|XP_016929291.1|DSUZ	LOC117582389|XP_034125960.1|DGUA
OG0000017	LOC108016443|XP_036678346.1|DSUZ, LOC108016442|XP_036678332.1|DSUZ, LOC108016444|XP_016938585.2|DSUZ	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA
OG0000017	LOC108015782|XP_016937825.2|DSUZ	LOC117583173|XP_034127261.1|DGUA
OG0000017	LOC108009905|XP_016930117.1|DSUZ	LOC117580469|XP_034122942.1|DGUA
OG0000017	LOC108019403|XP_016942713.1|DSUZ	LOC117583419|XP_034127607.1|DGUA
OG0000017	LOC108009903|XP_016930115.2|DSUZ, LOC108009904|XP_036669180.1|DSUZ	LOC117592152|XP_034141609.1|DGUA
OG0000017	LOC108010173|XP_036669903.1|DSUZ, LOC108019602|XP_016942950.1|DSUZ	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC108012644|XP_016933559.1|DSUZ	LOC117587358|XP_034133890.1|DGUA
OG0000018	LOC108012663|XP_016933579.1|DSUZ	LOC117587351|XP_034133882.1|DGUA
OG0000018	LOC108013584|XP_036671249.1|DSUZ, LOC108013583|XP_016935000.1|DSUZ	LOC117587361|XP_034133894.1|DGUA
OG0000018	LOC108013582|XP_016934999.1|DSUZ	LOC117587365|XP_034133899.1|DGUA
OG0000019	LOC108016142|XP_016938246.1|DSUZ	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA
OG0000019	LOC108016158|XP_036675606.1|DSUZ	LOC117583705|XP_034128081.1|DGUA
OG0000019	LOC108016141|XP_016938245.1|DSUZ	LOC117583723|XP_034128130.1|DGUA
OG0000019	LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ	LOC117583658|XP_034128012.1|DGUA
OG0000020	LOC108009233|XP_016928887.1|DSUZ	LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ	LOC117587736|XP_034134545.1|DGUA
OG0000020	LOC108015714|XP_036672549.1|DSUZ	LOC117586337|XP_034132223.1|DGUA
OG0000020	LOC108010610|XP_036674725.1|DSUZ	LOC117590165|XP_034138451.1|DGUA
OG0000020	LOC108021708|XP_016946031.1|DSUZ	LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC108015921|XP_016937993.1|DSUZ	LOC117578555|XP_034120019.1|DGUA
OG0000021	LOC108009589|XP_016929550.1|DSUZ	LOC117580314|XP_034122704.1|DGUA
OG0000021	LOC108009874|XP_016930066.1|DSUZ	LOC117580733|XP_034123298.1|DGUA
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC108006427|XP_036673222.1|DSUZ	LOC117585696|XP_034131203.1|DGUA
OG0000021	LOC108018719|XP_036672548.1|DSUZ	LOC117582802|XP_034126721.1|DGUA
OG0000022	LOC108008926|XP_016928324.1|DSUZ	LOC117585826|XP_034131453.1|DGUA
OG0000022	LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ	LOC117587283|XP_034133760.1|DGUA
OG0000022	LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ	LOC117587284|XP_034133762.1|DGUA
OG0000022	LOC108013018|XP_016934098.1|DSUZ	LOC117587282|XP_034133759.1|DGUA
OG0000023	LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ	LOC117586396|XP_034132318.1|DGUA
OG0000023	LOC108013952|XP_016935450.2|DSUZ	LOC117586009|XP_034131729.1|DGUA
OG0000023	LOC108019337|XP_016942646.2|DSUZ	LOC117586008|XP_034131728.1|DGUA
OG0000023	LOC108009166|XP_016928770.1|DSUZ	LOC117591288|XP_034140381.1|DGUA
OG0000023	LOC108018731|XP_036675082.1|DSUZ	LOC117586007|XP_034131727.1|DGUA
OG0000023	LOC108013954|XP_016935453.2|DSUZ	LOC117586005|XP_034131725.1|DGUA
OG0000023	LOC108013962|XP_016935466.1|DSUZ	LOC117586006|XP_034131726.1|DGUA
OG0000023	LOC108013947|XP_036675218.1|DSUZ	LOC117586004|XP_034131723.1|DGUA
OG0000023	LOC108013965|XP_016935470.1|DSUZ	LOC117586277|XP_034132120.1|DGUA
OG0000024	LOC108010072|XP_016930375.2|DSUZ	LOC117580035|XP_034122157.1|DGUA
OG0000024	LOC108010252|XP_016930594.2|DSUZ	LOC117580026|XP_034122146.1|DGUA
OG0000024	LOC108010071|XP_016930374.1|DSUZ	LOC117580040|XP_034122171.1|DGUA
OG0000024	LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ	LOC117591149|XP_034140151.1|DGUA
OG0000024	LOC108019756|XP_016943207.1|DSUZ	LOC117592048|XP_034141425.1|DGUA
OG0000025	LOC108016763|XP_016939005.1|DSUZ	LOC117590412|XP_034138901.1|DGUA
OG0000025	LOC118878857|XP_036677777.1|DSUZ, LOC108016325|XP_016938451.2|DSUZ, LOC108016331|XP_036678431.1|DSUZ	LOC117591670|XP_034140884.1|DGUA
OG0000026	LOC108004556|XP_016922979.1|DSUZ	LOC117588644|XP_034135968.1|DGUA
OG0000026	LOC108010503|XP_036668665.1|DSUZ	LOC117588100|XP_034135061.1|DGUA
OG0000026	LOC108005489|XP_016924284.1|DSUZ	LOC117581101|XP_034123883.1|DGUA
OG0000026	LOC108014363|XP_016935943.1|DSUZ	LOC117583741|XP_034128149.1|DGUA, LOC117583141|XP_034127222.1|DGUA, LOC117583140|XP_034127221.1|DGUA, LOC117583745|XP_034128155.1|DGUA, LOC117583744|XP_034128154.1|DGUA, LOC117583743|XP_034128152.1|DGUA, LOC117583742|XP_034128150.1|DGUA
OG0000026	LOC108013851|XP_016935328.2|DSUZ	LOC117589578|XP_034137528.1|DGUA
OG0000027	LOC118879783|XP_036678676.1|DSUZ	LOC117581694|XP_034124962.1|DGUA
OG0000027	LOC108021423|XP_016945624.1|DSUZ	LOC117582236|XP_034125737.1|DGUA
OG0000027	LOC108015770|XP_036678674.1|DSUZ	LOC117581693|XP_034124961.1|DGUA
OG0000028	LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ	LOC117579887|XP_034121914.1|DGUA
OG0000028	LOC118877366|XP_036671777.1|DSUZ	LOC117588956|XP_034136434.1|DGUA
OG0000029	LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ	LOC117592282|XP_034141836.1|DGUA
OG0000029	LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ	LOC117589682|XP_034137727.1|DGUA
OG0000029	LOC108019543|XP_016942870.2|DSUZ	LOC117579424|XP_034121195.1|DGUA
OG0000030	LOC108019494|XP_016942847.1|DSUZ	LOC117582242|XP_034125744.1|DGUA
OG0000030	LOC108008732|XP_016928155.2|DSUZ, LOC108008937|XP_016928378.2|DSUZ, LOC108008635|XP_016928046.1|DSUZ	LOC117584551|XP_034129394.1|DGUA
OG0000030	LOC108008208|XP_016927487.1|DSUZ, LOC108008957|XP_016928357.1|DSUZ	LOC117580408|XP_034122850.1|DGUA
OG0000030	LOC108016627|XP_016938811.1|DSUZ	LOC117580802|XP_034123393.1|DGUA
OG0000030	LOC108005272|XP_016923949.2|DSUZ, LOC108005153|XP_016923816.2|DSUZ	LOC117581439|XP_034124532.1|DGUA
OG0000031	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ	LOC117584126|XP_034128769.1|DGUA
OG0000031	LOC108017974|XP_016940780.1|DSUZ, LOC108017973|XP_016940764.1|DSUZ	LOC117584798|XP_034129808.1|DGUA
OG0000032	LOC108018357|XP_036672791.1|DSUZ	LOC117583029|XP_034127075.1|DGUA
OG0000032	LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ	LOC117583031|XP_034127078.1|DGUA
OG0000032	LOC108018408|XP_016941455.1|DSUZ	LOC117583028|XP_034127074.1|DGUA
OG0000032	LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ	LOC117583032|XP_034127079.1|DGUA, LOC117583027|XP_034127070.1|DGUA, LOC117583026|XP_034127069.1|DGUA
OG0000033	LOC108007608|XP_016926802.1|DSUZ, LOC118877727|XP_036673586.1|DSUZ, LOC108007624|XP_036673594.1|DSUZ, LOC108007609|XP_016926803.2|DSUZ	LOC117583114|XP_034127189.1|DGUA
OG0000033	LOC108017678|XP_016940276.1|DSUZ	LOC117578485|XP_034119909.1|DGUA
OG0000033	LOC108017970|XP_016940756.2|DSUZ	LOC117578484|XP_034119908.1|DGUA
OG0000033	LOC108010515|XP_016930878.2|DSUZ, LOC108013858|XP_016935336.2|DSUZ, LOC118878058|XP_036675136.1|DSUZ, LOC108008236|XP_016927516.1|DSUZ, LOC108008237|XP_016927517.1|DSUZ, LOC108008235|XP_016927515.1|DSUZ, LOC108008234|XP_016927514.1|DSUZ	LOC117589901|XP_034138062.1|DGUA
OG0000034	LOC108021477|XP_016945708.1|DSUZ	LOC117584525|XP_034129365.1|DGUA
OG0000034	LOC108021476|XP_016945707.1|DSUZ	LOC117584539|XP_034129382.1|DGUA
OG0000034	LOC108021724|XP_016946052.1|DSUZ	LOC117584364|XP_034129093.1|DGUA
OG0000034	LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ	LOC117588069|XP_034135023.1|DGUA, LOC117588071|XP_034135025.1|DGUA
OG0000034	LOC108011927|XP_016932664.1|DSUZ	LOC117588068|XP_034135019.1|DGUA
OG0000036	LOC108019328|XP_036675087.1|DSUZ	LOC117586375|XP_034132294.1|DGUA
OG0000036	LOC108006404|XP_016925415.2|DSUZ	LOC117589622|XP_034137600.1|DGUA
OG0000036	LOC108011658|XP_016932343.2|DSUZ	LOC117590096|XP_034138331.1|DGUA
OG0000036	LOC108007854|XP_036674140.1|DSUZ	LOC117583751|XP_034128161.1|DGUA
OG0000037	LOC108018132|XP_016941074.1|DSUZ	LOC117581190|XP_034124041.1|DGUA
OG0000037	LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ	LOC117589655|XP_034137680.1|DGUA, LOC117589654|XP_034137679.1|DGUA, LOC117589653|XP_034137677.1|DGUA, LOC117589652|XP_034137676.1|DGUA
OG0000038	LOC108020759|XP_016944626.2|DSUZ	LOC117579886|XP_034121913.1|DGUA
OG0000038	LOC108010653|XP_036670653.1|DSUZ	LOC117579879|XP_034121893.1|DGUA
OG0000039	LOC108016023|XP_016938107.2|DSUZ	LOC117586049|XP_034131784.1|DGUA
OG0000039	LOC108006280|XP_016925226.1|DSUZ	LOC117590455|XP_034138980.1|DGUA
OG0000039	LOC108006287|XP_016925235.1|DSUZ	LOC117590456|XP_034138981.1|DGUA
OG0000039	LOC108019017|XP_016942120.1|DSUZ	LOC117588357|XP_034135459.1|DGUA
OG0000040	LOC108016198|XP_036675321.1|DSUZ	LOC117586415|XP_034132343.1|DGUA
OG0000040	LOC108006036|XP_036674433.1|DSUZ	LOC117585619|XP_034131071.1|DGUA, LOC117585126|XP_034130340.1|DGUA
OG0000040	LOC108006007|XP_036674432.1|DSUZ	LOC117585623|XP_034131079.1|DGUA
OG0000040	LOC108011397|XP_016932008.2|DSUZ, LOC108011398|XP_036675473.1|DSUZ	LOC117585926|XP_034131583.1|DGUA
OG0000040	LOC108007390|XP_036675323.1|DSUZ, LOC108007385|XP_016926531.2|DSUZ	LOC117586490|XP_034132479.1|DGUA
OG0000040	LOC108007382|XP_016926528.2|DSUZ	LOC117585962|XP_034131662.1|DGUA
OG0000040	LOC108010783|XP_016931200.1|DSUZ	LOC117583720|XP_034128120.1|DGUA
OG0000041	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ	LOC117585912|XP_034131566.1|DGUA, LOC117585916|XP_034131573.1|DGUA
OG0000041	LOC108007918|XP_016927178.2|DSUZ	LOC117585914|XP_034131569.1|DGUA
OG0000042	LOC108011952|XP_016932694.2|DSUZ	LOC117588578|XP_034135864.1|DGUA
OG0000042	LOC108017900|XP_016940559.1|DSUZ	LOC117592397|XP_034142005.1|DGUA
OG0000042	LOC108017907|XP_016940566.1|DSUZ	LOC117592396|XP_034142004.1|DGUA
OG0000042	LOC108017901|XP_016940560.1|DSUZ, LOC108017904|XP_036669901.1|DSUZ, LOC108017721|XP_016940320.2|DSUZ, LOC108017910|XP_016940568.2|DSUZ, LOC108017722|XP_016940321.2|DSUZ	LOC117592398|XP_034142007.1|DGUA, LOC117582376|XP_034125933.1|DGUA
OG0000042	LOC108017720|XP_016940319.1|DSUZ	LOC117592399|XP_034142008.1|DGUA
OG0000043	LOC108006018|XP_016924950.2|DSUZ	LOC117585018|XP_034130150.1|DGUA
OG0000043	LOC108006051|XP_036674427.1|DSUZ	LOC117585017|XP_034130149.1|DGUA, LOC117585016|XP_034130147.1|DGUA
OG0000043	LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ	LOC117585502|XP_034130891.1|DGUA
OG0000043	LOC108010802|XP_016931225.2|DSUZ	LOC117584981|XP_034130079.1|DGUA
OG0000043	LOC108006056|XP_016924989.2|DSUZ	LOC117585441|XP_034130807.1|DGUA
OG0000044	LOC108012094|XP_016932860.2|DSUZ	LOC117585917|XP_034131574.1|DGUA
OG0000044	LOC108007932|XP_036674251.1|DSUZ, LOC108007930|XP_036674252.1|DSUZ	LOC117591713|XP_034140924.1|DGUA, LOC117586413|XP_034132340.1|DGUA, LOC117586479|XP_034132465.1|DGUA
OG0000044	LOC108007915|XP_016927173.2|DSUZ, LOC108007906|XP_016927164.2|DSUZ, LOC108007917|XP_036674250.1|DSUZ	LOC117586414|XP_034132341.1|DGUA, LOC117591704|XP_034140916.1|DGUA, LOC117586325|XP_034132207.1|DGUA
OG0000044	LOC108011721|XP_016932432.2|DSUZ	LOC117590011|XP_034138189.1|DGUA
OG0000045	LOC108004812|XP_036670921.1|DSUZ	LOC117586936|XP_034133192.1|DGUA
