Orthogroup	AEAL.longest_only	ASTE.longest_only
OG0000003	LOC109421550|XP_019551615.2|AEAL	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE
OG0000003	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL	LOC118504412|XP_035894738.1|ASTE
OG0000004	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE
OG0000005	LOC109431217|XP_019562975.1|AEAL, LOC115264621|XP_029724359.1|AEAL, LOC109420134|XP_019549992.2|AEAL, LOC109431208|XP_019562967.2|AEAL, LOC109431202|XP_019562960.1|AEAL, LOC115264624|XP_029724364.1|AEAL, LOC109420130|XP_019549988.1|AEAL, LOC115264618|XP_029724355.1|AEAL, LOC109420103|XP_019549953.2|AEAL, LOC115264627|XP_029724367.1|AEAL, LOC115264619|XP_029724357.1|AEAL, LOC115264613|XP_029724347.1|AEAL, LOC109420106|XP_029724322.1|AEAL, LOC115264606|XP_029724330.1|AEAL, LOC115264602|XP_029724325.1|AEAL	LOC118516497|XP_035918320.1|ASTE, LOC118516487|XP_035918309.1|ASTE, LOC118516495|XP_035918318.1|ASTE, LOC118516498|XP_035918321.1|ASTE, LOC118516500|XP_035918322.1|ASTE, LOC118516491|XP_035918313.1|ASTE, LOC118516493|XP_035918316.1|ASTE, LOC118516494|XP_035918317.1|ASTE, LOC118516492|XP_035918315.1|ASTE, LOC118516490|XP_035918312.1|ASTE, LOC118516496|XP_035918319.1|ASTE, LOC118517635|XP_035919840.1|ASTE
OG0000006	LOC109621663|XP_019931313.1|AEAL, LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC118506770|XP_035900259.1|ASTE
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC118509007|XP_035904915.1|ASTE
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL	LOC118514549|XP_035917433.1|ASTE
OG0000009	LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE
OG0000009	LOC109432620|XP_019564525.2|AEAL	LOC118513525|XP_035915292.1|ASTE
OG0000009	LOC109405076|XP_019533612.2|AEAL	LOC118510358|XP_035907960.1|ASTE
OG0000009	LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC115261272|XP_029718507.1|AEAL	LOC118503730|XP_035893236.1|ASTE
OG0000010	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL	LOC118509785|XP_035906820.1|ASTE
OG0000011	LOC115266427|XP_029728519.1|AEAL, LOC109417348|XP_029718707.1|AEAL	LOC118513952|XP_035916240.1|ASTE
OG0000012	LOC109423253|XP_029726458.1|AEAL	LOC118508901|XP_035904653.1|ASTE
OG0000012	LOC109423301|XP_019553773.2|AEAL	LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC118503015|XP_035891731.1|ASTE
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE
OG0000014	LOC115260572|XP_029717367.1|AEAL	LOC118503306|XP_035892319.1|ASTE, LOC118515162|XP_035917761.1|ASTE, LOC118513701|XP_035915722.1|ASTE
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL	LOC118509720|XP_035906702.1|ASTE
OG0000016	LOC109405344|XP_029709586.1|AEAL, LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC118505170|XP_035896494.1|ASTE
OG0000016	LOC109432057|XP_019563902.1|AEAL	LOC118502963|XP_035891620.1|ASTE
OG0000016	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL	LOC118505225|XP_035896646.1|ASTE
OG0000016	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL	LOC118503559|XP_035892861.1|ASTE
OG0000016	LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL	LOC118503557|XP_035892858.1|ASTE
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL	LOC118503558|XP_035892859.1|ASTE
OG0000016	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC118513024|XP_035914194.1|ASTE
OG0000018	LOC109399209|XP_019527192.1|AEAL	LOC118513028|XP_035914198.1|ASTE
OG0000018	LOC109413967|XP_019543245.2|AEAL	LOC118513023|XP_035914193.1|ASTE
OG0000018	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL, LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL, LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL, LOC109413969|XP_019543246.2|AEAL	LOC118513026|XP_035914196.1|ASTE
OG0000019	LOC109623324|XP_029721557.1|AEAL	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE
OG0000019	LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL	LOC118505911|XP_035898263.1|ASTE
OG0000019	LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL	LOC118507102|XP_035900997.1|ASTE
OG0000019	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL	LOC118505907|XP_035898258.1|ASTE
OG0000019	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL	LOC118506335|XP_035899208.1|ASTE
OG0000019	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL, LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL	LOC118502378|XP_035890492.1|ASTE
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC118509588|XP_035906253.1|ASTE
OG0000020	LOC109424074|XP_019554703.2|AEAL	LOC118507693|XP_035902420.1|ASTE
OG0000020	LOC109424077|XP_019554704.2|AEAL	LOC118507694|XP_035902424.1|ASTE
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL	LOC118505404|XP_035897036.1|ASTE
OG0000021	LOC109426122|XP_029723111.1|AEAL	LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC109403033|XP_019531286.2|AEAL	LOC118511284|XP_035910083.1|ASTE
OG0000023	LOC109403032|XP_019531283.2|AEAL	LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC109431226|XP_029724373.1|AEAL	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE
OG0000027	LOC109432455|XP_019564332.2|AEAL, LOC109421216|XP_019551248.2|AEAL, LOC115259293|XP_029715687.1|AEAL, LOC109421329|XP_019551381.2|AEAL, LOC109432449|XP_019564327.2|AEAL, LOC109421190|XP_029727634.1|AEAL, LOC109421217|XP_029727617.1|AEAL, LOC109432448|XP_019564326.2|AEAL, LOC109432441|XP_019564320.2|AEAL, LOC109432439|XP_019564318.2|AEAL, LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE
OG0000027	LOC115265571|XP_029727062.1|AEAL, LOC115253746|XP_029726930.1|AEAL, LOC115253563|XP_019564355.2|AEAL, LOC109432453|XP_019564330.2|AEAL, LOC109421223|XP_019551254.2|AEAL, LOC115265527|XP_029726929.1|AEAL, LOC115253427|XP_019564349.2|AEAL, LOC115265528|XP_029726931.1|AEAL, LOC109432477|XP_019564350.2|AEAL, LOC115265570|XP_029727061.1|AEAL, LOC115265526|XP_029726928.1|AEAL, LOC115253430|XP_019564352.2|AEAL, LOC109432478|XP_029726927.1|AEAL, LOC109421332|XP_019551387.2|AEAL, LOC115259291|XP_029715685.1|AEAL	LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE
OG0000027	LOC115265811|XP_029727614.1|AEAL	LOC118512970|XP_035914090.1|ASTE
OG0000027	LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL	LOC118509804|XP_035906835.1|ASTE
OG0000027	LOC109421231|XP_019564335.2|AEAL	LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL	LOC118504435|XP_035894769.1|ASTE
OG0000029	LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL	LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE
OG0000029	LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL	LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000031	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE
OG0000031	LOC115253560|XP_029713715.1|AEAL, LOC115257879|XP_029713709.1|AEAL	LOC118503404|XP_035892502.1|ASTE
OG0000031	LOC115257854|XP_029713671.1|AEAL, LOC109403394|XP_019531763.2|AEAL	LOC118503633|XP_035893023.1|ASTE
OG0000031	LOC115257634|XP_029713321.1|AEAL, LOC115257385|XP_029712776.1|AEAL, LOC109403393|XP_029712807.1|AEAL, LOC115257883|XP_029713713.1|AEAL	LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE
OG0000031	LOC115257390|XP_029712796.1|AEAL, LOC115257425|XP_029712868.1|AEAL, LOC109403416|XP_019531788.2|AEAL, LOC115257407|XP_029712833.1|AEAL, LOC115257859|XP_029713678.1|AEAL, LOC109403414|XP_029713283.1|AEAL, LOC109416716|XP_029713308.1|AEAL, LOC115257689|XP_029713417.1|AEAL, LOC115257849|XP_029713666.1|AEAL, LOC109416732|XP_029713153.1|AEAL, LOC109416725|XP_029713140.1|AEAL, LOC109403407|XP_019531780.1|AEAL, LOC115257575|XP_029713212.1|AEAL	LOC118503636|XP_035893027.1|ASTE
OG0000032	LOC109404182|XP_019532551.2|AEAL	LOC118503124|XP_035891971.1|ASTE
OG0000032	LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL	LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC109622501|XP_019932420.2|AEAL	LOC118512083|XP_035911935.1|ASTE
OG0000034	LOC109622498|XP_029726333.1|AEAL	LOC118512076|XP_035911906.1|ASTE
OG0000034	LOC109422421|XP_019552762.2|AEAL	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC109424827|XP_019555564.2|AEAL	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC109427449|XP_029711324.1|AEAL	LOC118505354|XP_035896919.1|ASTE
OG0000036	LOC109416028|XP_019545539.2|AEAL, LOC115269483|XP_029734122.1|AEAL, LOC115269488|XP_029734128.1|AEAL, LOC109425619|XP_029734679.1|AEAL, LOC115254234|XP_029734129.1|AEAL, LOC109425636|XP_019556421.2|AEAL, LOC109423473|XP_029734681.1|AEAL, LOC115269482|XP_029734121.1|AEAL, LOC109422852|XP_019553295.2|AEAL	LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL	LOC118510894|XP_035909171.1|ASTE
OG0000038	LOC109404300|XP_019532679.1|AEAL, LOC115265054|XP_029725109.1|AEAL, LOC109403140|XP_019531426.2|AEAL	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE
OG0000038	LOC109399492|XP_019527483.1|AEAL, LOC115270445|XP_029736034.1|AEAL	LOC118510900|XP_035909180.1|ASTE, LOC118510895|XP_035909172.1|ASTE
OG0000038	LOC115270362|XP_029735743.1|AEAL, LOC109404363|XP_019532757.2|AEAL, LOC109399504|XP_019527495.1|AEAL, LOC115270447|XP_029736037.1|AEAL, LOC109399503|XP_019527494.2|AEAL, LOC109399506|XP_029735745.1|AEAL, LOC109404357|XP_029735742.1|AEAL, LOC109404310|XP_019532688.1|AEAL, LOC109403106|XP_019531388.2|AEAL, LOC115265052|XP_029725107.1|AEAL, LOC109403102|XP_019531384.1|AEAL, LOC109404311|XP_019532690.1|AEAL, LOC109404353|XP_019532747.2|AEAL, LOC109399493|XP_019527484.1|AEAL, LOC109399495|XP_029736036.1|AEAL, LOC109403117|XP_019531397.2|AEAL, LOC115269903|XP_029734564.1|AEAL, LOC109404330|XP_019532705.2|AEAL, LOC109404321|XP_019532699.2|AEAL, LOC115268370|XP_029732241.1|AEAL, LOC109425906|XP_019556824.1|AEAL, LOC115265051|XP_029725106.1|AEAL, LOC109403100|XP_019531382.1|AEAL, LOC109404307|XP_019532685.1|AEAL, LOC109433067|XP_019564999.2|AEAL, LOC109403138|XP_019531425.1|AEAL, LOC115270366|XP_029735747.1|AEAL, LOC109404304|XP_019532681.1|AEAL	LOC118510905|XP_035909186.1|ASTE
OG0000039	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE
