Orthogroup	AEAL.longest_only	DVIR.longest_only
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC6632445|XP_002056511.1|DVIR, LOC6632323|XP_002056506.1|DVIR, LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR, LOC6635767|XP_032294717.1|DVIR, LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR, LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR, LOC6626542|XP_002050752.1|DVIR, LOC6628883|XP_002051663.1|DVIR
OG0000010	LOC115261272|XP_029718507.1|AEAL	LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
OG0000010	LOC109401799|XP_029718532.1|AEAL	LOC6636962|XP_002060409.1|DVIR
OG0000010	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL	LOC116649824|XP_032288860.1|DVIR
OG0000012	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL	LOC6624922|XP_002050777.1|DVIR, LOC6625019|XP_002050778.1|DVIR, LOC6625021|XP_002050780.1|DVIR, LOC6624921|XP_015029085.1|DVIR, LOC6625066|XP_002049213.2|DVIR, LOC6625067|XP_032293151.1|DVIR, LOC6624920|XP_002050775.2|DVIR, LOC6624919|XP_002050774.2|DVIR, LOC26531760|XP_015030363.1|DVIR, LOC6627007|XP_032292288.1|DVIR, LOC6627006|XP_002050772.1|DVIR, LOC6627005|XP_002050771.1|DVIR, LOC6627004|XP_002050770.1|DVIR
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC6626677|XP_002050872.1|DVIR
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC6633411|XP_015025597.1|DVIR
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC6630204|XP_002053707.1|DVIR
OG0000013	LOC109430791|XP_019562417.1|AEAL	LOC6622085|XP_002048525.1|DVIR
OG0000013	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL	LOC6632892|XP_002056192.1|DVIR
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC6634859|XP_002058649.1|DVIR, LOC6635006|XP_002058650.1|DVIR, LOC116650285|XP_032289502.1|DVIR, LOC6632687|XP_032289629.1|DVIR, LOC6632688|XP_032289631.1|DVIR, LOC6637283|XP_002060548.2|DVIR, LOC6632685|XP_032289630.1|DVIR, LOC6632689|XP_002056660.1|DVIR, LOC6637075|XP_002060490.3|DVIR, LOC6632683|XP_002056654.2|DVIR, LOC6632691|XP_032289775.1|DVIR
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC6633127|XP_002056070.1|DVIR, LOC6635889|XP_002059414.1|DVIR, LOC116650918|XP_032291957.1|DVIR
OG0000016	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC6636049|XP_002059576.1|DVIR
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC6623693|XP_002048319.1|DVIR
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC6623414|XP_002046136.1|DVIR
OG0000018	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL	LOC6623443|XP_002046145.1|DVIR
OG0000019	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC6630455|XP_032294460.1|DVIR, LOC6630454|XP_032294467.1|DVIR, LOC6630453|XP_002053914.1|DVIR, LOC6630456|XP_002053917.1|DVIR, LOC6630458|XP_002053919.1|DVIR, LOC6630457|XP_002053918.1|DVIR, LOC6630452|XP_002053913.1|DVIR
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC6634957|XP_002058591.1|DVIR, LOC6635984|XP_002059302.2|DVIR
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC6628903|XP_002051547.2|DVIR, LOC6632501|XP_032289762.1|DVIR, LOC6632573|XP_015026213.1|DVIR, LOC6628471|XP_002051546.1|DVIR
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL	LOC6636003|XP_002059503.1|DVIR
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC6629522|XP_002053324.1|DVIR, LOC6629847|XP_002054468.1|DVIR, LOC26531416|XP_015025728.1|DVIR
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC116651090|XP_032292738.1|DVIR, LOC6625962|XP_002049593.1|DVIR, LOC6622533|XP_002046430.1|DVIR, LOC6622042|XP_002046436.1|DVIR, LOC116650060|XP_032289303.1|DVIR, LOC6622522|XP_002046428.1|DVIR, LOC116650757|XP_032291322.1|DVIR, LOC6622078|XP_002046433.1|DVIR, LOC116650071|XP_032289312.1|DVIR, LOC6622546|XP_002046431.1|DVIR, LOC116650066|XP_032289307.1|DVIR, LOC6622553|XP_002046434.2|DVIR
OG0000023	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL	LOC26530945|XP_015026270.1|DVIR, LOC6632666|XP_032289605.1|DVIR, LOC6632668|XP_002056437.2|DVIR, LOC6632669|XP_002056438.1|DVIR, LOC6626291|XP_002050067.1|DVIR, LOC6632665|XP_002056434.1|DVIR, LOC6632664|XP_002056433.1|DVIR, LOC6632533|XP_002056431.1|DVIR, LOC6632529|XP_002056427.2|DVIR, LOC6632531|XP_002056429.1|DVIR, LOC6632528|XP_032289545.1|DVIR
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC6625432|XP_002049269.3|DVIR, LOC6625433|XP_015029714.1|DVIR, LOC6625430|XP_002049267.1|DVIR, LOC6625436|XP_002049273.1|DVIR, LOC6625435|XP_002049272.1|DVIR, LOC6625434|XP_002049271.1|DVIR, LOC6625431|XP_002049268.3|DVIR, LOC6634081|XP_002057902.1|DVIR, LOC6625429|XP_002049266.1|DVIR, LOC6625162|XP_002048929.1|DVIR, LOC6626889|XP_002049423.1|DVIR, LOC6628415|XP_002052328.1|DVIR
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC6628547|XP_002051859.1|DVIR, LOC6635606|XP_002058949.1|DVIR
OG0000025	LOC109431226|XP_029724373.1|AEAL	LOC6637233|XP_002060537.1|DVIR
OG0000026	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL	LOC6631256|XP_002053244.1|DVIR, LOC6636025|XP_002059549.1|DVIR, LOC6636164|XP_002059550.1|DVIR, LOC6635194|XP_002058469.1|DVIR
OG0000027	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL	LOC6629148|XP_002052895.1|DVIR, LOC6627465|XP_002052896.1|DVIR, LOC6635631|XP_002059236.1|DVIR
OG0000028	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL	LOC6622578|XP_032291308.1|DVIR, LOC116650753|XP_032291253.1|DVIR, LOC6622591|XP_032290503.1|DVIR, LOC6622560|XP_032290501.1|DVIR, LOC6622574|XP_002047517.1|DVIR
OG0000029	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL	LOC6625353|XP_002050320.1|DVIR, LOC6625686|XP_002050319.2|DVIR, LOC6624236|XP_002048359.1|DVIR
OG0000031	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL	LOC6634268|XP_002057550.2|DVIR, LOC6634269|XP_002057551.2|DVIR, LOC6634303|XP_032293402.1|DVIR
OG0000032	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL	LOC6629979|XP_002054337.1|DVIR, LOC6629980|XP_032294917.1|DVIR, LOC6629978|XP_032294961.1|DVIR, LOC6634892|XP_002058480.2|DVIR, LOC6629977|XP_002054335.1|DVIR, LOC6629932|XP_002054333.2|DVIR, LOC6629933|XP_002054334.2|DVIR
OG0000034	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL	LOC6627930|XP_002051996.1|DVIR, LOC6627931|XP_002051997.2|DVIR, LOC6627933|XP_015028329.1|DVIR, LOC6627932|XP_002051998.1|DVIR, LOC6628689|XP_002051353.1|DVIR, LOC6628690|XP_002051354.1|DVIR, LOC6628691|XP_032293795.1|DVIR, LOC6628688|XP_002051352.1|DVIR
OG0000036	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL	LOC6632491|XP_002056444.1|DVIR
OG0000036	LOC109424827|XP_019555564.2|AEAL	LOC116651951|XP_032295383.1|DVIR
OG0000036	LOC109414897|XP_019544289.2|AEAL, LOC109416024|XP_029731286.1|AEAL, LOC109414876|XP_029714408.1|AEAL, LOC109416023|XP_029731289.1|AEAL, LOC109427449|XP_029711324.1|AEAL, LOC109416028|XP_019545539.2|AEAL, LOC115269483|XP_029734122.1|AEAL, LOC115269488|XP_029734128.1|AEAL, LOC109425619|XP_029734679.1|AEAL, LOC115254234|XP_029734129.1|AEAL, LOC109425636|XP_019556421.2|AEAL, LOC109423473|XP_029734681.1|AEAL, LOC115269482|XP_029734121.1|AEAL, LOC109422852|XP_019553295.2|AEAL	LOC6631850|XP_002055586.3|DVIR
OG0000037	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL	LOC6627126|XP_032291548.1|DVIR, LOC6629970|XP_002053079.1|DVIR, LOC6630819|XP_002054726.2|DVIR, LOC26531412|XP_015030326.1|DVIR
OG0000038	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL	LOC6622648|XP_002047530.1|DVIR
OG0000039	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL	LOC6630003|XP_002054716.2|DVIR
OG0000041	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL	LOC6630636|XP_002053634.1|DVIR, LOC6630746|XP_002053207.1|DVIR, LOC6630637|XP_002053635.1|DVIR, LOC6630748|XP_002053209.1|DVIR, LOC6630744|XP_032290585.1|DVIR, LOC116651238|XP_032293093.1|DVIR, LOC6630745|XP_032292365.1|DVIR
OG0000043	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL	LOC6630320|XP_002053430.1|DVIR, LOC6630321|XP_002053431.1|DVIR, LOC6630323|XP_002053433.1|DVIR, LOC6630318|XP_002053428.2|DVIR
OG0000044	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL	LOC6630493|XP_002053200.1|DVIR, LOC116651012|XP_032292468.1|DVIR, LOC6630492|XP_002053199.1|DVIR, LOC6630491|XP_002053198.1|DVIR
OG0000045	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL	LOC6622199|XP_002046894.1|DVIR, LOC6624099|XP_002046893.1|DVIR, LOC6623107|XP_002046892.1|DVIR
OG0000047	LOC109430117|XP_029718231.1|AEAL	LOC6624851|XP_002050852.1|DVIR, LOC6624848|XP_002050849.2|DVIR, LOC6626318|XP_002049525.1|DVIR, LOC6623898|XP_015031386.1|DVIR, LOC6624041|XP_002047846.1|DVIR, LOC6626924|XP_002049538.1|DVIR
OG0000048	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL	LOC6623801|XP_002046214.1|DVIR, LOC6623780|XP_002046212.1|DVIR, LOC6623749|XP_002046215.1|DVIR
OG0000049	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL	LOC6632699|XP_002056032.2|DVIR, LOC6632702|XP_002056035.3|DVIR, LOC6632698|XP_002056031.1|DVIR, LOC116650324|XP_032289598.1|DVIR, LOC6632703|XP_002056036.2|DVIR
OG0000051	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL	LOC6633160|XP_002056609.1|DVIR, LOC6632364|XP_002056725.1|DVIR, LOC6630427|XP_002053739.1|DVIR
OG0000053	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL	LOC6625282|XP_002049664.3|DVIR, LOC6624847|XP_002049663.1|DVIR, LOC6624846|XP_002049662.1|DVIR
OG0000054	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL	LOC6633223|XP_002056282.1|DVIR, LOC6629800|XP_002053376.1|DVIR, LOC6633224|XP_002056283.1|DVIR, LOC116650298|XP_032289550.1|DVIR
OG0000055	LOC115256529|XP_029711077.1|AEAL	LOC6632627|XP_002056104.1|DVIR, LOC6632628|XP_002056105.1|DVIR, LOC6632630|XP_002056107.2|DVIR, LOC6632629|XP_002056106.2|DVIR
OG0000056	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL	LOC6630825|XP_002054732.1|DVIR, LOC6630824|XP_002054731.1|DVIR, LOC26531774|XP_032295287.1|DVIR, LOC6630956|XP_002054733.1|DVIR, LOC6627508|XP_002052791.1|DVIR
