Orthogroup	AEAL.longest_only	DHYD.longest_only
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD, LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC111605496|XP_023179814.1|DHYD, LOC111602093|XP_023174795.1|DHYD
OG0000016	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC111597353|XP_023167768.1|DHYD
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC111599234|XP_023170599.1|DHYD
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC111600492|XP_023172388.2|DHYD
OG0000019	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC111598921|XP_023170159.1|DHYD, LOC111603256|XP_023176531.2|DHYD, LOC111598920|XP_023170158.2|DHYD, LOC111603248|XP_023176523.1|DHYD, LOC111598923|XP_023170162.2|DHYD
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC111594494|XP_030080618.1|DHYD, LOC111593180|XP_023161558.2|DHYD
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC111598962|XP_023170216.2|DHYD, LOC111596686|XP_023166760.2|DHYD, LOC111604565|XP_023178433.2|DHYD, LOC111604594|XP_030078785.1|DHYD, LOC111604595|XP_030078783.1|DHYD, LOC111596439|XP_023166430.2|DHYD, LOC111598978|XP_030080535.1|DHYD
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL	LOC111602062|XP_023174743.2|DHYD
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC111593360|XP_023161841.1|DHYD, LOC111601414|XP_023173744.1|DHYD, LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC111595585|XP_023165164.2|DHYD, LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD, LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD, LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL	LOC111602788|XP_023175829.2|DHYD, LOC111602703|XP_023175706.2|DHYD, LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD, LOC111602764|XP_023175791.1|DHYD, LOC111602801|XP_023175861.1|DHYD, LOC111602761|XP_023175787.2|DHYD, LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD, LOC111592141|XP_023159955.2|DHYD, LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD, LOC111598026|XP_023168817.2|DHYD, LOC111599681|XP_023171155.2|DHYD
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC111600166|XP_023171925.1|DHYD, LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC109431226|XP_029724373.1|AEAL	LOC115483232|XP_030080436.1|DHYD
OG0000025	LOC115264617|XP_029724354.1|AEAL	LOC115482900|XP_030079008.1|DHYD
OG0000026	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL	LOC111599153|XP_023170492.2|DHYD, LOC111595849|XP_023165527.1|DHYD, LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD, LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD, LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD
OG0000031	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL	LOC111596192|XP_023166065.2|DHYD, LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000032	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL	LOC111599037|XP_023170323.1|DHYD, LOC111598628|XP_023169740.2|DHYD, LOC111599021|XP_023170312.2|DHYD, LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000034	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC109424827|XP_019555564.2|AEAL	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC109414897|XP_019544289.2|AEAL, LOC109416024|XP_029731286.1|AEAL, LOC109414876|XP_029714408.1|AEAL, LOC109416023|XP_029731289.1|AEAL, LOC109427449|XP_029711324.1|AEAL, LOC109416028|XP_019545539.2|AEAL, LOC115269483|XP_029734122.1|AEAL, LOC115269488|XP_029734128.1|AEAL, LOC109425619|XP_029734679.1|AEAL, LOC115254234|XP_029734129.1|AEAL, LOC109425636|XP_019556421.2|AEAL, LOC109423473|XP_029734681.1|AEAL, LOC115269482|XP_029734121.1|AEAL, LOC109422852|XP_019553295.2|AEAL	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL	LOC111604322|XP_030081296.1|DHYD, LOC111601750|XP_023174255.2|DHYD, LOC111599598|XP_023171051.2|DHYD, LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL	LOC111605099|XP_023179209.2|DHYD
OG0000039	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL	LOC111599549|XP_023170981.2|DHYD
OG0000041	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000043	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD, LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD
OG0000044	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL	LOC111604839|XP_023178838.2|DHYD, LOC111604858|XP_023178860.2|DHYD, LOC111604849|XP_023178850.2|DHYD, LOC111604836|XP_023178833.2|DHYD, LOC111604822|XP_023178814.2|DHYD, LOC111604862|XP_023178863.2|DHYD, LOC111604847|XP_023178847.2|DHYD, LOC111592024|XP_023159785.2|DHYD
OG0000045	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL	LOC111597391|XP_023167823.1|DHYD, LOC111597386|XP_023167816.1|DHYD, LOC111597377|XP_023167802.1|DHYD
OG0000047	LOC109430117|XP_029718231.1|AEAL	LOC111596622|XP_023166677.1|DHYD, LOC111594123|XP_023163050.2|DHYD, LOC111595469|XP_023165002.1|DHYD, LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL	LOC111604700|XP_023178641.1|DHYD, LOC111604676|XP_023178606.1|DHYD, LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL	LOC111594543|XP_023163663.2|DHYD, LOC111594529|XP_023163631.2|DHYD, LOC111594475|XP_023163544.1|DHYD, LOC111594476|XP_023163545.2|DHYD, LOC111594581|XP_023163706.2|DHYD
OG0000051	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL	LOC111604842|XP_023178842.2|DHYD, LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD, LOC111598254|XP_023169188.2|DHYD
OG0000053	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL	LOC111602599|XP_023175526.2|DHYD, LOC111602600|XP_023175527.2|DHYD, LOC111596382|XP_023166356.2|DHYD
OG0000054	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL	LOC111604826|XP_023178817.2|DHYD, LOC111593322|XP_023161796.2|DHYD, LOC111604856|XP_023178857.2|DHYD
OG0000055	LOC115256529|XP_029711077.1|AEAL	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD, LOC111603272|XP_023176553.1|DHYD
OG0000056	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL	LOC111599614|XP_023171073.2|DHYD, LOC111599611|XP_023171068.2|DHYD, LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD, LOC111600558|XP_023172478.1|DHYD
OG0000058	LOC109413458|XP_019542679.2|AEAL, LOC115265775|XP_029727582.1|AEAL, LOC109623107|XP_019933135.2|AEAL, LOC109405129|XP_019533674.2|AEAL	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD, LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD, LOC111591894|XP_023159568.1|DHYD
OG0000060	LOC115253826|XP_029711789.1|AEAL, LOC109415565|XP_019544994.1|AEAL, LOC109431105|XP_029711394.1|AEAL, LOC115256864|XP_029711798.1|AEAL	LOC111605127|XP_023179254.1|DHYD, LOC111605118|XP_023179239.1|DHYD
OG0000060	LOC109421315|XP_029726943.1|AEAL, LOC109621270|XP_029727055.1|AEAL	LOC111597837|XP_023168500.1|DHYD
OG0000061	LOC109412047|XP_019541235.2|AEAL, LOC115259629|XP_029716255.1|AEAL, LOC109398453|XP_029716337.1|AEAL, LOC109424658|XP_019555373.2|AEAL	LOC111601172|XP_023173419.2|DHYD, LOC111601168|XP_023173414.2|DHYD, LOC111601143|XP_023173378.2|DHYD, LOC111601144|XP_023173379.1|DHYD
OG0000067	LOC109411462|XP_019540532.2|AEAL	LOC111601094|XP_023173298.2|DHYD
OG0000068	LOC109417573|XP_029725470.1|AEAL, LOC109417572|XP_029725464.1|AEAL, LOC115265252|XP_029725472.1|AEAL, LOC109417818|XP_029725465.1|AEAL, LOC109431213|XP_019562968.2|AEAL, LOC109420142|XP_029724370.1|AEAL, LOC109420119|XP_019549974.2|AEAL, LOC109412631|XP_029724411.1|AEAL, LOC109426780|XP_019557858.2|AEAL	LOC111593542|XP_023162133.2|DHYD, LOC111598177|XP_023169045.2|DHYD
OG0000071	LOC109431530|XP_019563303.2|AEAL, LOC115263888|XP_029723093.1|AEAL, LOC109422248|XP_019552407.2|AEAL, LOC115257508|XP_029713040.1|AEAL, LOC109403425|XP_029713225.1|AEAL, LOC115257855|XP_029713672.1|AEAL, LOC115257461|XP_029712919.1|AEAL, LOC109403459|XP_019531835.2|AEAL	LOC111599791|XP_030081795.1|DHYD
