Orthogroup	AEAL.longest_only	CQUI.longest_only
OG0000001	LOC115258904|XP_029715227.1|AEAL, LOC115265164|XP_029725288.1|AEAL, LOC115268831|XP_029732866.1|AEAL	LOC119765978|XP_038106214.1|CQUI
OG0000001	LOC109398938|XP_029729633.1|AEAL	LOC119769172|XP_038117006.1|CQUI, LOC119770284|XP_038120806.1|CQUI, LOC119767772|XP_038113157.1|CQUI
OG0000001	LOC115265076|XP_029725147.1|AEAL	LOC119766322|XP_038106731.1|CQUI
OG0000001	LOC115270984|XP_029736215.1|AEAL	LOC119766311|XP_038106708.1|CQUI
OG0000001	LOC115256725|XP_029711525.1|AEAL	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI
OG0000001	LOC115268205|XP_029732120.1|AEAL, LOC115262799|XP_029721549.1|AEAL	LOC119769081|XP_038116908.1|CQUI
OG0000001	LOC115263370|XP_029722527.1|AEAL	LOC119769227|XP_038117081.1|CQUI
OG0000001	LOC115254876|XP_029708423.1|AEAL, LOC115257801|XP_029713614.1|AEAL, LOC115268197|XP_029732110.1|AEAL	LOC119766281|XP_038106656.1|CQUI
OG0000001	LOC115261516|XP_029719137.1|AEAL	LOC119765939|XP_038106148.1|CQUI
OG0000001	LOC115271064|XP_029736362.1|AEAL	LOC119769072|XP_038116898.1|CQUI
OG0000002	LOC109408162|XP_019536944.2|AEAL, LOC109411104|XP_019540095.2|AEAL	LOC119770491|XP_038121412.1|CQUI
OG0000002	LOC109415861|XP_029719818.1|AEAL, LOC109402720|XP_029717961.1|AEAL	LOC6038317|XP_001848136.2|CQUI
OG0000002	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL	LOC6031922|XP_001842608.2|CQUI
OG0000002	LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL	LOC119766720|XP_038108058.1|CQUI
OG0000002	LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL	LOC6031923|XP_038114632.1|CQUI
OG0000002	LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL	LOC119768597|XP_038114634.1|CQUI
OG0000003	LOC109409211|XP_019538182.2|AEAL, LOC109421551|XP_019551616.2|AEAL, LOC109409210|XP_019538181.2|AEAL, LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL	LOC6050719|XP_001867281.2|CQUI
OG0000003	LOC109421477|XP_019551518.2|AEAL, LOC109421555|XP_019551619.2|AEAL	LOC6050716|XP_038110657.1|CQUI
OG0000003	LOC109409164|XP_019538127.2|AEAL, LOC109421553|XP_019551618.2|AEAL	LOC6037852|XP_038108088.1|CQUI
OG0000003	LOC109421549|XP_019551614.2|AEAL, LOC109409160|XP_019538123.2|AEAL	LOC6050718|XP_001867280.2|CQUI
OG0000003	LOC109421556|XP_019551620.2|AEAL	LOC6054221|XP_038110656.1|CQUI
OG0000003	LOC109425972|XP_029731864.1|AEAL	LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI
OG0000003	LOC109421559|XP_019551624.2|AEAL	LOC6054224|XP_001870172.2|CQUI, LOC6050709|XP_001867273.2|CQUI
OG0000003	LOC109409168|XP_029727109.1|AEAL	LOC6054222|XP_038106984.1|CQUI
OG0000003	LOC109421550|XP_019551615.2|AEAL	LOC6050720|XP_001867282.2|CQUI
OG0000003	LOC115269310|XP_029733775.1|AEAL	LOC6037490|XP_001847400.2|CQUI
OG0000003	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI
OG0000004	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI
OG0000005	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL, LOC109397485|XP_019525324.1|AEAL, LOC115270068|XP_029734900.1|AEAL, LOC115270062|XP_029734894.1|AEAL, LOC115270061|XP_029734893.1|AEAL, LOC109621825|XP_019931550.1|AEAL, LOC109413196|XP_019542446.1|AEAL, LOC109404529|XP_019532971.1|AEAL, LOC109413199|XP_019542449.1|AEAL, LOC115267256|XP_029730017.1|AEAL, LOC109621654|XP_019931304.1|AEAL, LOC115266977|XP_029729560.1|AEAL	LOC6045278|XP_001862667.1|CQUI, LOC6045266|XP_001862657.1|CQUI, LOC6045300|XP_001862689.1|CQUI
OG0000005	LOC109431217|XP_019562975.1|AEAL, LOC115264621|XP_029724359.1|AEAL, LOC109420134|XP_019549992.2|AEAL, LOC109431208|XP_019562967.2|AEAL, LOC109431202|XP_019562960.1|AEAL, LOC115264624|XP_029724364.1|AEAL, LOC109420130|XP_019549988.1|AEAL, LOC115264618|XP_029724355.1|AEAL, LOC109420103|XP_019549953.2|AEAL, LOC115264627|XP_029724367.1|AEAL, LOC115264619|XP_029724357.1|AEAL, LOC115264613|XP_029724347.1|AEAL, LOC109420106|XP_029724322.1|AEAL, LOC115264606|XP_029724330.1|AEAL, LOC115264602|XP_029724325.1|AEAL	LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI
OG0000006	LOC109413177|XP_019542430.1|AEAL, LOC109621663|XP_019931313.1|AEAL, LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL, LOC115270057|XP_029734888.1|AEAL	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC109417624|XP_019547214.2|AEAL	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI
OG0000007	LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL	LOC6036593|XP_001846625.2|CQUI
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI
OG0000008	LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL	LOC6035810|XP_038119144.1|CQUI
OG0000008	LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC6035812|XP_001845934.1|CQUI
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC6041962|XP_038113753.1|CQUI
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL	LOC6048808|XP_001865675.2|CQUI
OG0000009	LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL	LOC6049524|XP_001866266.2|CQUI
OG0000009	LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL	LOC6049522|XP_001866265.2|CQUI
OG0000009	LOC109427506|XP_019558604.2|AEAL	LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI
OG0000009	LOC109432620|XP_019564525.2|AEAL	LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI
OG0000009	LOC109405076|XP_019533612.2|AEAL	LOC6053772|XP_001869801.2|CQUI
OG0000009	LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL	LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI
OG0000009	LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC115261280|XP_029718515.1|AEAL, LOC115261279|XP_029718514.1|AEAL, LOC109431225|XP_019562983.1|AEAL, LOC115261277|XP_029718512.1|AEAL, LOC115261268|XP_029718502.1|AEAL, LOC115264622|XP_029724361.1|AEAL, LOC115261276|XP_029718511.1|AEAL, LOC115264603|XP_029724326.1|AEAL, LOC115261272|XP_029718507.1|AEAL, LOC115261273|XP_029718508.1|AEAL, LOC115261278|XP_029718513.1|AEAL, LOC115261281|XP_029718517.1|AEAL, LOC115261274|XP_029718509.1|AEAL, LOC109401799|XP_029718532.1|AEAL, LOC115261275|XP_029718510.1|AEAL	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC115264614|XP_029724349.1|AEAL, LOC109420100|XP_019549952.1|AEAL, LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL	LOC6048215|XP_038112551.1|CQUI
OG0000011	LOC109417348|XP_029718707.1|AEAL	LOC6033828|XP_038121046.1|CQUI
OG0000011	LOC115261495|XP_029719074.1|AEAL	LOC6034029|XP_038120227.1|CQUI
OG0000012	LOC109423253|XP_029726458.1|AEAL	LOC6046845|XP_001863980.2|CQUI
OG0000012	LOC109423301|XP_019553773.2|AEAL	LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC109430791|XP_019562417.1|AEAL	LOC6038413|XP_001848218.2|CQUI
OG0000013	LOC109427543|XP_019558656.2|AEAL, LOC115256412|XP_029710769.1|AEAL, LOC115269375|XP_029733907.1|AEAL	LOC6047700|XP_038117441.1|CQUI
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL	LOC6047923|XP_001864910.2|CQUI
OG0000014	LOC115261576|XP_029719333.1|AEAL, LOC115255704|XP_029709664.1|AEAL, LOC115255748|XP_029709726.1|AEAL, LOC115260149|XP_029716918.1|AEAL	LOC119766221|XP_038106588.1|CQUI
OG0000014	LOC115260572|XP_029717367.1|AEAL	LOC119768950|XP_038116718.1|CQUI, LOC6051785|XP_038111747.1|CQUI, LOC119768998|XP_038116797.1|CQUI, LOC119766116|XP_038106443.1|CQUI, LOC119766249|XP_038106616.1|CQUI, LOC119768608|XP_038114666.1|CQUI, LOC119766236|XP_038106604.1|CQUI, LOC119767368|XP_038111766.1|CQUI, LOC119766117|XP_038106444.1|CQUI, LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI, LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI, LOC119766061|XP_038106359.1|CQUI, LOC119769500|XP_038118102.1|CQUI, LOC119765189|XP_038104493.1|CQUI, LOC119769121|XP_038116949.1|CQUI, LOC119770112|XP_038120333.1|CQUI, LOC119766156|XP_038106484.1|CQUI, LOC119767877|XP_038113588.1|CQUI, LOC119765986|XP_038106227.1|CQUI, LOC119769128|XP_038116955.1|CQUI, LOC119770200|XP_038120578.1|CQUI, LOC6039618|XP_038118115.1|CQUI, LOC119770172|XP_038120519.1|CQUI, LOC119770227|XP_038120610.1|CQUI, LOC119770113|XP_038120345.1|CQUI, LOC119770042|XP_038120099.1|CQUI, LOC119766176|XP_038106535.1|CQUI
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL	LOC6050225|XP_001866863.1|CQUI
OG0000016	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC109432057|XP_019563902.1|AEAL	LOC6037347|XP_001847270.2|CQUI
OG0000016	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL	LOC6044918|XP_001862348.1|CQUI
OG0000016	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL	LOC6045437|XP_001862808.1|CQUI
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL	LOC6045438|XP_001862809.2|CQUI
OG0000016	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC6049793|XP_038119134.1|CQUI
OG0000018	LOC109399209|XP_019527192.1|AEAL	LOC6049801|XP_001866507.1|CQUI
OG0000018	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL	LOC6032081|XP_001842747.1|CQUI
OG0000018	LOC109413967|XP_019543245.2|AEAL	LOC6049798|XP_001866504.2|CQUI
OG0000018	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL	LOC6049794|XP_001866500.1|CQUI
OG0000018	LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL	LOC6051402|XP_001867843.2|CQUI
OG0000018	LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL	LOC6051397|XP_001867844.1|CQUI
OG0000018	LOC109413969|XP_019543246.2|AEAL	LOC6049799|XP_001866505.1|CQUI
OG0000019	LOC109623324|XP_029721557.1|AEAL	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI
OG0000019	LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL	LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI
OG0000019	LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL	LOC6035670|XP_001845804.2|CQUI
OG0000019	LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL	LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI
OG0000019	LOC109426885|XP_019557991.2|AEAL	LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI
OG0000019	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL	LOC6035725|XP_001845796.2|CQUI
OG0000019	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL	LOC6050287|XP_038119254.1|CQUI
OG0000019	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL	LOC6039902|XP_038113936.1|CQUI
OG0000020	LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL	LOC6039901|XP_038113915.1|CQUI
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC6036302|XP_038116279.1|CQUI
OG0000020	LOC109424074|XP_019554703.2|AEAL	LOC6032569|XP_038117444.1|CQUI
OG0000020	LOC109424077|XP_019554704.2|AEAL	LOC6044312|XP_038117451.1|CQUI
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC109403033|XP_019531286.2|AEAL	LOC6047250|XP_001864331.2|CQUI
OG0000023	LOC109403032|XP_019531283.2|AEAL	LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC109409461|XP_019538450.3|AEAL	LOC6041036|XP_001850347.1|CQUI
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC6050771|XP_038120601.1|CQUI, LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000025	LOC115264617|XP_029724354.1|AEAL	LOC6037566|XP_001847464.2|CQUI
OG0000026	LOC109399647|XP_019527683.2|AEAL	LOC6050471|XP_001867076.2|CQUI, LOC6036301|XP_001846367.2|CQUI
OG0000026	LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL	LOC6050473|XP_001867077.2|CQUI, LOC6036297|XP_001846363.2|CQUI, LOC6050476|XP_001867079.2|CQUI
OG0000026	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL	LOC6037278|XP_001847205.2|CQUI
OG0000026	LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL	LOC6032449|XP_001843045.1|CQUI, LOC6033789|XP_001844191.2|CQUI
OG0000027	LOC109421227|XP_019551257.2|AEAL, LOC115259289|XP_029715680.1|AEAL, LOC109432469|XP_019564343.2|AEAL, LOC109421226|XP_019551256.2|AEAL, LOC115265828|XP_029727637.1|AEAL, LOC109432471|XP_019564345.2|AEAL	LOC6034849|XP_001845119.2|CQUI, LOC6034819|XP_001845090.2|CQUI, LOC6034815|XP_001845086.1|CQUI, LOC6034822|XP_001845093.2|CQUI, LOC6034816|XP_001845087.1|CQUI, LOC6034821|XP_001845092.1|CQUI, LOC6034850|XP_038111641.1|CQUI, LOC6034817|XP_001845088.1|CQUI, LOC6034818|XP_001845089.1|CQUI, LOC6034820|XP_001845091.2|CQUI, LOC6034851|XP_001845121.2|CQUI, LOC6034852|XP_001845122.2|CQUI
OG0000027	LOC109421221|XP_019551253.2|AEAL, LOC115265812|XP_029727615.1|AEAL, LOC109432445|XP_019564323.1|AEAL	LOC6034848|XP_001845118.1|CQUI
OG0000027	LOC109432439|XP_019564318.2|AEAL	LOC6034861|XP_001845131.1|CQUI
OG0000027	LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL	LOC6034862|XP_001845132.2|CQUI
