Orthogroup	AEAL.longest_only	AALB.longest_only
OG0000003	LOC109425972|XP_029731864.1|AEAL	LOC118464960|XP_035788648.1|AALB
OG0000003	LOC109421559|XP_019551624.2|AEAL	LOC118460892|XP_035781528.1|AALB, LOC118460896|XP_035781530.1|AALB
OG0000003	LOC109409168|XP_029727109.1|AEAL	LOC118460894|XP_035781529.1|AALB
OG0000003	LOC109421550|XP_019551615.2|AEAL	LOC118468410|XP_035795067.1|AALB
OG0000003	LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL	LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB
OG0000005	LOC109404521|XP_029734911.1|AEAL, LOC115255208|XP_029709011.1|AEAL, LOC109621664|XP_019931314.1|AEAL, LOC115255183|XP_029708974.1|AEAL, LOC109397487|XP_019525326.1|AEAL, LOC109407186|XP_019535715.1|AEAL, LOC115255205|XP_029709008.1|AEAL, LOC109397494|XP_019525333.2|AEAL, LOC115255200|XP_029709002.1|AEAL, LOC109400639|XP_019528670.1|AEAL, LOC109397482|XP_029708971.1|AEAL, LOC109404593|XP_019533042.1|AEAL, LOC109397504|XP_019525350.1|AEAL, LOC109397485|XP_019525324.1|AEAL, LOC115270068|XP_029734900.1|AEAL, LOC115270062|XP_029734894.1|AEAL, LOC115270061|XP_029734893.1|AEAL, LOC109621825|XP_019931550.1|AEAL, LOC109413196|XP_019542446.1|AEAL, LOC109404529|XP_019532971.1|AEAL, LOC109413199|XP_019542449.1|AEAL, LOC115267256|XP_029730017.1|AEAL, LOC109621654|XP_019931304.1|AEAL, LOC115266977|XP_029729560.1|AEAL, LOC109431217|XP_019562975.1|AEAL, LOC115264621|XP_029724359.1|AEAL, LOC109420134|XP_019549992.2|AEAL, LOC109431208|XP_019562967.2|AEAL, LOC109431202|XP_019562960.1|AEAL, LOC115264624|XP_029724364.1|AEAL, LOC109420130|XP_019549988.1|AEAL, LOC115264618|XP_029724355.1|AEAL, LOC109420103|XP_019549953.2|AEAL, LOC115264627|XP_029724367.1|AEAL, LOC115264619|XP_029724357.1|AEAL, LOC115264613|XP_029724347.1|AEAL, LOC109420106|XP_029724322.1|AEAL, LOC115264606|XP_029724330.1|AEAL, LOC115264602|XP_029724325.1|AEAL	LOC118463672|XP_035786322.1|AALB, LOC118465116|XP_035788956.1|AALB, LOC118467850|XP_035794648.1|AALB, LOC118467567|XP_035794087.1|AALB
OG0000006	LOC109413177|XP_019542430.1|AEAL, LOC109621663|XP_019931313.1|AEAL, LOC109431221|XP_019562978.1|AEAL, LOC109621653|XP_019931303.1|AEAL	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL	LOC118465084|XP_035788881.1|AALB
OG0000008	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL	LOC118460625|XP_035780966.1|AALB
OG0000008	LOC109409014|XP_019537968.1|AEAL	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL	LOC118459424|XP_035778662.1|AALB
OG0000009	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL	LOC118457984|XP_035775939.1|AALB
OG0000009	LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL	LOC118459109|XP_035778066.1|AALB
OG0000009	LOC109432620|XP_019564525.2|AEAL	LOC118464365|XP_035787590.1|AALB
OG0000009	LOC109405076|XP_019533612.2|AEAL	LOC118463211|XP_035785546.1|AALB
OG0000009	LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL	LOC118460748|XP_035781232.1|AALB
OG0000010	LOC115261272|XP_029718507.1|AEAL	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB
OG0000010	LOC109401799|XP_029718532.1|AEAL	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC115261269|XP_029718503.1|AEAL, LOC115264607|XP_029724331.1|AEAL	LOC118464059|XP_035786999.1|AALB
OG0000011	LOC115266427|XP_029728519.1|AEAL, LOC109417348|XP_029718707.1|AEAL	LOC118468649|XP_035795569.1|AALB
OG0000011	LOC115262047|XP_029719837.1|AEAL, LOC115261495|XP_029719074.1|AEAL	LOC118459877|XP_035779560.1|AALB
OG0000012	LOC109423253|XP_029726458.1|AEAL	LOC118463566|XP_035786097.1|AALB
OG0000012	LOC109423301|XP_019553773.2|AEAL	LOC118462971|XP_035785031.1|AALB
OG0000013	LOC109401240|XP_019529248.2|AEAL	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC109413675|XP_019542933.1|AEAL, LOC109413676|XP_029727534.1|AEAL	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC109429441|XP_029729534.1|AEAL, LOC109425568|XP_029729465.1|AEAL	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC109430791|XP_019562417.1|AEAL	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC109400253|XP_029725161.1|AEAL, LOC115264117|XP_029723308.1|AEAL, LOC109423611|XP_019554131.2|AEAL, LOC115268774|XP_029732800.1|AEAL, LOC109423617|XP_019554136.2|AEAL, LOC115266508|XP_029728614.1|AEAL, LOC115265081|XP_029725162.1|AEAL, LOC115264108|XP_029723289.1|AEAL, LOC115264115|XP_029723306.1|AEAL, LOC109423616|XP_029728615.1|AEAL, LOC109400264|XP_019528292.2|AEAL, LOC115264109|XP_029723290.1|AEAL, LOC109423619|XP_019554137.2|AEAL, LOC109400270|XP_019528297.2|AEAL, LOC115264105|XP_029723288.1|AEAL, LOC109400252|XP_019528281.2|AEAL, LOC115266509|XP_029728616.1|AEAL, LOC109423613|XP_019554133.2|AEAL, LOC109423612|XP_029728617.1|AEAL, LOC109400251|XP_019528280.2|AEAL, LOC115265080|XP_029725160.1|AEAL	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC115265232|XP_029725374.1|AEAL	LOC118462714|XP_035784546.1|AALB
OG0000014	LOC115260572|XP_029717367.1|AEAL	LOC118456863|XP_035773863.1|AALB, LOC118463648|XP_035786284.1|AALB, LOC118468421|XP_035795077.1|AALB, LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB
OG0000016	LOC109404004|XP_019532410.1|AEAL, LOC109432056|XP_019563901.1|AEAL	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC115267287|XP_029730061.1|AEAL, LOC109426671|XP_019557748.2|AEAL	LOC118463956|XP_035786832.1|AALB
OG0000016	LOC109397804|XP_029709571.1|AEAL, LOC115253654|XP_029709604.1|AEAL	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC109432057|XP_019563902.1|AEAL	LOC118468981|XP_035796265.1|AALB
OG0000016	LOC109432714|XP_019564645.1|AEAL, LOC109408752|XP_029730782.1|AEAL	LOC118458000|XP_035775969.1|AALB
OG0000016	LOC109401547|XP_029734087.1|AEAL, LOC109412625|XP_019541794.2|AEAL, LOC115264648|XP_029724442.1|AEAL, LOC115264655|XP_029724449.1|AEAL	LOC118464033|XP_035786987.1|AALB
OG0000016	LOC109401551|XP_029724420.1|AEAL, LOC115264654|XP_029724448.1|AEAL	LOC118464459|XP_035787743.1|AALB
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL	LOC118464140|XP_035787136.1|AALB
OG0000016	LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC118463980|XP_035786885.1|AALB
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC118463128|XP_035785378.1|AALB
OG0000018	LOC109399209|XP_019527192.1|AEAL	LOC118463106|XP_035785316.1|AALB
OG0000018	LOC109413967|XP_019543245.2|AEAL	LOC118465487|XP_035789683.1|AALB
OG0000018	LOC109399166|XP_019527139.1|AEAL, LOC109413968|XP_029726577.1|AEAL, LOC109413965|XP_019543244.1|AEAL, LOC115258683|XP_029714868.1|AEAL, LOC109398683|XP_019526605.1|AEAL, LOC109405058|XP_019533604.1|AEAL, LOC115258702|XP_029714905.1|AEAL, LOC115265099|XP_029725190.1|AEAL, LOC109405051|XP_019533595.1|AEAL, LOC109398688|XP_019526607.1|AEAL, LOC109413969|XP_019543246.2|AEAL	LOC118465489|XP_035789685.1|AALB
OG0000019	LOC109623324|XP_029721557.1|AEAL	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB
OG0000019	LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL	LOC118467701|XP_035794377.1|AALB
OG0000019	LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL	LOC118457590|XP_035775173.1|AALB
OG0000019	LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC118460669|XP_035781036.1|AALB
OG0000020	LOC115268755|XP_029732776.1|AEAL, LOC109402380|XP_029718005.1|AEAL, LOC109405472|XP_029732768.1|AEAL, LOC115260817|XP_029718001.1|AEAL, LOC109402397|XP_029712618.1|AEAL	LOC118461366|XP_035782501.1|AALB
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC118467629|XP_035794243.1|AALB
OG0000020	LOC109424074|XP_019554703.2|AEAL	LOC118457118|XP_035774313.1|AALB
OG0000020	LOC109424077|XP_019554704.2|AEAL	LOC118468857|XP_035796008.1|AALB
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC109403033|XP_019531286.2|AEAL	LOC118465606|XP_035789874.1|AALB
OG0000023	LOC109403032|XP_019531283.2|AEAL	LOC118465607|XP_035789875.1|AALB
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC109431226|XP_029724373.1|AEAL	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000025	LOC115264617|XP_029724354.1|AEAL	LOC118467560|XP_035794083.1|AALB
OG0000026	LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB
OG0000027	LOC109432455|XP_019564332.2|AEAL, LOC109421216|XP_019551248.2|AEAL, LOC115259293|XP_029715687.1|AEAL, LOC109421329|XP_019551381.2|AEAL, LOC109432449|XP_019564327.2|AEAL, LOC109421190|XP_029727634.1|AEAL, LOC109421217|XP_029727617.1|AEAL, LOC109432448|XP_019564326.2|AEAL, LOC109432441|XP_019564320.2|AEAL, LOC109432439|XP_019564318.2|AEAL, LOC115265195|XP_029725331.1|AEAL, LOC109421209|XP_019551242.2|AEAL	LOC118458886|XP_035777730.1|AALB
OG0000027	LOC115265571|XP_029727062.1|AEAL, LOC115253746|XP_029726930.1|AEAL, LOC115253563|XP_019564355.2|AEAL, LOC109432453|XP_019564330.2|AEAL, LOC109421223|XP_019551254.2|AEAL, LOC115265527|XP_029726929.1|AEAL, LOC115253427|XP_019564349.2|AEAL, LOC115265528|XP_029726931.1|AEAL, LOC109432477|XP_019564350.2|AEAL, LOC115265570|XP_029727061.1|AEAL, LOC115265526|XP_029726928.1|AEAL, LOC115253430|XP_019564352.2|AEAL, LOC109432478|XP_029726927.1|AEAL, LOC109421332|XP_019551387.2|AEAL, LOC115259291|XP_029715685.1|AEAL	LOC118458881|XP_035777725.1|AALB, LOC118458885|XP_035777729.1|AALB, LOC118458884|XP_035777728.1|AALB, LOC118458347|XP_035776592.1|AALB, LOC118458344|XP_035776590.1|AALB, LOC118459103|XP_035778060.1|AALB, LOC118458345|XP_035776591.1|AALB, LOC118468376|XP_035795028.1|AALB, LOC118458349|XP_035776594.1|AALB
OG0000027	LOC115265811|XP_029727614.1|AEAL	LOC118456231|XP_035772706.1|AALB
OG0000027	LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL	LOC118469008|XP_035796336.1|AALB
OG0000027	LOC109421231|XP_019564335.2|AEAL	LOC118456249|XP_035772738.1|AALB
OG0000028	LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL	LOC118456178|XP_035772621.1|AALB
OG0000029	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL	LOC118458435|XP_035776786.1|AALB
OG0000029	LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL	LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB
OG0000029	LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL	LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL	LOC118467279|XP_035793475.1|AALB
OG0000031	LOC115253560|XP_029713715.1|AEAL, LOC115257879|XP_029713709.1|AEAL	LOC118467035|XP_035792911.1|AALB
OG0000031	LOC115257854|XP_029713671.1|AEAL, LOC109403394|XP_019531763.2|AEAL	LOC118466020|XP_035790729.1|AALB, LOC118465693|XP_035790014.1|AALB, LOC118467045|XP_035792924.1|AALB, LOC118467042|XP_035792921.1|AALB
OG0000031	LOC115257634|XP_029713321.1|AEAL, LOC115257385|XP_029712776.1|AEAL, LOC109403393|XP_029712807.1|AEAL, LOC115257883|XP_029713713.1|AEAL	LOC118467043|XP_035792922.1|AALB
OG0000031	LOC115257390|XP_029712796.1|AEAL, LOC115257425|XP_029712868.1|AEAL, LOC109403416|XP_019531788.2|AEAL, LOC115257407|XP_029712833.1|AEAL, LOC115257859|XP_029713678.1|AEAL, LOC109403414|XP_029713283.1|AEAL, LOC109416716|XP_029713308.1|AEAL, LOC115257689|XP_029713417.1|AEAL, LOC115257849|XP_029713666.1|AEAL, LOC109416732|XP_029713153.1|AEAL, LOC109416725|XP_029713140.1|AEAL, LOC109403407|XP_019531780.1|AEAL, LOC115257575|XP_029713212.1|AEAL	LOC118467044|XP_035792923.1|AALB
OG0000032	LOC109404182|XP_019532551.2|AEAL	LOC118456851|XP_035773843.1|AALB
OG0000032	LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL	LOC118459702|XP_035779237.1|AALB
OG0000032	LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL	LOC118457171|XP_035774395.1|AALB
OG0000034	LOC109622498|XP_029726333.1|AEAL	LOC118466655|XP_035792144.1|AALB
OG0000034	LOC109422421|XP_019552762.2|AEAL	LOC118463234|XP_035785585.1|AALB
OG0000036	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB
OG0000036	LOC109424827|XP_019555564.2|AEAL	LOC118457097|XP_035774277.1|AALB
OG0000036	LOC109427449|XP_029711324.1|AEAL	LOC118465413|XP_035789528.1|AALB
OG0000037	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB
OG0000038	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL	LOC118464582|XP_035787918.1|AALB
OG0000038	LOC109404300|XP_019532679.1|AEAL, LOC115265054|XP_029725109.1|AEAL, LOC109403140|XP_019531426.2|AEAL	LOC118464578|XP_035787914.1|AALB
OG0000038	LOC109399492|XP_019527483.1|AEAL, LOC115270445|XP_029736034.1|AEAL	LOC118467864|XP_035794665.1|AALB
OG0000038	LOC115270362|XP_029735743.1|AEAL, LOC109404363|XP_019532757.2|AEAL, LOC109399504|XP_019527495.1|AEAL, LOC115270447|XP_029736037.1|AEAL, LOC109399503|XP_019527494.2|AEAL, LOC109399506|XP_029735745.1|AEAL, LOC109404357|XP_029735742.1|AEAL, LOC109404310|XP_019532688.1|AEAL, LOC109403106|XP_019531388.2|AEAL, LOC115265052|XP_029725107.1|AEAL, LOC109403102|XP_019531384.1|AEAL, LOC109404311|XP_019532690.1|AEAL, LOC109404353|XP_019532747.2|AEAL, LOC109399493|XP_019527484.1|AEAL, LOC109399495|XP_029736036.1|AEAL, LOC109403117|XP_019531397.2|AEAL, LOC115269903|XP_029734564.1|AEAL, LOC109404330|XP_019532705.2|AEAL, LOC109404321|XP_019532699.2|AEAL, LOC115268370|XP_029732241.1|AEAL, LOC109425906|XP_019556824.1|AEAL, LOC115265051|XP_029725106.1|AEAL, LOC109403100|XP_019531382.1|AEAL, LOC109404307|XP_019532685.1|AEAL, LOC109433067|XP_019564999.2|AEAL, LOC109403138|XP_019531425.1|AEAL, LOC115270366|XP_029735747.1|AEAL, LOC109404304|XP_019532681.1|AEAL	LOC118467867|XP_035794667.1|AALB
OG0000039	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL	LOC118467361|XP_035793656.1|AALB, LOC118465189|XP_035789051.1|AALB, LOC118467360|XP_035793655.1|AALB, LOC118465067|XP_035788847.1|AALB, LOC118465142|XP_035788974.1|AALB
OG0000039	LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL	LOC118458769|XP_035777454.1|AALB
