Orthogroup	AEAL.longest_only	DFIC.longest_only
OG0000016	LOC115264649|XP_029724444.1|AEAL, LOC115264653|XP_029724447.1|AEAL, LOC109412623|XP_029734089.1|AEAL, LOC109401543|XP_019529658.1|AEAL, LOC115264650|XP_029724445.1|AEAL, LOC109401546|XP_019529660.1|AEAL, LOC109412626|XP_019541796.1|AEAL, LOC115269457|XP_029734090.1|AEAL	LOC108093583|XP_017049197.1|DFIC
OG0000018	LOC109414002|XP_019543272.1|AEAL	LOC108093126|XP_017048560.1|DFIC
OG0000018	LOC109415712|XP_019545185.2|AEAL, LOC109416102|XP_019545617.2|AEAL	LOC108093137|XP_017048571.1|DFIC, LOC108093131|XP_017048565.1|DFIC, LOC108093271|XP_017048739.1|DFIC, LOC108093136|XP_017048569.1|DFIC
OG0000019	LOC109623324|XP_029721557.1|AEAL, LOC109623384|XP_019933486.2|AEAL, LOC109426884|XP_029721552.1|AEAL, LOC109426908|XP_029721551.1|AEAL, LOC109623325|XP_019933423.1|AEAL, LOC109623386|XP_019933488.2|AEAL, LOC109426910|XP_019558013.2|AEAL, LOC109623385|XP_019933487.2|AEAL, LOC109426909|XP_019558012.2|AEAL, LOC109623326|XP_019933424.2|AEAL, LOC109426911|XP_019558015.2|AEAL, LOC109426885|XP_019557991.2|AEAL, LOC109623383|XP_029721553.1|AEAL, LOC109426882|XP_019557987.2|AEAL, LOC109415812|XP_019545289.2|AEAL, LOC115267448|XP_029730327.1|AEAL, LOC115266114|XP_029727935.1|AEAL, LOC109422539|XP_019552886.2|AEAL, LOC115266151|XP_029727975.1|AEAL, LOC109401099|XP_019529127.2|AEAL	LOC108086541|XP_017038967.1|DFIC, LOC108086542|XP_017038968.1|DFIC, LOC108086544|XP_017038971.1|DFIC, LOC108086535|XP_017038961.1|DFIC, LOC108086543|XP_017038970.1|DFIC, LOC108086538|XP_017038965.1|DFIC, LOC108086540|XP_017038966.1|DFIC
OG0000020	LOC115253451|XP_029718002.1|AEAL, LOC109402396|XP_019530601.2|AEAL	LOC108086571|XP_017039016.1|DFIC, LOC108087826|XP_017040886.1|DFIC
OG0000020	LOC109417980|XP_029713947.1|AEAL, LOC109426856|XP_029732521.1|AEAL	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC109418363|XP_029721863.1|AEAL, LOC109418407|XP_029721534.1|AEAL, LOC109426122|XP_029723111.1|AEAL	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC109412802|XP_029732887.1|AEAL	LOC108091979|XP_017046877.1|DFIC, LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC115269749|XP_029734419.1|AEAL, LOC109430577|XP_019562191.1|AEAL, LOC109428697|XP_019560054.2|AEAL	LOC108093677|XP_017049345.1|DFIC, LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC109403033|XP_019531286.2|AEAL, LOC109403032|XP_019531283.2|AEAL	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC109412054|XP_019541244.2|AEAL	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC109413799|XP_019543073.1|AEAL	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC109399647|XP_019527683.2|AEAL, LOC115267833|XP_029731177.1|AEAL, LOC115267832|XP_029731174.1|AEAL, LOC109400782|XP_019528828.2|AEAL, LOC109399572|XP_019527592.2|AEAL, LOC109400780|XP_019528826.2|AEAL, LOC115265241|XP_029725389.1|AEAL, LOC109399573|XP_029731179.1|AEAL, LOC109400781|XP_019528827.2|AEAL, LOC115260441|XP_029717255.1|AEAL, LOC115264893|XP_029724783.1|AEAL, LOC109403546|XP_019531912.2|AEAL, LOC109399576|XP_019527597.2|AEAL, LOC115267834|XP_029731178.1|AEAL, LOC115260095|XP_029716826.1|AEAL, LOC109401312|XP_029721744.1|AEAL, LOC109428786|XP_019560176.1|AEAL, LOC109405070|XP_019533611.1|AEAL, LOC115260980|XP_029718210.1|AEAL	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC109421336|XP_019551391.1|AEAL, LOC115265525|XP_029726926.1|AEAL, LOC115265811|XP_029727614.1|AEAL, LOC109432444|XP_019564322.2|AEAL, LOC109421229|XP_019551259.2|AEAL, LOC109432443|XP_019564321.2|AEAL, LOC109421228|XP_019551258.2|AEAL, LOC109421231|XP_019564335.2|AEAL	LOC108100821|XP_017060378.1|DFIC, LOC108100819|XP_017060376.1|DFIC, LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC109426605|XP_029727488.1|AEAL, LOC115265692|XP_029727512.1|AEAL, LOC109426631|XP_029727489.1|AEAL, LOC109426606|XP_029727487.1|AEAL, LOC109426604|XP_019557684.2|AEAL, LOC109417943|XP_019547632.2|AEAL, LOC109426743|XP_029709980.1|AEAL, LOC109421165|XP_019551209.3|AEAL, LOC109623168|XP_019933220.2|AEAL	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC115269291|XP_029733734.1|AEAL, LOC109415312|XP_029733730.1|AEAL, LOC115269290|XP_029733731.1|AEAL, LOC109623195|XP_029733735.1|AEAL, LOC109623187|XP_029733727.1|AEAL, LOC109415309|XP_029733732.1|AEAL, LOC115269113|XP_029733384.1|AEAL, LOC109432586|XP_019564475.2|AEAL, LOC109397173|XP_029733388.1|AEAL, LOC109432589|XP_019564477.2|AEAL, LOC115269043|XP_029733198.1|AEAL, LOC109432591|XP_029733199.1|AEAL, LOC115269094|XP_029733307.1|AEAL, LOC109397170|XP_019525050.2|AEAL, LOC109432585|XP_029733202.1|AEAL, LOC115269114|XP_029733386.1|AEAL, LOC115269116|XP_029733389.1|AEAL, LOC115265698|XP_029727519.1|AEAL, LOC115265712|XP_029727533.1|AEAL, LOC115265694|XP_029727515.1|AEAL, LOC115264083|XP_029723257.1|AEAL, LOC115264363|XP_029723881.1|AEAL, LOC109425457|XP_019556272.2|AEAL, LOC115261105|XP_029718339.1|AEAL	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC
OG0000031	LOC109622184|XP_029732913.1|AEAL, LOC115267932|XP_029731534.1|AEAL, LOC109403189|XP_029731533.1|AEAL, LOC109622286|XP_029732911.1|AEAL, LOC109403147|XP_029732221.1|AEAL, LOC115268871|XP_029732907.1|AEAL, LOC109622133|XP_029731542.1|AEAL, LOC109403188|XP_029732912.1|AEAL, LOC109622182|XP_029731541.1|AEAL	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000032	LOC109404182|XP_019532551.2|AEAL, LOC109424805|XP_029724727.1|AEAL, LOC109414646|XP_019544030.2|AEAL, LOC109424803|XP_029724729.1|AEAL, LOC109414675|XP_019544050.2|AEAL, LOC109424791|XP_019555521.2|AEAL, LOC109414639|XP_029723585.1|AEAL, LOC109424779|XP_029724728.1|AEAL	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC, LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000034	LOC109622501|XP_019932420.2|AEAL, LOC109622498|XP_029726333.1|AEAL, LOC109422421|XP_019552762.2|AEAL	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC
OG0000035	LOC115268848|XP_029732879.1|AEAL	LOC108090078|XP_017044070.1|DFIC, LOC108102183|XP_017062377.1|DFIC, LOC108094809|XP_017051072.1|DFIC, LOC108093569|XP_017049153.1|DFIC, LOC108090828|XP_017045178.1|DFIC, LOC108096830|XP_017054224.1|DFIC, LOC108087561|XP_017040477.1|DFIC, LOC108100301|XP_017059592.1|DFIC, LOC108089887|XP_017043878.1|DFIC
OG0000036	LOC115267651|XP_029730653.1|AEAL, LOC109430321|XP_029722919.1|AEAL, LOC115253701|XP_029730650.1|AEAL	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC109424827|XP_019555564.2|AEAL	LOC108097979|XP_017056090.1|DFIC
OG0000037	LOC109421512|XP_029727599.1|AEAL, LOC109421510|XP_019551560.2|AEAL, LOC109402061|XP_029711245.1|AEAL, LOC109622959|XP_019932969.2|AEAL, LOC109421511|XP_029717238.1|AEAL	LOC108087844|XP_017040913.1|DFIC, LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC109404373|XP_019532766.1|AEAL, LOC115270368|XP_029735750.1|AEAL	LOC108088854|XP_017042318.1|DFIC
OG0000039	LOC115262125|XP_029720056.1|AEAL, LOC115267561|XP_029730501.1|AEAL, LOC115262034|XP_029719825.1|AEAL, LOC109416579|XP_019546202.2|AEAL, LOC109404256|XP_029720555.1|AEAL, LOC109416577|XP_019546200.2|AEAL, LOC109429852|XP_019561385.2|AEAL, LOC109433331|XP_029732953.1|AEAL, LOC109401619|XP_019529736.1|AEAL, LOC109418802|XP_019548573.1|AEAL, LOC109397975|XP_019525849.2|AEAL, LOC109431626|XP_019563398.2|AEAL, LOC115260764|XP_029717944.1|AEAL, LOC115260826|XP_029718008.1|AEAL, LOC115262156|XP_029720202.1|AEAL, LOC109419154|XP_029722994.1|AEAL, LOC115264233|XP_029723884.1|AEAL, LOC109419155|XP_019548922.2|AEAL, LOC109419189|XP_029720551.1|AEAL, LOC115263721|XP_029722835.1|AEAL, LOC109419188|XP_029722824.1|AEAL, LOC109407083|XP_029722987.1|AEAL	LOC108091791|XP_017046639.1|DFIC
OG0000041	LOC109422559|XP_029727967.1|AEAL, LOC109422710|XP_029727894.1|AEAL	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000043	LOC109408672|XP_019537578.2|AEAL, LOC109414818|XP_019544201.2|AEAL, LOC109418033|XP_029726645.1|AEAL	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC, LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000044	LOC115264850|XP_029724740.1|AEAL, LOC109422698|XP_029727931.1|AEAL	LOC108095953|XP_017052779.1|DFIC, LOC108095656|XP_017052310.1|DFIC, LOC108095674|XP_017052331.1|DFIC, LOC108095707|XP_017052368.1|DFIC, LOC108095664|XP_017052318.1|DFIC, LOC108096011|XP_017052849.1|DFIC, LOC108095670|XP_017052324.1|DFIC, LOC108095658|XP_017052312.1|DFIC, LOC108102017|XP_017062104.1|DFIC
OG0000045	LOC109420320|XP_019550189.2|AEAL, LOC109401625|XP_019529740.2|AEAL	LOC108099776|XP_017058894.1|DFIC, LOC108099783|XP_017058901.1|DFIC, LOC108089346|XP_017043016.1|DFIC, LOC108089335|XP_017043004.1|DFIC
OG0000047	LOC109430117|XP_029718231.1|AEAL	LOC108090569|XP_017044803.1|DFIC, LOC108090570|XP_017044804.1|DFIC, LOC108094901|XP_017051236.1|DFIC, LOC108089762|XP_017043641.1|DFIC, LOC108094950|XP_017051302.1|DFIC, LOC108089719|XP_017043575.1|DFIC
OG0000048	LOC109426621|XP_019557695.1|AEAL, LOC115265708|XP_029727528.1|AEAL, LOC109426620|XP_019557694.2|AEAL, LOC115265702|XP_029727525.1|AEAL	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC, LOC108089535|XP_017043361.1|DFIC, LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC109399452|XP_019527436.2|AEAL, LOC109399533|XP_019527529.1|AEAL, LOC109398113|XP_019526019.1|AEAL, LOC115263197|XP_029722019.1|AEAL, LOC115263209|XP_029722054.1|AEAL, LOC109430845|XP_019562486.2|AEAL	LOC108091886|XP_017046759.1|DFIC, LOC108091864|XP_017046732.1|DFIC, LOC108091860|XP_017046729.1|DFIC, LOC108091991|XP_017046904.1|DFIC, LOC108091993|XP_017046906.1|DFIC, LOC108092198|XP_017047214.1|DFIC
OG0000051	LOC109430500|XP_029732671.1|AEAL, LOC109413829|XP_019543100.2|AEAL, LOC109430428|XP_029732623.1|AEAL, LOC109430433|XP_019562037.2|AEAL, LOC115268560|XP_029732528.1|AEAL, LOC109413823|XP_019543095.2|AEAL, LOC109409607|XP_029718954.1|AEAL, LOC109430439|XP_019562042.2|AEAL, LOC115255265|XP_029709099.1|AEAL, LOC109413830|XP_029709535.1|AEAL, LOC109405777|XP_029730639.1|AEAL, LOC109430435|XP_019562039.2|AEAL, LOC109430411|XP_019562018.2|AEAL, LOC109413821|XP_019543093.2|AEAL, LOC115268580|XP_029732559.1|AEAL, LOC109405721|XP_019534339.2|AEAL, LOC115267635|XP_029730641.1|AEAL, LOC115268656|XP_029732628.1|AEAL, LOC109430430|XP_019562033.2|AEAL, LOC109413827|XP_019543098.2|AEAL, LOC109430429|XP_019562032.2|AEAL, LOC109430431|XP_019562034.2|AEAL	LOC108099282|XP_017058161.1|DFIC, LOC108087911|XP_017040982.1|DFIC, LOC108092094|XP_017047073.1|DFIC, LOC108087894|XP_017040960.1|DFIC, LOC108087917|XP_017040992.1|DFIC
OG0000053	LOC109399585|XP_019527609.2|AEAL, LOC109426036|XP_019557019.2|AEAL, LOC109426037|XP_029731825.1|AEAL	LOC108090322|XP_017044423.1|DFIC, LOC108090310|XP_017044412.1|DFIC, LOC108090321|XP_017044422.1|DFIC
OG0000054	LOC109408663|XP_019537561.2|AEAL, LOC109403074|XP_019531357.2|AEAL, LOC109408662|XP_019537559.2|AEAL, LOC109408659|XP_029735838.1|AEAL, LOC109408675|XP_029734574.1|AEAL, LOC109403053|XP_029735706.1|AEAL, LOC109408692|XP_029734575.1|AEAL, LOC109403004|XP_019531261.2|AEAL, LOC109408694|XP_019537603.2|AEAL	LOC108097528|XP_017055365.1|DFIC, LOC108096334|XP_017053362.1|DFIC, LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC
OG0000055	LOC115256529|XP_029711077.1|AEAL	LOC108099277|XP_017058154.1|DFIC, LOC108099261|XP_017058124.1|DFIC, LOC108099262|XP_017058125.1|DFIC, LOC108099276|XP_017058153.1|DFIC, LOC108099287|XP_017058168.1|DFIC, LOC108099258|XP_017058122.1|DFIC, LOC108099260|XP_017058123.1|DFIC
OG0000056	LOC115254536|XP_029707956.1|AEAL, LOC109397278|XP_029712433.1|AEAL, LOC109423208|XP_019553687.2|AEAL, LOC115255644|XP_029709605.1|AEAL, LOC109405345|XP_029709588.1|AEAL	LOC108091640|XP_017046431.1|DFIC, LOC108091639|XP_017046430.1|DFIC, LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC, LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC
OG0000058	LOC109413458|XP_019542679.2|AEAL, LOC115265775|XP_029727582.1|AEAL, LOC109623107|XP_019933135.2|AEAL, LOC109405129|XP_019533674.2|AEAL	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC, LOC108093385|XP_017048892.1|DFIC, LOC108092885|XP_017048216.1|DFIC
OG0000060	LOC115253826|XP_029711789.1|AEAL, LOC109415565|XP_019544994.1|AEAL, LOC109431105|XP_029711394.1|AEAL, LOC115256864|XP_029711798.1|AEAL	LOC108091169|XP_017045705.1|DFIC
OG0000060	LOC109421315|XP_029726943.1|AEAL, LOC109621270|XP_029727055.1|AEAL	LOC108086822|XP_017039354.1|DFIC
OG0000061	LOC109412047|XP_019541235.2|AEAL, LOC115259629|XP_029716255.1|AEAL, LOC109398453|XP_029716337.1|AEAL, LOC109424658|XP_019555373.2|AEAL	LOC108094528|XP_017050618.1|DFIC, LOC108094524|XP_017050615.1|DFIC, LOC108094529|XP_017050620.1|DFIC, LOC108102053|XP_017062173.1|DFIC, LOC108094526|XP_017050616.1|DFIC, LOC108094527|XP_017050617.1|DFIC
OG0000067	LOC109411462|XP_019540532.2|AEAL	LOC108093275|XP_017048744.1|DFIC
