Orthogroup	ASTE.longest_only	DANA.longest_only
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC6502964|XP_001963504.1|DANA, LOC6499160|XP_001955195.1|DANA, LOC6499161|XP_001955194.1|DANA, LOC6500045|XP_001953325.1|DANA
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC6497408|XP_001962144.1|DANA, LOC6497406|XP_001962147.2|DANA, LOC6497407|XP_001962145.1|DANA
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC6506315|XP_001958127.1|DANA, LOC116655856|XP_032310373.1|DANA, LOC6493628|XP_001958129.1|DANA, LOC6493626|XP_001958124.2|DANA, LOC6506316|XP_001958125.1|DANA, LOC116655895|XP_032310688.1|DANA, LOC26514521|XP_014765635.1|DANA, LOC6506314|XP_001958128.1|DANA, LOC6506803|XP_001957208.1|DANA
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC116655417|XP_032309201.1|DANA, LOC6502513|XP_001960684.2|DANA, LOC26514560|XP_014767301.1|DANA, LOC6502609|XP_001955595.2|DANA, LOC6506262|XP_014764698.1|DANA
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC6493999|XP_001961166.1|DANA, LOC6496566|XP_001961169.2|DANA, LOC6495934|XP_001959882.2|DANA, LOC6502572|XP_001959893.2|DANA, LOC6502573|XP_001959894.2|DANA
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC6499841|XP_001953793.1|DANA, LOC26515040|XP_014767372.2|DANA, LOC6500725|XP_032312300.1|DANA, LOC6500722|XP_032312297.1|DANA, LOC6499843|XP_032305552.1|DANA, LOC6500728|XP_001953801.1|DANA, LOC6500726|XP_032305502.1|DANA
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC6498174|XP_001962232.1|DANA, LOC6498176|XP_001962234.2|DANA, LOC6498175|XP_001962233.1|DANA, LOC6498177|XP_001962235.2|DANA, LOC26515374|XP_014762427.1|DANA, LOC6498178|XP_001962236.1|DANA, LOC6498553|XP_001963047.1|DANA, LOC26514669|XP_014762356.1|DANA, LOC6498552|XP_001963046.3|DANA, LOC6498487|XP_032311321.1|DANA, LOC116656026|XP_032311054.1|DANA, LOC6497780|XP_001961435.2|DANA
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC6500465|XP_001953274.1|DANA
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC6505844|XP_001964473.1|DANA
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC6493979|XP_001961214.2|DANA, LOC6498848|XP_001955809.2|DANA
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC6506319|XP_001958116.1|DANA
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC6492929|XP_032310430.1|DANA
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC6501134|XP_001954615.2|DANA
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA, LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA, LOC6493169|XP_001957191.1|DANA
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC6500644|XP_001953636.2|DANA, LOC6499920|XP_001953633.1|DANA, LOC6500645|XP_001953637.1|DANA, LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA, LOC6499921|XP_001953632.1|DANA
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC6499129|XP_001955245.1|DANA, LOC6500659|XP_001953666.2|DANA, LOC26513640|XP_032305475.1|DANA, LOC26515388|XP_014767422.1|DANA, LOC116654744|XP_032306925.1|DANA, LOC6500518|XP_032306907.1|DANA, LOC6500517|XP_032306874.1|DANA, LOC6500516|XP_014766594.2|DANA
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC6495215|XP_001958835.1|DANA, LOC6495434|XP_001958836.2|DANA, LOC6495214|XP_001958837.1|DANA
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC6499283|XP_001954953.1|DANA, LOC6499280|XP_032305658.1|DANA, LOC6499281|XP_001954955.1|DANA, LOC6499278|XP_001954958.1|DANA, LOC6499282|XP_032305401.1|DANA, LOC6499279|XP_001954957.1|DANA
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC6501597|XP_001955556.1|DANA, LOC6501596|XP_001955554.1|DANA, LOC6498987|XP_001955555.1|DANA
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC6499765|XP_001953966.1|DANA, LOC6499766|XP_001953965.2|DANA, LOC6499767|XP_001953964.1|DANA, LOC6499768|XP_001953963.1|DANA, LOC6499769|XP_001953962.1|DANA, LOC6500303|XP_001952932.1|DANA, LOC6500302|XP_001952931.2|DANA
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC6493582|XP_001958038.2|DANA, LOC6507265|XP_001956364.1|DANA, LOC6502760|XP_001964984.2|DANA, LOC6497335|XP_001962298.1|DANA, LOC6503754|XP_001963803.1|DANA
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC6504067|XP_001964111.1|DANA
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC6505935|XP_001964647.1|DANA
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC6502151|XP_001966118.1|DANA, LOC6496714|XP_014759262.1|DANA
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC6504406|XP_001967034.1|DANA, LOC116656058|XP_032311281.1|DANA, LOC26513968|XP_014760632.2|DANA, LOC26514771|XP_014760656.1|DANA, LOC6497538|XP_001961881.1|DANA, LOC26515327|XP_014762422.1|DANA, LOC6496869|XP_001963239.2|DANA, LOC116656013|XP_032311002.1|DANA, LOC116656063|XP_032311298.1|DANA, LOC6504653|XP_001964881.1|DANA, LOC26515349|XP_014760676.1|DANA, LOC26514282|XP_014760647.1|DANA
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC6499795|XP_032305657.1|DANA, LOC6499794|XP_001953901.1|DANA, LOC6506620|XP_001957527.1|DANA
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC6506201|XP_001958352.1|DANA
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC6506532|XP_001957704.2|DANA, LOC6500414|XP_001953168.2|DANA, LOC6507230|XP_001956426.2|DANA, LOC6495108|XP_001959037.2|DANA, LOC6504517|XP_032308101.1|DANA
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC6503961|XP_001965215.1|DANA, LOC6503769|XP_001963776.1|DANA, LOC6498205|XP_001962291.1|DANA, LOC6498204|XP_001962290.1|DANA
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC6507148|XP_001956586.1|DANA
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC6506125|XP_001958498.2|DANA, LOC6493818|XP_001958499.2|DANA, LOC6493817|XP_001958497.2|DANA
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC6496435|XP_001960911.2|DANA, LOC6494126|XP_001960916.1|DANA, LOC6496437|XP_001960913.2|DANA
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC6495130|XP_032306843.1|DANA
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC6504831|XP_032309092.1|DANA
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC6501709|XP_014767186.1|DANA
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC6506390|XP_001957961.1|DANA, LOC6493409|XP_001957690.2|DANA
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC6507708|XP_032310567.1|DANA
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC6498742|XP_001967290.3|DANA
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC6495454|XP_001958879.1|DANA
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC6500548|XP_001953433.1|DANA
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC6494255|XP_001960658.2|DANA
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC6498930|XP_001955657.2|DANA
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC6496013|XP_001960040.1|DANA, LOC6506366|XP_001958015.1|DANA, LOC6500459|XP_001953252.2|DANA, LOC6504531|XP_014759488.1|DANA
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC6492911|XP_032306632.1|DANA, LOC6492910|XP_001955590.1|DANA, LOC6501610|XP_001955588.1|DANA, LOC116656055|XP_032311275.1|DANA, LOC26515084|XP_014764086.1|DANA, LOC116656191|XP_032311532.1|DANA, LOC116656193|XP_032311533.1|DANA, LOC6505843|XP_032311161.1|DANA, LOC6492912|XP_001960641.1|DANA
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC6496417|XP_001960874.1|DANA, LOC6501080|XP_032305850.1|DANA, LOC6501083|XP_001954522.1|DANA, LOC6499028|XP_001955484.1|DANA, LOC6499027|XP_032311475.1|DANA
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC6496922|XP_001963135.1|DANA, LOC6497178|XP_001962608.1|DANA, LOC6497179|XP_001962607.1|DANA, LOC6497181|XP_001962605.1|DANA, LOC6497182|XP_001962604.2|DANA, LOC6497183|XP_001962603.1|DANA, LOC6497180|XP_001962606.1|DANA, LOC6498600|XP_014762200.1|DANA
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC6493976|XP_001961222.1|DANA
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC6496169|XP_001960366.1|DANA
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC6496031|XP_001960084.1|DANA
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC6495180|XP_001958901.1|DANA
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC6496978|XP_001963012.1|DANA
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC6496644|XP_001961321.1|DANA
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC6500432|XP_001953205.1|DANA
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC6507779|XP_001956330.2|DANA
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC6495340|XP_001958614.1|DANA, LOC6495339|XP_032306761.1|DANA, LOC6507692|XP_014765406.1|DANA, LOC6507073|XP_032309532.1|DANA
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC6505932|XP_001964640.2|DANA
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC6497391|XP_001962180.1|DANA, LOC6500890|XP_001954116.1|DANA, LOC6500891|XP_001954117.1|DANA
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC6498089|XP_001962057.1|DANA
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC6493460|XP_001957805.1|DANA, LOC6493461|XP_001957806.1|DANA, LOC6501401|XP_001955180.1|DANA
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC26515135|XP_032306053.1|DANA, LOC26513823|XP_032305336.1|DANA, LOC6500320|XP_001952965.1|DANA, LOC6497252|XP_001962468.1|DANA
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC6499837|XP_001953808.1|DANA
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC6503889|XP_001963789.1|DANA
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC6493631|XP_032309640.1|DANA, LOC6493637|XP_032310766.1|DANA, LOC6493632|XP_001958135.2|DANA, LOC116655751|XP_032309645.1|DANA, LOC116655752|XP_032309646.1|DANA
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC6496059|XP_001960131.2|DANA
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC6495563|XP_001959110.1|DANA
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC6493013|XP_001956853.1|DANA, LOC6506530|XP_001957705.2|DANA, LOC26514817|XP_014765666.1|DANA, LOC6495378|XP_001958702.1|DANA
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC6506095|XP_001965114.2|DANA, LOC6500031|XP_001953356.1|DANA, LOC6500504|XP_032307642.1|DANA, LOC6500505|XP_001953361.1|DANA
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC26513828|XP_014760352.2|DANA, LOC26514542|XP_032307979.1|DANA, LOC6495673|XP_032305942.1|DANA, LOC116655428|XP_032309214.1|DANA, LOC116654760|XP_032307058.1|DANA, LOC116654769|XP_032307129.1|DANA, LOC116655862|XP_032310454.1|DANA, LOC116656588|XP_032312273.1|DANA, LOC116656445|XP_032311953.1|DANA, LOC116655567|XP_032309387.1|DANA, LOC116655312|XP_032308859.1|DANA, LOC116655419|XP_032309203.1|DANA, LOC116656433|XP_032311921.1|DANA, LOC116655426|XP_032309210.1|DANA
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC6498617|XP_032311444.1|DANA, LOC6498616|XP_032311446.1|DANA, LOC6498615|XP_001963161.2|DANA
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC6498607|XP_001963150.1|DANA, LOC6498606|XP_001963149.2|DANA
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC6493509|XP_001957895.2|DANA, LOC6493510|XP_001957896.1|DANA, LOC6493511|XP_001957897.1|DANA, LOC6506428|XP_001957898.1|DANA
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC6494597|XP_001960038.1|DANA, LOC6494598|XP_001960034.3|DANA, LOC6496010|XP_001960035.1|DANA
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC6504959|XP_001965732.1|DANA, LOC6504534|XP_001967086.1|DANA
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC26514615|XP_014759306.1|DANA, LOC6499153|XP_001955201.2|DANA, LOC6497498|XP_014761715.2|DANA, LOC26514152|XP_014765581.1|DANA
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC6502753|XP_001965083.1|DANA
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC6497093|XP_001962768.1|DANA, LOC6497092|XP_001962769.1|DANA, LOC116654468|XP_032311254.1|DANA, LOC6498420|XP_032311255.1|DANA
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC6497208|XP_001962556.2|DANA, LOC6505594|XP_001964630.1|DANA, LOC6503719|XP_001965264.1|DANA, LOC6503708|XP_032311143.1|DANA
