Orthogroup	ASTE.longest_only	DPSE.longest_only
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC6901473|XP_033238237.1|DPSE
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC6897478|XP_002137627.1|DPSE, LOC4800831|XP_001358035.1|DPSE, LOC6901811|XP_002134479.1|DPSE
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC4804646|XP_033234778.1|DPSE, LOC6899947|XP_002135315.1|DPSE, LOC6899949|XP_002135317.2|DPSE, LOC6899956|XP_002135324.1|DPSE, LOC6899953|XP_002135321.1|DPSE, LOC6899951|XP_002135319.3|DPSE, LOC6899954|XP_002135322.1|DPSE, LOC6899950|XP_002135318.2|DPSE, LOC6899952|XP_002135320.3|DPSE, LOC6899955|XP_002135323.1|DPSE, LOC4812049|XP_001352467.1|DPSE, LOC6899946|XP_002135314.1|DPSE, LOC6899948|XP_002135316.2|DPSE
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC6897864|XP_033232668.1|DPSE, LOC4802962|XP_001359775.3|DPSE, LOC4802964|XP_001359777.4|DPSE, LOC4804210|XP_001360806.2|DPSE, LOC6897865|XP_033232678.1|DPSE, LOC4802957|XP_001359771.3|DPSE, LOC5495505|XP_001359769.4|DPSE, LOC5384073|XP_001359768.2|DPSE, LOC4802956|XP_015038205.2|DPSE
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC6898786|XP_002138763.2|DPSE, LOC6898785|XP_002138762.1|DPSE, LOC5495520|XP_001361563.3|DPSE, LOC4805107|XP_001361564.1|DPSE, LOC6899225|XP_002136299.3|DPSE, LOC5495508|XP_001361566.2|DPSE, LOC4805028|XP_001361496.1|DPSE
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC6901557|XP_002134231.1|DPSE
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC4815876|XP_001355332.2|DPSE, LOC4801930|XP_001358948.3|DPSE, LOC6897388|XP_002137540.2|DPSE, LOC4800860|XP_001358060.2|DPSE
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC6902829|XP_002132565.2|DPSE, LOC4817432|XP_001356466.2|DPSE, LOC4816919|XP_001356465.1|DPSE
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC6900259|XP_002135588.3|DPSE, LOC26532152|XP_033239703.1|DPSE, LOC6900257|XP_033239706.1|DPSE, LOC117184834|XP_033239705.1|DPSE, LOC26533203|XP_015044031.2|DPSE, LOC6900258|XP_002135587.2|DPSE, LOC117183194|XP_033239704.1|DPSE, LOC117184835|XP_033239707.1|DPSE, LOC6900255|XP_002135584.2|DPSE, LOC6900007|XP_002135372.2|DPSE
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC117183538|XP_033233522.1|DPSE, LOC6898458|XP_002138501.2|DPSE, LOC26533066|XP_015039817.2|DPSE, LOC6897267|XP_033233167.1|DPSE, LOC4813458|XP_001353977.2|DPSE
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC6902663|XP_015036753.2|DPSE, LOC6902656|XP_002133172.3|DPSE, LOC6902659|XP_033236257.1|DPSE, LOC6902665|XP_002133181.3|DPSE, LOC117184065|XP_033236023.1|DPSE
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC4800808|XP_001358017.2|DPSE, LOC6896921|XP_033236577.1|DPSE, LOC4800814|XP_001358021.1|DPSE, LOC4800811|XP_001358020.3|DPSE
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC4817450|XP_001356533.3|DPSE, LOC4817037|XP_001356534.3|DPSE, LOC6902878|XP_002132612.2|DPSE, LOC6902430|XP_033236728.1|DPSE, LOC6902429|XP_002133363.2|DPSE, LOC4816157|XP_001355874.3|DPSE
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC6897873|XP_002137975.2|DPSE
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC4801521|XP_033232300.1|DPSE
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC4803745|XP_001360410.4|DPSE, LOC6896995|XP_033232723.1|DPSE, LOC6896996|XP_002137182.2|DPSE, LOC117183318|XP_033232724.1|DPSE, LOC6896994|XP_033232725.1|DPSE
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC4812152|XP_001352947.2|DPSE
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC6900265|XP_002135594.2|DPSE
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC6897556|XP_033241818.1|DPSE
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC6897576|XP_002137721.2|DPSE, LOC6897577|XP_002137722.1|DPSE, LOC4802353|XP_001359283.3|DPSE, LOC6897572|XP_033240353.1|DPSE
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC4803128|XP_001359922.2|DPSE, LOC4803135|XP_001359927.2|DPSE, LOC6897936|XP_002138038.2|DPSE, LOC4803134|XP_001359926.3|DPSE, LOC4803126|XP_001359920.4|DPSE, LOC6897937|XP_002138039.2|DPSE, LOC4803132|XP_001359925.3|DPSE
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC4803784|XP_001360446.3|DPSE, LOC4803787|XP_001360449.3|DPSE, LOC6898081|XP_002138166.2|DPSE, LOC4805168|XP_001361615.3|DPSE, LOC6903509|XP_002132386.2|DPSE, LOC6902682|XP_002133198.2|DPSE, LOC4805161|XP_001361611.2|DPSE, LOC4813116|XP_001353776.3|DPSE
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC6900017|XP_033238773.1|DPSE, LOC6900029|XP_033240343.1|DPSE, LOC6900030|XP_002135394.2|DPSE, LOC4812161|XP_001352552.3|DPSE, LOC4812224|XP_033238777.1|DPSE
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC4800760|XP_001357975.3|DPSE, LOC4800765|XP_001357980.2|DPSE, LOC4800759|XP_001357974.3|DPSE, LOC4800761|XP_001357976.3|DPSE, LOC4800766|XP_001357981.4|DPSE, LOC4800764|XP_001357979.3|DPSE
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC4802029|XP_001359029.3|DPSE, LOC6896948|XP_002137133.2|DPSE, LOC4800870|XP_001358067.3|DPSE, LOC6897665|XP_002137803.2|DPSE, LOC6897664|XP_033232373.1|DPSE
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC4803611|XP_001360303.3|DPSE, LOC6898153|XP_002138231.3|DPSE, LOC4803609|XP_001360302.2|DPSE
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC117183732|XP_033234597.1|DPSE, LOC6898005|XP_002138098.2|DPSE, LOC4803309|XP_001360071.1|DPSE, LOC4803310|XP_001360074.4|DPSE, LOC5384075|XP_033232371.1|DPSE, LOC6898345|XP_002138398.2|DPSE, LOC5384076|XP_001360072.2|DPSE
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC6896733|XP_002136944.1|DPSE, LOC6896732|XP_002136943.1|DPSE, LOC6896731|XP_002136942.1|DPSE, LOC5495517|XP_002136945.3|DPSE, LOC6896734|XP_002136946.1|DPSE
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC4800581|XP_015038723.2|DPSE, LOC6896822|XP_002137025.2|DPSE, LOC4800580|XP_001357831.3|DPSE, LOC6897000|XP_002137186.2|DPSE, LOC6896999|XP_002137185.2|DPSE
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC6902428|XP_002133362.2|DPSE, LOC6902422|XP_002133356.2|DPSE, LOC6898067|XP_002138152.1|DPSE, LOC4816156|XP_001355873.3|DPSE, LOC4816089|XP_001355320.2|DPSE
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC4816062|XP_001355381.1|DPSE
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC4800333|XP_033234022.1|DPSE
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC4815703|XP_001355362.3|DPSE
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC4814796|XP_001355129.2|DPSE, LOC4816599|XP_001356269.1|DPSE, LOC26533356|XP_015035231.2|DPSE, LOC117183917|XP_033235318.1|DPSE, LOC117183207|XP_033237045.1|DPSE
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC4801537|XP_001358611.3|DPSE, LOC4813294|XP_001353742.3|DPSE
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC6901001|XP_033238396.1|DPSE
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC6900642|XP_002135015.3|DPSE, LOC6896795|XP_033241765.1|DPSE, LOC26532323|XP_033236250.1|DPSE, LOC6902365|XP_002133311.2|DPSE, LOC4815620|XP_015041394.2|DPSE
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC4816245|XP_001355864.2|DPSE, LOC4815848|XP_001355583.2|DPSE, LOC4816246|XP_001355865.2|DPSE, LOC6902417|XP_002133351.2|DPSE
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC6900130|XP_033241129.1|DPSE
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC4811953|XP_001352897.3|DPSE, LOC6900213|XP_033239373.1|DPSE, LOC6900212|XP_002135544.1|DPSE
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC4803792|XP_001360452.3|DPSE, LOC4803788|XP_001360450.3|DPSE, LOC6898245|XP_002138311.1|DPSE
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC4804155|XP_001360761.3|DPSE
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC6902077|XP_033240712.1|DPSE
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC13036455|XP_003736334.2|DPSE
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC4813467|XP_001353839.3|DPSE, LOC4813167|XP_001353329.2|DPSE
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC6900056|XP_033238646.1|DPSE
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC6901614|XP_002134284.3|DPSE
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC6903891|XP_002136626.1|DPSE
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC4800596|XP_001357842.1|DPSE
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC4805619|XP_001361993.1|DPSE
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC6897044|XP_003736391.1|DPSE
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC4804955|XP_001361435.3|DPSE, LOC6903186|XP_002132885.3|DPSE, LOC6897646|XP_002137789.2|DPSE, LOC117184537|XP_033238582.1|DPSE, LOC4802953|XP_001359766.2|DPSE, LOC4814621|XP_001355050.3|DPSE, LOC4815368|XP_001354621.3|DPSE
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC6898668|XP_002138673.2|DPSE, LOC6898669|XP_033233645.1|DPSE, LOC4805687|XP_001362046.3|DPSE
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC4803829|XP_001360483.2|DPSE, LOC4800945|XP_001358129.3|DPSE, LOC4801644|XP_001358698.2|DPSE
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC6899312|XP_033235907.1|DPSE, LOC117183164|XP_015036952.2|DPSE, LOC6902369|XP_002133315.2|DPSE, LOC6902371|XP_002133317.3|DPSE, LOC6902370|XP_002133316.2|DPSE, LOC26532411|XP_033235904.1|DPSE
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC4803751|XP_001360416.2|DPSE
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC4805472|XP_001361867.2|DPSE
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC4804898|XP_001361384.3|DPSE
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC4804253|XP_001360840.1|DPSE
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC4816786|XP_001356332.1|DPSE
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC4805581|XP_001361962.1|DPSE
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC4802911|XP_001359737.1|DPSE
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC4812687|XP_001353070.2|DPSE
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC4805122|XP_001361578.1|DPSE, LOC4805121|XP_015040451.2|DPSE, LOC6900041|XP_002135405.1|DPSE, LOC6899944|XP_002135312.2|DPSE
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC4801161|XP_015037056.1|DPSE
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC4816825|XP_001356505.3|DPSE, LOC4801449|XP_033232375.1|DPSE, LOC4801443|XP_001358537.1|DPSE
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC4817063|XP_015036040.1|DPSE
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC4813472|XP_015043125.2|DPSE, LOC4801917|XP_001358935.4|DPSE
OG0000095	LOC118502383|XP_035890498.1|ASTE	LOC117184088|XP_033236139.1|DPSE
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC6897403|XP_002137555.3|DPSE, LOC6897404|XP_015037507.2|DPSE, LOC6897015|XP_002137200.2|DPSE, LOC4816202|XP_001355846.3|DPSE
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC4800823|XP_001358028.1|DPSE
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC6901374|XP_015041636.2|DPSE
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC6900247|XP_015044019.2|DPSE, LOC6900249|XP_033237559.1|DPSE, LOC26533784|XP_015044023.2|DPSE
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC4804100|XP_001360716.3|DPSE
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC4804567|XP_001361108.2|DPSE
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC4812871|XP_001353722.3|DPSE, LOC4813106|XP_001353445.4|DPSE, LOC4813251|XP_033237392.1|DPSE, LOC4805641|XP_001362010.2|DPSE
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC6897188|XP_033241709.1|DPSE, LOC4802641|XP_001359524.3|DPSE, LOC117185148|XP_033241100.1|DPSE, LOC4802639|XP_033241098.1|DPSE
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC26534034|XP_015035900.1|DPSE, LOC6902874|XP_002132608.3|DPSE, LOC6896786|XP_002136991.3|DPSE
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC4816673|XP_001356046.3|DPSE
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC4813509|XP_001353237.3|DPSE, LOC4813564|XP_001353238.4|DPSE, LOC4813596|XP_001353239.2|DPSE, LOC4813344|XP_001353235.2|DPSE
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC4804957|XP_001361436.2|DPSE, LOC4804962|XP_001361439.2|DPSE, LOC4804960|XP_001361438.4|DPSE
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC4816070|XP_001355599.3|DPSE, LOC4814555|XP_001355049.4|DPSE
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC4801479|XP_001358564.4|DPSE, LOC6899502|XP_033240539.1|DPSE, LOC117185048|XP_033240543.1|DPSE, LOC26531981|XP_033240362.1|DPSE, LOC6899402|XP_002136128.1|DPSE, LOC6899401|XP_002136127.1|DPSE, LOC6904066|XP_033240668.1|DPSE, LOC117185004|XP_033240273.1|DPSE, LOC117185065|XP_033240663.1|DPSE, LOC6904030|XP_033240677.1|DPSE, LOC117185072|XP_033240678.1|DPSE, LOC6897235|XP_002137407.2|DPSE, LOC26533299|XP_015041637.2|DPSE, LOC6901379|XP_002134067.2|DPSE
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC4817555|XP_001356962.1|DPSE
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC4816702|XP_001356233.1|DPSE, LOC4816357|XP_001356234.2|DPSE, LOC4816358|XP_001356235.2|DPSE, LOC6902710|XP_002133224.1|DPSE
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC4816812|XP_001356809.3|DPSE, LOC6901699|XP_002134369.2|DPSE
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC4800772|XP_001357987.3|DPSE, LOC4800771|XP_001357986.2|DPSE, LOC4800773|XP_001357988.3|DPSE
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC6901854|XP_002133392.2|DPSE
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC4803913|XP_001360557.1|DPSE
