Orthogroup	ASTE.longest_only	DFIC.longest_only
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC108100979|XP_017060622.1|DFIC, LOC108101093|XP_017060792.1|DFIC, LOC108102060|XP_017062180.1|DFIC, LOC108089992|XP_017043983.1|DFIC, LOC108101220|XP_017060958.1|DFIC
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC108095541|XP_017052159.1|DFIC
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC108091979|XP_017046877.1|DFIC, LOC108088013|XP_017041113.1|DFIC, LOC108094694|XP_017050914.1|DFIC
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC108093677|XP_017049345.1|DFIC, LOC108100202|XP_017059465.1|DFIC, LOC108100307|XP_017059595.1|DFIC, LOC108100306|XP_017059594.1|DFIC, LOC108100305|XP_017059593.1|DFIC, LOC108100300|XP_017059588.1|DFIC, LOC108100303|XP_017059590.1|DFIC, LOC108100308|XP_017059596.1|DFIC, LOC108100304|XP_017059591.1|DFIC, LOC108100302|XP_017059589.1|DFIC
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC108096120|XP_017052985.1|DFIC, LOC108096122|XP_017052987.1|DFIC, LOC108096106|XP_017052971.1|DFIC, LOC108096128|XP_017052994.1|DFIC, LOC108096606|XP_017053802.1|DFIC, LOC108096129|XP_017052995.1|DFIC, LOC108096118|XP_017052982.1|DFIC, LOC108096119|XP_017052984.1|DFIC, LOC108096117|XP_017052981.1|DFIC, LOC108096114|XP_017052979.1|DFIC
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC108086469|XP_017038885.1|DFIC, LOC108086411|XP_017038802.1|DFIC, LOC108086410|XP_017038801.1|DFIC, LOC108086467|XP_017038883.1|DFIC, LOC108086472|XP_017038887.1|DFIC, LOC108098296|XP_017056595.1|DFIC, LOC108086381|XP_017038771.1|DFIC, LOC108094860|XP_017051169.1|DFIC
OG0000025	LOC118517100|XP_035918851.1|ASTE, LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC108088651|XP_017042067.1|DFIC
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC108101707|XP_017061633.1|DFIC, LOC108101666|XP_017061574.1|DFIC, LOC108091826|XP_017046693.1|DFIC, LOC108098549|XP_017057035.1|DFIC, LOC108098463|XP_017056857.1|DFIC
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC108100821|XP_017060378.1|DFIC, LOC108100819|XP_017060376.1|DFIC, LOC108100820|XP_017060377.1|DFIC
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC108095331|XP_017051904.1|DFIC, LOC108095316|XP_017051884.1|DFIC, LOC108088857|XP_017042321.1|DFIC, LOC108095297|XP_017051846.1|DFIC, LOC108095310|XP_017051872.1|DFIC, LOC108088858|XP_017042322.1|DFIC, LOC108088859|XP_017042323.1|DFIC, LOC108095285|XP_017051819.1|DFIC, LOC108089312|XP_017042978.1|DFIC
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC108090681|XP_017044956.1|DFIC, LOC108100972|XP_017060614.1|DFIC, LOC108096726|XP_017054059.1|DFIC, LOC108099785|XP_017058903.1|DFIC
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC108087846|XP_017040950.1|DFIC, LOC108094523|XP_017050614.1|DFIC, LOC108100476|XP_017059897.1|DFIC, LOC108090611|XP_017044870.1|DFIC, LOC108090591|XP_017044831.1|DFIC, LOC108092296|XP_017047319.1|DFIC, LOC108092297|XP_017047321.1|DFIC
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC108087889|XP_017040956.1|DFIC, LOC108088062|XP_017041192.1|DFIC, LOC108088048|XP_017041174.1|DFIC, LOC108088066|XP_017041199.1|DFIC, LOC108087890|XP_017040957.1|DFIC, LOC108087979|XP_017041070.1|DFIC, LOC108087896|XP_017040963.1|DFIC, LOC108087899|XP_017040966.1|DFIC
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC108098181|XP_017056403.1|DFIC, LOC108090289|XP_017044389.1|DFIC, LOC108098175|XP_017056397.1|DFIC, LOC108098172|XP_017056394.1|DFIC, LOC108098179|XP_017056401.1|DFIC, LOC108098285|XP_017056581.1|DFIC, LOC108101136|XP_017060848.1|DFIC, LOC108098386|XP_017056743.1|DFIC, LOC108087083|XP_017039752.1|DFIC, LOC108087380|XP_017040209.1|DFIC, LOC108093450|XP_017049013.1|DFIC
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC108096138|XP_017053007.1|DFIC
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC108097979|XP_017056090.1|DFIC
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC108087844|XP_017040913.1|DFIC, LOC108088042|XP_017041165.1|DFIC, LOC108088040|XP_017041164.1|DFIC
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC108088854|XP_017042318.1|DFIC
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC108088914|XP_017042416.1|DFIC
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC108091791|XP_017046639.1|DFIC
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC108095996|XP_017052831.1|DFIC, LOC108095711|XP_017052372.1|DFIC, LOC108095997|XP_017052832.1|DFIC, LOC108095939|XP_017052765.1|DFIC, LOC108095866|XP_017052659.1|DFIC, LOC108095867|XP_017052660.1|DFIC, LOC108095645|XP_017052300.1|DFIC
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC108087389|XP_017040220.1|DFIC, LOC108087351|XP_017040180.1|DFIC, LOC108087056|XP_017039721.1|DFIC, LOC108092195|XP_017047211.1|DFIC, LOC108087304|XP_017040112.1|DFIC, LOC108087099|XP_017039770.1|DFIC, LOC108086831|XP_017039366.1|DFIC, LOC108087388|XP_017040219.1|DFIC
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC108090569|XP_017044803.1|DFIC, LOC108090570|XP_017044804.1|DFIC, LOC108094901|XP_017051236.1|DFIC, LOC108089762|XP_017043641.1|DFIC, LOC108094950|XP_017051302.1|DFIC, LOC108089719|XP_017043575.1|DFIC
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC108089537|XP_017043362.1|DFIC, LOC108089538|XP_017043363.1|DFIC, LOC108089535|XP_017043361.1|DFIC, LOC108089542|XP_017043368.1|DFIC
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC108091886|XP_017046759.1|DFIC, LOC108091864|XP_017046732.1|DFIC, LOC108091860|XP_017046729.1|DFIC, LOC108091991|XP_017046904.1|DFIC, LOC108091993|XP_017046906.1|DFIC, LOC108092198|XP_017047214.1|DFIC
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC108099282|XP_017058161.1|DFIC, LOC108087911|XP_017040982.1|DFIC, LOC108092094|XP_017047073.1|DFIC, LOC108087894|XP_017040960.1|DFIC, LOC108087917|XP_017040992.1|DFIC
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC108090322|XP_017044423.1|DFIC, LOC108090310|XP_017044412.1|DFIC, LOC108090321|XP_017044422.1|DFIC
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC108097528|XP_017055365.1|DFIC, LOC108096334|XP_017053362.1|DFIC, LOC108096244|XP_017053162.1|DFIC, LOC108097685|XP_017055644.1|DFIC
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC108099277|XP_017058154.1|DFIC, LOC108099261|XP_017058124.1|DFIC, LOC108099262|XP_017058125.1|DFIC, LOC108099276|XP_017058153.1|DFIC, LOC108099287|XP_017058168.1|DFIC, LOC108099258|XP_017058122.1|DFIC, LOC108099260|XP_017058123.1|DFIC
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC108091640|XP_017046431.1|DFIC, LOC108091639|XP_017046430.1|DFIC, LOC108091643|XP_017046434.1|DFIC, LOC108091642|XP_017046433.1|DFIC, LOC108098775|XP_017057398.1|DFIC, LOC108098940|XP_017057636.1|DFIC
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC108099713|XP_017058824.1|DFIC, LOC108098458|XP_017056851.1|DFIC, LOC108098312|XP_017056614.1|DFIC, LOC108098300|XP_017056599.1|DFIC, LOC108093385|XP_017048892.1|DFIC, LOC108092885|XP_017048216.1|DFIC
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC108091169|XP_017045705.1|DFIC
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC108086822|XP_017039354.1|DFIC
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC108101966|XP_017062037.1|DFIC, LOC108092553|XP_017047676.1|DFIC
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC108094292|XP_017050285.1|DFIC, LOC108094446|XP_017050509.1|DFIC, LOC108094420|XP_017050481.1|DFIC, LOC108096166|XP_017053037.1|DFIC
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC108098544|XP_017057031.1|DFIC, LOC108089737|XP_017043607.1|DFIC
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC108093275|XP_017048744.1|DFIC
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC108099862|XP_017058999.1|DFIC, LOC108101069|XP_017060747.1|DFIC, LOC108086952|XP_017039554.1|DFIC, LOC108094867|XP_017051178.1|DFIC, LOC108090543|XP_017044766.1|DFIC, LOC108098038|XP_017056186.1|DFIC
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC108093013|XP_017048405.1|DFIC, LOC108097315|XP_017055021.1|DFIC, LOC108093017|XP_017048410.1|DFIC, LOC108093018|XP_017048411.1|DFIC
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC108100141|XP_017059383.1|DFIC
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC108095396|XP_017051968.1|DFIC, LOC108095397|XP_017051969.1|DFIC, LOC108095466|XP_017052069.1|DFIC
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC108090389|XP_017044527.1|DFIC, LOC108090306|XP_017044405.1|DFIC, LOC108090388|XP_017044526.1|DFIC
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC108093786|XP_017049554.1|DFIC
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC108097185|XP_017054817.1|DFIC
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC108098509|XP_017056925.1|DFIC
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC108093150|XP_017048585.1|DFIC, LOC108099854|XP_017058989.1|DFIC
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC108096321|XP_017053338.1|DFIC
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC108094504|XP_017050597.1|DFIC
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC108094895|XP_017051224.1|DFIC
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC108099491|XP_017058540.1|DFIC
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC108101896|XP_017061947.1|DFIC
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC108088470|XP_017041744.1|DFIC
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC108094965|XP_017051317.1|DFIC, LOC108088926|XP_017042437.1|DFIC, LOC108093529|XP_017049111.1|DFIC, LOC108098116|XP_017056325.1|DFIC, LOC108098159|XP_017056384.1|DFIC
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC108094031|XP_017049951.1|DFIC, LOC108099995|XP_017059184.1|DFIC, LOC108090461|XP_017044643.1|DFIC
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC108096757|XP_017054106.1|DFIC, LOC108095665|XP_017052319.1|DFIC, LOC108095966|XP_017052798.1|DFIC, LOC108092010|XP_017046931.1|DFIC
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC108089266|XP_017042925.1|DFIC, LOC108094480|XP_017050969.1|DFIC, LOC108098733|XP_017057353.1|DFIC, LOC108098736|XP_017057355.1|DFIC, LOC108098735|XP_017057354.1|DFIC, LOC108098717|XP_017057324.1|DFIC, LOC108098712|XP_017057316.1|DFIC, LOC108089245|XP_017042898.1|DFIC
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC108087862|XP_017040935.1|DFIC
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC108093919|XP_017049775.1|DFIC
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC108101594|XP_017061495.1|DFIC
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC108096752|XP_017054097.1|DFIC
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC108101150|XP_017060862.1|DFIC
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC108094304|XP_017050312.1|DFIC
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC108098591|XP_017057133.1|DFIC
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC108087422|XP_017040258.1|DFIC
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC108090757|XP_017045079.1|DFIC, LOC108090961|XP_017045394.1|DFIC, LOC108096450|XP_017053542.1|DFIC, LOC108100299|XP_017059587.1|DFIC
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC108086553|XP_017038985.1|DFIC
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC108094894|XP_017051228.1|DFIC, LOC108102111|XP_017062264.1|DFIC, LOC108087170|XP_017039900.1|DFIC, LOC108087365|XP_017040194.1|DFIC
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC108092694|XP_017047894.1|DFIC
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC108089688|XP_017043524.1|DFIC, LOC108091775|XP_017046611.1|DFIC
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC108089176|XP_017042801.1|DFIC, LOC108101171|XP_017060888.1|DFIC, LOC108101173|XP_017060892.1|DFIC, LOC108094544|XP_017050641.1|DFIC, LOC108087280|XP_017040078.1|DFIC, LOC108090955|XP_017045426.1|DFIC, LOC108092752|XP_017047972.1|DFIC
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC108087974|XP_017041063.1|DFIC
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC108097065|XP_017054590.1|DFIC
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC108088290|XP_017041499.1|DFIC, LOC108088258|XP_017041465.1|DFIC, LOC108088292|XP_017041511.1|DFIC
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC108093909|XP_017049764.1|DFIC
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC108090478|XP_017044665.1|DFIC
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC108094023|XP_017049946.1|DFIC, LOC108099866|XP_017059003.1|DFIC, LOC108099867|XP_017059004.1|DFIC, LOC108099865|XP_017059002.1|DFIC, LOC108086454|XP_017038864.1|DFIC
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC108091851|XP_017046719.1|DFIC, LOC108099251|XP_017058111.1|DFIC, LOC108099504|XP_017058556.1|DFIC, LOC108099252|XP_017058112.1|DFIC, LOC108099253|XP_017058113.1|DFIC
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC108094564|XP_017050665.1|DFIC, LOC108086319|XP_017038711.1|DFIC, LOC108101060|XP_017060740.1|DFIC
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC108099999|XP_017059189.1|DFIC, LOC108100065|XP_017059289.1|DFIC, LOC108100095|XP_017059329.1|DFIC, LOC108099998|XP_017059188.1|DFIC
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC108087041|XP_017039740.1|DFIC, LOC108089256|XP_017042911.1|DFIC
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC108088246|XP_017041452.1|DFIC, LOC108088248|XP_017041454.1|DFIC, LOC108088255|XP_017041461.1|DFIC, LOC108088254|XP_017041460.1|DFIC, LOC108088256|XP_017041463.1|DFIC
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC108094777|XP_017051039.1|DFIC, LOC108094927|XP_017051274.1|DFIC, LOC108094929|XP_017051277.1|DFIC
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC108098021|XP_017056163.1|DFIC, LOC108097867|XP_017055891.1|DFIC, LOC108098130|XP_017056341.1|DFIC
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC108090099|XP_017044086.1|DFIC, LOC108088714|XP_017042147.1|DFIC, LOC108088715|XP_017042148.1|DFIC, LOC108090089|XP_017044080.1|DFIC, LOC108100512|XP_017059956.1|DFIC
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC108102109|XP_017062262.1|DFIC, LOC108102091|XP_017062235.1|DFIC
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC108098321|XP_017056635.1|DFIC, LOC108098322|XP_017056636.1|DFIC, LOC108098323|XP_017056637.1|DFIC, LOC108098326|XP_017056639.1|DFIC
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC108089816|XP_017043707.1|DFIC, LOC108089784|XP_017043668.1|DFIC, LOC108098379|XP_017056731.1|DFIC
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC108098930|XP_017057624.1|DFIC, LOC108098763|XP_017057383.1|DFIC, LOC108098929|XP_017057623.1|DFIC
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC108092896|XP_017048233.1|DFIC
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC108093778|XP_017049539.1|DFIC
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC108088578|XP_017041917.1|DFIC, LOC108091875|XP_017046745.1|DFIC, LOC108091877|XP_017046748.1|DFIC, LOC108092221|XP_017047244.1|DFIC, LOC108091878|XP_017046749.1|DFIC, LOC108092222|XP_017047245.1|DFIC
