Orthogroup	ASTE.longest_only	DNOV.longest_only
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC115763803|XP_030562410.1|DNOV, LOC115763796|XP_030562398.1|DNOV, LOC115767739|XP_030567914.1|DNOV
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC115771909|XP_030573659.1|DNOV, LOC115771910|XP_030573660.1|DNOV, LOC115771703|XP_030573383.1|DNOV, LOC115771907|XP_030573657.1|DNOV, LOC115764177|XP_030562923.1|DNOV, LOC115771908|XP_030573658.1|DNOV
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC115758611|XP_030555202.1|DNOV, LOC115759087|XP_030555781.1|DNOV, LOC115758328|XP_030554757.1|DNOV, LOC115759021|XP_030555693.1|DNOV, LOC115759327|XP_030556099.1|DNOV, LOC115759323|XP_030556094.1|DNOV, LOC115758512|XP_030555064.1|DNOV
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC115761531|XP_030559163.1|DNOV
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC115759641|XP_030556490.1|DNOV
OG0000036	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE	LOC115766359|XP_030566119.1|DNOV
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC115761663|XP_030559406.1|DNOV, LOC115761932|XP_030559822.1|DNOV, LOC115764695|XP_030563749.1|DNOV, LOC115758180|XP_030554581.1|DNOV
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC115769340|XP_030569961.1|DNOV
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC115769427|XP_030570094.1|DNOV
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC115764701|XP_030563759.1|DNOV
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC115766169|XP_030565871.1|DNOV, LOC115770695|XP_030571950.1|DNOV, LOC115766040|XP_030565671.1|DNOV, LOC115770759|XP_030572032.1|DNOV, LOC115770764|XP_030572035.1|DNOV, LOC115770708|XP_030571966.1|DNOV
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC115770548|XP_030571710.1|DNOV, LOC115770561|XP_030571734.1|DNOV, LOC115770570|XP_030571745.1|DNOV
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC115760745|XP_030558082.1|DNOV, LOC115757956|XP_030554291.1|DNOV, LOC115757840|XP_030554132.1|DNOV
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC115762848|XP_030561084.1|DNOV, LOC115762847|XP_030561083.1|DNOV, LOC115762857|XP_030561093.1|DNOV
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC115761547|XP_030559189.1|DNOV, LOC115761542|XP_030559185.1|DNOV, LOC115761399|XP_030559017.1|DNOV, LOC115761457|XP_030559084.1|DNOV, LOC115761552|XP_030559195.1|DNOV
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC115763752|XP_030562324.1|DNOV, LOC115767886|XP_030568111.1|DNOV, LOC115761373|XP_030558983.1|DNOV
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC115771927|XP_030573689.1|DNOV, LOC115771866|XP_030573609.1|DNOV, LOC115771921|XP_030573679.1|DNOV
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC115766043|XP_030565674.1|DNOV, LOC115770765|XP_030572036.1|DNOV, LOC115766097|XP_030565772.1|DNOV
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC115761443|XP_030559069.1|DNOV, LOC115761430|XP_030559056.1|DNOV, LOC115761433|XP_030559059.1|DNOV, LOC115761408|XP_030559028.1|DNOV, LOC115761644|XP_030559338.1|DNOV
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC115764822|XP_030563931.1|DNOV, LOC115764820|XP_030563929.1|DNOV, LOC115764821|XP_030563930.1|DNOV
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC115758934|XP_030555595.1|DNOV, LOC115758936|XP_030555597.1|DNOV, LOC115758933|XP_030555594.1|DNOV, LOC115758935|XP_030555596.1|DNOV, LOC115766835|XP_030566732.1|DNOV
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC115768497|XP_030568943.1|DNOV, LOC115768521|XP_030568971.1|DNOV
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC115765029|XP_030564252.1|DNOV
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC115767352|XP_030567464.1|DNOV, LOC115759170|XP_030555902.1|DNOV
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC115766456|XP_030566248.1|DNOV, LOC115763354|XP_030561739.1|DNOV
OG0000064	LOC118503143|XP_035892009.1|ASTE	LOC115758842|XP_030555482.1|DNOV
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC115761742|XP_030559494.1|DNOV, LOC115769783|XP_030570610.1|DNOV
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC115770913|XP_030572222.1|DNOV
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC115766532|XP_030566358.1|DNOV, LOC115765365|XP_030564748.1|DNOV
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC115758973|XP_030555636.1|DNOV, LOC115765204|XP_030564504.1|DNOV, LOC115759073|XP_030555762.1|DNOV, LOC115758728|XP_030555341.1|DNOV
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC115767110|XP_030567126.1|DNOV
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC115771374|XP_030572918.1|DNOV, LOC115771373|XP_030572916.1|DNOV, LOC115771375|XP_030572919.1|DNOV
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC115762189|XP_030560172.1|DNOV, LOC115760700|XP_030558025.1|DNOV, LOC115760737|XP_030558073.1|DNOV
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC115757880|XP_030554180.1|DNOV
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC115764211|XP_030562961.1|DNOV
OG0000073	LOC118508670|XP_035904399.1|ASTE	LOC115765214|XP_030564517.1|DNOV
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC115767646|XP_030567793.1|DNOV, LOC115767642|XP_030567789.1|DNOV, LOC115771062|XP_030572474.1|DNOV
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC115766967|XP_030566920.1|DNOV
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC115766325|XP_030566076.1|DNOV
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC115765531|XP_030565013.1|DNOV
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC115761940|XP_030559834.1|DNOV
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC115757826|XP_030554110.1|DNOV
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC115759443|XP_030556224.1|DNOV
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC115767483|XP_030567650.1|DNOV, LOC115767481|XP_030567645.1|DNOV, LOC115767473|XP_030567638.1|DNOV, LOC115770100|XP_030571073.1|DNOV, LOC115761731|XP_030559475.1|DNOV, LOC115764426|XP_030563287.1|DNOV, LOC115767246|XP_030567310.1|DNOV
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC115762483|XP_030560581.1|DNOV, LOC115766550|XP_030566385.1|DNOV
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC115760531|XP_030557814.1|DNOV, LOC115771876|XP_030573620.1|DNOV, LOC115764022|XP_030562714.1|DNOV
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC115771570|XP_030573183.1|DNOV, LOC115763288|XP_030561633.1|DNOV
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC115759698|XP_030556562.1|DNOV
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC115760890|XP_030558315.1|DNOV
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC115764646|XP_030563684.1|DNOV
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC115761105|XP_030558592.1|DNOV, LOC115761104|XP_030558591.1|DNOV
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC115759965|XP_030556974.1|DNOV
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC115758292|XP_030554718.1|DNOV
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC115759581|XP_030556409.1|DNOV
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC115769774|XP_030570599.1|DNOV
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC115758299|XP_030554725.1|DNOV, LOC115758298|XP_030554724.1|DNOV, LOC115765820|XP_030565404.1|DNOV, LOC115766045|XP_030565682.1|DNOV, LOC115769503|XP_030570188.1|DNOV
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC115757670|XP_030553848.1|DNOV
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC115759049|XP_030555733.1|DNOV, LOC115761273|XP_030558848.1|DNOV, LOC115761272|XP_030558847.1|DNOV
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC115758323|XP_030554750.1|DNOV
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC115770336|XP_030571434.1|DNOV, LOC115761783|XP_030559578.1|DNOV, LOC115759953|XP_030556956.1|DNOV, LOC115759952|XP_030556955.1|DNOV
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC115761336|XP_030558933.1|DNOV, LOC115761351|XP_030558956.1|DNOV, LOC115761323|XP_030558916.1|DNOV, LOC115759222|XP_030555977.1|DNOV
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC115763976|XP_030562641.1|DNOV
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC115768874|XP_030569441.1|DNOV
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC115769895|XP_030570771.1|DNOV, LOC115769419|XP_030570087.1|DNOV, LOC115769417|XP_030570084.1|DNOV, LOC115769418|XP_030570086.1|DNOV, LOC115769861|XP_030570719.1|DNOV, LOC115769416|XP_030570083.1|DNOV, LOC115769860|XP_030570709.1|DNOV
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC115764983|XP_030564174.1|DNOV
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC115760629|XP_030557940.1|DNOV
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC115771233|XP_030572694.1|DNOV, LOC115771230|XP_030572692.1|DNOV, LOC115771232|XP_030572693.1|DNOV, LOC115762233|XP_030560233.1|DNOV
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC115763410|XP_030561820.1|DNOV, LOC115766038|XP_030565668.1|DNOV, LOC115766116|XP_030565797.1|DNOV
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC115758411|XP_030554919.1|DNOV
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC115758763|XP_030555384.1|DNOV, LOC115759000|XP_030555661.1|DNOV
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC115771207|XP_030572667.1|DNOV, LOC115771206|XP_030572666.1|DNOV, LOC115771081|XP_030572492.1|DNOV, LOC115771102|XP_030572522.1|DNOV, LOC115771159|XP_030572591.1|DNOV
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC115767450|XP_030567608.1|DNOV, LOC115767471|XP_030567636.1|DNOV, LOC115766597|XP_030566444.1|DNOV
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC115766378|XP_030566142.1|DNOV, LOC115766361|XP_030566121.1|DNOV, LOC115764351|XP_030563169.1|DNOV, LOC115764305|XP_030563103.1|DNOV
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC115761208|XP_030558753.1|DNOV, LOC115768193|XP_030568568.1|DNOV, LOC115768345|XP_030568769.1|DNOV, LOC115766418|XP_030566199.1|DNOV
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC115759690|XP_030556543.1|DNOV
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC115769301|XP_030569889.1|DNOV, LOC115769303|XP_030569891.1|DNOV, LOC115769305|XP_030569893.1|DNOV, LOC115769308|XP_030569897.1|DNOV, LOC115769307|XP_030569896.1|DNOV
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC115758561|XP_030555129.1|DNOV, LOC115768983|XP_030569558.1|DNOV, LOC115764682|XP_030563730.1|DNOV
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC115761228|XP_030558777.1|DNOV, LOC115761623|XP_030559312.1|DNOV, LOC115761429|XP_030559055.1|DNOV
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC115768766|XP_030569316.1|DNOV
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC115765330|XP_030564696.1|DNOV
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC115764363|XP_030563185.1|DNOV, LOC115771803|XP_030573534.1|DNOV, LOC115771900|XP_030573645.1|DNOV
OG0000122	LOC118502484|XP_035890608.1|ASTE	LOC115763181|XP_030561499.1|DNOV, LOC115767044|XP_030567034.1|DNOV, LOC115762161|XP_030560138.1|DNOV, LOC115759056|XP_030555741.1|DNOV
OG0000123	LOC118506463|XP_035899530.1|ASTE	LOC115759448|XP_030556240.1|DNOV, LOC115763740|XP_030562303.1|DNOV
OG0000125	LOC118502975|XP_035891640.1|ASTE	LOC115771741|XP_030573428.1|DNOV
OG0000125	LOC118511794|XP_035911255.1|ASTE	LOC115761248|XP_030558810.1|DNOV
