Orthogroup	ASTE.longest_only	BCOP.longest_only
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC119075400|XP_037037739.1|BCOP
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC119075519|XP_037037884.1|BCOP, LOC119082442|XP_037047864.1|BCOP
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000014	LOC118503306|XP_035892319.1|ASTE, LOC118515162|XP_035917761.1|ASTE, LOC118513701|XP_035915722.1|ASTE	LOC119082957|XP_037048500.1|BCOP
OG0000014	LOC118506592|XP_035899843.1|ASTE, LOC118513377|XP_035914925.1|ASTE, LOC118509085|XP_035905110.1|ASTE, LOC118502817|XP_035891359.1|ASTE, LOC118510097|XP_035907419.1|ASTE, LOC118516573|XP_035918430.1|ASTE, LOC118505923|XP_035898309.1|ASTE	LOC119082466|XP_037047880.1|BCOP, LOC119079734|XP_037043693.1|BCOP
OG0000014	LOC118515274|XP_035917861.1|ASTE, LOC118515180|XP_035917776.1|ASTE, LOC118507634|XP_035902251.1|ASTE, LOC118507967|XP_035903190.1|ASTE, LOC118507435|XP_035901806.1|ASTE, LOC118509114|XP_035905178.1|ASTE, LOC118516606|XP_035918467.1|ASTE, LOC118515167|XP_035917765.1|ASTE, LOC118515195|XP_035917787.1|ASTE, LOC118516437|XP_035918212.1|ASTE	LOC119083379|XP_037048988.1|BCOP
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC118509720|XP_035906702.1|ASTE	LOC119073565|XP_037035016.1|BCOP
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC118505225|XP_035896646.1|ASTE, LOC118503559|XP_035892861.1|ASTE, LOC118503557|XP_035892858.1|ASTE	LOC119072516|XP_037033655.1|BCOP, LOC119084274|XP_037050089.1|BCOP, LOC119072264|XP_037033350.1|BCOP
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC118513028|XP_035914198.1|ASTE, LOC118513025|XP_035914195.1|ASTE, LOC118513023|XP_035914193.1|ASTE, LOC118513026|XP_035914196.1|ASTE	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP
OG0000019	LOC118506335|XP_035899208.1|ASTE	LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC118502378|XP_035890492.1|ASTE	LOC119070432|XP_037030669.1|BCOP
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC119077634|XP_037040747.1|BCOP
OG0000020	LOC118507693|XP_035902420.1|ASTE	LOC119084833|XP_037050813.1|BCOP, LOC119077828|XP_037041031.1|BCOP, LOC119075380|XP_037037714.1|BCOP
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC119074653|XP_037036827.1|BCOP, LOC119078339|XP_037041737.1|BCOP
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC118517100|XP_035918851.1|ASTE, LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC119075511|XP_037037876.1|BCOP
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC119075967|XP_037038446.1|BCOP, LOC119080894|XP_037045369.1|BCOP, LOC119084790|XP_037050754.1|BCOP, LOC119075347|XP_037037672.1|BCOP, LOC119084782|XP_037050742.1|BCOP
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC119077158|XP_037040243.1|BCOP
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC119080979|XP_037045519.1|BCOP
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC119075913|XP_037038393.1|BCOP, LOC119075912|XP_037038392.1|BCOP, LOC119077897|XP_037041165.1|BCOP, LOC119068086|XP_037027399.1|BCOP, LOC119077434|XP_037040544.1|BCOP, LOC119076151|XP_037038730.1|BCOP, LOC119077433|XP_037040543.1|BCOP, LOC119072306|XP_037033388.1|BCOP, LOC119071086|XP_037031623.1|BCOP
OG0000031	LOC118503626|XP_035893008.1|ASTE, LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC119082337|XP_037047744.1|BCOP, LOC119073860|XP_037035620.1|BCOP, LOC119083184|XP_037048737.1|BCOP
OG0000031	LOC118503404|XP_035892502.1|ASTE, LOC118503633|XP_035893023.1|ASTE, LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE	LOC119070957|XP_037031407.1|BCOP, LOC119070655|XP_037030981.1|BCOP
OG0000032	LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC119070487|XP_037030735.1|BCOP, LOC119077430|XP_037040540.1|BCOP
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE	LOC119081013|XP_037045591.1|BCOP
OG0000034	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC119070626|XP_037030946.1|BCOP
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC119068370|XP_037027834.1|BCOP
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC119070319|XP_037030483.1|BCOP
OG0000036	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE	LOC119074646|XP_037036818.1|BCOP
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC119084655|XP_037050618.1|BCOP, LOC119071348|XP_037032129.1|BCOP, LOC119082982|XP_037048515.1|BCOP, LOC119080253|XP_037044398.1|BCOP, LOC119082744|XP_037048221.1|BCOP
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC119080641|XP_037044950.1|BCOP
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC119077484|XP_037040593.1|BCOP
OG0000038	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE, LOC118510900|XP_035909180.1|ASTE, LOC118510895|XP_035909172.1|ASTE, LOC118514610|XP_035917498.1|ASTE, LOC118514613|XP_035917504.1|ASTE, LOC118510906|XP_035909188.1|ASTE, LOC118510904|XP_035909185.1|ASTE, LOC118510896|XP_035909173.1|ASTE, LOC118510903|XP_035909184.1|ASTE, LOC118510901|XP_035909181.1|ASTE, LOC118510902|XP_035909182.1|ASTE, LOC118510905|XP_035909186.1|ASTE, LOC118510907|XP_035909189.1|ASTE	LOC119080135|XP_037044248.1|BCOP
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC119080832|XP_037045287.1|BCOP, LOC119072451|XP_037033568.1|BCOP
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC119070988|XP_037031473.1|BCOP
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC119068357|XP_037027820.1|BCOP, LOC119075751|XP_037038184.1|BCOP, LOC119075743|XP_037038180.1|BCOP
OG0000045	LOC118514603|XP_035917492.1|ASTE, LOC118511567|XP_035910700.1|ASTE, LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE	LOC119080622|XP_037044922.1|BCOP, LOC119077644|XP_037040760.1|BCOP
OG0000045	LOC118509249|XP_035905476.1|ASTE	LOC119072379|XP_037033474.1|BCOP
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC119076406|XP_037039030.1|BCOP, LOC119076447|XP_037039111.1|BCOP
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC119075345|XP_037037670.1|BCOP, LOC119085689|XP_037052030.1|BCOP, LOC119071948|XP_037032968.1|BCOP, LOC119082085|XP_037047341.1|BCOP, LOC119078213|XP_037041568.1|BCOP
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC119075282|XP_037037564.1|BCOP, LOC119084550|XP_037050461.1|BCOP, LOC119084548|XP_037050456.1|BCOP, LOC119077746|XP_037040925.1|BCOP, LOC119068575|XP_037028116.1|BCOP, LOC119080254|XP_037044399.1|BCOP, LOC119070436|XP_037030675.1|BCOP, LOC119068715|XP_037028299.1|BCOP, LOC119072641|XP_037033787.1|BCOP, LOC119073031|XP_037034245.1|BCOP
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC119072494|XP_037033629.1|BCOP
OG0000053	LOC118503349|XP_035892422.1|ASTE, LOC118504346|XP_035894606.1|ASTE	LOC119073487|XP_037034887.1|BCOP, LOC119073485|XP_037034885.1|BCOP
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC119078880|XP_037042497.1|BCOP, LOC119074993|XP_037037290.1|BCOP, LOC119073438|XP_037034817.1|BCOP, LOC119073440|XP_037034823.1|BCOP, LOC119081720|XP_037046756.1|BCOP, LOC119083861|XP_037049555.1|BCOP, LOC119079462|XP_037043284.1|BCOP, LOC119073442|XP_037034826.1|BCOP, LOC119066738|XP_037025254.1|BCOP
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC119075842|XP_037038285.1|BCOP, LOC119069079|XP_037028851.1|BCOP, LOC119070819|XP_037031210.1|BCOP, LOC119077330|XP_037040408.1|BCOP, LOC119083576|XP_037049217.1|BCOP, LOC119072255|XP_037033333.1|BCOP, LOC119080728|XP_037045140.1|BCOP, LOC119073796|XP_037035427.1|BCOP, LOC119076770|XP_037039620.1|BCOP, LOC119078571|XP_037042041.1|BCOP, LOC119080735|XP_037045174.1|BCOP, LOC119084316|XP_037050135.1|BCOP
OG0000057	LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE	LOC119077205|XP_037040283.1|BCOP
OG0000057	LOC118511538|XP_035910630.1|ASTE	LOC119075090|XP_037037375.1|BCOP, LOC119082294|XP_037047663.1|BCOP
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC119080858|XP_037045328.1|BCOP
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC119068417|XP_037027881.1|BCOP
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC119069761|XP_037029789.1|BCOP
OG0000061	LOC118507312|XP_035901588.1|ASTE, LOC118507313|XP_035901589.1|ASTE	LOC119067640|XP_037026635.1|BCOP, LOC119079107|XP_037042821.1|BCOP, LOC119078167|XP_037041537.1|BCOP, LOC119076906|XP_037039818.1|BCOP, LOC119085000|XP_037051067.1|BCOP
OG0000064	LOC118507461|XP_035901847.1|ASTE, LOC118516630|XP_035918499.1|ASTE, LOC118516592|XP_035918448.1|ASTE, LOC118516616|XP_035918482.1|ASTE, LOC118516951|XP_035918675.1|ASTE, LOC118516548|XP_035918387.1|ASTE	LOC119072676|XP_037033846.1|BCOP, LOC119084722|XP_037050692.1|BCOP, LOC119081134|XP_037045774.1|BCOP, LOC119085665|XP_037052008.1|BCOP
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC119084735|XP_037050703.1|BCOP, LOC119072217|XP_037033292.1|BCOP, LOC119085607|XP_037051925.1|BCOP
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC119076438|XP_037039101.1|BCOP
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE	LOC119084165|XP_037049915.1|BCOP
OG0000068	LOC118505785|XP_035897988.1|ASTE	LOC119072059|XP_037033087.1|BCOP, LOC119067027|XP_037025654.1|BCOP
OG0000069	LOC118508847|XP_035904491.1|ASTE	LOC119078630|XP_037042121.1|BCOP, LOC119074566|XP_037036687.1|BCOP, LOC119083287|XP_037048871.1|BCOP
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC119071237|XP_037031965.1|BCOP
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC119066621|XP_037025073.1|BCOP, LOC119075170|XP_037037491.1|BCOP
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE	LOC119077499|XP_037040619.1|BCOP, LOC119080663|XP_037044988.1|BCOP, LOC119072693|XP_037033860.1|BCOP
OG0000071	LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE	LOC119072013|XP_037033026.1|BCOP, LOC119071783|XP_037032737.1|BCOP, LOC119082689|XP_037048157.1|BCOP, LOC119071788|XP_037032744.1|BCOP
OG0000071	LOC118508072|XP_035903428.1|ASTE	LOC119066595|XP_037025045.1|BCOP, LOC119082472|XP_037047886.1|BCOP, LOC119079098|XP_037042811.1|BCOP
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC119072039|XP_037033052.1|BCOP
OG0000073	LOC118505021|XP_035896105.1|ASTE	LOC119070609|XP_037030924.1|BCOP
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC119067527|XP_037026453.1|BCOP
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC119069220|XP_037029092.1|BCOP
OG0000073	LOC118508670|XP_035904399.1|ASTE	LOC119085615|XP_037051934.1|BCOP
OG0000073	LOC118509861|XP_035906969.1|ASTE	LOC119069895|XP_037029990.1|BCOP
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC119079099|XP_037042812.1|BCOP, LOC119067307|XP_037026110.1|BCOP, LOC119080892|XP_037045367.1|BCOP
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC119071813|XP_037032779.1|BCOP
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC119068533|XP_037028044.1|BCOP
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC119082353|XP_037047765.1|BCOP, LOC119082354|XP_037047766.1|BCOP
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC119076378|XP_037038990.1|BCOP
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC119071068|XP_037031598.1|BCOP
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC119069760|XP_037029786.1|BCOP
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC119072413|XP_037033522.1|BCOP
OG0000080	LOC118508108|XP_035903495.1|ASTE, LOC118508106|XP_035903493.1|ASTE	LOC119082209|XP_037047551.1|BCOP, LOC119080227|XP_037044368.1|BCOP
OG0000080	LOC118503106|XP_035891931.1|ASTE	LOC119071114|XP_037031655.1|BCOP
OG0000080	LOC118509536|XP_035906155.1|ASTE	LOC119071117|XP_037031661.1|BCOP
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC119071115|XP_037031659.1|BCOP, LOC119071116|XP_037031660.1|BCOP
OG0000081	LOC118512948|XP_035914060.1|ASTE, LOC118512949|XP_035914061.1|ASTE	LOC119066627|XP_037025085.1|BCOP, LOC119075064|XP_037037353.1|BCOP, LOC119080801|XP_037045266.1|BCOP
OG0000081	LOC118517328|XP_035919201.1|ASTE	LOC119077978|XP_037041256.1|BCOP, LOC119079546|XP_037043429.1|BCOP, LOC119082960|XP_037048502.1|BCOP, LOC119082961|XP_037048503.1|BCOP, LOC119082962|XP_037048504.1|BCOP, LOC119066874|XP_037025443.1|BCOP, LOC119066603|XP_037025061.1|BCOP, LOC119083562|XP_037049185.1|BCOP, LOC119069899|XP_037030006.1|BCOP, LOC119080371|XP_037044567.1|BCOP
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC119071144|XP_037031768.1|BCOP, LOC119066519|XP_037024932.1|BCOP, LOC119084806|XP_037050772.1|BCOP, LOC119077030|XP_037040043.1|BCOP
