Orthogroup	ASTE.longest_only	DBUS.longest_only
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC108603000|XP_017846884.1|DBUS, LOC108596111|XP_017837026.1|DBUS
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC108603521|XP_017847904.1|DBUS
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC108606266|XP_017851714.1|DBUS
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC108599665|XP_017842156.1|DBUS
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC108599199|XP_017841484.1|DBUS
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC108602938|XP_017846769.1|DBUS, LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS, LOC108601285|XP_017844674.1|DBUS, LOC108602937|XP_017846768.1|DBUS, LOC108602931|XP_017846763.1|DBUS, LOC108602936|XP_017846767.1|DBUS, LOC108602933|XP_017846765.1|DBUS, LOC108601284|XP_017844673.1|DBUS
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC108604342|XP_017849258.1|DBUS, LOC108601560|XP_017844947.1|DBUS, LOC108601249|XP_017844637.1|DBUS, LOC108594958|XP_017835581.1|DBUS
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC108607439|XP_017853757.2|DBUS, LOC108603823|XP_017848442.1|DBUS, LOC108604274|XP_033150157.1|DBUS, LOC108603677|XP_033150131.1|DBUS, LOC108607440|XP_017853760.2|DBUS
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC108605475|XP_017850651.1|DBUS
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC108602127|XP_017845643.1|DBUS, LOC108606823|XP_017852795.1|DBUS
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC108595778|XP_017836559.1|DBUS, LOC108599848|XP_017842465.1|DBUS, LOC108599021|XP_017841291.1|DBUS, LOC108599849|XP_017842466.2|DBUS, LOC108599851|XP_017842468.2|DBUS, LOC108597894|XP_033149700.1|DBUS, LOC108597711|XP_017839890.1|DBUS
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC117134624|XP_033150075.1|DBUS, LOC108601632|XP_017845020.1|DBUS, LOC108601651|XP_017845040.1|DBUS, LOC108604301|XP_017849208.1|DBUS, LOC108596143|XP_017837125.1|DBUS, LOC108604433|XP_017849396.1|DBUS, LOC108601245|XP_033150074.1|DBUS, LOC108602727|XP_017846368.1|DBUS, LOC108602726|XP_017846367.1|DBUS, LOC117134644|XP_033150071.1|DBUS
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC108594640|XP_017835273.1|DBUS, LOC108594639|XP_033150985.1|DBUS, LOC108594980|XP_017835602.1|DBUS, LOC117135103|XP_033151001.1|DBUS, LOC108595136|XP_017835788.1|DBUS, LOC108596281|XP_017837347.1|DBUS, LOC108594612|XP_017835244.1|DBUS, LOC108594614|XP_017835247.1|DBUS, LOC108594611|XP_017835243.1|DBUS, LOC108595405|XP_017836123.1|DBUS, LOC108595394|XP_017836112.1|DBUS, LOC108597622|XP_017839754.1|DBUS
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC108607483|XP_017853815.1|DBUS
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC108606994|XP_017853058.1|DBUS, LOC108606996|XP_017853059.2|DBUS, LOC108606997|XP_017853060.1|DBUS, LOC108602219|XP_017845755.1|DBUS
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC108600961|XP_017844639.1|DBUS, LOC108608302|XP_017855118.1|DBUS, LOC108600155|XP_017843044.1|DBUS
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC108598252|XP_017840356.2|DBUS, LOC108599617|XP_017842061.2|DBUS, LOC108598253|XP_017840357.2|DBUS, LOC108598250|XP_017840354.1|DBUS, LOC108597900|XP_017840008.2|DBUS
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC108601292|XP_017844680.1|DBUS, LOC108599285|XP_017841572.1|DBUS
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC108603962|XP_017848657.1|DBUS, LOC108603979|XP_017848698.2|DBUS, LOC108600689|XP_033150743.1|DBUS, LOC108603988|XP_033150741.1|DBUS, LOC108594975|XP_017835600.2|DBUS, LOC108595066|XP_017835705.2|DBUS
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC108604099|XP_017848870.1|DBUS, LOC108601631|XP_017845019.1|DBUS, LOC108601658|XP_017845046.1|DBUS, LOC108603626|XP_017848073.1|DBUS, LOC108603627|XP_017848074.1|DBUS, LOC108601630|XP_017845018.1|DBUS
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC108600656|XP_017843844.2|DBUS, LOC108597722|XP_017839907.2|DBUS, LOC108608325|XP_017855153.2|DBUS, LOC108598696|XP_017840911.1|DBUS, LOC108600688|XP_017843931.2|DBUS, LOC108597047|XP_017838843.1|DBUS
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC108601814|XP_017845240.1|DBUS
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC108604642|XP_017849680.1|DBUS
OG0000036	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE	LOC108607107|XP_017853223.1|DBUS
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC108602024|XP_017845515.1|DBUS, LOC108601648|XP_017845037.1|DBUS, LOC108595584|XP_033149202.1|DBUS, LOC117134663|XP_033148953.1|DBUS, LOC108595142|XP_033148951.1|DBUS
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC108598255|XP_017840359.1|DBUS
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC108599609|XP_017842054.2|DBUS
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC108602969|XP_017846840.2|DBUS, LOC108601491|XP_017844877.1|DBUS
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC108604138|XP_017848936.1|DBUS, LOC117134622|XP_033149982.1|DBUS, LOC108601499|XP_033149903.1|DBUS
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC108602016|XP_033149810.1|DBUS, LOC108602049|XP_017845549.1|DBUS, LOC117134835|XP_033149811.1|DBUS
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC108595113|XP_033148899.1|DBUS, LOC108595086|XP_017835725.1|DBUS, LOC108595112|XP_017835761.1|DBUS, LOC108601150|XP_033149649.1|DBUS, LOC108599569|XP_017841975.1|DBUS, LOC108597760|XP_017839960.1|DBUS
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC108599708|XP_017842194.1|DBUS, LOC108599701|XP_017842186.2|DBUS, LOC108599702|XP_017842187.2|DBUS, LOC108599709|XP_017842195.1|DBUS
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC108604094|XP_017848864.1|DBUS, LOC108604092|XP_017848863.1|DBUS, LOC108602189|XP_017845724.1|DBUS, LOC108602386|XP_017845985.1|DBUS, LOC108601428|XP_017844815.1|DBUS
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC108602122|XP_017845638.1|DBUS, LOC108603519|XP_017847901.1|DBUS, LOC108601326|XP_017844713.1|DBUS
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC108596657|XP_017838132.1|DBUS, LOC108596656|XP_017838131.1|DBUS, LOC108596363|XP_017837514.1|DBUS
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC108604220|XP_017849074.1|DBUS, LOC108604256|XP_033150124.1|DBUS, LOC117134982|XP_033150557.1|DBUS, LOC108601496|XP_033150556.1|DBUS, LOC117134871|XP_033150125.1|DBUS
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC108602318|XP_017845891.1|DBUS, LOC108602326|XP_017845902.1|DBUS, LOC108602376|XP_017845970.1|DBUS, LOC108602375|XP_017845969.1|DBUS, LOC108602521|XP_017846144.1|DBUS
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC108601235|XP_017844623.1|DBUS, LOC108603613|XP_017848051.1|DBUS, LOC108603612|XP_017848050.1|DBUS, LOC108602080|XP_017845593.1|DBUS, LOC108598485|XP_017840632.1|DBUS
OG0000057	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE, LOC118511085|XP_035909661.1|ASTE, LOC118503449|XP_035892612.1|ASTE, LOC118509282|XP_035905552.1|ASTE, LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE	LOC117134803|XP_033149641.1|DBUS
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC108605169|XP_017850528.2|DBUS, LOC108602617|XP_017846245.1|DBUS, LOC108597982|XP_017840088.1|DBUS, LOC108602861|XP_017846639.2|DBUS, LOC108603814|XP_017848423.2|DBUS, LOC117135039|XP_033150759.1|DBUS, LOC108606881|XP_017852895.1|DBUS
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC108605486|XP_017850670.1|DBUS, LOC108605501|XP_017850738.1|DBUS
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC108604124|XP_017848902.1|DBUS
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC108605927|XP_017851236.1|DBUS, LOC108594930|XP_033150017.1|DBUS
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC108606274|XP_017851741.1|DBUS, LOC108607908|XP_017854511.1|DBUS
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC108603517|XP_017847897.1|DBUS, LOC108598960|XP_017841219.2|DBUS
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC108598075|XP_017840177.1|DBUS
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC108596576|XP_017837985.1|DBUS, LOC108604183|XP_017849015.1|DBUS, LOC108604996|XP_017850051.2|DBUS
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC108601128|XP_017844545.1|DBUS, LOC108603861|XP_033149223.1|DBUS, LOC108606170|XP_017851511.2|DBUS, LOC108600264|XP_017843206.1|DBUS, LOC108601682|XP_017845084.1|DBUS
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC108600865|XP_017844159.2|DBUS
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC108599237|XP_017841523.1|DBUS, LOC108599153|XP_017841429.1|DBUS, LOC108599099|XP_017841377.1|DBUS
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC108595719|XP_017836490.1|DBUS, LOC108594812|XP_017835440.1|DBUS, LOC108595671|XP_017836439.1|DBUS
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC108596382|XP_017837542.1|DBUS
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC108606257|XP_017851695.1|DBUS
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC108602957|XP_017846798.1|DBUS
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC108600842|XP_033149439.1|DBUS, LOC108600601|XP_017843769.2|DBUS
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC108600032|XP_017842842.1|DBUS
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC108607277|XP_017853461.1|DBUS
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC108596705|XP_017838216.1|DBUS
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC108603705|XP_017848234.1|DBUS
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC108597238|XP_017839176.1|DBUS
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC108603566|XP_017847972.1|DBUS
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC108595297|XP_017835998.1|DBUS, LOC108595427|XP_017836144.1|DBUS, LOC108595437|XP_017836156.1|DBUS, LOC108598842|XP_017841085.1|DBUS, LOC108602138|XP_017845655.1|DBUS, LOC108607118|XP_017853240.1|DBUS, LOC108607224|XP_017853386.1|DBUS
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC108597403|XP_017839438.1|DBUS, LOC108596751|XP_017838316.1|DBUS
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC108594984|XP_017835606.1|DBUS, LOC108601638|XP_017845027.1|DBUS, LOC108602837|XP_017846578.1|DBUS
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC108598442|XP_017840564.2|DBUS, LOC108608236|XP_017855013.1|DBUS
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC108596367|XP_017837520.1|DBUS
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC108596833|XP_017838444.1|DBUS
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC108597194|XP_017839111.1|DBUS
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC108595905|XP_017836685.1|DBUS, LOC108595913|XP_033149146.1|DBUS
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC108602830|XP_017846606.2|DBUS
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC108596419|XP_017837625.1|DBUS
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC108603673|XP_017848160.1|DBUS
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC108599916|XP_017842604.1|DBUS
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC108596533|XP_017837911.1|DBUS, LOC108595000|XP_017835621.1|DBUS, LOC108598990|XP_017841255.1|DBUS, LOC108599322|XP_017841614.1|DBUS, LOC108598575|XP_017840751.1|DBUS
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC108603501|XP_017847855.1|DBUS
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC108594365|XP_017835015.1|DBUS, LOC108603403|XP_017847679.1|DBUS, LOC108603402|XP_017847678.1|DBUS
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC108607545|XP_017853920.1|DBUS, LOC108603101|XP_033150841.1|DBUS
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC108598080|XP_017840183.1|DBUS, LOC108598081|XP_017840184.1|DBUS, LOC108598079|XP_017840182.1|DBUS, LOC108601416|XP_017844804.1|DBUS
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC108604818|XP_017849916.1|DBUS, LOC108604817|XP_017849915.2|DBUS, LOC108598852|XP_017841102.2|DBUS
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC108602947|XP_017846786.1|DBUS
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC108606666|XP_017852484.1|DBUS
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC108600820|XP_017844099.2|DBUS, LOC108597898|XP_017840006.1|DBUS, LOC108597897|XP_017840005.1|DBUS, LOC117134769|XP_033149322.1|DBUS, LOC108597899|XP_017840007.1|DBUS, LOC117134798|XP_033149601.1|DBUS
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC108596624|XP_017838058.1|DBUS
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC108594981|XP_017835603.1|DBUS
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC108598786|XP_017841018.2|DBUS, LOC108598520|XP_017840689.2|DBUS, LOC108596814|XP_017838418.1|DBUS
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC117134791|XP_033149540.1|DBUS, LOC108601437|XP_017844824.1|DBUS
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC117134977|XP_033150551.1|DBUS, LOC108598607|XP_017840795.2|DBUS, LOC108598038|XP_017840145.2|DBUS, LOC108600736|XP_017843970.1|DBUS, LOC108595519|XP_017836262.1|DBUS, LOC117134678|XP_033149022.1|DBUS
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC108594532|XP_017835224.1|DBUS
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC108598653|XP_033149257.1|DBUS
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC108597992|XP_017840097.1|DBUS, LOC108598723|XP_017840942.1|DBUS, LOC108597993|XP_017840098.1|DBUS, LOC108597995|XP_033149356.1|DBUS, LOC108598479|XP_017840618.1|DBUS
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC108595291|XP_017835993.1|DBUS, LOC108595741|XP_017836516.1|DBUS
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC108605061|XP_017850117.1|DBUS, LOC108605050|XP_017850107.1|DBUS, LOC108606017|XP_017851332.1|DBUS, LOC108605875|XP_017851177.1|DBUS, LOC108606748|XP_017852636.1|DBUS
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC108604575|XP_017849595.1|DBUS, LOC108600652|XP_017843838.2|DBUS
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC108607383|XP_017853614.2|DBUS
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC108602137|XP_017845657.1|DBUS, LOC108603069|XP_017847020.1|DBUS, LOC108603222|XP_017845754.1|DBUS, LOC108603273|XP_033150795.1|DBUS
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC108606418|XP_017852007.1|DBUS, LOC108606874|XP_017852886.1|DBUS, LOC108601705|XP_017845108.1|DBUS
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC108604291|XP_017849192.1|DBUS, LOC108602574|XP_017846201.1|DBUS, LOC108602566|XP_017846189.1|DBUS
