Orthogroup	ASTE.longest_only	DHYD.longest_only
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC111593360|XP_023161841.1|DHYD, LOC111601414|XP_023173744.1|DHYD, LOC111604024|XP_023177648.1|DHYD
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC111595585|XP_023165164.2|DHYD, LOC111596894|XP_023167111.1|DHYD, LOC115482988|XP_030079478.1|DHYD, LOC111596890|XP_023167108.1|DHYD, LOC115482998|XP_030079514.1|DHYD, LOC115482986|XP_030079472.1|DHYD, LOC111598207|XP_023169112.1|DHYD, LOC115482989|XP_030079480.1|DHYD, LOC115482999|XP_030079515.1|DHYD, LOC111596891|XP_023167109.2|DHYD, LOC111596893|XP_023167110.1|DHYD, LOC115482990|XP_030079481.1|DHYD, LOC111601208|XP_030081929.1|DHYD
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC111602788|XP_023175829.2|DHYD, LOC111602703|XP_023175706.2|DHYD, LOC111602748|XP_023175768.2|DHYD, LOC111600543|XP_023172455.2|DHYD, LOC111602765|XP_023175792.2|DHYD, LOC111602764|XP_023175791.1|DHYD, LOC111602801|XP_023175861.1|DHYD, LOC111602761|XP_023175787.2|DHYD, LOC111602800|XP_023175857.2|DHYD
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC115482764|XP_030078553.1|DHYD, LOC111592147|XP_023159962.2|DHYD, LOC111592141|XP_023159955.2|DHYD, LOC111594287|XP_023163300.2|DHYD, LOC111594285|XP_023163297.1|DHYD, LOC111592145|XP_023159959.2|DHYD, LOC111598026|XP_023168817.2|DHYD, LOC111599681|XP_023171155.2|DHYD
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC111599384|XP_023170789.1|DHYD
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC115483232|XP_030080436.1|DHYD, LOC115482866|XP_030078976.1|DHYD
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC111596716|XP_023166806.2|DHYD, LOC115482855|XP_030078964.1|DHYD, LOC111602869|XP_023175962.1|DHYD, LOC111602647|XP_023175583.2|DHYD
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC111599153|XP_023170492.2|DHYD, LOC111595849|XP_023165527.1|DHYD, LOC111599119|XP_023170448.2|DHYD
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC111605093|XP_030081794.1|DHYD, LOC111605104|XP_030081807.1|DHYD, LOC111605074|XP_023179176.1|DHYD, LOC111605073|XP_030081295.1|DHYD, LOC111605106|XP_023179215.2|DHYD, LOC111605107|XP_023179216.2|DHYD
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC111600747|XP_023172794.1|DHYD, LOC111604160|XP_023177856.2|DHYD, LOC111604075|XP_023177725.2|DHYD, LOC111599253|XP_023170620.2|DHYD
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC111596192|XP_023166065.2|DHYD, LOC115483322|XP_030080566.1|DHYD, LOC111596193|XP_030080567.1|DHYD
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC111599037|XP_023170323.1|DHYD, LOC111598628|XP_023169740.2|DHYD, LOC111599021|XP_023170312.2|DHYD, LOC111598594|XP_023169681.2|DHYD, LOC111598586|XP_023169670.2|DHYD, LOC111598885|XP_023170120.2|DHYD
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC111602472|XP_023175302.2|DHYD, LOC111602462|XP_023175290.2|DHYD, LOC111602201|XP_023174938.2|DHYD, LOC111602303|XP_023175072.2|DHYD
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC111602683|XP_023175671.1|DHYD
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC111602776|XP_023175811.1|DHYD
OG0000036	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE	LOC111605324|XP_023179557.2|DHYD
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC111604322|XP_030081296.1|DHYD, LOC111601750|XP_023174255.2|DHYD, LOC111599598|XP_023171051.2|DHYD, LOC111592218|XP_023160061.2|DHYD
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC111605099|XP_023179209.2|DHYD
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC111605094|XP_023179201.2|DHYD
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC111599549|XP_023170981.2|DHYD
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC111597538|XP_023168095.2|DHYD, LOC111604813|XP_023178802.2|DHYD, LOC111604814|XP_023178803.2|DHYD, LOC111598483|XP_023169509.2|DHYD, LOC111597534|XP_023168080.2|DHYD, LOC111597523|XP_023168066.2|DHYD, LOC111604864|XP_023178867.2|DHYD, LOC111604904|XP_023178911.2|DHYD, LOC111604851|XP_023178852.2|DHYD
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC111600254|XP_023172067.2|DHYD, LOC115483172|XP_030080193.1|DHYD, LOC111600264|XP_023172080.2|DHYD, LOC111600256|XP_023172069.2|DHYD, LOC111600253|XP_023172066.2|DHYD
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC111596622|XP_023166677.1|DHYD, LOC111594123|XP_023163050.2|DHYD, LOC111595469|XP_023165002.1|DHYD, LOC111595525|XP_023165074.2|DHYD
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC111604700|XP_023178641.1|DHYD, LOC111604676|XP_023178606.1|DHYD, LOC111604701|XP_023178642.1|DHYD
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC111594543|XP_023163663.2|DHYD, LOC111594529|XP_023163631.2|DHYD, LOC111594475|XP_023163544.1|DHYD, LOC111594476|XP_023163545.2|DHYD, LOC111594581|XP_023163706.2|DHYD
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC111604842|XP_023178842.2|DHYD, LOC115482777|XP_030078620.1|DHYD, LOC115482800|XP_030078769.1|DHYD, LOC115482799|XP_030078766.1|DHYD, LOC111598254|XP_023169188.2|DHYD
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC111602599|XP_023175526.2|DHYD, LOC111602600|XP_023175527.2|DHYD, LOC111596382|XP_023166356.2|DHYD
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC111604826|XP_023178817.2|DHYD, LOC111593322|XP_023161796.2|DHYD, LOC111604856|XP_023178857.2|DHYD
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC111603258|XP_023176533.1|DHYD, LOC111603253|XP_023176529.1|DHYD, LOC111603262|XP_023176542.2|DHYD, LOC111603257|XP_023176532.1|DHYD, LOC111603272|XP_023176553.1|DHYD
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC111599614|XP_023171073.2|DHYD, LOC111599611|XP_023171068.2|DHYD, LOC111599619|XP_023171079.2|DHYD, LOC111599613|XP_023171070.2|DHYD, LOC111600558|XP_023172478.1|DHYD
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC111602372|XP_023175155.1|DHYD, LOC111602373|XP_023175156.2|DHYD, LOC111602375|XP_023175159.2|DHYD, LOC111602371|XP_023175154.1|DHYD, LOC111602374|XP_023175158.2|DHYD, LOC111591894|XP_023159568.1|DHYD
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC111605127|XP_023179254.1|DHYD, LOC111605118|XP_023179239.1|DHYD
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC111597837|XP_023168500.1|DHYD
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC111598840|XP_023170044.1|DHYD, LOC111596076|XP_023165902.2|DHYD
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC111598288|XP_023169239.1|DHYD, LOC111600181|XP_023171951.1|DHYD, LOC111596290|XP_030080523.1|DHYD
OG0000064	LOC118503143|XP_035892009.1|ASTE	LOC111599354|XP_023170752.2|DHYD
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC111603515|XP_023176907.2|DHYD, LOC111593087|XP_023161450.1|DHYD
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC111601094|XP_023173298.2|DHYD
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC111593542|XP_023162133.2|DHYD, LOC111598177|XP_023169045.2|DHYD
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC111602191|XP_023174921.2|DHYD, LOC111591972|XP_023159687.1|DHYD, LOC111602192|XP_023174922.2|DHYD, LOC111602194|XP_023174924.2|DHYD
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC111599791|XP_030081795.1|DHYD
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC111604605|XP_023178486.1|DHYD, LOC111594128|XP_023163054.2|DHYD, LOC111594127|XP_023163053.2|DHYD
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC111595450|XP_023164945.1|DHYD
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC111597481|XP_023168396.1|DHYD
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC111602674|XP_023175635.2|DHYD
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC111596936|XP_023167155.1|DHYD, LOC111596937|XP_023167156.2|DHYD, LOC111601089|XP_023173284.2|DHYD
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC111599682|XP_023171158.1|DHYD
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC111600172|XP_023171933.1|DHYD
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC111599997|XP_023171665.1|DHYD
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC111595708|XP_023165321.1|DHYD
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC111599697|XP_023171187.1|DHYD
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC111592482|XP_023160465.1|DHYD
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC111593533|XP_023162105.1|DHYD, LOC111593319|XP_023161795.1|DHYD, LOC111604289|XP_023178073.2|DHYD, LOC111603428|XP_023176780.2|DHYD, LOC111603133|XP_023176376.1|DHYD, LOC111596540|XP_023166579.2|DHYD
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC111600911|XP_023173040.2|DHYD, LOC111592557|XP_023160621.1|DHYD
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC111600682|XP_023172704.2|DHYD, LOC111595221|XP_023164604.2|DHYD, LOC111595651|XP_023165246.2|DHYD
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC111605744|XP_023180216.2|DHYD, LOC111592658|XP_030079136.1|DHYD
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC111604038|XP_023177666.2|DHYD
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC111594007|XP_023162872.2|DHYD
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC111604178|XP_023177892.1|DHYD
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC115483460|XP_030081395.1|DHYD, LOC111602150|XP_030081396.1|DHYD
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC111598477|XP_023169504.1|DHYD
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC111592149|XP_023159964.1|DHYD
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC111603588|XP_023177012.1|DHYD
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC111603721|XP_023177200.1|DHYD
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC111592171|XP_023159993.2|DHYD, LOC111592119|XP_023159918.2|DHYD, LOC111592435|XP_023160386.1|DHYD, LOC111593119|XP_030080405.1|DHYD, LOC111598762|XP_023169942.2|DHYD
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC111601403|XP_023173720.2|DHYD
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC111599470|XP_023170907.2|DHYD, LOC111592942|XP_023161174.1|DHYD, LOC111592941|XP_023161173.1|DHYD
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC111601939|XP_023174562.2|DHYD
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC111597580|XP_023168146.2|DHYD, LOC111599491|XP_023170925.1|DHYD
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC111595909|XP_023165620.2|DHYD, LOC111595917|XP_023165636.1|DHYD, LOC111595908|XP_023165619.2|DHYD, LOC111594349|XP_023163377.2|DHYD
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC111596482|XP_023166511.1|DHYD
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC115483034|XP_030079680.1|DHYD, LOC111605619|XP_030079681.1|DHYD, LOC111596155|XP_023166055.2|DHYD
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC111605102|XP_023179212.1|DHYD, LOC115483448|XP_030081298.1|DHYD, LOC111605109|XP_030081823.1|DHYD
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC111597672|XP_023168266.1|DHYD
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC111597731|XP_023168344.2|DHYD
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC111601118|XP_023173340.1|DHYD, LOC111601119|XP_023173341.2|DHYD, LOC111601117|XP_023173339.2|DHYD, LOC111605234|XP_023179437.1|DHYD
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC111603935|XP_023177532.2|DHYD, LOC111597551|XP_023168115.2|DHYD, LOC111598625|XP_023169726.2|DHYD, LOC111597554|XP_023168119.2|DHYD
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC111600828|XP_023172903.2|DHYD
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC111601162|XP_023173410.2|DHYD, LOC111601018|XP_023173193.2|DHYD
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC111602899|XP_030081123.1|DHYD, LOC111602896|XP_023176001.2|DHYD, LOC111602908|XP_030081181.1|DHYD, LOC111602891|XP_023175994.1|DHYD
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC111593853|XP_023162670.1|DHYD, LOC111592679|XP_023160814.1|DHYD, LOC111594826|XP_023164062.1|DHYD
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC111605329|XP_023179566.2|DHYD, LOC111605332|XP_023179568.2|DHYD, LOC111603144|XP_023176388.1|DHYD, LOC111603201|XP_023176458.2|DHYD
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC111599912|XP_023171509.1|DHYD, LOC111604401|XP_023178220.2|DHYD, LOC111603366|XP_023176683.2|DHYD, LOC111604045|XP_023177669.1|DHYD
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC111603785|XP_023177294.1|DHYD
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC111600402|XP_023172250.2|DHYD, LOC111600404|XP_023172253.2|DHYD, LOC111600405|XP_023172254.1|DHYD, LOC111600409|XP_023172258.2|DHYD
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC111602186|XP_023174913.2|DHYD, LOC111602185|XP_023174912.2|DHYD, LOC111602611|XP_023175538.2|DHYD
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC111594626|XP_023163785.1|DHYD, LOC111594598|XP_023163731.1|DHYD, LOC111594582|XP_023163708.1|DHYD
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC111604779|XP_023178762.1|DHYD
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC111600604|XP_023172567.2|DHYD
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC111596987|XP_023167243.2|DHYD, LOC111596993|XP_023167257.2|DHYD, LOC111603179|XP_023176430.1|DHYD, LOC111597218|XP_030080606.1|DHYD, LOC111597213|XP_023167555.2|DHYD, LOC111597090|XP_023167398.1|DHYD
OG0000122	LOC118502484|XP_035890608.1|ASTE	LOC111594761|XP_023163978.2|DHYD, LOC111601844|XP_023174446.2|DHYD, LOC111604606|XP_023178487.1|DHYD, LOC111602177|XP_030079238.1|DHYD
OG0000123	LOC118506463|XP_035899530.1|ASTE	LOC111604152|XP_023177844.1|DHYD, LOC111604143|XP_023177833.1|DHYD, LOC115482780|XP_030078625.1|DHYD, LOC111592387|XP_023160330.2|DHYD
OG0000125	LOC118502975|XP_035891640.1|ASTE	LOC111598816|XP_023170014.1|DHYD
OG0000125	LOC118511794|XP_035911255.1|ASTE	LOC111596553|XP_023166598.2|DHYD
OG0000126	LOC118510666|XP_035908699.1|ASTE	LOC111600358|XP_023172204.2|DHYD, LOC111598993|XP_023170265.1|DHYD
OG0000127	LOC118506630|XP_035899894.1|ASTE, LOC118506629|XP_035899892.1|ASTE	LOC111602713|XP_023175721.1|DHYD, LOC111602743|XP_023175763.2|DHYD, LOC111602747|XP_023175766.2|DHYD
