Orthogroup	ASTE.longest_only	HILL.longest_only
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC119655345|XP_037917122.1|HILL
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC119659716|XP_037923899.1|HILL
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC119657471|XP_037920318.1|HILL
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC119659313|XP_037923259.1|HILL
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC119646467|XP_037902844.1|HILL
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC119654963|XP_037916552.1|HILL
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC119648925|XP_037906759.1|HILL, LOC119650136|XP_037908596.1|HILL, LOC119647978|XP_037905279.1|HILL, LOC119647977|XP_037905278.1|HILL, LOC119648854|XP_037906659.1|HILL, LOC119650137|XP_037908597.1|HILL, LOC119647979|XP_037905280.1|HILL, LOC119648778|XP_037906540.1|HILL
OG0000018	LOC118513028|XP_035914198.1|ASTE, LOC118513025|XP_035914195.1|ASTE, LOC118513023|XP_035914193.1|ASTE, LOC118513026|XP_035914196.1|ASTE	LOC119647980|XP_037905281.1|HILL
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC119654033|XP_037915123.1|HILL, LOC119654859|XP_037916372.1|HILL, LOC119654034|XP_037915124.1|HILL, LOC119661618|XP_037926966.1|HILL, LOC119661617|XP_037926965.1|HILL, LOC119646354|XP_037902719.1|HILL, LOC119659616|XP_037923723.1|HILL, LOC119646486|XP_037902875.1|HILL, LOC119661575|XP_037926902.1|HILL, LOC119661620|XP_037926968.1|HILL, LOC119661546|XP_037926859.1|HILL, LOC119661468|XP_037926759.1|HILL, LOC119646495|XP_037902881.1|HILL, LOC119646478|XP_037902863.1|HILL, LOC119646838|XP_037903383.1|HILL, LOC119647060|XP_037903745.1|HILL, LOC119654607|XP_037916010.1|HILL, LOC119646349|XP_037902711.1|HILL, LOC119654616|XP_037916020.1|HILL, LOC119646454|XP_037902833.1|HILL, LOC119646730|XP_037903239.1|HILL, LOC119646355|XP_037902720.1|HILL, LOC119661465|XP_037926754.1|HILL
OG0000020	LOC118502378|XP_035890492.1|ASTE	LOC119651122|XP_037910425.1|HILL
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC119651336|XP_037910813.1|HILL, LOC119651303|XP_037910757.1|HILL, LOC119652529|XP_037912658.1|HILL, LOC119651721|XP_037911371.1|HILL, LOC119651403|XP_037910918.1|HILL, LOC119653137|XP_037913596.1|HILL, LOC119652736|XP_037912961.1|HILL
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC119659545|XP_037923619.1|HILL, LOC119659308|XP_037923249.1|HILL, LOC119659346|XP_037923319.1|HILL, LOC119659002|XP_037922815.1|HILL, LOC119659171|XP_037923052.1|HILL
OG0000020	LOC118507693|XP_035902420.1|ASTE	LOC119660596|XP_037925199.1|HILL, LOC119658980|XP_037922789.1|HILL, LOC119660336|XP_037924749.1|HILL, LOC119658567|XP_037921939.1|HILL, LOC119659760|XP_037923950.1|HILL
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC119653674|XP_037914437.1|HILL
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC119660522|XP_037925071.1|HILL
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC119654918|XP_037916493.1|HILL, LOC119654411|XP_037915727.1|HILL, LOC119654410|XP_037915726.1|HILL, LOC119655011|XP_037916609.1|HILL, LOC119654650|XP_037916066.1|HILL, LOC119655010|XP_037916608.1|HILL, LOC119655009|XP_037916606.1|HILL, LOC119654865|XP_037916382.1|HILL, LOC119654544|XP_037915916.1|HILL, LOC119654625|XP_037916025.1|HILL, LOC119654694|XP_037916134.1|HILL
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC119661138|XP_037926268.1|HILL, LOC119658877|XP_037922580.1|HILL, LOC119655185|XP_037916880.1|HILL
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC119654740|XP_037916199.1|HILL, LOC119654589|XP_037915978.1|HILL, LOC119653787|XP_037914718.1|HILL, LOC119654139|XP_037915231.1|HILL, LOC119653784|XP_037914715.1|HILL, LOC119654445|XP_037915776.1|HILL, LOC119654444|XP_037915774.1|HILL, LOC119655713|XP_037917674.1|HILL, LOC119654748|XP_037916207.1|HILL, LOC119654745|XP_037916204.1|HILL, LOC119655810|XP_037917839.1|HILL, LOC119656096|XP_037918334.1|HILL, LOC119654140|XP_037915232.1|HILL, LOC119654750|XP_037916208.1|HILL, LOC119654746|XP_037916205.1|HILL, LOC119654741|XP_037916200.1|HILL, LOC119654744|XP_037916203.1|HILL, LOC119654743|XP_037916202.1|HILL, LOC119654747|XP_037916206.1|HILL, LOC119654742|XP_037916201.1|HILL, LOC119655586|XP_037917457.1|HILL, LOC119655861|XP_037917909.1|HILL, LOC119656010|XP_037918186.1|HILL, LOC119654739|XP_037916198.1|HILL, LOC119648405|XP_037906082.1|HILL, LOC119654738|XP_037916197.1|HILL
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC119656929|XP_037919551.1|HILL
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC119651317|XP_037910776.1|HILL, LOC119654936|XP_037916517.1|HILL
OG0000027	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE, LOC118514316|XP_035916993.1|ASTE, LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE	LOC119661591|XP_037926922.1|HILL
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC119648054|XP_037905487.1|HILL, LOC119659272|XP_037923208.1|HILL, LOC119659409|XP_037923414.1|HILL, LOC119648000|XP_037905353.1|HILL, LOC119657718|XP_037920693.1|HILL, LOC119647038|XP_037903710.1|HILL, LOC119659889|XP_037924142.1|HILL, LOC119647037|XP_037903709.1|HILL, LOC119659553|XP_037923634.1|HILL, LOC119647938|XP_037905260.1|HILL, LOC119648119|XP_037905611.1|HILL, LOC119648182|XP_037905736.1|HILL, LOC119648251|XP_037905862.1|HILL, LOC119661183|XP_037926329.1|HILL, LOC119661007|XP_037926070.1|HILL, LOC119661237|XP_037926394.1|HILL, LOC119661221|XP_037926374.1|HILL, LOC119661232|XP_037926389.1|HILL, LOC119646128|XP_037902406.1|HILL, LOC119660291|XP_037924694.1|HILL, LOC119661196|XP_037926346.1|HILL, LOC119661307|XP_037926527.1|HILL, LOC119657041|XP_037919726.1|HILL, LOC119661547|XP_037926860.1|HILL, LOC119661024|XP_037926109.1|HILL, LOC119661224|XP_037926378.1|HILL
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC119657461|XP_037920305.1|HILL, LOC119649301|XP_037907325.1|HILL, LOC119649056|XP_037906965.1|HILL, LOC119649153|XP_037907092.1|HILL, LOC119649194|XP_037907158.1|HILL, LOC119650166|XP_037908640.1|HILL, LOC119650165|XP_037908639.1|HILL, LOC119650164|XP_037908638.1|HILL
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC119655907|XP_037917996.1|HILL, LOC119649793|XP_037908026.1|HILL, LOC119649788|XP_037908023.1|HILL, LOC119649792|XP_037908025.1|HILL, LOC119649789|XP_037908024.1|HILL, LOC119649787|XP_037908020.1|HILL
OG0000031	LOC118503626|XP_035893008.1|ASTE, LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC119654438|XP_037915765.1|HILL
OG0000031	LOC118503404|XP_035892502.1|ASTE, LOC118503633|XP_035893023.1|ASTE, LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE	LOC119654273|XP_037915473.1|HILL, LOC119654142|XP_037915234.1|HILL
OG0000031	LOC118503636|XP_035893027.1|ASTE	LOC119655985|XP_037918151.1|HILL
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC119651266|XP_037910695.1|HILL, LOC119650963|XP_037910145.1|HILL, LOC119651265|XP_037910694.1|HILL
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC119650142|XP_037908607.1|HILL, LOC119661741|XP_037927134.1|HILL, LOC119661157|XP_037926297.1|HILL, LOC119650123|XP_037908580.1|HILL, LOC119655065|XP_037916718.1|HILL, LOC119650150|XP_037908619.1|HILL, LOC119661231|XP_037926387.1|HILL, LOC119650155|XP_037908632.1|HILL, LOC119646378|XP_037902744.1|HILL, LOC119654563|XP_037915939.1|HILL, LOC119655089|XP_037916716.1|HILL, LOC119655088|XP_037916715.1|HILL, LOC119653928|XP_037915016.1|HILL, LOC119655873|XP_037917931.1|HILL, LOC119655670|XP_037917586.1|HILL
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC119652944|XP_037913262.1|HILL, LOC119650836|XP_037909905.1|HILL
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC119652948|XP_037913267.1|HILL, LOC119651663|XP_037911279.1|HILL, LOC119650637|XP_037909485.1|HILL, LOC119653054|XP_037913458.1|HILL, LOC119650635|XP_037909483.1|HILL
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC119651766|XP_037911437.1|HILL, LOC119646812|XP_037903341.1|HILL, LOC119651775|XP_037911460.1|HILL, LOC119655958|XP_037918122.1|HILL, LOC119658451|XP_037921784.1|HILL, LOC119651204|XP_037910577.1|HILL, LOC119646220|XP_037902534.1|HILL, LOC119651193|XP_037910565.1|HILL, LOC119658129|XP_037921325.1|HILL, LOC119655954|XP_037918098.1|HILL, LOC119661525|XP_037926829.1|HILL, LOC119657138|XP_037919838.1|HILL, LOC119657136|XP_037919836.1|HILL, LOC119657137|XP_037919837.1|HILL, LOC119658079|XP_037921268.1|HILL, LOC119658432|XP_037921760.1|HILL, LOC119658363|XP_037921651.1|HILL, LOC119658372|XP_037921661.1|HILL, LOC119658423|XP_037921747.1|HILL, LOC119661114|XP_037926238.1|HILL
OG0000038	LOC118510894|XP_035909171.1|ASTE, LOC118510898|XP_035909176.1|ASTE, LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE, LOC118510900|XP_035909180.1|ASTE, LOC118510895|XP_035909172.1|ASTE, LOC118514610|XP_035917498.1|ASTE, LOC118514613|XP_035917504.1|ASTE, LOC118510906|XP_035909188.1|ASTE, LOC118510904|XP_035909185.1|ASTE, LOC118510896|XP_035909173.1|ASTE, LOC118510903|XP_035909184.1|ASTE, LOC118510901|XP_035909181.1|ASTE, LOC118510902|XP_035909182.1|ASTE, LOC118510905|XP_035909186.1|ASTE, LOC118510907|XP_035909189.1|ASTE	LOC119648832|XP_037906622.1|HILL
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC119659608|XP_037923707.1|HILL, LOC119659449|XP_037923462.1|HILL, LOC119655261|XP_037916985.1|HILL, LOC119650447|XP_037909230.1|HILL, LOC119650448|XP_037909231.1|HILL, LOC119650446|XP_037909229.1|HILL, LOC119650452|XP_037909234.1|HILL, LOC119650455|XP_037909238.1|HILL, LOC119650454|XP_037909236.1|HILL, LOC119650450|XP_037909233.1|HILL, LOC119650453|XP_037909235.1|HILL, LOC119650449|XP_037909232.1|HILL, LOC119657616|XP_037920546.1|HILL
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC119659353|XP_037923329.1|HILL, LOC119659777|XP_037923970.1|HILL, LOC119660093|XP_037924398.1|HILL, LOC119660095|XP_037924400.1|HILL, LOC119659247|XP_037923154.1|HILL, LOC119660439|XP_037924917.1|HILL, LOC119660401|XP_037924864.1|HILL, LOC119659593|XP_037923682.1|HILL, LOC119659707|XP_037923888.1|HILL, LOC119659708|XP_037923889.1|HILL, LOC119660338|XP_037924752.1|HILL, LOC119660351|XP_037924777.1|HILL, LOC119659490|XP_037923535.1|HILL, LOC119660092|XP_037924396.1|HILL, LOC119658615|XP_037922036.1|HILL, LOC119658617|XP_037922038.1|HILL, LOC119658616|XP_037922037.1|HILL, LOC119658620|XP_037922040.1|HILL, LOC119658618|XP_037922039.1|HILL, LOC119659294|XP_037923234.1|HILL, LOC119660444|XP_037924925.1|HILL
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC119661410|XP_037926672.1|HILL, LOC119646955|XP_037903579.1|HILL, LOC119647761|XP_037904808.1|HILL
OG0000045	LOC118514603|XP_035917492.1|ASTE, LOC118511567|XP_035910700.1|ASTE, LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE	LOC119657274|XP_037920041.1|HILL, LOC119657222|XP_037919961.1|HILL, LOC119657230|XP_037919970.1|HILL, LOC119649967|XP_037908331.1|HILL, LOC119648359|XP_037906001.1|HILL, LOC119657252|XP_037920000.1|HILL, LOC119657225|XP_037919965.1|HILL, LOC119657271|XP_037920035.1|HILL, LOC119658071|XP_037921258.1|HILL, LOC119658072|XP_037921259.1|HILL, LOC119657244|XP_037919986.1|HILL, LOC119657231|XP_037919971.1|HILL, LOC119658339|XP_037921615.1|HILL, LOC119657400|XP_037920219.1|HILL, LOC119658100|XP_037921293.1|HILL, LOC119657316|XP_037920103.1|HILL, LOC119657162|XP_037919873.1|HILL, LOC119657298|XP_037920072.1|HILL, LOC119657182|XP_037919900.1|HILL, LOC119657112|XP_037919800.1|HILL, LOC119657283|XP_037920054.1|HILL, LOC119657454|XP_037920296.1|HILL, LOC119648833|XP_037906623.1|HILL, LOC119660868|XP_037925709.1|HILL, LOC119657527|XP_037920398.1|HILL
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC119654474|XP_037915820.1|HILL
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC119649215|XP_037907201.1|HILL, LOC119648777|XP_037906539.1|HILL, LOC119648574|XP_037906272.1|HILL, LOC119648995|XP_037906854.1|HILL
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC119649048|XP_037906954.1|HILL
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC119653560|XP_037914200.1|HILL, LOC119653563|XP_037914204.1|HILL, LOC119653562|XP_037914203.1|HILL, LOC119654734|XP_037916193.1|HILL, LOC119654136|XP_037915227.1|HILL
OG0000053	LOC118503349|XP_035892422.1|ASTE, LOC118504346|XP_035894606.1|ASTE, LOC118509004|XP_035904911.1|ASTE	LOC119653556|XP_037914198.1|HILL, LOC119653555|XP_037914196.1|HILL, LOC119653557|XP_037914199.1|HILL, LOC119653554|XP_037914193.1|HILL, LOC119653561|XP_037914201.1|HILL, LOC119661089|XP_037926206.1|HILL
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC119651539|XP_037911103.1|HILL, LOC119647240|XP_037904031.1|HILL, LOC119646436|XP_037902814.1|HILL
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC119656617|XP_037918985.1|HILL, LOC119656621|XP_037918989.1|HILL, LOC119656625|XP_037918992.1|HILL, LOC119656624|XP_037918991.1|HILL, LOC119657650|XP_037920591.1|HILL, LOC119658397|XP_037921714.1|HILL, LOC119657830|XP_037920876.1|HILL, LOC119657341|XP_037920141.1|HILL, LOC119658396|XP_037921713.1|HILL, LOC119658395|XP_037921712.1|HILL, LOC119658402|XP_037921719.1|HILL, LOC119658401|XP_037921717.1|HILL, LOC119658400|XP_037921716.1|HILL, LOC119657997|XP_037921144.1|HILL, LOC119658399|XP_037921715.1|HILL, LOC119657589|XP_037920496.1|HILL, LOC119656633|XP_037919001.1|HILL, LOC119656634|XP_037919002.1|HILL, LOC119656626|XP_037918994.1|HILL, LOC119656628|XP_037918996.1|HILL, LOC119656629|XP_037918997.1|HILL, LOC119656620|XP_037918988.1|HILL, LOC119656631|XP_037918999.1|HILL, LOC119656627|XP_037918995.1|HILL, LOC119656635|XP_037919003.1|HILL, LOC119656623|XP_037918990.1|HILL, LOC119656630|XP_037918998.1|HILL, LOC119656618|XP_037918986.1|HILL, LOC119656616|XP_037918984.1|HILL, LOC119656619|XP_037918987.1|HILL, LOC119657342|XP_037920142.1|HILL, LOC119653270|XP_037913820.1|HILL, LOC119657823|XP_037920865.1|HILL, LOC119661210|XP_037926361.1|HILL, LOC119657773|XP_037920771.1|HILL
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC119658059|XP_037921239.1|HILL, LOC119658058|XP_037921238.1|HILL
OG0000057	LOC118514020|XP_035916389.1|ASTE, LOC118506375|XP_035899336.1|ASTE, LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE, LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE, LOC118511085|XP_035909661.1|ASTE, LOC118503449|XP_035892612.1|ASTE, LOC118509282|XP_035905552.1|ASTE, LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE, LOC118511538|XP_035910630.1|ASTE	LOC119646294|XP_037902637.1|HILL, LOC119647296|XP_037904131.1|HILL, LOC119659127|XP_037922980.1|HILL, LOC119659111|XP_037922961.1|HILL, LOC119654157|XP_037915248.1|HILL, LOC119659103|XP_037922953.1|HILL, LOC119656964|XP_037919611.1|HILL, LOC119656229|XP_037918561.1|HILL, LOC119646391|XP_037902763.1|HILL, LOC119654107|XP_037915198.1|HILL, LOC119656970|XP_037919626.1|HILL, LOC119647729|XP_037904758.1|HILL, LOC119652187|XP_037912059.1|HILL, LOC119660088|XP_037924393.1|HILL, LOC119648547|XP_037906244.1|HILL, LOC119646502|XP_037902886.1|HILL, LOC119652096|XP_037911961.1|HILL, LOC119650813|XP_037909879.1|HILL, LOC119653931|XP_037915018.1|HILL, LOC119654105|XP_037915197.1|HILL, LOC119656230|XP_037918562.1|HILL, LOC119656965|XP_037919612.1|HILL, LOC119659129|XP_037922982.1|HILL, LOC119653937|XP_037915024.1|HILL, LOC119660065|XP_037924372.1|HILL, LOC119658158|XP_037921354.1|HILL, LOC119660015|XP_037924321.1|HILL, LOC119648460|XP_037906145.1|HILL, LOC119654155|XP_037915246.1|HILL
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC119649104|XP_037907031.1|HILL, LOC119649106|XP_037907033.1|HILL, LOC119649107|XP_037907034.1|HILL, LOC119647753|XP_037904798.1|HILL, LOC119649108|XP_037907035.1|HILL, LOC119647754|XP_037904799.1|HILL, LOC119659125|XP_037922977.1|HILL, LOC119655147|XP_037916814.1|HILL
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC119658011|XP_037921164.1|HILL
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC119652834|XP_037913096.1|HILL
