Orthogroup	ASTE.longest_only	SLEB.longest_only
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC115634447|XP_030388017.1|SLEB
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC115633159|XP_030386430.1|SLEB
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC115634544|XP_030388214.1|SLEB, LOC115624809|XP_030375515.1|SLEB, LOC115624810|XP_030375516.1|SLEB, LOC115624811|XP_030375517.1|SLEB, LOC115624806|XP_030375512.1|SLEB, LOC115624807|XP_030375513.1|SLEB, LOC115624805|XP_030375510.1|SLEB, LOC115624808|XP_030375514.1|SLEB, LOC115624804|XP_030375509.1|SLEB, LOC115624800|XP_030375505.1|SLEB, LOC115624801|XP_030375506.1|SLEB, LOC115624799|XP_030375504.1|SLEB, LOC115624802|XP_030375508.1|SLEB, LOC115623680|XP_030374009.1|SLEB, LOC115634199|XP_030387648.1|SLEB
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC115623327|XP_030373450.1|SLEB, LOC115623328|XP_030373451.1|SLEB, LOC115623320|XP_030373442.1|SLEB, LOC115623826|XP_030374229.1|SLEB, LOC115623325|XP_030373446.1|SLEB, LOC115623824|XP_030374228.1|SLEB, LOC115623322|XP_030373444.1|SLEB, LOC115623324|XP_030373445.1|SLEB, LOC115623321|XP_030373443.1|SLEB, LOC115623326|XP_030373447.1|SLEB
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC115634516|XP_030388143.1|SLEB, LOC115621184|XP_030370622.1|SLEB, LOC115634337|XP_030387889.1|SLEB, LOC115621840|XP_030371514.1|SLEB, LOC115626230|XP_030377390.1|SLEB, LOC115633141|XP_030386412.1|SLEB, LOC115630204|XP_030382632.1|SLEB, LOC115633283|XP_030386551.1|SLEB, LOC115633275|XP_030386546.1|SLEB, LOC115633288|XP_030386557.1|SLEB, LOC115629800|XP_030382222.1|SLEB, LOC115629806|XP_030382233.1|SLEB, LOC115632051|XP_030384884.1|SLEB
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC115628683|XP_030380717.1|SLEB, LOC115631773|XP_030384469.1|SLEB, LOC115631774|XP_030384470.1|SLEB
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC115630351|XP_030382744.1|SLEB, LOC115630277|XP_030382672.1|SLEB, LOC115630318|XP_030382715.1|SLEB, LOC115633508|XP_030386830.1|SLEB, LOC115630275|XP_030382670.1|SLEB
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC115627162|XP_030378606.1|SLEB
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC115632057|XP_030384894.1|SLEB, LOC115632056|XP_030384892.1|SLEB, LOC115631416|XP_030384002.1|SLEB
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC115634414|XP_030387972.1|SLEB, LOC115634466|XP_030388054.1|SLEB, LOC115634465|XP_030388053.1|SLEB, LOC115634409|XP_030387965.1|SLEB
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC115634071|XP_030387478.1|SLEB
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC115624486|XP_030375049.1|SLEB, LOC115624487|XP_030375050.1|SLEB, LOC115626409|XP_030377634.1|SLEB, LOC115626596|XP_030377839.1|SLEB
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC115621800|XP_030371439.1|SLEB, LOC115621799|XP_030371437.1|SLEB
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC115631238|XP_030383807.1|SLEB, LOC115631233|XP_030383802.1|SLEB, LOC115631236|XP_030383804.1|SLEB, LOC115631298|XP_030383873.1|SLEB, LOC115631016|XP_030383488.1|SLEB, LOC115626559|XP_030377798.1|SLEB, LOC115626558|XP_030377797.1|SLEB, LOC115626560|XP_030377799.1|SLEB
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC115623477|XP_030373705.1|SLEB
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC115621020|XP_030370399.1|SLEB
OG0000036	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE	LOC115627397|XP_030378912.1|SLEB
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC115626848|XP_030378208.1|SLEB, LOC115622003|XP_030371717.1|SLEB, LOC115622001|XP_030371716.1|SLEB, LOC115620739|XP_030369986.1|SLEB
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC115633983|XP_030387367.1|SLEB
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC115633961|XP_030387345.1|SLEB
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC115633921|XP_030387291.1|SLEB
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC115624325|XP_030374812.1|SLEB, LOC115624327|XP_030374815.1|SLEB
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC115623987|XP_030374418.1|SLEB, LOC115623491|XP_030373724.1|SLEB, LOC115627355|XP_030378864.1|SLEB, LOC115623337|XP_030373467.1|SLEB, LOC115623816|XP_030374219.1|SLEB, LOC115623986|XP_030374417.1|SLEB
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC115631261|XP_030383836.1|SLEB, LOC115632503|XP_030385556.1|SLEB, LOC115630926|XP_030383356.1|SLEB, LOC115626702|XP_030377994.1|SLEB, LOC115627115|XP_030378542.1|SLEB, LOC115622391|XP_030372176.1|SLEB
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC115632621|XP_030385709.1|SLEB, LOC115632620|XP_030385708.1|SLEB, LOC115632159|XP_030385047.1|SLEB
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC115631187|XP_030383738.1|SLEB, LOC115625471|XP_030376380.1|SLEB, LOC115625469|XP_030376378.1|SLEB, LOC115625467|XP_030376376.1|SLEB, LOC115625232|XP_030376077.1|SLEB, LOC115621014|XP_030370394.1|SLEB
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC115624036|XP_030374474.1|SLEB, LOC115632496|XP_030385533.1|SLEB, LOC115620987|XP_030370367.1|SLEB
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC115624400|XP_030374993.1|SLEB, LOC115621737|XP_030371331.1|SLEB, LOC115634038|XP_030387442.1|SLEB
OG0000053	LOC118509004|XP_035904911.1|ASTE	LOC115634037|XP_030387441.1|SLEB
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC115623474|XP_030373700.1|SLEB, LOC115624032|XP_030374469.1|SLEB, LOC115623633|XP_030373934.1|SLEB, LOC115624033|XP_030374471.1|SLEB
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC115621100|XP_030370499.1|SLEB, LOC115621082|XP_030370472.1|SLEB, LOC115621350|XP_030370832.1|SLEB
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC115626734|XP_030378039.1|SLEB, LOC115626727|XP_030378033.1|SLEB, LOC115628187|XP_030380038.1|SLEB, LOC115626789|XP_030378115.1|SLEB
OG0000057	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE, LOC118511085|XP_035909661.1|ASTE, LOC118503449|XP_035892612.1|ASTE, LOC118509282|XP_035905552.1|ASTE, LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE	LOC115620011|XP_030368972.1|SLEB, LOC115630052|XP_030382544.1|SLEB
OG0000057	LOC118511538|XP_035910630.1|ASTE	LOC115628853|XP_030380964.1|SLEB, LOC115631335|XP_030383916.1|SLEB, LOC115628503|XP_030380504.1|SLEB
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC115626443|XP_030377676.1|SLEB, LOC115626320|XP_030377520.1|SLEB, LOC115626319|XP_030377518.1|SLEB, LOC115626321|XP_030377521.1|SLEB, LOC115629610|XP_030381967.1|SLEB
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC115629930|XP_030382394.1|SLEB, LOC115629929|XP_030382393.1|SLEB
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC115620624|XP_030369812.1|SLEB
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC115629360|XP_030381672.1|SLEB, LOC115630767|XP_030383283.1|SLEB
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC115632573|XP_030385654.1|SLEB, LOC115621328|XP_030370808.1|SLEB, LOC115627142|XP_030378579.1|SLEB, LOC115629024|XP_030381181.1|SLEB, LOC115625981|XP_030377087.1|SLEB, LOC115626214|XP_030377370.1|SLEB, LOC115626016|XP_030377124.1|SLEB, LOC115626105|XP_030377218.1|SLEB
OG0000064	LOC118503143|XP_035892009.1|ASTE	LOC115630780|XP_030383296.1|SLEB
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC115621860|XP_030371539.1|SLEB, LOC115622383|XP_030372167.1|SLEB
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC115622364|XP_030372139.1|SLEB
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC115623202|XP_030373286.1|SLEB, LOC115631954|XP_030384717.1|SLEB, LOC115622769|XP_030372686.1|SLEB, LOC115622252|XP_030372011.1|SLEB, LOC115623907|XP_030374323.1|SLEB, LOC115629354|XP_030381665.1|SLEB, LOC115632765|XP_030385874.1|SLEB, LOC115628062|XP_030379882.1|SLEB
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC115625714|XP_030376720.1|SLEB, LOC115629807|XP_030382234.1|SLEB, LOC115625715|XP_030376721.1|SLEB, LOC115625716|XP_030376722.1|SLEB
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC115624679|XP_030375338.1|SLEB, LOC115624678|XP_030375337.1|SLEB
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC115625138|XP_030375920.1|SLEB, LOC115633654|XP_030386963.1|SLEB, LOC115625130|XP_030375908.1|SLEB
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC115626625|XP_030377891.1|SLEB
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC115626672|XP_030377958.1|SLEB
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC115624374|XP_030374908.1|SLEB
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC115632425|XP_030385425.1|SLEB
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC115623022|XP_030373056.1|SLEB
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC115627672|XP_030379274.1|SLEB
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC115629260|XP_030381546.1|SLEB
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC115625518|XP_030376442.1|SLEB
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC115624410|XP_030375008.1|SLEB
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC115621758|XP_030371352.1|SLEB
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC115624829|XP_030375536.1|SLEB, LOC115624752|XP_030375442.1|SLEB, LOC115620798|XP_030370081.1|SLEB, LOC115627604|XP_030379186.1|SLEB, LOC115627905|XP_030379660.1|SLEB
OG0000080	LOC118508108|XP_035903495.1|ASTE, LOC118508106|XP_035903493.1|ASTE, LOC118503106|XP_035891931.1|ASTE, LOC118509536|XP_035906155.1|ASTE	LOC115627205|XP_030378688.1|SLEB
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC115634241|XP_030387695.1|SLEB, LOC115634222|XP_030387673.1|SLEB, LOC115620018|XP_030368982.1|SLEB
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC115631916|XP_030384627.1|SLEB, LOC115620211|XP_030369208.1|SLEB, LOC115621651|XP_030371213.1|SLEB
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC115634036|XP_030387438.1|SLEB, LOC115634513|XP_030388139.1|SLEB
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC115623536|XP_030373782.1|SLEB
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC115631336|XP_030383918.1|SLEB
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC115634632|XP_030388350.1|SLEB
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC115628291|XP_030380201.1|SLEB
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC115626132|XP_030377247.1|SLEB
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC115624994|XP_030375725.1|SLEB
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC115624415|XP_030375011.1|SLEB
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC115632948|XP_030386105.1|SLEB, LOC115632950|XP_030386106.1|SLEB
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC115633715|XP_030387039.1|SLEB, LOC115633696|XP_030387013.1|SLEB, LOC115628271|XP_030380155.1|SLEB, LOC115623090|XP_030373157.1|SLEB, LOC115624821|XP_030375529.1|SLEB
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC115620184|XP_030369168.1|SLEB
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC115630773|XP_030383287.1|SLEB, LOC115630433|XP_030382848.1|SLEB, LOC115620680|XP_030369906.1|SLEB, LOC115621346|XP_030370826.1|SLEB
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC115628531|XP_030380552.1|SLEB
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC115622394|XP_030372178.1|SLEB, LOC115622397|XP_030372182.1|SLEB, LOC115622395|XP_030372179.1|SLEB, LOC115633674|XP_030386987.1|SLEB, LOC115633665|XP_030386973.1|SLEB, LOC115621962|XP_030371670.1|SLEB
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC115621238|XP_030370689.1|SLEB, LOC115620727|XP_030369967.1|SLEB, LOC115626185|XP_030377323.1|SLEB, LOC115625901|XP_030376991.1|SLEB
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC115621995|XP_030371710.1|SLEB
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC115622299|XP_030372063.1|SLEB, LOC115629181|XP_030381422.1|SLEB
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC115634421|XP_030387988.1|SLEB, LOC115634430|XP_030387997.1|SLEB, LOC115634424|XP_030387991.1|SLEB, LOC115634427|XP_030387993.1|SLEB, LOC115623200|XP_030373296.1|SLEB, LOC115634418|XP_030387984.1|SLEB, LOC115634012|XP_030387400.1|SLEB
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC115632673|XP_030385805.1|SLEB
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC115619960|XP_030368851.1|SLEB
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC115632516|XP_030385569.1|SLEB, LOC115633245|XP_030386506.1|SLEB
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC115625386|XP_030376284.1|SLEB, LOC115625389|XP_030376287.1|SLEB, LOC115625391|XP_030376288.1|SLEB, LOC115625387|XP_030376285.1|SLEB
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC115628092|XP_030379929.1|SLEB, LOC115627244|XP_030378729.1|SLEB, LOC115631527|XP_030384161.1|SLEB
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC115631036|XP_030383521.1|SLEB
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC115630792|XP_030383307.1|SLEB
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC115628356|XP_030380291.1|SLEB, LOC115628263|XP_030380142.1|SLEB, LOC115628416|XP_030380363.1|SLEB, LOC115628221|XP_030380076.1|SLEB
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC115634293|XP_030387808.1|SLEB
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC115629158|XP_030381390.1|SLEB, LOC115629161|XP_030381394.1|SLEB, LOC115627698|XP_030379301.1|SLEB
