Orthogroup	ASTE.longest_only	DSEC.longest_only
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC6616531|XP_002040890.1|DSEC
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC6610980|XP_002035537.1|DSEC
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC6617118|XP_002041445.1|DSEC, LOC6617116|XP_002041443.2|DSEC, LOC6617117|XP_002041444.1|DSEC, LOC6617113|XP_002041440.2|DSEC, LOC6617114|XP_002041441.1|DSEC, LOC6617119|XP_002041446.1|DSEC, LOC6617120|XP_032579359.1|DSEC
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC116801805|XP_032579403.1|DSEC, LOC6615344|XP_002039742.1|DSEC
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC6614620|XP_002039048.1|DSEC, LOC6608343|XP_032571142.1|DSEC, LOC6611665|XP_032583373.1|DSEC, LOC6619030|XP_032578205.1|DSEC, LOC6606811|XP_002031608.2|DSEC, LOC6618224|XP_032583413.1|DSEC, LOC6614621|XP_002039049.1|DSEC
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC6617550|XP_032580648.1|DSEC
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC6607757|XP_002032520.1|DSEC, LOC6606667|XP_002031467.1|DSEC, LOC6620369|XP_002044577.1|DSEC
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC6609401|XP_002034086.1|DSEC, LOC6610269|XP_002034864.1|DSEC, LOC6610278|XP_002034873.2|DSEC, LOC6610275|XP_002034870.1|DSEC, LOC6610276|XP_002034871.1|DSEC, LOC6610274|XP_002034869.1|DSEC, LOC116801300|XP_032575946.1|DSEC
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC6614266|XP_002038706.1|DSEC, LOC6614270|XP_002038710.2|DSEC, LOC6614272|XP_002038712.1|DSEC, LOC6615538|XP_002039917.1|DSEC, LOC6614271|XP_032578446.1|DSEC, LOC6614265|XP_002038705.1|DSEC, LOC6614261|XP_032579066.1|DSEC, LOC6614263|XP_002038703.1|DSEC, LOC6614259|XP_032579064.1|DSEC
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC116800706|XP_032573066.1|DSEC, LOC6608650|XP_002033384.1|DSEC, LOC6608651|XP_032573063.1|DSEC, LOC6618118|XP_002042417.2|DSEC, LOC6608649|XP_032571742.1|DSEC, LOC6609002|XP_002033708.1|DSEC
OG0000025	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE	LOC6613440|XP_002037914.1|DSEC
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC6619909|XP_002044121.1|DSEC, LOC6614041|XP_002038495.1|DSEC, LOC6620024|XP_002044237.2|DSEC
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC6611562|XP_002036100.1|DSEC, LOC6611565|XP_002036103.2|DSEC, LOC6611563|XP_002036101.1|DSEC
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC116801287|XP_032575822.1|DSEC, LOC116801288|XP_032575823.1|DSEC, LOC6619350|XP_032575819.1|DSEC, LOC116801283|XP_032575818.1|DSEC, LOC116800996|XP_032573943.1|DSEC, LOC116801284|XP_032575821.1|DSEC, LOC6619351|XP_032575820.1|DSEC, LOC6605908|XP_002030721.1|DSEC
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC6606884|XP_002031678.1|DSEC, LOC6608399|XP_002033133.1|DSEC, LOC6609830|XP_002034482.1|DSEC, LOC6611703|XP_002036237.1|DSEC, LOC6607309|XP_002032088.1|DSEC, LOC6618299|XP_002042572.1|DSEC
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC6613654|XP_002038124.2|DSEC, LOC6613642|XP_032571112.1|DSEC, LOC6611386|XP_002035931.1|DSEC, LOC116803563|XP_032583263.1|DSEC, LOC6610715|XP_032575982.1|DSEC, LOC6613163|XP_002037644.1|DSEC, LOC6608128|XP_002032876.2|DSEC
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC6606692|XP_002031492.2|DSEC, LOC6606694|XP_002031494.1|DSEC, LOC6606686|XP_002031486.2|DSEC, LOC6606689|XP_002031489.2|DSEC, LOC6606693|XP_002031493.1|DSEC, LOC6606685|XP_002031485.1|DSEC, LOC6606688|XP_002031488.1|DSEC
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC6609502|XP_032572499.1|DSEC, LOC6614428|XP_002038861.1|DSEC, LOC6614429|XP_032583720.1|DSEC, LOC6614430|XP_002038863.1|DSEC, LOC6618128|XP_032583108.1|DSEC, LOC6613602|XP_002038072.1|DSEC
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC6614280|XP_002038720.1|DSEC
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC6606280|XP_032578992.1|DSEC
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC6609848|XP_002034500.1|DSEC, LOC6619109|XP_002043349.1|DSEC, LOC6619108|XP_002043348.1|DSEC
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC6619358|XP_002043575.1|DSEC
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC6619360|XP_032575071.1|DSEC
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC6614108|XP_032577608.1|DSEC
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC6619701|XP_002043916.1|DSEC, LOC6619702|XP_002043917.1|DSEC, LOC6619703|XP_032579544.1|DSEC, LOC6619709|XP_002043924.1|DSEC, LOC6619708|XP_032579543.1|DSEC, LOC116801819|XP_032579546.1|DSEC, LOC116801818|XP_032579545.1|DSEC
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC6606882|XP_002031676.2|DSEC, LOC6606880|XP_002031674.2|DSEC, LOC6606881|XP_032578763.1|DSEC, LOC6606886|XP_002031680.1|DSEC, LOC6606877|XP_032576948.1|DSEC, LOC6606875|XP_002031669.2|DSEC, LOC6612980|XP_002037471.1|DSEC, LOC6606874|XP_002031668.1|DSEC
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC6609458|XP_002034143.1|DSEC, LOC6609455|XP_002034140.1|DSEC, LOC6609036|XP_032573031.1|DSEC, LOC6605158|XP_002029997.1|DSEC, LOC6609046|XP_032572064.1|DSEC, LOC6605159|XP_002029998.2|DSEC
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC6605924|XP_002030737.1|DSEC, LOC6605925|XP_002030738.1|DSEC, LOC6605923|XP_002030736.1|DSEC, LOC6605926|XP_002030739.1|DSEC
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC6616787|XP_002041124.1|DSEC, LOC6616784|XP_002041121.1|DSEC, LOC6616788|XP_002041125.1|DSEC, LOC6616790|XP_032578183.1|DSEC, LOC6616789|XP_002041126.1|DSEC, LOC6616783|XP_002041120.1|DSEC
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC6607242|XP_032578378.1|DSEC, LOC6606627|XP_002031428.1|DSEC, LOC6606391|XP_002031196.1|DSEC, LOC6606710|XP_002031509.1|DSEC, LOC6606709|XP_002031508.1|DSEC
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC6608189|XP_002032934.2|DSEC, LOC6608187|XP_002032932.1|DSEC, LOC6608186|XP_002032931.2|DSEC
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC6606233|XP_002031041.1|DSEC, LOC6606232|XP_002031040.1|DSEC, LOC6606230|XP_002031038.1|DSEC, LOC6606231|XP_032576779.1|DSEC
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC6612847|XP_002037341.1|DSEC, LOC6612845|XP_002037339.1|DSEC, LOC6612846|XP_002037340.1|DSEC, LOC116801473|XP_032577167.1|DSEC
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC6607531|XP_002032300.1|DSEC, LOC6607532|XP_002032301.1|DSEC, LOC6607533|XP_002032302.1|DSEC, LOC6607534|XP_002032303.1|DSEC, LOC6606941|XP_002031735.1|DSEC, LOC6606940|XP_002031734.1|DSEC
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC6609913|XP_002034563.1|DSEC, LOC6614763|XP_002039182.2|DSEC, LOC6609912|XP_002034562.2|DSEC, LOC6609909|XP_032572423.1|DSEC, LOC6613603|XP_002038073.1|DSEC, LOC6612350|XP_002036859.1|DSEC
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC6618583|XP_002042842.1|DSEC
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC6612941|XP_032579191.1|DSEC
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC6618552|XP_002042809.1|DSEC, LOC6613126|XP_002037607.1|DSEC
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC6619830|XP_032581369.1|DSEC, LOC6614677|XP_002039104.1|DSEC, LOC6613921|XP_002038386.1|DSEC, LOC6614678|XP_002039105.1|DSEC, LOC116803533|XP_032583118.1|DSEC, LOC116801522|XP_032577635.1|DSEC
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC6620079|XP_002044291.1|DSEC, LOC6610892|XP_002035455.1|DSEC
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC6616446|XP_002040807.1|DSEC
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC6606120|XP_032575928.1|DSEC, LOC6620399|XP_032576530.1|DSEC, LOC6606128|XP_032573930.1|DSEC, LOC6610046|XP_002034662.2|DSEC, LOC6615215|XP_032581888.1|DSEC
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC6613612|XP_002038082.1|DSEC, LOC6615903|XP_002040271.1|DSEC, LOC6613611|XP_002038081.1|DSEC, LOC6614825|XP_002039244.1|DSEC
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC6605331|XP_002030168.2|DSEC
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC6605584|XP_032575054.1|DSEC, LOC6605583|XP_002030402.2|DSEC, LOC6605585|XP_002030404.1|DSEC
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC6609446|XP_002034131.1|DSEC, LOC6609453|XP_002034138.1|DSEC, LOC6609448|XP_032571731.1|DSEC
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC6609744|XP_002034398.2|DSEC
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC6616009|XP_032581764.1|DSEC
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC6614351|XP_032576696.1|DSEC
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC6610960|XP_002035517.1|DSEC, LOC6606103|XP_002030912.1|DSEC
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC6610804|XP_032574471.1|DSEC
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC6614957|XP_002039374.1|DSEC
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC6609946|XP_002034592.1|DSEC
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC6607116|XP_002031904.1|DSEC
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC6618789|XP_002043039.2|DSEC
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC6618743|XP_032576637.1|DSEC
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC6609985|XP_032572329.1|DSEC, LOC6616471|XP_032574945.1|DSEC, LOC6614250|XP_032578587.1|DSEC, LOC6615175|XP_002039591.1|DSEC, LOC6618086|XP_002042384.1|DSEC
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC6609553|XP_032570859.1|DSEC, LOC6609476|XP_002034161.1|DSEC
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC6615566|XP_002039940.2|DSEC, LOC6606452|XP_002031255.1|DSEC
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC116800215|XP_032569927.1|DSEC, LOC6611746|XP_002036269.1|DSEC, LOC6611745|XP_032583492.1|DSEC, LOC6611743|XP_032583597.1|DSEC, LOC6611744|XP_032583168.1|DSEC, LOC6612009|XP_032569925.1|DSEC
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC6609841|XP_002034493.1|DSEC
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC6609358|XP_002034047.1|DSEC
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC6608029|XP_032572862.1|DSEC
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC6609922|XP_002034572.1|DSEC
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC6611885|XP_002036403.2|DSEC
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC6607857|XP_032572237.1|DSEC
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC6614195|XP_002038642.1|DSEC, LOC6614269|XP_002038709.1|DSEC
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC6605081|XP_002029922.1|DSEC
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC6608382|XP_002033118.1|DSEC, LOC6608386|XP_032571023.1|DSEC, LOC6610773|XP_002035339.1|DSEC, LOC6610282|XP_032573795.1|DSEC
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC6612658|XP_032576233.1|DSEC
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC6612181|XP_032580799.1|DSEC, LOC6613760|XP_032578418.1|DSEC, LOC116801651|XP_032578417.1|DSEC
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC6611634|XP_002036170.1|DSEC
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC6605148|XP_002029989.1|DSEC, LOC6614059|XP_002038513.1|DSEC
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC6614658|XP_002039085.1|DSEC, LOC6611394|XP_002035938.1|DSEC, LOC6606981|XP_032576845.1|DSEC, LOC6614724|XP_032569761.1|DSEC
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC6606676|XP_002031476.1|DSEC, LOC6621482|XP_032577186.1|DSEC
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC6616099|XP_032580297.1|DSEC
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC6618410|XP_002042680.2|DSEC, LOC6619343|XP_032573862.1|DSEC, LOC6618409|XP_032573873.1|DSEC, LOC6618414|XP_032573872.1|DSEC
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC6609708|XP_032571910.1|DSEC
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC6608277|XP_002033021.1|DSEC, LOC6615642|XP_032570858.1|DSEC
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC6604961|XP_002029804.1|DSEC, LOC6606121|XP_002030929.1|DSEC, LOC116801298|XP_032575929.1|DSEC, LOC6608599|XP_002033333.1|DSEC
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC6619284|XP_032579009.1|DSEC, LOC6605055|XP_002029896.2|DSEC, LOC6607252|XP_002032031.1|DSEC, LOC6607258|XP_002032037.1|DSEC, LOC6607259|XP_002032038.1|DSEC
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC116801453|XP_032577030.1|DSEC, LOC116801232|XP_032575346.1|DSEC, LOC116800975|XP_032573847.1|DSEC, LOC116801174|XP_032575118.1|DSEC, LOC116801909|XP_032579675.1|DSEC, LOC116803623|XP_032583595.1|DSEC, LOC116801230|XP_032575340.1|DSEC, LOC116800610|XP_032572382.1|DSEC, LOC116800937|XP_032573567.1|DSEC, LOC116801133|XP_032574824.1|DSEC, LOC116802181|XP_032581561.1|DSEC
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC6612035|XP_002036552.2|DSEC, LOC6612033|XP_032579423.1|DSEC, LOC6612032|XP_032583488.1|DSEC
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC6612023|XP_002036540.1|DSEC, LOC6612022|XP_002036539.1|DSEC
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC6620844|XP_032573645.1|DSEC, LOC6611144|XP_002035701.2|DSEC, LOC6611145|XP_002035702.1|DSEC
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC6609987|XP_002034623.1|DSEC, LOC6620815|XP_032571778.1|DSEC, LOC6620816|XP_002045014.1|DSEC
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC6615207|XP_002039617.1|DSEC, LOC6617976|XP_002042284.1|DSEC, LOC6615171|XP_002039587.1|DSEC, LOC6615170|XP_002039586.1|DSEC
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC6611439|XP_002035982.2|DSEC, LOC6609037|XP_032571701.1|DSEC, LOC6614036|XP_002038490.1|DSEC, LOC6614519|XP_002038950.2|DSEC
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC116803555|XP_032583237.1|DSEC, LOC116803553|XP_032583234.1|DSEC, LOC116803554|XP_032583235.1|DSEC
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC6611215|XP_002035771.1|DSEC, LOC6611214|XP_002035770.2|DSEC, LOC6611213|XP_002035769.1|DSEC, LOC6611212|XP_002035768.1|DSEC
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC6613457|XP_002037929.1|DSEC, LOC6613456|XP_002037928.1|DSEC, LOC6611235|XP_002035791.1|DSEC
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC6607002|XP_002031791.1|DSEC, LOC6621198|XP_002045377.1|DSEC, LOC6607001|XP_002031790.1|DSEC
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC6615886|XP_002040256.1|DSEC
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC6608695|XP_032572430.1|DSEC
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC6621159|XP_002045338.1|DSEC, LOC6606383|XP_002031188.1|DSEC, LOC6606381|XP_002031186.1|DSEC, LOC6621300|XP_002045474.2|DSEC, LOC6606382|XP_002031187.1|DSEC, LOC6621299|XP_002045475.2|DSEC
