Orthogroup	ASTE.longest_only	DELE.longest_only
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC108143220|XP_017123005.1|DELE
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC108142474|XP_017121847.1|DELE
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC108148802|XP_017131514.1|DELE, LOC108145240|XP_017125995.1|DELE
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE, LOC108136813|XP_017113705.1|DELE, LOC108140627|XP_017119032.1|DELE, LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC108139148|XP_017117255.1|DELE, LOC108134787|XP_017110724.1|DELE, LOC108137723|XP_017115107.1|DELE
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC108144256|XP_017124426.1|DELE, LOC108145706|XP_017126756.1|DELE, LOC108145944|XP_017127140.1|DELE, LOC108145943|XP_017127139.1|DELE, LOC108145945|XP_017127141.1|DELE, LOC108145941|XP_017127138.1|DELE
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC108140988|XP_017119550.1|DELE, LOC108140990|XP_017119554.1|DELE, LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE, LOC108140949|XP_017119506.1|DELE, LOC108141054|XP_017119691.1|DELE, LOC108141157|XP_017119872.1|DELE, LOC108141055|XP_017119693.1|DELE
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE, LOC108144317|XP_017124507.1|DELE, LOC108134565|XP_017110407.1|DELE, LOC108149067|XP_017131913.1|DELE
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC108138066|XP_017115531.1|DELE, LOC108138053|XP_017115518.1|DELE, LOC108138043|XP_017115505.1|DELE
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC108146071|XP_017127374.1|DELE, LOC108146072|XP_017127376.1|DELE, LOC108146069|XP_017127372.1|DELE, LOC108146070|XP_017127373.1|DELE, LOC108146073|XP_017127378.1|DELE, LOC108145772|XP_017126831.1|DELE
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE, LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC108141556|XP_017120489.1|DELE, LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE, LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC108141229|XP_017119974.1|DELE
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC108145158|XP_017125873.1|DELE, LOC108135854|XP_017112236.1|DELE, LOC108135829|XP_017112201.1|DELE
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC108146067|XP_017127370.1|DELE
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC108146005|XP_017127248.1|DELE
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC108148259|XP_017130681.1|DELE
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC108143777|XP_017123793.1|DELE, LOC108143759|XP_017123778.1|DELE, LOC108143886|XP_017123949.1|DELE, LOC108143890|XP_017123952.1|DELE, LOC108143732|XP_017123755.1|DELE, LOC108143888|XP_017123951.1|DELE
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC108136707|XP_017113521.1|DELE, LOC108136884|XP_017113826.1|DELE, LOC108137000|XP_017113987.1|DELE, LOC108136699|XP_017113511.1|DELE, LOC108142914|XP_017122491.1|DELE, LOC108136702|XP_017113516.1|DELE
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC108137997|XP_017115461.1|DELE, LOC108137888|XP_017115315.1|DELE, LOC108137980|XP_017115444.1|DELE, LOC108149120|XP_017132010.1|DELE, LOC108150380|XP_017134008.1|DELE, LOC108149847|XP_017133213.1|DELE, LOC108150178|XP_017133656.1|DELE
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC108146208|XP_017127615.1|DELE, LOC108146209|XP_017127617.1|DELE, LOC108146206|XP_017127613.1|DELE, LOC108146211|XP_017127619.1|DELE
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC108140399|XP_017118596.1|DELE, LOC108140396|XP_017118593.1|DELE, LOC108140391|XP_017118587.1|DELE, LOC108140398|XP_017118595.1|DELE, LOC108140400|XP_017118597.1|DELE, LOC108140395|XP_017118592.1|DELE
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC108143756|XP_017123775.1|DELE, LOC108143275|XP_017123079.1|DELE, LOC108135018|XP_017111039.1|DELE, LOC108136096|XP_017112560.1|DELE, LOC108141560|XP_017120493.1|DELE
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC108145359|XP_017126241.1|DELE, LOC108145358|XP_017126240.1|DELE, LOC108145357|XP_017126239.1|DELE
OG0000053	LOC118509004|XP_035904911.1|ASTE	LOC108137373|XP_017114513.1|DELE
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC108140678|XP_017119113.1|DELE, LOC108140358|XP_017118542.1|DELE, LOC108140357|XP_017118541.1|DELE, LOC108140635|XP_017119043.1|DELE, LOC108140634|XP_017119042.1|DELE
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC108148506|XP_017131032.1|DELE, LOC108148507|XP_017131034.1|DELE, LOC108148467|XP_017130988.1|DELE, LOC108148466|XP_017130987.1|DELE, LOC108148509|XP_017131036.1|DELE
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC108148700|XP_017131340.1|DELE, LOC108148703|XP_017131343.1|DELE, LOC108148704|XP_017131344.1|DELE, LOC108148702|XP_017131342.1|DELE, LOC108148701|XP_017131341.1|DELE, LOC108135876|XP_017112266.1|DELE, LOC108135877|XP_017112269.1|DELE
OG0000057	LOC118514020|XP_035916389.1|ASTE, LOC118506375|XP_035899336.1|ASTE, LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE, LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE, LOC118511085|XP_035909661.1|ASTE, LOC118503449|XP_035892612.1|ASTE, LOC118509282|XP_035905552.1|ASTE, LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE, LOC118511538|XP_035910630.1|ASTE	LOC108149908|XP_017133298.1|DELE
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC108143671|XP_017123671.1|DELE, LOC108138709|XP_017116548.1|DELE, LOC108139014|XP_017117106.1|DELE, LOC108143672|XP_017123672.1|DELE, LOC108150544|XP_017134265.1|DELE, LOC108149860|XP_017133229.1|DELE
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC108137714|XP_017115086.1|DELE
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC108143025|XP_017122707.1|DELE
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC108149967|XP_017133376.1|DELE, LOC108148059|XP_017130401.1|DELE
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC108136516|XP_017113265.1|DELE, LOC108138778|XP_017116734.1|DELE, LOC108138779|XP_017116735.1|DELE, LOC108141958|XP_017121089.1|DELE, LOC108136038|XP_017112458.1|DELE, LOC108136028|XP_017112449.1|DELE, LOC108134584|XP_017110431.1|DELE, LOC108134586|XP_017110432.1|DELE, LOC108134589|XP_017110436.1|DELE
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC108140552|XP_017118898.1|DELE, LOC108147479|XP_017129518.1|DELE
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC108142223|XP_017121430.1|DELE
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC108135597|XP_017111897.1|DELE, LOC108136670|XP_017113481.1|DELE, LOC108143529|XP_017123510.1|DELE, LOC108144464|XP_017124859.1|DELE
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC108136307|XP_017112891.1|DELE, LOC108138084|XP_017115563.1|DELE, LOC108141686|XP_017120657.1|DELE
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC108135493|XP_017111725.1|DELE, LOC108135492|XP_017111724.1|DELE
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC108146757|XP_017128380.1|DELE, LOC108146589|XP_017128100.1|DELE
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC108137979|XP_017115440.1|DELE, LOC108137893|XP_017115321.1|DELE, LOC108137978|XP_017115439.1|DELE
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC108144661|XP_017125196.1|DELE
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC108150393|XP_017134024.1|DELE
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC108141036|XP_017119625.1|DELE
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC108142390|XP_017121714.1|DELE, LOC108135696|XP_017112027.1|DELE
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC108145993|XP_017127221.1|DELE
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC108134879|XP_017110865.1|DELE
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC108143509|XP_017123469.1|DELE
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC108143053|XP_017122754.1|DELE
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC108144573|XP_017125051.1|DELE
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC108148773|XP_017131468.1|DELE
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC108143331|XP_017123140.1|DELE, LOC108146642|XP_017128176.1|DELE, LOC108141001|XP_017119564.1|DELE, LOC108144954|XP_017125592.1|DELE, LOC108136186|XP_017112673.1|DELE
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC108144727|XP_017125313.1|DELE, LOC108144830|XP_017125456.1|DELE, LOC108144561|XP_017125028.1|DELE
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC108137556|XP_017114771.1|DELE, LOC108137394|XP_017114542.1|DELE, LOC108139183|XP_017117297.1|DELE, LOC108139182|XP_017117296.1|DELE
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC108141924|XP_017121037.1|DELE, LOC108142089|XP_017121272.1|DELE, LOC108141663|XP_017120626.1|DELE, LOC108141752|XP_017120736.1|DELE, LOC108141923|XP_017121035.1|DELE
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC108145181|XP_017125909.1|DELE
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC108141471|XP_017120366.1|DELE
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC108149598|XP_017132782.1|DELE
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC108145443|XP_017126361.1|DELE
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC108141653|XP_017120612.1|DELE
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC108145086|XP_017125761.1|DELE
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC108141125|XP_017119833.1|DELE, LOC108140991|XP_017119555.1|DELE
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC108150208|XP_017133709.1|DELE
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC108141353|XP_017120159.1|DELE, LOC108141325|XP_017120093.1|DELE, LOC108146219|XP_017127627.1|DELE, LOC108145938|XP_017127135.1|DELE
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC108148708|XP_017131350.1|DELE
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC108138282|XP_017115927.1|DELE, LOC108136749|XP_017113584.1|DELE, LOC108136955|XP_017113929.1|DELE
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC108149483|XP_017132590.1|DELE, LOC108149273|XP_017132205.1|DELE
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC108150099|XP_017133552.1|DELE, LOC108150100|XP_017133553.1|DELE, LOC108148190|XP_017130585.1|DELE
OG0000095	LOC118502383|XP_035890498.1|ASTE	LOC108141591|XP_017120528.1|DELE
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC108138746|XP_017116635.1|DELE, LOC108138284|XP_017115929.1|DELE, LOC108140674|XP_017119108.1|DELE, LOC108138624|XP_017116401.1|DELE
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC108134780|XP_017110717.1|DELE
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC108136339|XP_017112932.1|DELE
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC108146008|XP_017127262.1|DELE, LOC108146010|XP_017127274.1|DELE
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC108144533|XP_017124982.1|DELE
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC108145434|XP_017126345.1|DELE, LOC108147095|XP_017128871.1|DELE
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC108150149|XP_017133604.1|DELE, LOC108135601|XP_017111902.1|DELE, LOC108135599|XP_017111899.1|DELE, LOC108144606|XP_017125116.1|DELE
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC108136674|XP_017113486.1|DELE, LOC108136167|XP_017112653.1|DELE, LOC108136675|XP_017113487.1|DELE, LOC108150095|XP_017133547.1|DELE, LOC108143740|XP_017123762.1|DELE, LOC108143955|XP_017124042.1|DELE, LOC108143741|XP_017123763.1|DELE
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC108136149|XP_017112632.1|DELE
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC108135305|XP_017111479.1|DELE, LOC108135351|XP_017111532.1|DELE
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC108142109|XP_017121293.1|DELE, LOC108142059|XP_017121232.1|DELE
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC108142251|XP_017121459.1|DELE, LOC108142847|XP_017122405.1|DELE, LOC108142851|XP_017122408.1|DELE, LOC108142800|XP_017122344.1|DELE
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC108143602|XP_017123614.1|DELE, LOC108143335|XP_017123143.1|DELE, LOC108145905|XP_017127098.1|DELE, LOC108143305|XP_017123108.1|DELE
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC108147660|XP_017129832.1|DELE, LOC108145153|XP_017125862.1|DELE, LOC108143829|XP_017123866.1|DELE
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC108149996|XP_017133417.1|DELE, LOC108148204|XP_017130600.1|DELE, LOC108148205|XP_017130601.1|DELE, LOC108138199|XP_017115809.1|DELE, LOC108142622|XP_017122099.1|DELE
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC108138086|XP_017115561.1|DELE
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC108149302|XP_017132242.1|DELE, LOC108149304|XP_017132243.1|DELE, LOC108149305|XP_017132244.1|DELE, LOC108149307|XP_017132247.1|DELE
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC108148033|XP_017130362.1|DELE, LOC108147816|XP_017130059.1|DELE, LOC108144956|XP_017125590.1|DELE, LOC108149318|XP_017132266.1|DELE
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC108135133|XP_017111230.1|DELE, LOC108135026|XP_017111046.1|DELE, LOC108135059|XP_017111091.1|DELE
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC108137071|XP_017114066.1|DELE
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC108144394|XP_017124663.1|DELE
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC108137437|XP_017114591.1|DELE, LOC108139344|XP_017117557.1|DELE, LOC108139343|XP_017117556.1|DELE, LOC108139345|XP_017117558.1|DELE
