Orthogroup	ASTE.longest_only	CQUI.longest_only
OG0000002	LOC118508220|XP_035903701.1|ASTE	LOC119770491|XP_038121412.1|CQUI
OG0000002	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE	LOC6031922|XP_001842608.2|CQUI
OG0000002	LOC118511460|XP_035910455.1|ASTE	LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI
OG0000002	LOC118509867|XP_035906983.1|ASTE	LOC6038017|XP_038110782.1|CQUI
OG0000003	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE	LOC6050719|XP_001867281.2|CQUI
OG0000003	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE	LOC6051441|XP_038112246.1|CQUI, LOC6050716|XP_038110657.1|CQUI, LOC6037852|XP_038108088.1|CQUI, LOC6050718|XP_001867280.2|CQUI
OG0000003	LOC118513634|XP_035915592.1|ASTE	LOC6054221|XP_038110656.1|CQUI
OG0000003	LOC118503800|XP_035893388.1|ASTE	LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI
OG0000003	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE, LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE	LOC6054224|XP_001870172.2|CQUI, LOC6050709|XP_001867273.2|CQUI
OG0000003	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE	LOC6054222|XP_038106984.1|CQUI
OG0000003	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE	LOC6050720|XP_001867282.2|CQUI
OG0000003	LOC118504412|XP_035894738.1|ASTE	LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI
OG0000004	LOC118508090|XP_035903462.1|ASTE, LOC118508092|XP_035903464.1|ASTE, LOC118508091|XP_035903463.1|ASTE	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI
OG0000004	LOC118508233|XP_035903731.1|ASTE, LOC118508227|XP_035903726.1|ASTE, LOC118508232|XP_035903730.1|ASTE, LOC118508230|XP_035903728.1|ASTE, LOC118508231|XP_035903729.1|ASTE, LOC118508228|XP_035903727.1|ASTE	LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI
OG0000005	LOC118516497|XP_035918320.1|ASTE, LOC118516487|XP_035918309.1|ASTE, LOC118516495|XP_035918318.1|ASTE, LOC118516498|XP_035918321.1|ASTE, LOC118516500|XP_035918322.1|ASTE, LOC118516491|XP_035918313.1|ASTE, LOC118516493|XP_035918316.1|ASTE, LOC118516494|XP_035918317.1|ASTE, LOC118516492|XP_035918315.1|ASTE, LOC118516490|XP_035918312.1|ASTE, LOC118516496|XP_035918319.1|ASTE, LOC118517635|XP_035919840.1|ASTE	LOC119770425|XP_038121228.1|CQUI, LOC119770423|XP_038121218.1|CQUI
OG0000006	LOC118517636|XP_035919841.1|ASTE	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC118508036|XP_035903331.1|ASTE	LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000008	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC118506770|XP_035900259.1|ASTE	LOC6035812|XP_001845934.1|CQUI
OG0000008	LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE	LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC118509007|XP_035904915.1|ASTE	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC118506772|XP_035900260.1|ASTE	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC118514549|XP_035917433.1|ASTE	LOC6048808|XP_001865675.2|CQUI
OG0000009	LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE	LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI
OG0000009	LOC118513525|XP_035915292.1|ASTE	LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI
OG0000009	LOC118510358|XP_035907960.1|ASTE	LOC6053772|XP_001869801.2|CQUI
OG0000009	LOC118503659|XP_035893081.1|ASTE	LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC118503730|XP_035893236.1|ASTE	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC118509785|XP_035906820.1|ASTE	LOC6048215|XP_038112551.1|CQUI
OG0000011	LOC118513952|XP_035916240.1|ASTE	LOC6033828|XP_038121046.1|CQUI
OG0000012	LOC118508901|XP_035904653.1|ASTE	LOC6046845|XP_001863980.2|CQUI
OG0000012	LOC118508903|XP_035904655.1|ASTE	LOC6046844|XP_001863979.2|CQUI, LOC6046843|XP_001863978.2|CQUI
OG0000013	LOC118507210|XP_035901192.1|ASTE	LOC6035930|XP_001846040.1|CQUI
OG0000013	LOC118503015|XP_035891731.1|ASTE	LOC6034961|XP_038118728.1|CQUI
OG0000013	LOC118505715|XP_035897785.1|ASTE, LOC118505701|XP_035897742.1|ASTE	LOC6041235|XP_001850527.1|CQUI
OG0000013	LOC118502371|XP_035890483.1|ASTE, LOC118507499|XP_035901922.1|ASTE, LOC118507498|XP_035901921.1|ASTE, LOC118507500|XP_035901923.1|ASTE, LOC118507496|XP_035901918.1|ASTE, LOC118507497|XP_035901920.1|ASTE	LOC6047923|XP_001864910.2|CQUI
OG0000014	LOC118503306|XP_035892319.1|ASTE, LOC118515162|XP_035917761.1|ASTE	LOC119769177|XP_038117010.1|CQUI, LOC119767876|XP_038113576.1|CQUI
OG0000014	LOC118513701|XP_035915722.1|ASTE	LOC119765962|XP_038106183.1|CQUI, LOC6048315|XP_038106468.1|CQUI, LOC119769127|XP_038116954.1|CQUI
OG0000014	LOC118506592|XP_035899843.1|ASTE, LOC118513377|XP_035914925.1|ASTE, LOC118509085|XP_035905110.1|ASTE, LOC118502817|XP_035891359.1|ASTE, LOC118510097|XP_035907419.1|ASTE, LOC118516573|XP_035918430.1|ASTE	LOC119766248|XP_038106615.1|CQUI, LOC119765908|XP_038106039.1|CQUI
OG0000014	LOC118505923|XP_035898309.1|ASTE	LOC119769264|XP_038117142.1|CQUI, LOC119769824|XP_038119441.1|CQUI, LOC119769792|XP_038119346.1|CQUI, LOC119770300|XP_038120852.1|CQUI, LOC119766411|XP_038106872.1|CQUI, LOC119769083|XP_038116910.1|CQUI, LOC119768999|XP_038116798.1|CQUI, LOC119769462|XP_038117930.1|CQUI, LOC119770313|XP_038120894.1|CQUI, LOC119771022|XP_038122400.1|CQUI, LOC6049375|XP_038106666.1|CQUI
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC6037346|XP_001847269.1|CQUI
OG0000016	LOC118509720|XP_035906702.1|ASTE	LOC6050225|XP_001866863.1|CQUI
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC6032259|XP_001842896.1|CQUI
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC6042744|XP_038105438.1|CQUI
OG0000016	LOC118502963|XP_035891620.1|ASTE	LOC6037347|XP_001847270.2|CQUI
OG0000016	LOC118505225|XP_035896646.1|ASTE	LOC6044918|XP_001862348.1|CQUI
OG0000016	LOC118503559|XP_035892861.1|ASTE	LOC6045437|XP_001862808.1|CQUI
OG0000016	LOC118503558|XP_035892859.1|ASTE	LOC6045438|XP_001862809.2|CQUI
OG0000016	LOC118503560|XP_035892862.1|ASTE	LOC6045432|XP_038109584.1|CQUI
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC6049793|XP_038119134.1|CQUI
OG0000018	LOC118513028|XP_035914198.1|ASTE	LOC6049801|XP_001866507.1|CQUI
OG0000018	LOC118513023|XP_035914193.1|ASTE	LOC6049798|XP_001866504.2|CQUI
OG0000018	LOC118513026|XP_035914196.1|ASTE	LOC6049794|XP_001866500.1|CQUI, LOC6051402|XP_001867843.2|CQUI, LOC6051397|XP_001867844.1|CQUI, LOC6049799|XP_001866505.1|CQUI
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE	LOC6032038|XP_001842705.2|CQUI, LOC6035676|XP_001845810.2|CQUI, LOC6032037|XP_038105442.1|CQUI
OG0000019	LOC118505911|XP_035898263.1|ASTE	LOC6035669|XP_001845803.2|CQUI, LOC6035668|XP_001845802.2|CQUI
OG0000019	LOC118507102|XP_035900997.1|ASTE	LOC6035671|XP_001845805.2|CQUI, LOC6035672|XP_038106248.1|CQUI, LOC6035674|XP_038108138.1|CQUI, LOC6035673|XP_001845807.2|CQUI
OG0000019	LOC118505907|XP_035898258.1|ASTE	LOC6035725|XP_001845796.2|CQUI
OG0000019	LOC118506335|XP_035899208.1|ASTE	LOC6050287|XP_038119254.1|CQUI
OG0000019	LOC118506986|XP_035900751.1|ASTE	LOC6044518|XP_038116745.1|CQUI
OG0000020	LOC118502378|XP_035890492.1|ASTE	LOC6039902|XP_038113936.1|CQUI, LOC6039901|XP_038113915.1|CQUI
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC6039899|XP_001849397.1|CQUI
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC6036302|XP_038116279.1|CQUI
OG0000020	LOC118507693|XP_035902420.1|ASTE	LOC6032569|XP_038117444.1|CQUI
OG0000020	LOC118507694|XP_035902424.1|ASTE	LOC6044312|XP_038117451.1|CQUI
OG0000021	LOC118505404|XP_035897036.1|ASTE	LOC6033026|XP_038122145.1|CQUI
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC6039972|XP_001849462.1|CQUI
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC6037178|XP_001847112.1|CQUI
OG0000023	LOC118511284|XP_035910083.1|ASTE	LOC6047250|XP_001864331.2|CQUI
OG0000023	LOC118511293|XP_035910094.1|ASTE	LOC6047249|XP_038118268.1|CQUI
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC6034201|XP_001844555.2|CQUI
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC6051248|XP_001867717.2|CQUI, LOC6042920|XP_038111850.1|CQUI
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE	LOC6037278|XP_001847205.2|CQUI
OG0000026	LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC6037276|XP_038115329.1|CQUI, LOC6037277|XP_001847204.2|CQUI
OG0000027	LOC118514318|XP_035916995.1|ASTE, LOC118514317|XP_035916994.1|ASTE	LOC6034861|XP_001845131.1|CQUI, LOC6034862|XP_001845132.2|CQUI
OG0000027	LOC118514316|XP_035916993.1|ASTE	LOC6034859|XP_001845129.1|CQUI, LOC6034858|XP_001845128.1|CQUI, LOC6034857|XP_001845127.1|CQUI
OG0000027	LOC118514315|XP_035916992.1|ASTE, LOC118514308|XP_035916985.1|ASTE, LOC118514312|XP_035916989.1|ASTE, LOC118514313|XP_035916990.1|ASTE, LOC118514314|XP_035916991.1|ASTE, LOC118514310|XP_035916987.1|ASTE, LOC118514309|XP_035916986.1|ASTE, LOC118514311|XP_035916988.1|ASTE, LOC118514306|XP_035916982.1|ASTE	LOC6034855|XP_001845125.1|CQUI, LOC6034856|XP_038111639.1|CQUI
OG0000027	LOC118509804|XP_035906835.1|ASTE	LOC6034845|XP_001845116.1|CQUI, LOC6034846|XP_001845117.1|CQUI
OG0000027	LOC118509855|XP_035906957.1|ASTE	LOC6034842|XP_001845113.1|CQUI
OG0000029	LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE	LOC119770835|XP_038122320.1|CQUI, LOC6032197|XP_038121223.1|CQUI, LOC6054715|XP_001891378.1|CQUI, LOC119767641|XP_038112578.1|CQUI, LOC6036832|XP_038117253.1|CQUI, LOC119767638|XP_038112572.1|CQUI, LOC6033928|XP_001844317.2|CQUI, LOC6033925|XP_001844314.1|CQUI, LOC6033924|XP_001844313.2|CQUI, LOC6033923|XP_001844312.1|CQUI, LOC6033927|XP_001844316.1|CQUI
OG0000029	LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC6052046|XP_001868378.1|CQUI, LOC6052045|XP_001868377.1|CQUI, LOC6051109|XP_001867594.2|CQUI, LOC6042971|XP_001854129.2|CQUI, LOC6042962|XP_001854087.2|CQUI, LOC6042967|XP_001854113.2|CQUI, LOC6042966|XP_001854108.2|CQUI, LOC119768731|XP_038115519.1|CQUI, LOC6039478|XP_001849082.2|CQUI, LOC6039479|XP_038116652.1|CQUI, LOC119768730|XP_038115518.1|CQUI, LOC6039088|XP_001848759.2|CQUI
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC6037443|XP_038110196.1|CQUI, LOC6037444|XP_001847357.2|CQUI, LOC6037442|XP_038112627.1|CQUI
OG0000031	LOC118503404|XP_035892502.1|ASTE	LOC6052086|XP_038110691.1|CQUI
OG0000031	LOC118503633|XP_035893023.1|ASTE	LOC6052089|XP_001868416.1|CQUI
OG0000031	LOC118503635|XP_035893026.1|ASTE, LOC118503631|XP_035893019.1|ASTE	LOC6052091|XP_001868417.2|CQUI
OG0000031	LOC118503636|XP_035893027.1|ASTE	LOC6052096|XP_038111674.1|CQUI, LOC6052094|XP_001868420.2|CQUI, LOC6045845|XP_001863128.1|CQUI, LOC6045839|XP_001863129.2|CQUI
OG0000032	LOC118503124|XP_035891971.1|ASTE	LOC6043364|XP_038120746.1|CQUI
OG0000032	LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE	LOC6031025|XP_001841877.1|CQUI
OG0000034	LOC118512083|XP_035911935.1|ASTE	LOC6031147|XP_001841990.2|CQUI
OG0000034	LOC118512076|XP_035911906.1|ASTE	LOC6031148|XP_038117685.1|CQUI
OG0000034	LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC6045701|XP_001863009.1|CQUI
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC6035433|XP_001845622.2|CQUI
OG0000036	LOC118505354|XP_035896919.1|ASTE	LOC6046380|XP_001863590.1|CQUI
OG0000036	LOC118506976|XP_035900728.1|ASTE	LOC6049998|XP_001866672.1|CQUI
OG0000036	LOC118506974|XP_035900726.1|ASTE	LOC6042513|XP_001851827.2|CQUI, LOC6042512|XP_001851819.2|CQUI, LOC6039251|XP_001848886.2|CQUI, LOC6039250|XP_001848885.2|CQUI, LOC6054371|XP_001870297.2|CQUI
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC6043093|XP_001855590.2|CQUI, LOC6043095|XP_001855599.1|CQUI, LOC6043092|XP_038114420.1|CQUI
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC6034620|XP_001844912.2|CQUI
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC6034623|XP_001844914.2|CQUI, LOC6047259|XP_001864341.2|CQUI
OG0000038	LOC118514617|XP_035917507.1|ASTE, LOC118514616|XP_035917506.1|ASTE, LOC118514615|XP_035917505.1|ASTE	LOC6034627|XP_001844918.2|CQUI, LOC119769269|XP_038117155.1|CQUI, LOC119770095|XP_038120251.1|CQUI
OG0000038	LOC118514610|XP_035917498.1|ASTE, LOC118514613|XP_035917504.1|ASTE	LOC6034624|XP_038117154.1|CQUI, LOC119769270|XP_038117156.1|CQUI
OG0000038	LOC118510905|XP_035909186.1|ASTE	LOC6034638|XP_001844928.1|CQUI, LOC6034640|XP_038117327.1|CQUI, LOC6034649|XP_001844939.2|CQUI, LOC119769358|XP_038117332.1|CQUI, LOC119769361|XP_038117335.1|CQUI, LOC119769360|XP_038117334.1|CQUI, LOC6034639|XP_038117328.1|CQUI, LOC119769359|XP_038117333.1|CQUI, LOC119769356|XP_038117330.1|CQUI, LOC119769855|XP_038119511.1|CQUI, LOC119769273|XP_038117161.1|CQUI, LOC6034643|XP_001844933.2|CQUI, LOC119769357|XP_038117331.1|CQUI, LOC119769272|XP_038117160.1|CQUI, LOC119769271|XP_038117159.1|CQUI, LOC6051896|XP_001868252.2|CQUI, LOC6034636|XP_038120131.1|CQUI, LOC6031335|XP_038106837.1|CQUI, LOC6034628|XP_001844919.2|CQUI
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE	LOC6035422|XP_001845614.2|CQUI, LOC6035423|XP_001845615.2|CQUI, LOC6035424|XP_038106274.1|CQUI, LOC6035425|XP_038106266.1|CQUI, LOC6033015|XP_001843523.2|CQUI, LOC6046336|XP_001863555.2|CQUI, LOC6044717|XP_038115204.1|CQUI, LOC6045138|XP_001862537.2|CQUI
OG0000039	LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC6033345|XP_001843808.2|CQUI, LOC6048226|XP_001865174.2|CQUI, LOC6048225|XP_001865176.2|CQUI, LOC6048220|XP_038120639.1|CQUI
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC6043424|XP_001858991.1|CQUI, LOC6043426|XP_038116385.1|CQUI, LOC6043423|XP_001858986.2|CQUI, LOC6043427|XP_038116386.1|CQUI, LOC6043428|XP_038116387.1|CQUI
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC119770262|XP_038120732.1|CQUI
OG0000045	LOC118514603|XP_035917492.1|ASTE	LOC6041463|XP_001850720.2|CQUI
OG0000045	LOC118511567|XP_035910700.1|ASTE	LOC6041462|XP_038118004.1|CQUI
OG0000045	LOC118513290|XP_035914756.1|ASTE, LOC118514320|XP_035916997.1|ASTE	LOC6041468|XP_001850724.1|CQUI
OG0000045	LOC118509249|XP_035905476.1|ASTE	LOC6041465|XP_001850721.2|CQUI
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC6034913|XP_001845179.1|CQUI
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC6042064|XP_001851216.1|CQUI
OG0000049	LOC118510116|XP_035907473.1|ASTE	LOC119770327|XP_038120923.1|CQUI
OG0000049	LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC6040028|XP_001849502.2|CQUI
OG0000051	LOC118504525|XP_035894960.1|ASTE	LOC6049623|XP_001866350.2|CQUI, LOC6049624|XP_001866351.2|CQUI, LOC6049622|XP_001866349.2|CQUI
OG0000051	LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE	LOC6043147|XP_038117609.1|CQUI
OG0000053	LOC118503243|XP_035892157.1|ASTE	LOC6042358|XP_001851486.2|CQUI
OG0000053	LOC118503347|XP_035892412.1|ASTE	LOC6053872|XP_001869889.2|CQUI
OG0000053	LOC118503346|XP_035892410.1|ASTE	LOC6037642|XP_001847529.2|CQUI
OG0000053	LOC118503349|XP_035892422.1|ASTE	LOC6053871|XP_001869888.2|CQUI
OG0000053	LOC118504346|XP_035894606.1|ASTE	LOC6049882|XP_001866573.2|CQUI
OG0000054	LOC118511291|XP_035910092.1|ASTE	LOC6047251|XP_038118267.1|CQUI
OG0000054	LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE	LOC6047253|XP_001864335.2|CQUI, LOC6047252|XP_001864334.2|CQUI, LOC6047266|XP_038120120.1|CQUI
OG0000054	LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE	LOC6051751|XP_001868138.2|CQUI, LOC6051753|XP_038112406.1|CQUI, LOC6047254|XP_038118865.1|CQUI
OG0000054	LOC118512788|XP_035913599.1|ASTE	LOC6050365|XP_038117140.1|CQUI
OG0000054	LOC118512789|XP_035913600.1|ASTE	LOC6035650|XP_038104780.1|CQUI, LOC6050366|XP_038119770.1|CQUI
OG0000055	LOC118508181|XP_035903635.1|ASTE	LOC6036945|XP_001846918.2|CQUI
OG0000055	LOC118509864|XP_035906979.1|ASTE	LOC6044197|XP_001861742.2|CQUI, LOC6044200|XP_001861740.1|CQUI
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC6046589|XP_038114917.1|CQUI, LOC6046586|XP_001863762.1|CQUI, LOC6046588|XP_001863763.1|CQUI
OG0000057	LOC118514020|XP_035916389.1|ASTE, LOC118506375|XP_035899336.1|ASTE	LOC119768897|XP_038116609.1|CQUI
OG0000057	LOC118502375|XP_035890488.1|ASTE, LOC118505467|XP_035897214.1|ASTE, LOC118505227|XP_035896692.1|ASTE	LOC119766112|XP_038106436.1|CQUI
OG0000057	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE	LOC119769773|XP_038119282.1|CQUI
OG0000057	LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE	LOC119769777|XP_038119303.1|CQUI
OG0000057	LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE	LOC119768896|XP_038116608.1|CQUI
