Orthogroup	ASTE.longest_only	DBIA.longest_only
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC108024403|XP_016949804.1|DBIA, LOC108027722|XP_016954764.1|DBIA
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC108024224|XP_016949584.1|DBIA, LOC108033678|XP_016963623.1|DBIA, LOC108033486|XP_016963314.1|DBIA, LOC108022124|XP_016946453.1|DBIA, LOC108030510|XP_016958887.1|DBIA, LOC108027641|XP_016954647.1|DBIA, LOC108027805|XP_016954873.1|DBIA, LOC108027642|XP_016954648.1|DBIA, LOC108027715|XP_016954755.1|DBIA, LOC108027742|XP_016954784.1|DBIA
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC108027215|XP_016954031.1|DBIA, LOC108028025|XP_016955150.1|DBIA
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC108028075|XP_016955204.1|DBIA
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC108027959|XP_016955073.1|DBIA, LOC108031521|XP_016960528.1|DBIA, LOC108034448|XP_016964821.1|DBIA, LOC108029590|XP_016957445.1|DBIA, LOC108036196|XP_016967676.1|DBIA, LOC108027565|XP_016954535.1|DBIA
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC108032380|XP_016961690.1|DBIA, LOC108034332|XP_016964700.1|DBIA, LOC108028712|XP_016956151.1|DBIA, LOC108033786|XP_016963881.1|DBIA, LOC108023296|XP_016948086.1|DBIA
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC108034500|XP_016964894.1|DBIA, LOC108034394|XP_016964765.1|DBIA
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC108036662|XP_016968433.1|DBIA, LOC108036290|XP_016967791.1|DBIA, LOC108036249|XP_016967747.1|DBIA
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC108022685|XP_016947244.1|DBIA
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC108023361|XP_016948233.1|DBIA
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC108027157|XP_016953875.1|DBIA
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC108028307|XP_016955519.1|DBIA, LOC108028433|XP_016955751.1|DBIA
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC108035061|XP_016965936.1|DBIA
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC108027529|XP_016954462.1|DBIA
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC108026696|XP_016953273.1|DBIA
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC108032098|XP_016961415.1|DBIA
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC108026817|XP_016953471.1|DBIA
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC108024645|XP_016950184.1|DBIA
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC108026559|XP_016952999.1|DBIA, LOC108030890|XP_016959551.1|DBIA, LOC108027078|XP_016953782.1|DBIA, LOC108027590|XP_016954597.1|DBIA, LOC108023624|XP_016948723.1|DBIA
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC108023084|XP_016947826.1|DBIA, LOC108022970|XP_016947684.1|DBIA, LOC108036474|XP_016968140.1|DBIA
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC108026719|XP_016953316.1|DBIA, LOC108032144|XP_016961473.1|DBIA, LOC108030979|XP_016959668.1|DBIA, LOC108030981|XP_016959669.1|DBIA, LOC108030982|XP_016959670.1|DBIA
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC108034224|XP_016964555.1|DBIA, LOC108036802|XP_016968638.1|DBIA, LOC108036697|XP_016968476.1|DBIA, LOC108036696|XP_016968475.1|DBIA, LOC108034049|XP_016964289.1|DBIA
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC108029487|XP_016957244.1|DBIA
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC108030446|XP_016958828.1|DBIA
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC108030036|XP_016958096.1|DBIA
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC108026716|XP_016953312.1|DBIA
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC108033838|XP_016963957.1|DBIA
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC108030164|XP_016958382.1|DBIA
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC108027303|XP_016954184.1|DBIA, LOC108027149|XP_016953860.1|DBIA
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC108034931|XP_016965678.1|DBIA
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC108036323|XP_016967826.1|DBIA, LOC108036321|XP_016967823.1|DBIA, LOC108035651|XP_016966846.1|DBIA, LOC108029154|XP_016956781.1|DBIA
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC108026296|XP_016952657.1|DBIA
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC108034140|XP_016964423.1|DBIA, LOC108024396|XP_016949800.1|DBIA, LOC108025529|XP_016951546.1|DBIA
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC108036087|XP_016967526.1|DBIA
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC108034459|XP_016964832.1|DBIA, LOC108027023|XP_016953706.1|DBIA
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC108034354|XP_016964729.1|DBIA, LOC108032607|XP_016962024.1|DBIA, LOC108024684|XP_016950250.1|DBIA, LOC108032371|XP_016961681.1|DBIA
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC108027233|XP_016954056.1|DBIA
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC108023711|XP_016948830.1|DBIA
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC108035923|XP_016967190.1|DBIA, LOC108035925|XP_016967202.1|DBIA
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC108022873|XP_016947552.1|DBIA
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC108036452|XP_016968100.1|DBIA, LOC108026512|XP_016952947.1|DBIA
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC108028249|XP_016955425.1|DBIA, LOC108028438|XP_016955757.1|DBIA, LOC108028436|XP_016955755.1|DBIA, LOC108022796|XP_016947418.1|DBIA
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC108023041|XP_016947774.1|DBIA, LOC108031043|XP_016959733.1|DBIA, LOC108033270|XP_016963024.1|DBIA, LOC108029331|XP_016957015.1|DBIA, LOC108031026|XP_016959715.1|DBIA, LOC108031245|XP_016959970.1|DBIA, LOC108031263|XP_016959991.1|DBIA
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC108031983|XP_016961270.1|DBIA, LOC108035758|XP_016966946.1|DBIA, LOC108035831|XP_016967067.1|DBIA
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC108033292|XP_016963047.1|DBIA, LOC108034197|XP_016964514.1|DBIA
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC108033291|XP_016963046.1|DBIA, LOC108034262|XP_016964608.1|DBIA
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC108028113|XP_016955251.1|DBIA, LOC108028807|XP_016956281.1|DBIA, LOC108028040|XP_016955167.1|DBIA, LOC108028752|XP_016956212.1|DBIA
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC108026543|XP_016952982.1|DBIA, LOC108026931|XP_016953634.1|DBIA
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC108027552|XP_016954506.1|DBIA, LOC108023986|XP_016949205.1|DBIA, LOC108027490|XP_016954423.1|DBIA, LOC108027493|XP_016954426.1|DBIA
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC108033114|XP_016962807.1|DBIA, LOC108023899|XP_016949074.1|DBIA, LOC108034036|XP_016964270.1|DBIA, LOC108027444|XP_016954385.1|DBIA, LOC108033272|XP_016963026.1|DBIA
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC108033614|XP_016963466.1|DBIA
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC108032547|XP_016961914.1|DBIA, LOC108032549|XP_016961915.1|DBIA, LOC108032550|XP_016961916.1|DBIA, LOC108032552|XP_016961919.1|DBIA
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC108029064|XP_016956623.1|DBIA, LOC108028954|XP_016956481.1|DBIA, LOC108029375|XP_016957092.1|DBIA, LOC108032392|XP_016961702.1|DBIA, LOC108034188|XP_016964499.1|DBIA
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC108031872|XP_016961119.1|DBIA, LOC108026922|XP_016953622.1|DBIA, LOC108031272|XP_016960002.1|DBIA, LOC108031192|XP_016959902.1|DBIA
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC108023244|XP_016948011.1|DBIA
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC108030087|XP_016958214.1|DBIA
