Orthogroup	ASTE.longest_only	DSUZ.longest_only
OG0000014	LOC118515274|XP_035917861.1|ASTE, LOC118515180|XP_035917776.1|ASTE, LOC118507634|XP_035902251.1|ASTE, LOC118507967|XP_035903190.1|ASTE, LOC118507435|XP_035901806.1|ASTE, LOC118509114|XP_035905178.1|ASTE, LOC118516606|XP_035918467.1|ASTE, LOC118515167|XP_035917765.1|ASTE, LOC118515195|XP_035917787.1|ASTE, LOC118516437|XP_035918212.1|ASTE	LOC118878733|XP_036677645.1|DSUZ, LOC118878702|XP_036677612.1|DSUZ, LOC118878312|XP_036676373.1|DSUZ, LOC118879579|XP_036678375.1|DSUZ, LOC118879580|XP_036678377.1|DSUZ, LOC118879083|XP_036677955.1|DSUZ
OG0000016	LOC118502962|XP_035891619.1|ASTE	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC118503654|XP_035893068.1|ASTE	LOC108008079|XP_016927358.2|DSUZ
OG0000016	LOC118505170|XP_035896494.1|ASTE	LOC108011133|XP_016931695.1|DSUZ
OG0000016	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE	LOC108007764|XP_016927008.1|DSUZ
OG0000018	LOC118513024|XP_035914194.1|ASTE	LOC108012738|XP_016933660.1|DSUZ
OG0000019	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ
OG0000020	LOC118507513|XP_035901949.1|ASTE	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ, LOC108009233|XP_016928887.1|DSUZ
OG0000020	LOC118509588|XP_035906253.1|ASTE	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ, LOC108015714|XP_036672549.1|DSUZ, LOC108010610|XP_036674725.1|DSUZ, LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ
OG0000021	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE	LOC108012220|XP_036675724.1|DSUZ
OG0000021	LOC118505796|XP_035898023.1|ASTE	LOC108006427|XP_036673222.1|DSUZ, LOC108018719|XP_036672548.1|DSUZ, LOC108005418|XP_036676931.1|DSUZ
OG0000022	LOC118510588|XP_035908481.1|ASTE	LOC108008926|XP_016928324.1|DSUZ, LOC108012621|XP_016933529.1|DSUZ, LOC108012689|XP_016933606.1|DSUZ, LOC108013020|XP_016934100.1|DSUZ, LOC108013019|XP_016934099.1|DSUZ, LOC118877165|XP_036670261.1|DSUZ, LOC108013021|XP_016934101.1|DSUZ, LOC108013023|XP_016934102.2|DSUZ, LOC108013018|XP_016934098.1|DSUZ
OG0000023	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE	LOC108013955|XP_036675219.1|DSUZ, LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ, LOC108013952|XP_016935450.2|DSUZ, LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ, LOC108013954|XP_016935453.2|DSUZ, LOC108013962|XP_016935466.1|DSUZ, LOC108013947|XP_036675218.1|DSUZ, LOC108013965|XP_016935470.1|DSUZ
OG0000024	LOC118507315|XP_035901591.1|ASTE	LOC108010072|XP_016930375.2|DSUZ, LOC118876895|XP_036668888.1|DSUZ, LOC118876966|XP_036669508.1|DSUZ, LOC118876934|XP_036669252.1|DSUZ, LOC108010252|XP_016930594.2|DSUZ, LOC108010071|XP_016930374.1|DSUZ, LOC108021416|XP_016945617.2|DSUZ, LOC108021417|XP_016945618.1|DSUZ, LOC108021415|XP_016945616.1|DSUZ, LOC108019756|XP_016943207.1|DSUZ
OG0000025	LOC118514136|XP_035916629.1|ASTE	LOC108016763|XP_016939005.1|DSUZ
OG0000025	LOC118509777|XP_035906810.1|ASTE	LOC108016331|XP_036678431.1|DSUZ
OG0000026	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE	LOC108005489|XP_016924284.1|DSUZ, LOC108014363|XP_016935943.1|DSUZ, LOC108013851|XP_016935328.2|DSUZ
OG0000027	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE	LOC118879783|XP_036678676.1|DSUZ, LOC108021423|XP_016945624.1|DSUZ, LOC108015770|XP_036678674.1|DSUZ
OG0000028	LOC118513512|XP_035915261.1|ASTE	LOC108017014|XP_016939459.2|DSUZ, LOC118877530|XP_036672475.1|DSUZ, LOC108006594|XP_016925608.2|DSUZ, LOC118876756|XP_036670662.1|DSUZ, LOC108017018|XP_016939463.2|DSUZ, LOC118877233|XP_036670663.1|DSUZ, LOC118877238|XP_036670669.1|DSUZ, LOC118877536|XP_036672481.1|DSUZ, LOC108017017|XP_036670659.1|DSUZ, LOC108017016|XP_036672473.1|DSUZ, LOC118877237|XP_036670668.1|DSUZ, LOC118877232|XP_036670660.1|DSUZ, LOC118877535|XP_036672480.1|DSUZ, LOC118877531|XP_036672476.1|DSUZ, LOC118877235|XP_036670665.1|DSUZ, LOC108006595|XP_016925609.2|DSUZ, LOC118877534|XP_036672479.1|DSUZ, LOC118877234|XP_036670664.1|DSUZ, LOC108006593|XP_016925607.2|DSUZ, LOC118877529|XP_036672474.1|DSUZ, LOC118877236|XP_036670666.1|DSUZ, LOC118877532|XP_036672477.1|DSUZ, LOC108017026|XP_016939472.2|DSUZ, LOC118877533|XP_036672478.1|DSUZ, LOC118877366|XP_036671777.1|DSUZ
OG0000029	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE	LOC108018422|XP_016941467.2|DSUZ, LOC108006019|XP_016924952.2|DSUZ, LOC108008251|XP_016927530.2|DSUZ, LOC108013363|XP_016938502.2|DSUZ, LOC108016468|XP_016938614.1|DSUZ, LOC108018480|XP_016941526.2|DSUZ, LOC108019543|XP_016942870.2|DSUZ
OG0000031	LOC118503726|XP_035893229.1|ASTE, LOC118504892|XP_035895844.1|ASTE, LOC118503724|XP_035893221.1|ASTE	LOC108004553|XP_016923012.1|DSUZ, LOC108020876|XP_016944764.1|DSUZ, LOC108016065|XP_016938150.1|DSUZ, LOC108021690|XP_016946003.1|DSUZ, LOC118879756|XP_036678590.1|DSUZ, LOC108020065|XP_036671004.1|DSUZ, LOC108008340|XP_016927698.1|DSUZ, LOC108016076|XP_016938162.1|DSUZ
OG0000032	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE	LOC108018357|XP_036672791.1|DSUZ, LOC108018355|XP_036672792.1|DSUZ, LOC108018356|XP_036672750.1|DSUZ, LOC108007773|XP_036672793.1|DSUZ, LOC108018396|XP_036672794.1|DSUZ, LOC108007821|XP_016927075.2|DSUZ, LOC108018408|XP_016941455.1|DSUZ, LOC108007771|XP_016927017.1|DSUZ, LOC118877584|XP_036672749.1|DSUZ
OG0000034	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE	LOC108021477|XP_016945708.1|DSUZ, LOC108021476|XP_016945707.1|DSUZ, LOC108021724|XP_016946052.1|DSUZ, LOC108009317|XP_016929074.1|DSUZ, LOC108007509|XP_016926684.2|DSUZ, LOC108005694|XP_016924510.2|DSUZ, LOC108005688|XP_016924502.2|DSUZ, LOC108011927|XP_016932664.1|DSUZ
OG0000036	LOC118505450|XP_035897142.1|ASTE	LOC108019328|XP_036675087.1|DSUZ
OG0000036	LOC118502424|XP_035890544.1|ASTE	LOC108006404|XP_016925415.2|DSUZ
OG0000037	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE	LOC108018132|XP_016941074.1|DSUZ, LOC108017560|XP_036672906.1|DSUZ, LOC108013828|XP_016935296.2|DSUZ, LOC108013829|XP_016935299.2|DSUZ
OG0000038	LOC118510894|XP_035909171.1|ASTE	LOC108020759|XP_016944626.2|DSUZ
OG0000038	LOC118510898|XP_035909176.1|ASTE	LOC108010653|XP_036670653.1|DSUZ
OG0000039	LOC118509581|XP_035906243.1|ASTE, LOC118509576|XP_035906238.1|ASTE, LOC118509578|XP_035906240.1|ASTE, LOC118509580|XP_035906242.1|ASTE, LOC118509577|XP_035906239.1|ASTE, LOC118509579|XP_035906241.1|ASTE, LOC118509582|XP_035906245.1|ASTE, LOC118512924|XP_035913974.1|ASTE, LOC118504616|XP_035895189.1|ASTE, LOC118504617|XP_035895190.1|ASTE	LOC108016023|XP_016938107.2|DSUZ
OG0000041	LOC118502651|XP_035890993.1|ASTE	LOC108012086|XP_016932852.2|DSUZ, LOC108007903|XP_036674596.1|DSUZ, LOC108007889|XP_036674680.1|DSUZ, LOC108007905|XP_016927163.2|DSUZ, LOC108007918|XP_016927178.2|DSUZ
OG0000043	LOC118514201|XP_035916783.1|ASTE	LOC108006018|XP_016924950.2|DSUZ, LOC108006051|XP_036674427.1|DSUZ, LOC108006016|XP_036674672.1|DSUZ, LOC118878135|XP_036675630.1|DSUZ, LOC108006062|XP_016924995.2|DSUZ, LOC108010802|XP_016931225.2|DSUZ, LOC108006056|XP_016924989.2|DSUZ
OG0000047	LOC118514097|XP_035916530.1|ASTE	LOC108008533|XP_016927892.1|DSUZ, LOC108008555|XP_016927914.1|DSUZ, LOC108019650|XP_016943022.1|DSUZ, LOC108013633|XP_016935067.1|DSUZ, LOC108019638|XP_016943010.1|DSUZ, LOC108012941|XP_016933968.1|DSUZ
OG0000048	LOC118510295|XP_035907813.1|ASTE	LOC108007323|XP_016926460.1|DSUZ, LOC108007321|XP_016926458.2|DSUZ, LOC108019378|XP_016942690.1|DSUZ
OG0000049	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE	LOC108020793|XP_016944660.2|DSUZ, LOC108020795|XP_016944662.2|DSUZ, LOC108019317|XP_016942627.2|DSUZ, LOC118877929|XP_036674430.1|DSUZ, LOC108019319|XP_016942628.2|DSUZ, LOC108020803|XP_016944672.2|DSUZ
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC108007968|XP_016927228.1|DSUZ, LOC108008061|XP_016927332.1|DSUZ, LOC108019243|XP_016942528.2|DSUZ, LOC108010880|XP_036675361.1|DSUZ, LOC118877892|XP_036674208.1|DSUZ, LOC108017397|XP_036673834.1|DSUZ, LOC108019259|XP_016942548.2|DSUZ
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC108019583|XP_016942913.1|DSUZ, LOC108019582|XP_016942912.1|DSUZ, LOC108019581|XP_016942910.1|DSUZ
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC108007018|XP_016926113.2|DSUZ, LOC108007014|XP_016926109.2|DSUZ, LOC108007012|XP_016926106.2|DSUZ, LOC108007023|XP_016926117.2|DSUZ, LOC108007019|XP_016926114.2|DSUZ
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC108016465|XP_016938609.1|DSUZ, LOC108006756|XP_016925797.2|DSUZ, LOC108016454|XP_016938596.1|DSUZ
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC108011021|XP_036674004.1|DSUZ, LOC108011020|XP_036674003.1|DSUZ, LOC108011024|XP_016931542.2|DSUZ, LOC108011023|XP_016931541.2|DSUZ, LOC108011022|XP_016931540.2|DSUZ, LOC108018752|XP_016941818.1|DSUZ, LOC108018751|XP_016941817.2|DSUZ
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC108008838|XP_016928233.1|DSUZ, LOC108008882|XP_016928279.1|DSUZ, LOC108004630|XP_016923063.1|DSUZ, LOC108008875|XP_016928269.1|DSUZ, LOC108010497|XP_016930860.1|DSUZ, LOC108011123|XP_016931684.1|DSUZ
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC108005298|XP_016923997.1|DSUZ
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC108012147|XP_016932927.2|DSUZ
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC108005224|XP_016923903.1|DSUZ, LOC108011810|XP_016932540.1|DSUZ
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC108015083|XP_016936812.1|DSUZ, LOC108016949|XP_016939375.1|DSUZ, LOC108016941|XP_016939363.1|DSUZ, LOC108014192|XP_016935747.1|DSUZ, LOC108008804|XP_016928198.1|DSUZ, LOC108011049|XP_016931601.1|DSUZ, LOC108019095|XP_016942282.1|DSUZ, LOC108019076|XP_016942230.1|DSUZ, LOC108019103|XP_036676902.1|DSUZ
OG0000064	LOC118515144|XP_035917738.1|ASTE, LOC118516443|XP_035918226.1|ASTE, LOC118516502|XP_035918325.1|ASTE, LOC118516481|XP_035918305.1|ASTE, LOC118516545|XP_035918382.1|ASTE, LOC118516480|XP_035918301.1|ASTE, LOC118516506|XP_035918329.1|ASTE, LOC118516979|XP_035918697.1|ASTE, LOC118515150|XP_035917750.1|ASTE, LOC118506585|XP_035899871.1|ASTE, LOC118517397|XP_035919354.1|ASTE, LOC118516984|XP_035918705.1|ASTE, LOC118517730|XP_035920074.1|ASTE, LOC118506075|XP_035898677.1|ASTE, LOC118503143|XP_035892009.1|ASTE	LOC118878837|XP_036677759.1|DSUZ, LOC118876785|XP_036678236.1|DSUZ
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC108018360|XP_036672819.1|DSUZ, LOC108011429|XP_016932047.1|DSUZ
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC108012571|XP_016933475.1|DSUZ
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC108015543|XP_036672326.1|DSUZ, LOC108020078|XP_036672611.1|DSUZ, LOC108015958|XP_036673428.1|DSUZ, LOC108012701|XP_036672080.1|DSUZ, LOC108018226|XP_016941234.1|DSUZ, LOC108008698|XP_016928082.1|DSUZ, LOC108015246|XP_016937086.1|DSUZ
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC108010939|XP_016931440.1|DSUZ, LOC108008584|XP_016927954.1|DSUZ, LOC108014746|XP_036671592.1|DSUZ, LOC108008382|XP_016927718.1|DSUZ, LOC108016673|XP_016938880.1|DSUZ
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC108010694|XP_036670542.1|DSUZ
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC118877301|XP_036671340.1|DSUZ, LOC108013781|XP_016935236.2|DSUZ
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC108008238|XP_016927518.1|DSUZ, LOC108010178|XP_016930510.2|DSUZ
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC108006185|XP_016925109.1|DSUZ
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC108016759|XP_036676337.1|DSUZ
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC108013859|XP_036672571.1|DSUZ, LOC108017156|XP_036675209.1|DSUZ
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC108012499|XP_036670611.1|DSUZ, LOC108012409|XP_016933258.1|DSUZ, LOC108004794|XP_016923335.2|DSUZ
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC108005825|XP_036670890.1|DSUZ
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC108015039|XP_016936760.1|DSUZ
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC108009747|XP_016929834.1|DSUZ
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC108015852|XP_016937909.1|DSUZ
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC108010141|XP_016930463.1|DSUZ
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC108014833|XP_016936524.2|DSUZ
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC108008657|XP_016928031.1|DSUZ, LOC108006897|XP_016925974.2|DSUZ, LOC108011262|XP_036675195.1|DSUZ, LOC108015391|XP_016937300.1|DSUZ, LOC108016956|XP_016939380.1|DSUZ
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC108008669|XP_016928052.2|DSUZ, LOC108018488|XP_016941536.1|DSUZ, LOC108009443|XP_016929282.1|DSUZ
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC108005981|XP_016924910.2|DSUZ, LOC108006237|XP_016925166.2|DSUZ, LOC108020861|XP_036674571.1|DSUZ, LOC118877946|XP_036674572.1|DSUZ, LOC108006234|XP_036672863.1|DSUZ
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC108021699|XP_016946017.1|DSUZ, LOC108019227|XP_016942512.1|DSUZ, LOC108018957|XP_016942050.1|DSUZ, LOC108019013|XP_016942116.1|DSUZ, LOC108021302|XP_016945444.1|DSUZ
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC108019885|XP_016943446.1|DSUZ
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC108017776|XP_016940388.1|DSUZ
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC108017928|XP_036669794.1|DSUZ
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC108009612|XP_016929587.1|DSUZ
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC108006715|XP_016925785.1|DSUZ
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC108018081|XP_016940973.1|DSUZ
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC108017134|XP_016939601.1|DSUZ, LOC108013957|XP_016935459.1|DSUZ
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC108012396|XP_016933244.1|DSUZ
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC108009148|XP_016928740.1|DSUZ, LOC108008436|XP_016927775.1|DSUZ, LOC108020200|XP_016943797.1|DSUZ, LOC108013274|XP_016934533.1|DSUZ
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC108007205|XP_036674733.1|DSUZ
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC108021626|XP_016945921.1|DSUZ, LOC108017510|XP_036673504.1|DSUZ, LOC108020281|XP_036677911.1|DSUZ, LOC108017517|XP_016940076.2|DSUZ, LOC118879030|XP_036677910.1|DSUZ
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC108017965|XP_016940733.1|DSUZ
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC108012257|XP_016933045.2|DSUZ, LOC108014341|XP_016935913.1|DSUZ
OG0000095	LOC118502383|XP_035890498.1|ASTE	LOC118879701|XP_036678492.1|DSUZ
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC108005944|XP_016924862.1|DSUZ, LOC108021485|XP_016945715.1|DSUZ, LOC108006768|XP_036674772.1|DSUZ, LOC118878143|XP_036675694.1|DSUZ, LOC108005977|XP_016924907.1|DSUZ
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC108018693|XP_036672581.1|DSUZ
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC108016981|XP_016939415.1|DSUZ
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC118877221|XP_036670519.1|DSUZ, LOC108020440|XP_036670524.1|DSUZ, LOC118877222|XP_036670523.1|DSUZ, LOC108017021|XP_036671509.1|DSUZ, LOC108020448|XP_036672450.1|DSUZ, LOC118877521|XP_036672462.1|DSUZ, LOC118877329|XP_036671513.1|DSUZ, LOC118877522|XP_036672463.1|DSUZ, LOC118877220|XP_036670518.1|DSUZ
