Orthogroup	ASTE.longest_only	DSER.longest_only
OG0000051	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE	LOC110187927|XP_020813097.1|DSER, LOC110186721|XP_020811651.1|DSER, LOC110176579|XP_020798652.1|DSER
OG0000053	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE	LOC110176132|XP_020798030.1|DSER, LOC110176120|XP_020798020.1|DSER, LOC110176110|XP_020798009.1|DSER
OG0000054	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE	LOC110191806|XP_020818417.1|DSER, LOC110191860|XP_020818499.1|DSER, LOC110191877|XP_020818520.1|DSER, LOC110191876|XP_020818519.1|DSER
OG0000055	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE	LOC110186659|XP_020811582.1|DSER, LOC110186437|XP_020811278.1|DSER, LOC110186438|XP_020811279.1|DSER, LOC110186635|XP_020811553.1|DSER, LOC110186692|XP_020811619.1|DSER
OG0000056	LOC118507841|XP_035902865.1|ASTE	LOC110191245|XP_020817684.1|DSER, LOC110191242|XP_020817680.1|DSER, LOC110191246|XP_020817685.1|DSER, LOC110191243|XP_020817681.1|DSER, LOC110191244|XP_020817682.1|DSER, LOC110191006|XP_020817383.1|DSER, LOC110191004|XP_020817381.1|DSER, LOC110191023|XP_020817399.1|DSER, LOC110191359|XP_020817866.1|DSER
OG0000058	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE	LOC110185667|XP_020810288.1|DSER, LOC110183409|XP_020807348.1|DSER, LOC110185666|XP_020810287.1|DSER, LOC110183419|XP_020807360.1|DSER, LOC110185668|XP_020810289.1|DSER, LOC110182841|XP_020806632.1|DSER
OG0000060	LOC118506293|XP_035899121.1|ASTE	LOC110178856|XP_020801778.1|DSER
OG0000060	LOC118514292|XP_035916947.1|ASTE	LOC110186504|XP_020811358.1|DSER
OG0000060	LOC118509485|XP_035906030.1|ASTE	LOC110180206|XP_020803522.1|DSER, LOC110184888|XP_020809193.1|DSER
OG0000062	LOC118512947|XP_035914059.1|ASTE	LOC110184172|XP_020808240.1|DSER, LOC110183621|XP_020807597.1|DSER, LOC110181372|XP_020804760.1|DSER, LOC110181371|XP_020804759.1|DSER, LOC110176947|XP_020799108.1|DSER, LOC110190254|XP_020816277.1|DSER, LOC110190290|XP_020816328.1|DSER, LOC110179293|XP_020802437.1|DSER, LOC110183805|XP_020807816.1|DSER
OG0000064	LOC118515144|XP_035917738.1|ASTE, LOC118516443|XP_035918226.1|ASTE, LOC118516502|XP_035918325.1|ASTE, LOC118516481|XP_035918305.1|ASTE, LOC118516545|XP_035918382.1|ASTE, LOC118516480|XP_035918301.1|ASTE, LOC118516506|XP_035918329.1|ASTE, LOC118516979|XP_035918697.1|ASTE, LOC118515150|XP_035917750.1|ASTE, LOC118506585|XP_035899871.1|ASTE, LOC118517397|XP_035919354.1|ASTE, LOC118516984|XP_035918705.1|ASTE, LOC118517730|XP_035920074.1|ASTE, LOC118506075|XP_035898677.1|ASTE, LOC118503143|XP_035892009.1|ASTE	LOC110187958|XP_020813135.1|DSER
OG0000067	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE	LOC110177234|XP_020799524.1|DSER, LOC110176240|XP_020798198.1|DSER
OG0000067	LOC118509032|XP_035904963.1|ASTE	LOC110191355|XP_020817861.1|DSER
OG0000068	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE	LOC110185266|XP_020809672.1|DSER, LOC110185265|XP_020809670.1|DSER, LOC110182060|XP_020805682.1|DSER, LOC110175923|XP_020797759.1|DSER
OG0000070	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE	LOC110185753|XP_020810411.1|DSER, LOC110183288|XP_020807181.1|DSER, LOC110182504|XP_020806211.1|DSER, LOC110185866|XP_020810535.1|DSER, LOC110183296|XP_020807193.1|DSER, LOC110185982|XP_020810665.1|DSER, LOC110183355|XP_020807278.1|DSER, LOC110183303|XP_020807205.1|DSER
OG0000071	LOC118507755|XP_035902660.1|ASTE	LOC110179007|XP_020802002.1|DSER
OG0000071	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE	LOC110179838|XP_020803105.1|DSER, LOC110179839|XP_020803106.1|DSER, LOC110179837|XP_020803104.1|DSER
OG0000072	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE	LOC110181580|XP_020805035.1|DSER, LOC110181287|XP_020804670.1|DSER, LOC110181570|XP_020805024.1|DSER
OG0000073	LOC118508175|XP_035903617.1|ASTE	LOC110176360|XP_020798348.1|DSER
OG0000073	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE	LOC110182177|XP_020805838.1|DSER, LOC110182195|XP_020805867.1|DSER
OG0000073	LOC118506813|XP_035900364.1|ASTE	LOC110188202|XP_020813458.1|DSER
OG0000074	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE	LOC110184734|XP_020809020.1|DSER, LOC110185176|XP_020809553.1|DSER
OG0000076	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE	LOC110190420|XP_020816550.1|DSER
OG0000076	LOC118504620|XP_035895194.1|ASTE	LOC110181877|XP_020805462.1|DSER
OG0000077	LOC118507281|XP_035901485.1|ASTE	LOC110182629|XP_020806354.1|DSER
OG0000077	LOC118512454|XP_035912813.1|ASTE	LOC110189410|XP_020815129.1|DSER
OG0000077	LOC118506025|XP_035898529.1|ASTE	LOC110177149|XP_020799390.1|DSER
OG0000077	LOC118511962|XP_035911578.1|ASTE	LOC110176398|XP_020798389.1|DSER
OG0000078	LOC118506363|XP_035899271.1|ASTE	LOC110180108|XP_020803404.1|DSER, LOC110190038|XP_020816001.1|DSER, LOC110188466|XP_020813854.1|DSER, LOC110175994|XP_020797848.1|DSER, LOC110184416|XP_020808610.1|DSER
OG0000080	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE	LOC110179883|XP_020803143.1|DSER, LOC110189756|XP_020815629.1|DSER, LOC110186649|XP_020811608.1|DSER
OG0000082	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE	LOC110191132|XP_020817548.1|DSER, LOC110177382|XP_020799743.1|DSER, LOC110187734|XP_020812849.1|DSER, LOC110191363|XP_020817871.1|DSER
OG0000083	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE	LOC110183381|XP_020807303.1|DSER, LOC110183898|XP_020807898.1|DSER, LOC110183901|XP_020807903.1|DSER, LOC110183902|XP_020807904.1|DSER, LOC110183364|XP_020807285.1|DSER
OG0000084	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE	LOC110178501|XP_020801310.1|DSER
OG0000084	LOC118503417|XP_035892550.1|ASTE	LOC110178514|XP_020801324.1|DSER
OG0000085	LOC118513044|XP_035914229.1|ASTE	LOC110182637|XP_020806367.1|DSER
OG0000086	LOC118508907|XP_035904661.1|ASTE	LOC110182850|XP_020806645.1|DSER
OG0000087	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE	LOC110183207|XP_020807079.1|DSER
OG0000088	LOC118503330|XP_035892383.1|ASTE	LOC110189420|XP_020815137.1|DSER
OG0000089	LOC118505310|XP_035896841.1|ASTE	LOC110177136|XP_020799368.1|DSER
OG0000089	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE	LOC110190534|XP_020816740.1|DSER
OG0000090	LOC118506264|XP_035899059.1|ASTE	LOC110191832|XP_020818460.1|DSER, LOC110190013|XP_020816009.1|DSER, LOC110189985|XP_020815933.1|DSER, LOC110178630|XP_020801475.1|DSER
OG0000091	LOC118507859|XP_035902942.1|ASTE	LOC110186300|XP_020811077.1|DSER
OG0000091	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE	LOC110183974|XP_020807988.1|DSER, LOC110187866|XP_020813010.1|DSER, LOC110187865|XP_020813009.1|DSER
OG0000093	LOC118510780|XP_035908957.1|ASTE	LOC110177009|XP_020799178.1|DSER
OG0000094	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE	LOC110184690|XP_020808961.1|DSER, LOC110191394|XP_020817911.1|DSER, LOC110191395|XP_020817912.1|DSER
OG0000096	LOC118514595|XP_035917485.1|ASTE	LOC110181381|XP_020804769.1|DSER, LOC110185590|XP_020810184.1|DSER, LOC110186183|XP_020810901.1|DSER, LOC110181328|XP_020804706.1|DSER
OG0000098	LOC118506462|XP_035899533.1|ASTE	LOC110191273|XP_020817727.1|DSER
OG0000099	LOC118502385|XP_035890500.1|ASTE, LOC118506916|XP_035900604.1|ASTE, LOC118506914|XP_035900601.1|ASTE	LOC110180130|XP_020803432.1|DSER
OG0000101	LOC118510504|XP_035908303.1|ASTE	LOC110190009|XP_020815966.1|DSER, LOC110190010|XP_020815968.1|DSER, LOC110190014|XP_020815971.1|DSER, LOC110190012|XP_020815970.1|DSER, LOC110190011|XP_020815969.1|DSER, LOC110190008|XP_020815965.1|DSER, LOC110190179|XP_020816186.1|DSER
OG0000102	LOC118509466|XP_035905987.1|ASTE, LOC118511833|XP_035911269.1|ASTE, LOC118509016|XP_035904927.1|ASTE, LOC118509017|XP_035904928.1|ASTE, LOC118511825|XP_035911262.1|ASTE, LOC118511824|XP_035911261.1|ASTE	LOC110177925|XP_020800564.1|DSER
OG0000102	LOC118504365|XP_035894655.1|ASTE	LOC110188958|XP_020814556.1|DSER
OG0000103	LOC118508203|XP_035903666.1|ASTE	LOC110190577|XP_020816824.1|DSER, LOC110185270|XP_020809675.1|DSER, LOC110185268|XP_020809674.1|DSER, LOC110191485|XP_020818009.1|DSER
OG0000105	LOC118506605|XP_035899865.1|ASTE	LOC110185918|XP_020810590.1|DSER, LOC110177255|XP_020799565.1|DSER, LOC110177186|XP_020799440.1|DSER, LOC110177224|XP_020799504.1|DSER
OG0000108	LOC118509668|XP_035906547.1|ASTE, LOC118509663|XP_035906533.1|ASTE	LOC110177410|XP_020799826.1|DSER, LOC110180483|XP_020803827.1|DSER
OG0000109	LOC118505426|XP_035897081.1|ASTE, LOC118502869|XP_035891469.1|ASTE	LOC110183425|XP_020807363.1|DSER, LOC110183475|XP_020807414.1|DSER
OG0000109	LOC118504419|XP_035894746.1|ASTE	LOC110183319|XP_020807224.1|DSER
OG0000110	LOC118511309|XP_035910114.1|ASTE, LOC118511304|XP_035910107.1|ASTE	LOC110176728|XP_020798829.1|DSER, LOC110176727|XP_020798828.1|DSER, LOC110176715|XP_020798814.1|DSER, LOC110176729|XP_020798830.1|DSER
OG0000111	LOC118504874|XP_035895818.1|ASTE, LOC118503662|XP_035893080.1|ASTE, LOC118503161|XP_035892015.1|ASTE, LOC118504876|XP_035895821.1|ASTE, LOC118507965|XP_035903187.1|ASTE, LOC118507089|XP_035900970.1|ASTE, LOC118503024|XP_035891741.1|ASTE	LOC110180114|XP_020803416.1|DSER, LOC110176534|XP_020798578.1|DSER
OG0000112	LOC118509575|XP_035906237.1|ASTE, LOC118516425|XP_035918189.1|ASTE, LOC118509754|XP_035906778.1|ASTE	LOC110176021|XP_020797891.1|DSER, LOC110175993|XP_020797847.1|DSER
OG0000113	LOC118512990|XP_035914139.1|ASTE	LOC110188760|XP_020814262.1|DSER
OG0000114	LOC118509008|XP_035904916.1|ASTE	LOC110179935|XP_020803191.1|DSER, LOC110183971|XP_020807986.1|DSER
OG0000115	LOC118507936|XP_035903140.1|ASTE	LOC110182509|XP_020806218.1|DSER
OG0000117	LOC118502432|XP_035890553.1|ASTE, LOC118506535|XP_035899700.1|ASTE	LOC110186010|XP_020810704.1|DSER, LOC110186011|XP_020810706.1|DSER, LOC110186013|XP_020810708.1|DSER, LOC110186015|XP_020810710.1|DSER
OG0000118	LOC118502409|XP_035890526.1|ASTE	LOC110187377|XP_020812426.1|DSER, LOC110187376|XP_020812425.1|DSER, LOC110176919|XP_020799074.1|DSER, LOC110177243|XP_020799549.1|DSER, LOC110191782|XP_020818388.1|DSER, LOC110191765|XP_020818363.1|DSER
OG0000119	LOC118504397|XP_035894696.1|ASTE, LOC118507360|XP_035901665.1|ASTE, LOC118510253|XP_035907732.1|ASTE, LOC118504396|XP_035894695.1|ASTE	LOC110188592|XP_020814014.1|DSER, LOC110188608|XP_020814031.1|DSER, LOC110188489|XP_020813877.1|DSER, LOC110188600|XP_020814022.1|DSER
OG0000120	LOC118509359|XP_035905774.1|ASTE	LOC110178156|XP_020800849.1|DSER
OG0000120	LOC118512861|XP_035913838.1|ASTE	LOC110180259|XP_020803574.1|DSER
OG0000121	LOC118504430|XP_035894762.1|ASTE	LOC110176475|XP_020798493.1|DSER, LOC110184196|XP_020808286.1|DSER, LOC110176499|XP_020798532.1|DSER, LOC110176466|XP_020798484.1|DSER
