Orthogroup	BTRY.longest_only	DYAK.longest_only
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC26536044|XP_039231154.1|DYAK
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC6532927|XP_002093663.1|DYAK
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC6532930|XP_002093666.1|DYAK
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC6532928|XP_002093664.1|DYAK
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC6536141|XP_039231654.1|DYAK
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC6536143|XP_002096744.1|DYAK
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC6536140|XP_002096741.1|DYAK
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC6536142|XP_002096743.1|DYAK
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC6536144|XP_002096745.1|DYAK
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC6535723|XP_002096349.3|DYAK
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC6535721|XP_002096347.1|DYAK, LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK, LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC6532044|XP_002092821.1|DYAK, LOC6536768|XP_002097339.1|DYAK, LOC6530109|XP_002091055.1|DYAK, LOC6530111|XP_002091057.1|DYAK
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC120322215|XP_039233206.1|DYAK, LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC120322222|XP_039233212.1|DYAK, LOC26535638|XP_039229341.1|DYAK, LOC120322220|XP_039233210.1|DYAK, LOC26535724|XP_039233215.1|DYAK, LOC120322221|XP_039233211.1|DYAK
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC6530957|XP_002091795.1|DYAK
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC6530958|XP_002091796.1|DYAK
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC6530959|XP_015051811.1|DYAK
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC6530956|XP_002091794.1|DYAK
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK, LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK, LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC6530359|XP_002091285.1|DYAK
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC6525539|XP_002101374.1|DYAK
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC6537221|XP_002097779.1|DYAK
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC6534055|XP_002094741.1|DYAK
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC6536907|XP_002097476.1|DYAK
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC6538786|XP_002099299.1|DYAK
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC120320742|XP_039227211.1|DYAK
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC120322250|XP_039233239.1|DYAK, LOC120322248|XP_039233238.1|DYAK, LOC120321426|XP_039229753.1|DYAK
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC6529704|XP_002090697.2|DYAK, LOC6526496|XP_039227173.1|DYAK, LOC120320869|XP_039227770.1|DYAK, LOC6526950|XP_002088046.2|DYAK, LOC6526894|XP_002087993.1|DYAK, LOC6530275|XP_002091207.2|DYAK, LOC6538477|XP_002099001.3|DYAK
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC6536965|XP_002097534.1|DYAK, LOC6530731|XP_002091621.1|DYAK
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC6536862|XP_002097431.1|DYAK
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC6529087|XP_002090100.1|DYAK
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC6537169|XP_002097730.1|DYAK
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC6535129|XP_039230803.1|DYAK
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC6525337|XP_002101173.1|DYAK
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC6528495|XP_002089541.2|DYAK, LOC6539128|XP_002086029.1|DYAK
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC6533164|XP_002093890.1|DYAK
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC26535774|XP_015049832.1|DYAK
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC6533166|XP_002093892.1|DYAK
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC6538322|XP_039232218.1|DYAK, LOC6538324|XP_002098851.2|DYAK, LOC6538323|XP_002098850.2|DYAK, LOC6538326|XP_002098853.2|DYAK, LOC6538321|XP_002098848.1|DYAK, LOC6538320|XP_002098847.1|DYAK
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC6538082|XP_002098616.1|DYAK
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC6529647|XP_002090641.1|DYAK, LOC6528749|XP_002089784.2|DYAK, LOC6527703|XP_002088787.1|DYAK
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC6535735|XP_039231556.1|DYAK
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC6526013|XP_039229713.1|DYAK
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC6538705|XP_002099220.3|DYAK
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC6536819|XP_002097389.1|DYAK, LOC6524816|XP_002100658.1|DYAK
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC6531452|XP_002092255.1|DYAK
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC6532322|XP_002093082.1|DYAK, LOC6532321|XP_002093081.1|DYAK, LOC6532323|XP_002093083.1|DYAK, LOC6532320|XP_002093080.1|DYAK
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC6539886|XP_002086766.1|DYAK, LOC6531278|XP_002092087.2|DYAK, LOC26536093|XP_039232188.1|DYAK
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC6536032|XP_039230972.1|DYAK
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC6536035|XP_002096650.2|DYAK
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC6540152|XP_039232191.1|DYAK
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC6530300|XP_002091227.1|DYAK, LOC6530298|XP_002091225.1|DYAK, LOC6530299|XP_002091226.1|DYAK, LOC6530302|XP_002091229.1|DYAK
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC6530301|XP_002091228.2|DYAK
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC6529811|XP_002090793.1|DYAK, LOC6530303|XP_002091230.1|DYAK
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC6525230|XP_002101068.1|DYAK, LOC6527587|XP_002088675.1|DYAK
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC6528059|XP_002089126.1|DYAK
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC6525544|XP_002101379.1|DYAK, LOC6535919|XP_002096535.1|DYAK
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC6526916|XP_002088015.1|DYAK
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC6526913|XP_002088012.1|DYAK
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC6526915|XP_002088014.1|DYAK
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC6534951|XP_039229813.1|DYAK
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC6535078|XP_039229703.1|DYAK
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC6536587|XP_002097163.1|DYAK, LOC6528801|XP_002089833.1|DYAK, LOC6531052|XP_002091888.1|DYAK, LOC6536173|XP_002096764.1|DYAK, LOC6534230|XP_002094912.1|DYAK
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC6527318|XP_002088411.1|DYAK, LOC6527316|XP_002088409.2|DYAK, LOC6527317|XP_002088410.1|DYAK
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC6526597|XP_002087705.1|DYAK
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC6531827|XP_039228114.1|DYAK
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC6524424|XP_002100282.1|DYAK
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC6525109|XP_002100948.2|DYAK
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC6528006|XP_002089073.1|DYAK
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC6536794|XP_002097364.1|DYAK
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC6536802|XP_002097372.1|DYAK, LOC6536801|XP_002097371.1|DYAK
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC6531351|XP_002092155.1|DYAK, LOC6529512|XP_002090514.1|DYAK, LOC6529511|XP_002090513.2|DYAK, LOC6529510|XP_002090512.1|DYAK, LOC6536871|XP_002097440.2|DYAK, LOC6529821|XP_002090802.3|DYAK, LOC6536872|XP_002097441.1|DYAK, LOC6527117|XP_002088210.1|DYAK
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC6536018|XP_002096633.1|DYAK
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC6537201|XP_002097759.1|DYAK
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC6535269|XP_002095925.1|DYAK
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC6537913|XP_002098453.1|DYAK, LOC6537914|XP_039232806.1|DYAK
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC6531032|XP_002091868.2|DYAK
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC6539691|XP_002086577.2|DYAK
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC6524746|XP_002100590.1|DYAK
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC6535485|XP_002096116.3|DYAK, LOC6536605|XP_002097181.1|DYAK, LOC6536604|XP_002097180.1|DYAK, LOC6535486|XP_002096117.1|DYAK, LOC6535487|XP_002096118.3|DYAK, LOC6535489|XP_002096120.1|DYAK, LOC6539025|XP_002099527.1|DYAK
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6538543|XP_002099065.1|DYAK, LOC6538542|XP_002099064.1|DYAK, LOC6538540|XP_002099062.1|DYAK, LOC6538541|XP_002099063.1|DYAK, LOC6538533|XP_002099055.1|DYAK, LOC6538535|XP_039230997.1|DYAK, LOC6538534|XP_002099056.1|DYAK
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC6536588|XP_002097164.1|DYAK, LOC6536590|XP_002097166.1|DYAK, LOC6536589|XP_002097165.1|DYAK
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC6536584|XP_002097160.1|DYAK, LOC6536592|XP_002097168.1|DYAK, LOC6536593|XP_039231638.1|DYAK, LOC6539005|XP_002099507.1|DYAK, LOC6536594|XP_002097170.1|DYAK
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC6538530|XP_002099052.1|DYAK
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC6538526|XP_002099048.1|DYAK, LOC6538525|XP_002099047.1|DYAK, LOC6538529|XP_002099051.1|DYAK, LOC6538527|XP_002099049.1|DYAK, LOC6538528|XP_002099050.1|DYAK
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC6537407|XP_002097963.3|DYAK
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC6533631|XP_002094338.1|DYAK
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC6533629|XP_002094336.1|DYAK, LOC6533630|XP_002094337.1|DYAK
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC6533265|XP_002093991.2|DYAK
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC6533264|XP_002093990.1|DYAK
