Orthogroup	BTRY.longest_only	DSUB.longest_only
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC120767477|XP_039949501.1|BTRY, LOC120767568|XP_039949638.1|BTRY, LOC120767520|XP_039949548.1|BTRY, LOC120767478|XP_039949502.1|BTRY, LOC120767569|XP_039949639.1|BTRY, LOC120767514|XP_039949541.1|BTRY, LOC120767522|XP_039949550.1|BTRY, LOC120767515|XP_039949542.1|BTRY, LOC120767521|XP_039949549.1|BTRY, LOC120767519|XP_039949547.1|BTRY, LOC120767523|XP_039949552.1|BTRY, LOC120767518|XP_039949546.1|BTRY, LOC120767525|XP_039949553.1|BTRY, LOC120767517|XP_039949545.1|BTRY, LOC120767516|XP_039949544.1|BTRY	LOC117901442|XP_034668076.1|DSUB
OG0000006	LOC120767504|XP_039949531.1|BTRY, LOC120767509|XP_039949536.1|BTRY	LOC117901441|XP_034668075.1|DSUB
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC117894702|XP_034657776.1|DSUB
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC117899454|XP_034665355.1|DSUB
OG0000011	LOC120773419|XP_039958227.1|BTRY	LOC117900245|XP_034666432.1|DSUB
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC117892204|XP_034654190.1|DSUB
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC117892205|XP_034654193.1|DSUB
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC117892198|XP_034654182.1|DSUB
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC117892199|XP_034654185.1|DSUB
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC117898536|XP_034663901.1|DSUB
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC117901317|XP_034667918.1|DSUB, LOC117902318|XP_034669497.1|DSUB
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC117890476|XP_034651231.1|DSUB
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC117898432|XP_034663715.1|DSUB
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC117893424|XP_034655932.1|DSUB
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC117892719|XP_034655033.1|DSUB
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC117890423|XP_034651134.1|DSUB, LOC117892544|XP_034654744.1|DSUB, LOC117890958|XP_034651990.1|DSUB, LOC117890877|XP_034651860.1|DSUB
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC117895264|XP_034658678.1|DSUB
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC117895265|XP_034658679.1|DSUB
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC117895258|XP_034658670.1|DSUB
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC117895269|XP_034658684.1|DSUB
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC117895272|XP_034658688.1|DSUB
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC117902343|XP_034669534.1|DSUB
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC117898500|XP_034663833.1|DSUB
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC117903672|XP_034671893.1|DSUB
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC117896843|XP_034661258.1|DSUB
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC117898591|XP_034664027.1|DSUB
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC117892309|XP_034654347.1|DSUB
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC117892922|XP_034655128.1|DSUB, LOC117892927|XP_034655134.1|DSUB, LOC117892926|XP_034655132.1|DSUB, LOC117892918|XP_034655124.1|DSUB, LOC117892925|XP_034655130.1|DSUB
OG0000022	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY	LOC117892923|XP_034655129.1|DSUB
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC117896151|XP_034660118.1|DSUB
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC117898724|XP_034664233.1|DSUB
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC117898725|XP_034664234.1|DSUB
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC117889934|XP_034650356.1|DSUB
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC117890855|XP_034651836.1|DSUB
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC117901731|XP_034668504.1|DSUB
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC117902555|XP_034669887.1|DSUB
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC117902556|XP_034669889.1|DSUB
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC117902554|XP_034669886.1|DSUB
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC117894266|XP_034657112.1|DSUB
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC117894530|XP_034657538.1|DSUB
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC117901334|XP_034667933.1|DSUB, LOC117901337|XP_034667938.1|DSUB, LOC117901339|XP_034667940.1|DSUB, LOC117901335|XP_034667935.1|DSUB
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC117901974|XP_034668869.1|DSUB
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC117890851|XP_034651829.1|DSUB, LOC117891095|XP_034652169.1|DSUB, LOC117890674|XP_034651546.1|DSUB
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC117903801|XP_034672130.1|DSUB
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC117903197|XP_034670973.1|DSUB
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC117900916|XP_034667369.1|DSUB
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC117898600|XP_034664039.1|DSUB
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC117898005|XP_034663024.1|DSUB
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC117896918|XP_034661349.1|DSUB
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC117897457|XP_034662194.1|DSUB
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC117899046|XP_034664697.1|DSUB
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC117890311|XP_034650989.1|DSUB
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC117894264|XP_034657109.1|DSUB
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC117903895|XP_034672289.1|DSUB
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC117897706|XP_034662619.1|DSUB, LOC117899276|XP_034665068.1|DSUB, LOC117897606|XP_034662454.1|DSUB, LOC117899278|XP_034665074.1|DSUB, LOC117896008|XP_034659896.1|DSUB, LOC117899589|XP_034665598.1|DSUB, LOC117899588|XP_034665597.1|DSUB, LOC117896580|XP_034660876.1|DSUB, LOC117899356|XP_034665219.1|DSUB
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC117898984|XP_034664617.1|DSUB, LOC117898987|XP_034664620.1|DSUB, LOC117898990|XP_034664622.1|DSUB, LOC117898988|XP_034664621.1|DSUB, LOC117898986|XP_034664619.1|DSUB
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC117898000|XP_034663019.1|DSUB, LOC117897983|XP_034662986.1|DSUB, LOC117897815|XP_034662757.1|DSUB, LOC117898866|XP_034664435.1|DSUB
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC117897840|XP_034662797.1|DSUB, LOC117897841|XP_034662798.1|DSUB, LOC117898867|XP_034664437.1|DSUB, LOC117897193|XP_034661785.1|DSUB
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC117898991|XP_034664623.1|DSUB
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC117895983|XP_034659856.1|DSUB, LOC117897592|XP_034662438.1|DSUB, LOC117897591|XP_034662436.1|DSUB, LOC117897590|XP_034662434.1|DSUB, LOC117897593|XP_034662439.1|DSUB
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC117898153|XP_034663242.1|DSUB
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC117894865|XP_034658016.1|DSUB
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC117893502|XP_034656031.1|DSUB
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC117894637|XP_034657700.1|DSUB
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC117893875|XP_034656539.1|DSUB
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC117891323|XP_034652630.1|DSUB, LOC117891482|XP_034652852.1|DSUB, LOC117892480|XP_034654625.1|DSUB, LOC117893757|XP_034656383.1|DSUB, LOC117891376|XP_034652704.1|DSUB, LOC117895380|XP_034658890.1|DSUB
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC117894528|XP_034657533.1|DSUB, LOC117894532|XP_034657540.1|DSUB
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC117894519|XP_034657522.1|DSUB, LOC117894520|XP_034657523.1|DSUB, LOC117894523|XP_034657528.1|DSUB
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC117894537|XP_034657548.1|DSUB
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC117898484|XP_034663812.1|DSUB
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC117898479|XP_034663805.1|DSUB
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC117899170|XP_034664920.1|DSUB
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC117898482|XP_034663809.1|DSUB
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC117892195|XP_034654177.1|DSUB
OG0000050	LOC120778411|XP_039966128.1|BTRY	LOC117893228|XP_034655655.1|DSUB, LOC117893221|XP_034655647.1|DSUB, LOC117893222|XP_034655648.1|DSUB, LOC117894675|XP_034657744.1|DSUB, LOC117893225|XP_034655653.1|DSUB, LOC117894628|XP_034657684.1|DSUB, LOC117893220|XP_034655645.1|DSUB, LOC117893224|XP_034655652.1|DSUB
OG0000051	LOC120776450|XP_039963045.1|BTRY	LOC117896438|XP_034660657.1|DSUB
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	LOC117898110|XP_034663186.1|DSUB, LOC117898109|XP_034663185.1|DSUB
OG0000051	LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY	LOC117898770|XP_034664295.1|DSUB, LOC117898095|XP_034663165.1|DSUB
OG0000052	LOC120771792|XP_039955923.1|BTRY, LOC120772636|XP_039957293.1|BTRY, LOC120772635|XP_039957292.1|BTRY, LOC120772637|XP_039957294.1|BTRY	LOC117898169|XP_034663268.1|DSUB, LOC117898249|XP_034663387.1|DSUB, LOC117892469|XP_034654613.1|DSUB, LOC117892468|XP_034654612.1|DSUB
OG0000053	LOC120770153|XP_039953281.1|BTRY	LOC117890537|XP_034651353.1|DSUB
OG0000053	LOC120770564|XP_039954076.1|BTRY	LOC117890535|XP_034651347.1|DSUB
OG0000053	LOC120770562|XP_039954075.1|BTRY	LOC117890534|XP_034651344.1|DSUB
OG0000053	LOC120771115|XP_039954899.1|BTRY, LOC120772335|XP_039956813.1|BTRY, LOC120771116|XP_039954900.1|BTRY	LOC117890538|XP_034651354.1|DSUB
OG0000054	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY	LOC117898653|XP_034664116.1|DSUB, LOC117898652|XP_034664115.1|DSUB
OG0000054	LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY	LOC117898651|XP_034664113.1|DSUB, LOC117898655|XP_034664119.1|DSUB, LOC117898654|XP_034664118.1|DSUB
OG0000056	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY	LOC117898462|XP_034663775.1|DSUB, LOC117898463|XP_034663777.1|DSUB, LOC117898461|XP_034663774.1|DSUB
