Orthogroup	BTRY.longest_only	ASTE.longest_only
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC118503306|XP_035892319.1|ASTE, LOC118515162|XP_035917761.1|ASTE, LOC118513701|XP_035915722.1|ASTE, LOC118516615|XP_035918481.1|ASTE, LOC118516476|XP_035918287.1|ASTE, LOC118507042|XP_035901320.1|ASTE, LOC118516403|XP_035918159.1|ASTE, LOC118509210|XP_035905377.1|ASTE, LOC118509982|XP_035907255.1|ASTE, LOC118511603|XP_035910778.1|ASTE, LOC118506592|XP_035899843.1|ASTE, LOC118513377|XP_035914925.1|ASTE, LOC118509085|XP_035905110.1|ASTE, LOC118502817|XP_035891359.1|ASTE, LOC118510097|XP_035907419.1|ASTE, LOC118516573|XP_035918430.1|ASTE, LOC118505923|XP_035898309.1|ASTE
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC118502962|XP_035891619.1|ASTE
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC118503654|XP_035893068.1|ASTE
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC118503558|XP_035892859.1|ASTE, LOC118503560|XP_035892862.1|ASTE
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC118513024|XP_035914194.1|ASTE
OG0000019	LOC120774911|XP_039960716.1|BTRY, LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY, LOC120768574|XP_039951256.1|BTRY, LOC120769643|XP_039952681.1|BTRY, LOC120767064|XP_039948853.1|BTRY	LOC118505910|XP_035898262.1|ASTE, LOC118504464|XP_035894858.1|ASTE, LOC118505911|XP_035898263.1|ASTE, LOC118507102|XP_035900997.1|ASTE, LOC118505907|XP_035898258.1|ASTE, LOC118506335|XP_035899208.1|ASTE, LOC118506986|XP_035900751.1|ASTE
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC118507513|XP_035901949.1|ASTE
OG0000020	LOC120782274|XP_039970399.1|BTRY, LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC118509588|XP_035906253.1|ASTE
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC118505404|XP_035897036.1|ASTE, LOC118516590|XP_035918445.1|ASTE
OG0000021	LOC120780423|XP_039968662.1|BTRY, LOC120766828|XP_039948474.1|BTRY	LOC118505796|XP_035898023.1|ASTE
OG0000022	LOC120770783|XP_039954296.1|BTRY, LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY, LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY	LOC118510588|XP_035908481.1|ASTE
OG0000023	LOC120770270|XP_039953521.1|BTRY, LOC120770300|XP_039953603.1|BTRY, LOC120770307|XP_039953615.1|BTRY, LOC120782575|XP_039970851.1|BTRY, LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY, LOC120766880|XP_039948548.1|BTRY, LOC120774273|XP_039959699.1|BTRY, LOC120766882|XP_039948559.1|BTRY	LOC118511284|XP_035910083.1|ASTE, LOC118511293|XP_035910094.1|ASTE
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY, LOC120771072|XP_039954818.1|BTRY, LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC118507315|XP_035901591.1|ASTE
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC118503683|XP_035893118.1|ASTE, LOC118514136|XP_035916629.1|ASTE
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC118509777|XP_035906810.1|ASTE
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC118512926|XP_035913977.1|ASTE, LOC118512927|XP_035913978.1|ASTE, LOC118512928|XP_035913979.1|ASTE, LOC118512925|XP_035913975.1|ASTE, LOC118516362|XP_035918091.1|ASTE, LOC118512777|XP_035913579.1|ASTE, LOC118512778|XP_035913580.1|ASTE, LOC118516363|XP_035918092.1|ASTE
OG0000027	LOC120768378|XP_039950978.1|BTRY, LOC120768612|XP_039951313.1|BTRY, LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC118509266|XP_035905509.1|ASTE, LOC118512970|XP_035914090.1|ASTE, LOC118509804|XP_035906835.1|ASTE, LOC118509855|XP_035906957.1|ASTE
OG0000028	LOC120777924|XP_039965441.1|BTRY, LOC120777926|XP_039965443.1|BTRY, LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC118513512|XP_035915261.1|ASTE
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC118509963|XP_035907235.1|ASTE, LOC118504435|XP_035894769.1|ASTE, LOC118504401|XP_035894721.1|ASTE, LOC118504400|XP_035894720.1|ASTE, LOC118504394|XP_035894693.1|ASTE, LOC118509853|XP_035906948.1|ASTE, LOC118510095|XP_035907413.1|ASTE, LOC118510002|XP_035907280.1|ASTE, LOC118509935|XP_035907159.1|ASTE, LOC118510884|XP_035909157.1|ASTE, LOC118509803|XP_035906834.1|ASTE
OG0000032	LOC120778702|XP_039966600.1|BTRY, LOC120782135|XP_039970211.1|BTRY, LOC120782697|XP_039971031.1|BTRY, LOC120770922|XP_039954552.1|BTRY, LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY, LOC120779035|XP_039967132.1|BTRY, LOC120782780|XP_039971181.1|BTRY	LOC118503124|XP_035891971.1|ASTE, LOC118503002|XP_035891706.1|ASTE, LOC118503126|XP_035891972.1|ASTE, LOC118503003|XP_035891707.1|ASTE, LOC118503000|XP_035891703.1|ASTE, LOC118502999|XP_035891702.1|ASTE, LOC118504242|XP_035894357.1|ASTE
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC118512083|XP_035911935.1|ASTE, LOC118512076|XP_035911906.1|ASTE, LOC118504919|XP_035895883.1|ASTE, LOC118504920|XP_035895885.1|ASTE
OG0000036	LOC120782380|XP_039970556.1|BTRY, LOC120776996|XP_039964035.1|BTRY	LOC118505450|XP_035897142.1|ASTE
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC118502424|XP_035890544.1|ASTE
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC118502387|XP_035890502.1|ASTE, LOC118502388|XP_035890503.1|ASTE, LOC118506977|XP_035900729.1|ASTE, LOC118505354|XP_035896919.1|ASTE, LOC118506976|XP_035900728.1|ASTE, LOC118506974|XP_035900726.1|ASTE
OG0000037	LOC120770870|XP_039954430.1|BTRY, LOC120772536|XP_039957149.1|BTRY, LOC120772537|XP_039957152.1|BTRY, LOC120777470|XP_039964732.1|BTRY, LOC120782231|XP_039970332.1|BTRY, LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC118513815|XP_035915938.1|ASTE, LOC118513814|XP_035915937.1|ASTE
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC118510894|XP_035909171.1|ASTE
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC118502651|XP_035890993.1|ASTE
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY, LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC118514201|XP_035916783.1|ASTE
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC118514097|XP_035916530.1|ASTE
OG0000048	LOC120770230|XP_039953449.1|BTRY, LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY, LOC120770486|XP_039953934.1|BTRY	LOC118510295|XP_035907813.1|ASTE
OG0000049	LOC120782870|XP_039971347.1|BTRY, LOC120782209|XP_039970301.1|BTRY, LOC120781673|XP_039969832.1|BTRY, LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY, LOC120772847|XP_039957638.1|BTRY	LOC118510116|XP_035907473.1|ASTE, LOC118516340|XP_035918044.1|ASTE, LOC118511361|XP_035910216.1|ASTE, LOC118511360|XP_035910215.1|ASTE, LOC118516348|XP_035918056.1|ASTE
OG0000051	LOC120776450|XP_039963045.1|BTRY, LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY, LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY	LOC118504525|XP_035894960.1|ASTE, LOC118504587|XP_035895135.1|ASTE, LOC118504592|XP_035895145.1|ASTE, LOC118504595|XP_035895149.1|ASTE
OG0000053	LOC120770153|XP_039953281.1|BTRY, LOC120770564|XP_039954076.1|BTRY	LOC118503243|XP_035892157.1|ASTE, LOC118503347|XP_035892412.1|ASTE, LOC118503346|XP_035892410.1|ASTE
OG0000054	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY, LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY	LOC118511291|XP_035910092.1|ASTE, LOC118511292|XP_035910093.1|ASTE, LOC118511290|XP_035910090.1|ASTE, LOC118511288|XP_035910086.1|ASTE, LOC118511287|XP_035910085.1|ASTE, LOC118512788|XP_035913599.1|ASTE, LOC118512789|XP_035913600.1|ASTE
OG0000055	LOC120767407|XP_039949383.1|BTRY, LOC120767396|XP_039949357.1|BTRY, LOC120779292|XP_039967439.1|BTRY, LOC120779293|XP_039967441.1|BTRY, LOC120767398|XP_039949371.1|BTRY, LOC120767423|XP_039949402.1|BTRY, LOC120767442|XP_039949442.1|BTRY, LOC120767412|XP_039949391.1|BTRY, LOC120767431|XP_039949416.1|BTRY, LOC120767391|XP_039949342.1|BTRY, LOC120767434|XP_039949431.1|BTRY, LOC120778647|XP_039966497.1|BTRY, LOC120767385|XP_039949328.1|BTRY, LOC120782330|XP_039970490.1|BTRY	LOC118508181|XP_035903635.1|ASTE, LOC118509864|XP_035906979.1|ASTE
OG0000056	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY, LOC120775660|XP_039961862.1|BTRY	LOC118507841|XP_035902865.1|ASTE
OG0000057	LOC120781175|XP_039969232.1|BTRY, LOC120780782|XP_039968968.1|BTRY	LOC118508066|XP_035903416.1|ASTE, LOC118517019|XP_035918765.1|ASTE, LOC118517018|XP_035918764.1|ASTE, LOC118517021|XP_035918767.1|ASTE, LOC118511085|XP_035909661.1|ASTE, LOC118503449|XP_035892612.1|ASTE, LOC118509282|XP_035905552.1|ASTE, LOC118509844|XP_035906932.1|ASTE, LOC118514365|XP_035917100.1|ASTE, LOC118512231|XP_035912258.1|ASTE, LOC118516434|XP_035918205.1|ASTE, LOC118511994|XP_035911622.1|ASTE, LOC118506018|XP_035898502.1|ASTE, LOC118512363|XP_035912575.1|ASTE, LOC118510042|XP_035907323.1|ASTE, LOC118502429|XP_035890550.1|ASTE, LOC118502444|XP_035890566.1|ASTE, LOC118516442|XP_035918223.1|ASTE, LOC118507119|XP_035901058.1|ASTE, LOC118517016|XP_035918761.1|ASTE, LOC118517017|XP_035918762.1|ASTE, LOC118506538|XP_035899704.1|ASTE, LOC118515254|XP_035917835.1|ASTE, LOC118508925|XP_035904701.1|ASTE, LOC118502372|XP_035890485.1|ASTE, LOC118509992|XP_035907268.1|ASTE, LOC118506863|XP_035900492.1|ASTE
OG0000058	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY	LOC118513234|XP_035914678.1|ASTE, LOC118509609|XP_035906312.1|ASTE
OG0000060	LOC120775432|XP_039961551.1|BTRY	LOC118506293|XP_035899121.1|ASTE
OG0000060	LOC120768177|XP_039950680.1|BTRY	LOC118514292|XP_035916947.1|ASTE
OG0000062	LOC120769500|XP_039952465.1|BTRY, LOC120766206|XP_039947509.1|BTRY, LOC120779328|XP_039967463.1|BTRY, LOC120775291|XP_039961384.1|BTRY, LOC120771826|XP_039955989.1|BTRY, LOC120769103|XP_039951898.1|BTRY, LOC120767422|XP_039949399.1|BTRY, LOC120767417|XP_039949393.1|BTRY, LOC120767416|XP_039949392.1|BTRY, LOC120767418|XP_039949395.1|BTRY, LOC120767419|XP_039949396.1|BTRY, LOC120767415|XP_039949390.1|BTRY, LOC120767420|XP_039949397.1|BTRY, LOC120767414|XP_039949389.1|BTRY, LOC120767411|XP_039949387.1|BTRY, LOC120776617|XP_039963346.1|BTRY	LOC118512947|XP_035914059.1|ASTE
OG0000064	LOC120779645|XP_039967931.1|BTRY, LOC120780352|XP_039968578.1|BTRY, LOC120780470|XP_039968681.1|BTRY, LOC120780012|XP_039968228.1|BTRY	LOC118516502|XP_035918325.1|ASTE, LOC118516481|XP_035918305.1|ASTE, LOC118516545|XP_035918382.1|ASTE, LOC118516480|XP_035918301.1|ASTE, LOC118516506|XP_035918329.1|ASTE, LOC118516979|XP_035918697.1|ASTE, LOC118515150|XP_035917750.1|ASTE, LOC118506585|XP_035899871.1|ASTE, LOC118517397|XP_035919354.1|ASTE, LOC118516984|XP_035918705.1|ASTE, LOC118517730|XP_035920074.1|ASTE, LOC118506075|XP_035898677.1|ASTE
OG0000064	LOC120780520|XP_039968723.1|BTRY, LOC120780940|XP_039969104.1|BTRY	LOC118507461|XP_035901847.1|ASTE, LOC118516630|XP_035918499.1|ASTE, LOC118516592|XP_035918448.1|ASTE, LOC118516616|XP_035918482.1|ASTE, LOC118516951|XP_035918675.1|ASTE, LOC118516548|XP_035918387.1|ASTE
OG0000067	LOC120771541|XP_039955568.1|BTRY, LOC120766666|XP_039948233.1|BTRY, LOC120778614|XP_039966425.1|BTRY	LOC118517599|XP_035919781.1|ASTE, LOC118517600|XP_035919782.1|ASTE, LOC118517598|XP_035919779.1|ASTE
OG0000068	LOC120776119|XP_039962576.1|BTRY	LOC118509544|XP_035906185.1|ASTE, LOC118509545|XP_035906187.1|ASTE, LOC118512181|XP_035912164.1|ASTE, LOC118504040|XP_035893930.1|ASTE, LOC118504041|XP_035893931.1|ASTE, LOC118505785|XP_035897988.1|ASTE
OG0000069	LOC120780364|XP_039968588.1|BTRY, LOC120782002|XP_039970101.1|BTRY, LOC120781495|XP_039969653.1|BTRY, LOC120781329|XP_039969460.1|BTRY, LOC120781569|XP_039969741.1|BTRY, LOC120781320|XP_039969456.1|BTRY	LOC118514237|XP_035916837.1|ASTE
OG0000069	LOC120769584|XP_039952577.1|BTRY, LOC120778243|XP_039965938.1|BTRY, LOC120781634|XP_039969799.1|BTRY, LOC120779900|XP_039968182.1|BTRY, LOC120781516|XP_039969671.1|BTRY	LOC118508847|XP_035904491.1|ASTE
OG0000070	LOC120775533|XP_039961688.1|BTRY, LOC120776028|XP_039962406.1|BTRY, LOC120774314|XP_039959783.1|BTRY, LOC120774316|XP_039959788.1|BTRY, LOC120774315|XP_039959784.1|BTRY, LOC120775922|XP_039962258.1|BTRY, LOC120774551|XP_039960215.1|BTRY	LOC118514552|XP_035917436.1|ASTE, LOC118514553|XP_035917437.1|ASTE
OG0000071	LOC120778566|XP_039966364.1|BTRY, LOC120778407|XP_039966125.1|BTRY	LOC118508078|XP_035903435.1|ASTE, LOC118512339|XP_035912519.1|ASTE, LOC118508073|XP_035903430.1|ASTE, LOC118508077|XP_035903434.1|ASTE, LOC118508075|XP_035903432.1|ASTE, LOC118508072|XP_035903428.1|ASTE
OG0000072	LOC120771304|XP_039955172.1|BTRY, LOC120772988|XP_039957836.1|BTRY, LOC120771756|XP_039955872.1|BTRY	LOC118515883|XP_035917965.1|ASTE, LOC118514335|XP_035917037.1|ASTE, LOC118511004|XP_035909412.1|ASTE, LOC118509229|XP_035905431.1|ASTE
OG0000073	LOC120770531|XP_039954016.1|BTRY	LOC118508175|XP_035903617.1|ASTE
OG0000073	LOC120773570|XP_039958474.1|BTRY	LOC118504541|XP_035895010.1|ASTE, LOC118504546|XP_035895042.1|ASTE
OG0000073	LOC120766419|XP_039947816.1|BTRY	LOC118506813|XP_035900364.1|ASTE
OG0000074	LOC120778910|XP_039966891.1|BTRY, LOC120776970|XP_039963997.1|BTRY	LOC118516380|XP_035918125.1|ASTE, LOC118512784|XP_035913591.1|ASTE, LOC118510203|XP_035907633.1|ASTE, LOC118512755|XP_035913538.1|ASTE, LOC118516368|XP_035918114.1|ASTE, LOC118512757|XP_035913540.1|ASTE, LOC118512754|XP_035913537.1|ASTE, LOC118516371|XP_035918117.1|ASTE, LOC118516372|XP_035918118.1|ASTE, LOC118516374|XP_035918120.1|ASTE, LOC118512758|XP_035913541.1|ASTE, LOC118516373|XP_035918119.1|ASTE, LOC118512753|XP_035913536.1|ASTE, LOC118512756|XP_035913539.1|ASTE, LOC118516369|XP_035918115.1|ASTE, LOC118512737|XP_035913495.1|ASTE, LOC118513110|XP_035914403.1|ASTE, LOC118513102|XP_035914396.1|ASTE, LOC118513101|XP_035914395.1|ASTE, LOC118513100|XP_035914394.1|ASTE
OG0000076	LOC120778972|XP_039966981.1|BTRY	LOC118512277|XP_035912363.1|ASTE, LOC118517163|XP_035918937.1|ASTE
OG0000076	LOC120773985|XP_039959178.1|BTRY	LOC118504620|XP_035895194.1|ASTE
OG0000077	LOC120770520|XP_039953996.1|BTRY	LOC118507281|XP_035901485.1|ASTE
OG0000077	LOC120766987|XP_039948728.1|BTRY	LOC118512454|XP_035912813.1|ASTE
OG0000077	LOC120771294|XP_039955159.1|BTRY	LOC118506025|XP_035898529.1|ASTE
OG0000077	LOC120767550|XP_039949648.1|BTRY	LOC118511962|XP_035911578.1|ASTE
OG0000078	LOC120776000|XP_039962366.1|BTRY, LOC120775042|XP_039960952.1|BTRY	LOC118506363|XP_035899271.1|ASTE
OG0000080	LOC120770830|XP_039954353.1|BTRY, LOC120772997|XP_039957842.1|BTRY, LOC120772996|XP_039957841.1|BTRY, LOC120772075|XP_039956403.1|BTRY, LOC120772172|XP_039956551.1|BTRY	LOC118508460|XP_035904157.1|ASTE, LOC118508462|XP_035904160.1|ASTE
OG0000081	LOC120769098|XP_039951891.1|BTRY	LOC118512948|XP_035914060.1|ASTE, LOC118512949|XP_035914061.1|ASTE
OG0000082	LOC120782787|XP_039971189.1|BTRY, LOC120766890|XP_039948574.1|BTRY, LOC120766889|XP_039948573.1|BTRY	LOC118507692|XP_035902418.1|ASTE, LOC118513643|XP_035915603.1|ASTE, LOC118517141|XP_035918892.1|ASTE, LOC118513644|XP_035915604.1|ASTE, LOC118513645|XP_035915605.1|ASTE
OG0000083	LOC120768958|XP_039951686.1|BTRY, LOC120767865|XP_039950113.1|BTRY	LOC118512490|XP_035912888.1|ASTE, LOC118512492|XP_035912890.1|ASTE, LOC118512491|XP_035912889.1|ASTE
OG0000084	LOC120781256|XP_039969343.1|BTRY	LOC118507487|XP_035901904.1|ASTE, LOC118509025|XP_035904952.1|ASTE, LOC118504703|XP_035895429.1|ASTE, LOC118508829|XP_035904468.1|ASTE, LOC118509024|XP_035904951.1|ASTE, LOC118509023|XP_035904949.1|ASTE, LOC118513092|XP_035914386.1|ASTE
OG0000084	LOC120770047|XP_039953099.1|BTRY, LOC120768058|XP_039950510.1|BTRY, LOC120771201|XP_039955035.1|BTRY	LOC118503417|XP_035892550.1|ASTE
OG0000085	LOC120772591|XP_039957235.1|BTRY	LOC118512093|XP_035911950.1|ASTE
OG0000085	LOC120770283|XP_039953552.1|BTRY	LOC118513044|XP_035914229.1|ASTE
OG0000086	LOC120771042|XP_039954775.1|BTRY	LOC118508907|XP_035904661.1|ASTE
OG0000087	LOC120768924|XP_039951637.1|BTRY	LOC118511163|XP_035909795.1|ASTE, LOC118511165|XP_035909796.1|ASTE, LOC118511162|XP_035909794.1|ASTE, LOC118511161|XP_035909793.1|ASTE
OG0000088	LOC120773069|XP_039957940.1|BTRY	LOC118503330|XP_035892383.1|ASTE
OG0000089	LOC120766628|XP_039948178.1|BTRY	LOC118505310|XP_035896841.1|ASTE
OG0000089	LOC120778537|XP_039966313.1|BTRY	LOC118511372|XP_035910259.1|ASTE, LOC118511382|XP_035910282.1|ASTE
OG0000090	LOC120771351|XP_039955235.1|BTRY, LOC120771989|XP_039956278.1|BTRY, LOC120772488|XP_039957068.1|BTRY, LOC120771988|XP_039956277.1|BTRY, LOC120771986|XP_039956274.1|BTRY, LOC120771987|XP_039956276.1|BTRY	LOC118506264|XP_035899059.1|ASTE
OG0000091	LOC120780252|XP_039968448.1|BTRY	LOC118507859|XP_035902942.1|ASTE
OG0000091	LOC120769362|XP_039952257.1|BTRY, LOC120773577|XP_039958502.1|BTRY, LOC120777245|XP_039964375.1|BTRY, LOC120766362|XP_039947726.1|BTRY	LOC118505600|XP_035897520.1|ASTE, LOC118516561|XP_035918412.1|ASTE
OG0000092	LOC120766302|XP_039947649.1|BTRY	LOC118502652|XP_035890995.1|ASTE
OG0000093	LOC120768178|XP_039950676.1|BTRY	LOC118510780|XP_035908957.1|ASTE
OG0000094	LOC120772633|XP_039957290.1|BTRY, LOC120772634|XP_039957291.1|BTRY, LOC120781795|XP_039969955.1|BTRY, LOC120781757|XP_039969927.1|BTRY, LOC120781762|XP_039969932.1|BTRY, LOC120781776|XP_039969940.1|BTRY	LOC118502720|XP_035891168.1|ASTE, LOC118506771|XP_035900263.1|ASTE, LOC118514681|XP_035917717.1|ASTE, LOC118516006|XP_035918152.1|ASTE
OG0000095	LOC120774625|XP_039960283.1|BTRY	LOC118502383|XP_035890498.1|ASTE
