Orthogroup	BTRY.longest_only	DALB.longest_only
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC117564294|XP_034098883.1|DALB, LOC117564290|XP_034098880.1|DALB, LOC117564295|XP_034098885.1|DALB, LOC117564270|XP_034098864.1|DALB
OG0000005	LOC120767525|XP_039949553.1|BTRY	LOC117566019|XP_034101338.1|DALB
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC120781340|XP_039969478.1|BTRY	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000007	LOC120778908|XP_039966889.1|BTRY, LOC120778909|XP_039966890.1|BTRY	LOC117570587|XP_034108222.1|DALB
OG0000007	LOC120778027|XP_039965634.1|BTRY	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC117571629|XP_034109744.1|DALB, LOC117571628|XP_034109743.1|DALB
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB, LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB, LOC117569229|XP_034106195.1|DALB, LOC117569230|XP_034106196.1|DALB, LOC117569232|XP_034106197.1|DALB, LOC117569244|XP_034106208.1|DALB, LOC117569245|XP_034106210.1|DALB, LOC117569246|XP_034106211.1|DALB, LOC117569242|XP_034106206.1|DALB, LOC117569241|XP_034106205.1|DALB, LOC117569247|XP_034106212.1|DALB, LOC117569243|XP_034106207.1|DALB
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC117571003|XP_034108844.1|DALB
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC117574114|XP_034113659.1|DALB, LOC117574112|XP_034113656.1|DALB
OG0000008	LOC120778217|XP_039965948.1|BTRY	LOC117574116|XP_034113661.1|DALB, LOC117574376|XP_034114101.1|DALB
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC117574119|XP_034113664.1|DALB
OG0000008	LOC120778133|XP_039965828.1|BTRY	LOC117574113|XP_034113658.1|DALB
OG0000008	LOC120780988|XP_039969143.1|BTRY	LOC117574115|XP_034113660.1|DALB
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC117574118|XP_034113663.1|DALB
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC117574725|XP_034114546.1|DALB
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB
OG0000010	LOC120767529|XP_039949555.1|BTRY	LOC117565598|XP_034100689.1|DALB
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC117564304|XP_034098891.1|DALB, LOC117566095|XP_034101458.1|DALB, LOC117564298|XP_034098887.1|DALB, LOC117564299|XP_034098888.1|DALB
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC117568055|XP_034104297.1|DALB
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC117569585|XP_034106704.1|DALB
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC117568054|XP_034104292.1|DALB
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC117573950|XP_034113367.1|DALB
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC117571584|XP_034109691.1|DALB
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC117575381|XP_034115447.1|DALB, LOC117575264|XP_034115291.1|DALB, LOC117574089|XP_034113616.1|DALB, LOC117574087|XP_034113614.1|DALB, LOC117574088|XP_034113615.1|DALB, LOC117565931|XP_034101209.1|DALB, LOC117565916|XP_034101175.1|DALB, LOC117564021|XP_034098512.1|DALB, LOC117564597|XP_034099342.1|DALB, LOC117564598|XP_034099344.1|DALB, LOC117564596|XP_034099340.1|DALB, LOC117564343|XP_034098944.1|DALB, LOC117564332|XP_034098928.1|DALB, LOC117569549|XP_034106648.1|DALB, LOC117567386|XP_034103227.1|DALB, LOC117564019|XP_034098510.1|DALB, LOC117564020|XP_034098511.1|DALB, LOC117565200|XP_034100095.1|DALB, LOC117565000|XP_034099836.1|DALB, LOC117564017|XP_034098508.1|DALB, LOC117565199|XP_034100094.1|DALB, LOC117565001|XP_034099837.1|DALB, LOC117564018|XP_034098509.1|DALB, LOC117564364|XP_034098970.1|DALB, LOC117565647|XP_034100752.1|DALB, LOC117569869|XP_034107100.1|DALB, LOC117569271|XP_034106261.1|DALB
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC117567888|XP_034104050.1|DALB
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC117573754|XP_034113029.1|DALB
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC117568261|XP_034104638.1|DALB
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC117571304|XP_034109265.1|DALB, LOC117571750|XP_034109990.1|DALB
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC117569762|XP_034106946.1|DALB
OG0000018	LOC120777232|XP_039964348.1|BTRY	LOC117570357|XP_034107819.1|DALB
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC117569760|XP_034106944.1|DALB
OG0000018	LOC120777802|XP_039965269.1|BTRY, LOC120777782|XP_039965236.1|BTRY	LOC117567322|XP_034103120.1|DALB, LOC117569952|XP_034107205.1|DALB, LOC117571893|XP_034110249.1|DALB
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC117569729|XP_034106893.1|DALB, LOC117569764|XP_034106948.1|DALB
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC117576477|XP_034117138.1|DALB
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC117565600|XP_034100691.1|DALB
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC117576162|XP_034116628.1|DALB
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC117574572|XP_034114338.1|DALB
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC117569951|XP_034107204.1|DALB
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB
OG0000022	LOC120770784|XP_039954297.1|BTRY, LOC120772427|XP_039956973.1|BTRY	LOC117569847|XP_034107067.1|DALB
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC117568013|XP_034104228.1|DALB
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC117576455|XP_034117118.1|DALB
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC117576451|XP_034117113.1|DALB
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC117576915|XP_034117947.1|DALB
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC117569374|XP_034106395.1|DALB
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC120767474|XP_039949497.1|BTRY, LOC120767496|XP_039949522.1|BTRY, LOC120767500|XP_039949527.1|BTRY, LOC120767501|XP_039949528.1|BTRY	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC117564398|XP_034099013.1|DALB
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC117564244|XP_034098829.1|DALB
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC117565445|XP_034100427.1|DALB
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC117563844|XP_034098265.1|DALB
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC117564908|XP_034099753.1|DALB
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC117568042|XP_034104280.1|DALB, LOC117569392|XP_034106412.1|DALB
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC117568192|XP_034104545.1|DALB
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC117566924|XP_034102438.1|DALB
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC117565207|XP_034100106.1|DALB
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC117574198|XP_034113792.1|DALB
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000035	LOC120769276|XP_039952126.1|BTRY, LOC120780160|XP_039968373.1|BTRY, LOC120780561|XP_039968752.1|BTRY	LOC117577292|XP_034118160.1|DALB
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC117574592|XP_034114366.1|DALB
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC117576608|XP_034117400.1|DALB
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC117568663|XP_034105356.1|DALB
OG0000037	LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC117569403|XP_034106430.1|DALB
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC117570082|XP_034107414.1|DALB
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC117574807|XP_034114666.1|DALB, LOC117574815|XP_034114677.1|DALB
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC117573615|XP_034112803.1|DALB, LOC117573619|XP_034112810.1|DALB, LOC117573618|XP_034112808.1|DALB, LOC117573616|XP_034112804.1|DALB
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC117575844|XP_034116145.1|DALB, LOC117574557|XP_034114320.1|DALB, LOC117576156|XP_034116620.1|DALB, LOC117576178|XP_034116653.1|DALB, LOC117576081|XP_034116519.1|DALB, LOC117575845|XP_034116146.1|DALB, LOC117573341|XP_034112342.1|DALB, LOC117575360|XP_034115416.1|DALB, LOC117575983|XP_034116361.1|DALB, LOC117574280|XP_034113922.1|DALB, LOC117576978|XP_034118048.1|DALB, LOC117574636|XP_034114424.1|DALB
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC117574637|XP_034114425.1|DALB, LOC117574639|XP_034114428.1|DALB
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC117574208|XP_034113803.1|DALB, LOC117575797|XP_034116066.1|DALB, LOC117574638|XP_034114427.1|DALB
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC117576108|XP_034116557.1|DALB
