Orthogroup	BTRY.longest_only	AAEG.longest_only
OG0000009	LOC120780063|XP_039968275.1|BTRY, LOC120771333|XP_039955212.1|BTRY, LOC120782593|XP_039970879.1|BTRY, LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC120767531|XP_039949557.1|BTRY	LOC5579072|XP_021707705.1|AAEG, LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG
OG0000010	LOC120767528|XP_039949554.1|BTRY	LOC110679808|XP_021711232.1|AAEG, LOC5578785|XP_001657155.1|AAEG, LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG
OG0000011	LOC120773419|XP_039958227.1|BTRY	LOC5570988|XP_001659449.2|AAEG
OG0000012	LOC120772295|XP_039956737.1|BTRY, LOC120771372|XP_039955267.1|BTRY, LOC120772056|XP_039956371.1|BTRY, LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY, LOC120772529|XP_039957131.1|BTRY	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY, LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC120777833|XP_039965304.1|BTRY, LOC120777929|XP_039965446.1|BTRY, LOC120777894|XP_039965399.1|BTRY	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC120774911|XP_039960716.1|BTRY, LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY, LOC120768574|XP_039951256.1|BTRY, LOC120769643|XP_039952681.1|BTRY, LOC120767064|XP_039948853.1|BTRY	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC120782274|XP_039970399.1|BTRY, LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC120780423|XP_039968662.1|BTRY, LOC120766828|XP_039948474.1|BTRY	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC120770270|XP_039953521.1|BTRY, LOC120770300|XP_039953603.1|BTRY, LOC120770307|XP_039953615.1|BTRY, LOC120782575|XP_039970851.1|BTRY, LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY, LOC120766880|XP_039948548.1|BTRY, LOC120774273|XP_039959699.1|BTRY, LOC120766882|XP_039948559.1|BTRY	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY, LOC120771072|XP_039954818.1|BTRY, LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000025	LOC120767501|XP_039949528.1|BTRY	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG
OG0000025	LOC120767497|XP_039949523.1|BTRY	LOC110679737|XP_021711158.1|AAEG, LOC110678352|XP_021706806.1|AAEG, LOC110679747|XP_021711169.1|AAEG, LOC110679741|XP_021711162.1|AAEG, LOC110678304|XP_021706667.1|AAEG, LOC110677924|XP_021705634.1|AAEG, LOC110678834|XP_021708004.1|AAEG, LOC5578786|XP_001657156.1|AAEG, LOC110679742|XP_021711163.1|AAEG, LOC110679740|XP_021711161.1|AAEG
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC120768378|XP_039950978.1|BTRY, LOC120768612|XP_039951313.1|BTRY, LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC120777924|XP_039965441.1|BTRY, LOC120777926|XP_039965443.1|BTRY, LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000032	LOC120778702|XP_039966600.1|BTRY, LOC120782135|XP_039970211.1|BTRY, LOC120782697|XP_039971031.1|BTRY, LOC120770922|XP_039954552.1|BTRY, LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY, LOC120779035|XP_039967132.1|BTRY, LOC120782780|XP_039971181.1|BTRY	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC120782380|XP_039970556.1|BTRY, LOC120776996|XP_039964035.1|BTRY	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC5565959|XP_001650301.1|AAEG
OG0000036	LOC120779059|XP_039967127.1|BTRY, LOC120778390|XP_039966111.1|BTRY, LOC120778391|XP_039966112.1|BTRY, LOC120769280|XP_039952129.1|BTRY	LOC5563617|XP_021704443.1|AAEG, LOC5563616|XP_001647865.1|AAEG, LOC5563663|XP_001647870.2|AAEG, LOC5563550|XP_001647864.2|AAEG, LOC5566508|XP_001650899.2|AAEG, LOC5563566|XP_001647872.2|AAEG, LOC5563662|XP_001647873.3|AAEG, LOC5568137|XP_001652078.2|AAEG, LOC5568136|XP_001652079.1|AAEG, LOC5568133|XP_001652075.2|AAEG
OG0000037	LOC120770870|XP_039954430.1|BTRY, LOC120772536|XP_039957149.1|BTRY, LOC120772537|XP_039957152.1|BTRY, LOC120777470|XP_039964732.1|BTRY, LOC120782231|XP_039970332.1|BTRY, LOC120782738|XP_039971105.1|BTRY, LOC120781464|XP_039969625.1|BTRY, LOC120766404|XP_039947788.1|BTRY	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC5571376|XP_001659658.1|AAEG
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC5572970|XP_001654300.2|AAEG, LOC5572971|XP_021705648.1|AAEG
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY, LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC5573284|XP_021699050.1|AAEG, LOC5577070|XP_001663167.2|AAEG, LOC5571298|XP_001653602.1|AAEG
OG0000044	LOC120772588|XP_039957233.1|BTRY, LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY, LOC120782367|XP_039970539.1|BTRY	LOC5567605|XP_021704850.1|AAEG
OG0000045	LOC120778581|XP_039966382.1|BTRY, LOC120778222|XP_039965914.1|BTRY, LOC120777964|XP_039965517.1|BTRY	LOC5565204|XP_001649560.1|AAEG
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC5568625|XP_021702746.1|AAEG
OG0000048	LOC120770230|XP_039953449.1|BTRY, LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY, LOC120770486|XP_039953934.1|BTRY	LOC5571813|XP_001659945.1|AAEG, LOC5571812|XP_001659944.1|AAEG
OG0000049	LOC120782870|XP_039971347.1|BTRY, LOC120782209|XP_039970301.1|BTRY, LOC120781673|XP_039969832.1|BTRY, LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY, LOC120772847|XP_039957638.1|BTRY	LOC5574352|XP_021698905.1|AAEG, LOC5574353|XP_001661388.1|AAEG, LOC23687877|XP_021698904.1|AAEG, LOC5570784|XP_021698609.1|AAEG
OG0000051	LOC120776450|XP_039963045.1|BTRY, LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY, LOC120774683|XP_039960350.1|BTRY, LOC120766819|XP_039948463.1|BTRY, LOC120766441|XP_039947883.1|BTRY	LOC5575191|XP_021704581.1|AAEG, LOC5576782|XP_021706946.1|AAEG, LOC5575361|XP_021709352.1|AAEG, LOC5576776|XP_021707901.1|AAEG, LOC5576781|XP_001662868.2|AAEG, LOC5576789|XP_001662865.3|AAEG, LOC5576783|XP_001662870.1|AAEG
OG0000053	LOC120770153|XP_039953281.1|BTRY, LOC120770564|XP_039954076.1|BTRY	LOC5578089|XP_001656785.2|AAEG, LOC5565450|XP_001649788.1|AAEG, LOC5565420|XP_001649783.1|AAEG, LOC5565454|XP_001649786.1|AAEG, LOC5565449|XP_001649787.1|AAEG
OG0000054	LOC120766688|XP_039948268.1|BTRY, LOC120773479|XP_039958337.1|BTRY, LOC120766314|XP_039947666.1|BTRY, LOC120771817|XP_039955972.1|BTRY, LOC120766166|XP_039947447.1|BTRY	LOC5573294|XP_001654510.2|AAEG, LOC5573296|XP_021699063.1|AAEG, LOC5573295|XP_001654511.2|AAEG, LOC5573297|XP_021699065.1|AAEG, LOC23687731|XP_011493547.2|AAEG, LOC5573282|XP_021695235.1|AAEG, LOC5573280|XP_021699040.1|AAEG
OG0000056	LOC120773463|XP_039958298.1|BTRY, LOC120773462|XP_039958296.1|BTRY, LOC120773461|XP_039958295.1|BTRY, LOC120775660|XP_039961862.1|BTRY	LOC5574529|XP_001655182.1|AAEG
OG0000057	LOC120781175|XP_039969232.1|BTRY, LOC120780782|XP_039968968.1|BTRY	LOC110674257|XP_021694215.1|AAEG
OG0000058	LOC120778110|XP_039965747.1|BTRY, LOC120778815|XP_039966755.1|BTRY, LOC120777383|XP_039964608.1|BTRY	LOC5565079|XP_001649422.1|AAEG, LOC5574102|XP_001661173.1|AAEG, LOC5565546|XP_001649915.2|AAEG
OG0000060	LOC120775432|XP_039961551.1|BTRY	LOC5569466|XP_021694640.1|AAEG
OG0000060	LOC120768177|XP_039950680.1|BTRY	LOC5573939|XP_021703386.1|AAEG
OG0000061	LOC120768964|XP_039951692.1|BTRY, LOC120768925|XP_039951639.1|BTRY, LOC120769401|XP_039952311.1|BTRY, LOC120767753|XP_039949901.1|BTRY, LOC120768474|XP_039951115.1|BTRY, LOC120768583|XP_039951274.1|BTRY	LOC5577972|XP_001663642.2|AAEG, LOC5564567|XP_001648915.2|AAEG
OG0000064	LOC120781710|XP_039969876.1|BTRY, LOC120775811|XP_039962094.1|BTRY	LOC110679138|XP_021708882.1|AAEG, LOC110676692|XP_021701239.1|AAEG
OG0000064	LOC120780520|XP_039968723.1|BTRY	LOC110677362|XP_021704105.1|AAEG
OG0000064	LOC120780940|XP_039969104.1|BTRY	LOC110679437|XP_021709704.1|AAEG
OG0000064	LOC120781186|XP_039969243.1|BTRY, LOC120780806|XP_039968987.1|BTRY, LOC120780428|XP_039968639.1|BTRY	LOC110676570|XP_021700679.1|AAEG, LOC110675869|XP_021697510.1|AAEG, LOC110674763|XP_021694728.1|AAEG, LOC110678146|XP_021706451.1|AAEG, LOC110680488|XP_021711983.1|AAEG, LOC110679109|XP_021708773.1|AAEG, LOC110681431|XP_021712875.1|AAEG, LOC110675744|XP_021697170.1|AAEG, LOC110679435|XP_021709698.1|AAEG
OG0000067	LOC120771541|XP_039955568.1|BTRY, LOC120766666|XP_039948233.1|BTRY, LOC120778614|XP_039966425.1|BTRY	LOC5577761|XP_001663535.2|AAEG, LOC5577760|XP_001663534.2|AAEG, LOC5577763|XP_021704689.1|AAEG
OG0000067	LOC120772621|XP_039957270.1|BTRY, LOC120778613|XP_039966424.1|BTRY	LOC5577759|XP_021704690.1|AAEG
OG0000068	LOC120776119|XP_039962576.1|BTRY	LOC5576672|XP_001662813.2|AAEG, LOC5576674|XP_021697249.1|AAEG, LOC5576676|XP_021697250.1|AAEG, LOC5570567|XP_021709756.1|AAEG, LOC5570566|XP_021709760.1|AAEG, LOC5572988|XP_001654315.1|AAEG, LOC5576678|XP_001662815.2|AAEG
OG0000069	LOC120780364|XP_039968588.1|BTRY, LOC120782002|XP_039970101.1|BTRY, LOC120781495|XP_039969653.1|BTRY, LOC120781329|XP_039969460.1|BTRY	LOC5580256|XP_021711909.1|AAEG, LOC110675807|XP_021697308.1|AAEG, LOC5574104|XP_001661174.2|AAEG, LOC110675427|XP_021696095.1|AAEG
OG0000069	LOC120781569|XP_039969741.1|BTRY, LOC120781320|XP_039969456.1|BTRY	LOC110679358|XP_021709465.1|AAEG, LOC110678171|XP_021706487.1|AAEG
OG0000069	LOC120781634|XP_039969799.1|BTRY	LOC110681559|XP_021713329.1|AAEG
OG0000070	LOC120775533|XP_039961688.1|BTRY, LOC120776028|XP_039962406.1|BTRY, LOC120774314|XP_039959783.1|BTRY, LOC120774316|XP_039959788.1|BTRY, LOC120774315|XP_039959784.1|BTRY, LOC120775922|XP_039962258.1|BTRY, LOC120774551|XP_039960215.1|BTRY	LOC5576475|XP_001662668.2|AAEG, LOC5576476|XP_001662669.2|AAEG
OG0000071	LOC120778566|XP_039966364.1|BTRY, LOC120778407|XP_039966125.1|BTRY	LOC5571116|XP_001659558.1|AAEG, LOC5575313|XP_001655687.1|AAEG, LOC5574694|XP_001661593.2|AAEG, LOC5575306|XP_001655680.1|AAEG, LOC23687487|XP_021708065.1|AAEG, LOC5575311|XP_001655685.1|AAEG
OG0000072	LOC120771304|XP_039955172.1|BTRY, LOC120772988|XP_039957836.1|BTRY, LOC120771756|XP_039955872.1|BTRY	LOC5578246|XP_001663772.2|AAEG, LOC5574120|XP_001661186.2|AAEG, LOC5574117|XP_021698234.1|AAEG, LOC110676814|XP_021701762.1|AAEG, LOC110674006|XP_021712126.1|AAEG, LOC5573347|XP_021701761.1|AAEG, LOC5578244|XP_001663776.1|AAEG, LOC5573346|XP_001660827.1|AAEG, LOC5573345|XP_021701760.1|AAEG, LOC5571577|XP_001659784.2|AAEG, LOC5577277|XP_001656378.1|AAEG, LOC5577275|XP_001656375.1|AAEG, LOC5577276|XP_021701763.1|AAEG
OG0000073	LOC120770531|XP_039954016.1|BTRY	LOC5573060|XP_021711274.1|AAEG
OG0000073	LOC120773570|XP_039958474.1|BTRY	LOC5570618|XP_021706389.1|AAEG
OG0000073	LOC120766419|XP_039947816.1|BTRY	LOC5573536|XP_021693962.1|AAEG
OG0000074	LOC120778910|XP_039966891.1|BTRY, LOC120776970|XP_039963997.1|BTRY	LOC5570263|XP_001659044.1|AAEG, LOC5570265|XP_021695509.1|AAEG, LOC5570267|XP_001659048.1|AAEG, LOC5570260|XP_001659041.2|AAEG, LOC5570259|XP_001659040.1|AAEG, LOC5570261|XP_021695511.1|AAEG, LOC5570262|XP_001659043.2|AAEG, LOC5570266|XP_001659047.1|AAEG, LOC5570270|XP_001659051.1|AAEG
OG0000076	LOC120778972|XP_039966981.1|BTRY	LOC5569019|XP_021698411.1|AAEG
OG0000076	LOC120773985|XP_039959178.1|BTRY	LOC5575395|XP_021710181.1|AAEG
OG0000077	LOC120770520|XP_039953996.1|BTRY	LOC5576244|XP_001656025.1|AAEG
OG0000077	LOC120766987|XP_039948728.1|BTRY	LOC110676765|XP_021701591.1|AAEG
OG0000077	LOC120771294|XP_039955159.1|BTRY	LOC5576245|XP_001656026.2|AAEG
OG0000077	LOC120767550|XP_039949648.1|BTRY	LOC5565954|XP_001650331.1|AAEG, LOC5565955|XP_001650332.1|AAEG
OG0000078	LOC120776000|XP_039962366.1|BTRY, LOC120775042|XP_039960952.1|BTRY	LOC5575539|XP_021703479.1|AAEG
OG0000080	LOC120770830|XP_039954353.1|BTRY, LOC120772997|XP_039957842.1|BTRY, LOC120772996|XP_039957841.1|BTRY, LOC120772075|XP_039956403.1|BTRY, LOC120772172|XP_039956551.1|BTRY	LOC5570646|XP_001653282.2|AAEG, LOC5577944|XP_001663616.1|AAEG, LOC5570640|XP_001653284.2|AAEG, LOC5570644|XP_001653283.2|AAEG
OG0000082	LOC120782787|XP_039971189.1|BTRY, LOC120766890|XP_039948574.1|BTRY, LOC120766889|XP_039948573.1|BTRY	LOC5571544|XP_021703132.1|AAEG, LOC5571542|XP_001653689.3|AAEG, LOC5571541|XP_001653688.1|AAEG, LOC5571543|XP_001653690.1|AAEG, LOC5564964|XP_001649312.1|AAEG, LOC110679581|XP_021710387.1|AAEG, LOC5564963|XP_001649311.2|AAEG, LOC5571193|XP_001653509.1|AAEG
OG0000083	LOC120768958|XP_039951686.1|BTRY, LOC120767865|XP_039950113.1|BTRY	LOC5567014|XP_021703510.1|AAEG, LOC5567009|XP_001651411.2|AAEG, LOC5567015|XP_001651410.1|AAEG
OG0000084	LOC120774147|XP_039959486.1|BTRY	LOC5574209|XP_021708028.1|AAEG, LOC110680256|XP_021711765.1|AAEG
OG0000084	LOC120781256|XP_039969343.1|BTRY	LOC5578641|XP_001663979.1|AAEG, LOC5575485|XP_001662002.2|AAEG, LOC5574084|XP_001661156.1|AAEG, LOC5574114|XP_021696129.1|AAEG
OG0000084	LOC120770047|XP_039953099.1|BTRY, LOC120768058|XP_039950510.1|BTRY, LOC120771201|XP_039955035.1|BTRY	LOC5570769|XP_001659359.1|AAEG, LOC5570751|XP_001659340.2|AAEG, LOC5570753|XP_021693814.1|AAEG, LOC5570770|XP_021693924.1|AAEG, LOC5580060|XP_021699290.1|AAEG, LOC5580059|XP_021699285.1|AAEG, LOC5580124|XP_021699296.1|AAEG, LOC110676296|XP_021699310.1|AAEG, LOC5574979|XP_021697768.1|AAEG, LOC5574981|XP_021697749.1|AAEG
OG0000085	LOC120772591|XP_039957235.1|BTRY	LOC5578054|XP_021695960.1|AAEG
OG0000085	LOC120770283|XP_039953552.1|BTRY	LOC5574792|XP_001655347.2|AAEG
OG0000086	LOC120771042|XP_039954775.1|BTRY	LOC5575040|XP_001661772.2|AAEG
