Orthogroup	BTRY.longest_only	DANA.longest_only
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC6500348|XP_001953017.1|DANA, LOC6500349|XP_001953018.1|DANA, LOC6500350|XP_001953019.1|DANA, LOC6500351|XP_001953020.1|DANA, LOC6500352|XP_001953027.2|DANA, LOC26513865|XP_032307158.1|DANA
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC6501040|XP_001954441.3|DANA, LOC6499525|XP_001954440.1|DANA, LOC6499526|XP_001954439.3|DANA
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC6499523|XP_032311279.1|DANA, LOC6501039|XP_001954437.1|DANA, LOC6502673|XP_001954436.1|DANA
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC6500203|XP_032305729.1|DANA
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC6500197|XP_001953036.1|DANA, LOC26515569|XP_014767439.1|DANA, LOC6500202|XP_001953032.2|DANA, LOC6500199|XP_001953034.1|DANA, LOC6500198|XP_001953035.1|DANA
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC6499418|XP_001954679.1|DANA
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC6493486|XP_001957849.1|DANA
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC6493484|XP_001957847.1|DANA, LOC6493485|XP_001957848.1|DANA
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC6507632|XP_001956043.1|DANA
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC6507423|XP_032310209.1|DANA
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC6496443|XP_001960921.1|DANA, LOC6496440|XP_001960917.1|DANA, LOC6496543|XP_001961111.1|DANA, LOC6493464|XP_001957813.1|DANA, LOC6494029|XP_001961117.1|DANA, LOC6493465|XP_001957814.1|DANA
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC6506814|XP_001957186.1|DANA, LOC6493168|XP_001957188.1|DANA
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC6506811|XP_001957192.1|DANA, LOC6493171|XP_001957195.2|DANA
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC6493169|XP_001957191.1|DANA
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC6500644|XP_001953636.2|DANA
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC6499920|XP_001953633.1|DANA
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC6500645|XP_001953637.1|DANA
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC6499917|XP_001953639.1|DANA, LOC6502640|XP_001953638.1|DANA
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC6499921|XP_001953632.1|DANA
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC6494319|XP_001960538.2|DANA
