Orthogroup	BTRY.longest_only	DBIA.longest_only
OG0000003	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC120770285|XP_039953555.1|BTRY	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC120782321|XP_039970477.1|BTRY, LOC120770284|XP_039953554.1|BTRY	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY	LOC108034204|XP_016964524.1|DBIA
OG0000005	LOC120767523|XP_039949552.1|BTRY	LOC108021908|XP_016946219.1|DBIA
OG0000006	LOC120767509|XP_039949536.1|BTRY	LOC108021907|XP_016946218.1|DBIA
OG0000007	LOC120777830|XP_039965302.1|BTRY, LOC120778913|XP_039966894.1|BTRY, LOC120777887|XP_039965383.1|BTRY, LOC120777888|XP_039965385.1|BTRY, LOC120778697|XP_039966585.1|BTRY	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC120778684|XP_039966554.1|BTRY, LOC120778912|XP_039966893.1|BTRY	LOC108028706|XP_016956144.1|DBIA, LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC120778911|XP_039966892.1|BTRY, LOC120778916|XP_039966896.1|BTRY, LOC120778915|XP_039966895.1|BTRY, LOC120776968|XP_039963994.1|BTRY, LOC120778917|XP_039966897.1|BTRY	LOC108027672|XP_016954706.1|DBIA, LOC108029358|XP_016957069.1|DBIA, LOC108025402|XP_016951367.1|DBIA, LOC108025489|XP_016951493.1|DBIA, LOC108025042|XP_016950787.1|DBIA, LOC108025513|XP_016951523.1|DBIA, LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA, LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA, LOC108028309|XP_016955521.1|DBIA, LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC120782797|XP_039971208.1|BTRY	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC120778932|XP_039966913.1|BTRY	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC120778930|XP_039966911.1|BTRY	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC120778933|XP_039966914.1|BTRY	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC120775736|XP_039961992.1|BTRY, LOC120778053|XP_039965709.1|BTRY, LOC120775708|XP_039961957.1|BTRY, LOC120775726|XP_039961980.1|BTRY, LOC120775719|XP_039961968.1|BTRY	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC120780533|XP_039968729.1|BTRY	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC120766359|XP_039947722.1|BTRY, LOC120766360|XP_039947723.1|BTRY, LOC120766358|XP_039947721.1|BTRY, LOC120781723|XP_039969899.1|BTRY	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC120780063|XP_039968275.1|BTRY	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC120782593|XP_039970879.1|BTRY	LOC108032245|XP_016961597.1|DBIA, LOC108031027|XP_016959717.1|DBIA, LOC108031475|XP_016960425.1|DBIA, LOC108032170|XP_016961513.1|DBIA, LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC120770963|XP_039954628.1|BTRY, LOC120770966|XP_039954631.1|BTRY, LOC120770965|XP_039954630.1|BTRY, LOC120766816|XP_039948459.1|BTRY, LOC120770964|XP_039954629.1|BTRY, LOC120772112|XP_039956457.1|BTRY, LOC120771402|XP_039955308.1|BTRY	LOC108022184|XP_016946525.1|DBIA, LOC108032134|XP_016961458.1|DBIA, LOC108023117|XP_016947872.1|DBIA, LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA, LOC108022200|XP_016946542.1|DBIA
OG0000010	LOC120766432|XP_039947870.1|BTRY	LOC108024778|XP_016950383.1|DBIA
OG0000012	LOC120772295|XP_039956737.1|BTRY	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC120771372|XP_039955267.1|BTRY	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC120772056|XP_039956371.1|BTRY	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC120772616|XP_039957265.1|BTRY, LOC120771697|XP_039955768.1|BTRY	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC120772529|XP_039957131.1|BTRY	LOC108026521|XP_016952956.1|DBIA, LOC108026886|XP_016953577.1|DBIA, LOC108026520|XP_016952955.1|DBIA, LOC108026941|XP_016953643.1|DBIA, LOC108022093|XP_016946425.1|DBIA, LOC108022195|XP_016946536.1|DBIA, LOC108023104|XP_016947858.1|DBIA, LOC108022092|XP_016946424.1|DBIA, LOC108022979|XP_016947693.1|DBIA, LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC120770990|XP_039954671.1|BTRY	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC120776120|XP_039962578.1|BTRY	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC120769789|XP_039952912.1|BTRY	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC120778592|XP_039966397.1|BTRY	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC120782170|XP_039970244.1|BTRY	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC120771319|XP_039955198.1|BTRY, LOC120771339|XP_039955221.1|BTRY	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC120767696|XP_039949821.1|BTRY, LOC120767722|XP_039949862.1|BTRY, LOC120767743|XP_039949888.1|BTRY, LOC120767671|XP_039949778.1|BTRY	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC120774632|XP_039960290.1|BTRY, LOC120778358|XP_039966079.1|BTRY	LOC108035861|XP_016967096.1|DBIA
OG0000014	LOC120779372|XP_039967501.1|BTRY	LOC108021915|XP_016946228.1|DBIA, LOC108031505|XP_016960503.1|DBIA, LOC108027391|XP_016954320.1|DBIA, LOC108022036|XP_016946371.1|DBIA
OG0000015	LOC120767697|XP_039949823.1|BTRY, LOC120778736|XP_039966635.1|BTRY	LOC108033679|XP_016963624.1|DBIA, LOC108022080|XP_016946413.1|DBIA, LOC108022078|XP_016946412.1|DBIA, LOC108033497|XP_016963330.1|DBIA, LOC108033788|XP_016963888.1|DBIA, LOC108028945|XP_016956453.1|DBIA, LOC108025638|XP_016951663.1|DBIA, LOC108027639|XP_016954645.1|DBIA, LOC108033285|XP_016963039.1|DBIA, LOC108025662|XP_016951690.1|DBIA, LOC108025191|XP_016950990.1|DBIA, LOC108025488|XP_016951492.1|DBIA, LOC108025586|XP_016951603.1|DBIA, LOC108029004|XP_016956536.1|DBIA, LOC108028937|XP_016956445.1|DBIA, LOC108028922|XP_016956429.1|DBIA, LOC108028936|XP_016956444.1|DBIA, LOC108032340|XP_016961639.1|DBIA, LOC108032335|XP_016961635.1|DBIA, LOC108032334|XP_016961634.1|DBIA, LOC108034674|XP_016965104.1|DBIA, LOC108033354|XP_016963153.1|DBIA, LOC108028934|XP_016956441.1|DBIA, LOC108030294|XP_016958615.1|DBIA, LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC120770179|XP_039953330.1|BTRY, LOC120774621|XP_039960280.1|BTRY	LOC108031488|XP_016960465.1|DBIA, LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC120774116|XP_039959415.1|BTRY	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC120775405|XP_039961502.1|BTRY	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC120767942|XP_039950259.1|BTRY	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC120773675|XP_039958634.1|BTRY	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC120774348|XP_039959864.1|BTRY, LOC120774347|XP_039959863.1|BTRY	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC120780459|XP_039968667.1|BTRY, LOC120766570|XP_039948096.1|BTRY, LOC120775370|XP_039961466.1|BTRY, LOC120775369|XP_039961465.1|BTRY, LOC120773495|XP_039958373.1|BTRY, LOC120773498|XP_039958374.1|BTRY, LOC120773492|XP_039958371.1|BTRY, LOC120773493|XP_039958372.1|BTRY, LOC120771902|XP_039956113.1|BTRY, LOC120780773|XP_039968962.1|BTRY, LOC120775410|XP_039961512.1|BTRY, LOC120774945|XP_039960759.1|BTRY, LOC120774427|XP_039959995.1|BTRY, LOC120781036|XP_039969147.1|BTRY	LOC108036348|XP_016967909.1|DBIA, LOC108036878|XP_016968743.1|DBIA, LOC108030712|XP_016959244.1|DBIA
OG0000018	LOC120773811|XP_039958852.1|BTRY, LOC120777652|XP_039965038.1|BTRY	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC120777489|XP_039964764.1|BTRY	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC120777549|XP_039964872.1|BTRY	LOC108028402|XP_016955706.1|DBIA
OG0000018	LOC120777771|XP_039965219.1|BTRY, LOC120777275|XP_039964413.1|BTRY, LOC120777724|XP_039965149.1|BTRY	LOC108028162|XP_016955311.1|DBIA
OG0000019	LOC120768215|XP_039950761.1|BTRY, LOC120767062|XP_039948852.1|BTRY, LOC120767061|XP_039948851.1|BTRY, LOC120767055|XP_039948845.1|BTRY, LOC120768123|XP_039950646.1|BTRY, LOC120767057|XP_039948847.1|BTRY, LOC120767056|XP_039948846.1|BTRY, LOC120767060|XP_039948850.1|BTRY, LOC120767059|XP_039948848.1|BTRY	LOC108025227|XP_016951062.1|DBIA, LOC108025229|XP_016951064.1|DBIA, LOC108025230|XP_016951066.1|DBIA, LOC108025224|XP_016951060.1|DBIA, LOC108025228|XP_016951063.1|DBIA, LOC108025225|XP_016951061.1|DBIA, LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC120772465|XP_039957032.1|BTRY	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC120782274|XP_039970399.1|BTRY	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA, LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA, LOC108036110|XP_016967573.1|DBIA
OG0000020	LOC120782276|XP_039970405.1|BTRY, LOC120782275|XP_039970404.1|BTRY	LOC108031537|XP_016960562.1|DBIA
OG0000021	LOC120776121|XP_039962581.1|BTRY	LOC108025789|XP_016951907.1|DBIA
OG0000021	LOC120780423|XP_039968662.1|BTRY	LOC108026319|XP_016952697.1|DBIA
OG0000021	LOC120766828|XP_039948474.1|BTRY	LOC108027350|XP_016954258.1|DBIA, LOC108026442|XP_016952872.1|DBIA
OG0000022	LOC120770783|XP_039954296.1|BTRY	LOC108022346|XP_016946698.1|DBIA
OG0000022	LOC120772493|XP_039957074.1|BTRY, LOC120772984|XP_039957830.1|BTRY, LOC120772492|XP_039957073.1|BTRY, LOC120772490|XP_039957071.1|BTRY, LOC120772489|XP_039957069.1|BTRY, LOC120772491|XP_039957072.1|BTRY	LOC108029210|XP_016956886.1|DBIA, LOC108029216|XP_016956899.1|DBIA, LOC108027792|XP_016954853.1|DBIA, LOC108029236|XP_016956922.1|DBIA
OG0000023	LOC120770307|XP_039953615.1|BTRY	LOC108027146|XP_016953855.1|DBIA
OG0000023	LOC120782575|XP_039970851.1|BTRY	LOC108027143|XP_016953853.1|DBIA, LOC108026627|XP_016953132.1|DBIA, LOC108027145|XP_016953854.1|DBIA
OG0000023	LOC120782264|XP_039970367.1|BTRY, LOC120770295|XP_039953590.1|BTRY	LOC108027009|XP_016953696.1|DBIA
OG0000023	LOC120766880|XP_039948548.1|BTRY	LOC108027245|XP_016954086.1|DBIA
OG0000023	LOC120774273|XP_039959699.1|BTRY	LOC108027357|XP_016954268.1|DBIA
OG0000023	LOC120766882|XP_039948559.1|BTRY	LOC108027244|XP_016954083.1|DBIA
OG0000024	LOC120772647|XP_039957307.1|BTRY, LOC120772769|XP_039957477.1|BTRY, LOC120772232|XP_039956657.1|BTRY	LOC108022668|XP_016947226.1|DBIA, LOC108023057|XP_016947794.1|DBIA, LOC108022950|XP_016947655.1|DBIA, LOC108022666|XP_016947224.1|DBIA
OG0000024	LOC120771072|XP_039954818.1|BTRY	LOC108022667|XP_016947225.1|DBIA
OG0000024	LOC120771807|XP_039955947.1|BTRY, LOC120771151|XP_039954956.1|BTRY, LOC120772419|XP_039956964.1|BTRY, LOC120772738|XP_039957433.1|BTRY, LOC120772729|XP_039957424.1|BTRY, LOC120771356|XP_039955244.1|BTRY, LOC120771213|XP_039955049.1|BTRY	LOC108034270|XP_016964618.1|DBIA, LOC108022158|XP_016946489.1|DBIA
OG0000025	LOC120774110|XP_039959404.1|BTRY	LOC108023228|XP_016947991.1|DBIA
OG0000026	LOC120773924|XP_039959055.1|BTRY	LOC108033571|XP_016963404.1|DBIA
OG0000026	LOC120771108|XP_039954890.1|BTRY, LOC120771150|XP_039954954.1|BTRY, LOC120771291|XP_039955156.1|BTRY, LOC120771214|XP_039955050.1|BTRY, LOC120771107|XP_039954888.1|BTRY, LOC120771357|XP_039955245.1|BTRY	LOC108036455|XP_016968112.1|DBIA, LOC108027284|XP_016954161.1|DBIA, LOC108027046|XP_016953736.1|DBIA
OG0000027	LOC120768378|XP_039950978.1|BTRY	LOC108033374|XP_016963181.1|DBIA
OG0000027	LOC120768612|XP_039951313.1|BTRY	LOC108033303|XP_016963062.1|DBIA
OG0000027	LOC120769660|XP_039952702.1|BTRY, LOC120769659|XP_039952701.1|BTRY	LOC108033359|XP_016963159.1|DBIA
OG0000028	LOC120777924|XP_039965441.1|BTRY	LOC108035881|XP_016967123.1|DBIA
OG0000028	LOC120778200|XP_039965877.1|BTRY, LOC120779125|XP_039967253.1|BTRY, LOC120777352|XP_039964542.1|BTRY, LOC120777354|XP_039964543.1|BTRY, LOC120776936|XP_039963947.1|BTRY	LOC108035021|XP_016965853.1|DBIA
OG0000029	LOC120770346|XP_039953680.1|BTRY, LOC120770345|XP_039953679.1|BTRY, LOC120770344|XP_039953676.1|BTRY, LOC120770343|XP_039953675.1|BTRY, LOC120772671|XP_039957340.1|BTRY	LOC108036183|XP_016967662.1|DBIA, LOC108029337|XP_016957019.1|DBIA, LOC108036041|XP_016967472.1|DBIA, LOC108031286|XP_016960018.1|DBIA, LOC108028180|XP_016955330.1|DBIA
OG0000030	LOC120767592|XP_039949674.1|BTRY, LOC120767594|XP_039949677.1|BTRY	LOC108033534|XP_016963368.1|DBIA, LOC108033540|XP_016963373.1|DBIA
OG0000030	LOC120773026|XP_039957889.1|BTRY	LOC108036692|XP_016968470.1|DBIA
OG0000030	LOC120773022|XP_039957885.1|BTRY, LOC120779311|XP_039967454.1|BTRY, LOC120772876|XP_039957652.1|BTRY	LOC108022382|XP_016946753.1|DBIA
OG0000030	LOC120773099|XP_039958004.1|BTRY, LOC120773095|XP_039957997.1|BTRY, LOC120773096|XP_039957998.1|BTRY, LOC120773098|XP_039958003.1|BTRY	LOC108023610|XP_016948706.1|DBIA
OG0000030	LOC120776112|XP_039962547.1|BTRY	LOC108024286|XP_016949674.1|DBIA
OG0000031	LOC120768292|XP_039950853.1|BTRY, LOC120779992|XP_039968213.1|BTRY, LOC120779995|XP_039968216.1|BTRY	LOC108033357|XP_016963157.1|DBIA, LOC108034241|XP_016964579.1|DBIA
OG0000032	LOC120782444|XP_039970665.1|BTRY, LOC120772886|XP_039957675.1|BTRY, LOC120772879|XP_039957663.1|BTRY	LOC108027359|XP_016954271.1|DBIA
OG0000032	LOC120782780|XP_039971181.1|BTRY	LOC108027028|XP_016953713.1|DBIA, LOC108027228|XP_016954051.1|DBIA, LOC108027267|XP_016954131.1|DBIA, LOC108027001|XP_016953689.1|DBIA, LOC108027268|XP_016954132.1|DBIA
OG0000034	LOC120768067|XP_039950521.1|BTRY, LOC120774324|XP_039959801.1|BTRY, LOC120774325|XP_039959802.1|BTRY, LOC120775804|XP_039962086.1|BTRY	LOC108033817|XP_016963934.1|DBIA, LOC108036384|XP_016967978.1|DBIA, LOC108035246|XP_016966273.1|DBIA, LOC108035237|XP_016966261.1|DBIA, LOC108034999|XP_016965831.1|DBIA, LOC108033284|XP_016963038.1|DBIA, LOC108023439|XP_016948422.1|DBIA, LOC108023578|XP_016948665.1|DBIA, LOC108023415|XP_016948374.1|DBIA, LOC108036755|XP_016968570.1|DBIA
OG0000036	LOC120776996|XP_039964035.1|BTRY	LOC108027411|XP_016954339.1|DBIA
OG0000036	LOC120778788|XP_039966724.1|BTRY	LOC108026449|XP_016952877.1|DBIA
OG0000036	LOC120782503|XP_039970745.1|BTRY	LOC108024985|XP_016950728.1|DBIA
OG0000036	LOC120766491|XP_039947977.1|BTRY, LOC120766392|XP_039947768.1|BTRY	LOC108024657|XP_016950207.1|DBIA
OG0000037	LOC120770870|XP_039954430.1|BTRY	LOC108029865|XP_016957843.1|DBIA
OG0000038	LOC120782799|XP_039971210.1|BTRY, LOC120778801|XP_039966740.1|BTRY, LOC120778809|XP_039966751.1|BTRY, LOC120776437|XP_039963024.1|BTRY	LOC108030746|XP_016959281.1|DBIA
OG0000039	LOC120775164|XP_039961145.1|BTRY, LOC120775260|XP_039961275.1|BTRY, LOC120775925|XP_039962264.1|BTRY, LOC120774821|XP_039960561.1|BTRY, LOC120774830|XP_039960575.1|BTRY, LOC120774822|XP_039960562.1|BTRY	LOC108025609|XP_016951633.1|DBIA
OG0000040	LOC120782054|XP_039970140.1|BTRY, LOC120780117|XP_039968332.1|BTRY	LOC108025546|XP_016951565.1|DBIA, LOC108024820|XP_016950438.1|DBIA, LOC108024821|XP_016950440.1|DBIA, LOC108025434|XP_016951413.1|DBIA, LOC108025431|XP_016951408.1|DBIA, LOC108025433|XP_016951410.1|DBIA, LOC108025485|XP_016951488.1|DBIA, LOC108023851|XP_016948987.1|DBIA
OG0000041	LOC120768580|XP_039951273.1|BTRY, LOC120768566|XP_039951251.1|BTRY, LOC120768557|XP_039951240.1|BTRY, LOC120770588|XP_039954108.1|BTRY, LOC120768406|XP_039951020.1|BTRY, LOC120771594|XP_039955600.1|BTRY, LOC120769143|XP_039951952.1|BTRY, LOC120782690|XP_039971019.1|BTRY, LOC120766331|XP_039947690.1|BTRY, LOC120780438|XP_039968650.1|BTRY, LOC120782600|XP_039970890.1|BTRY, LOC120768545|XP_039951225.1|BTRY	LOC108026015|XP_016952195.1|DBIA, LOC108026081|XP_016952269.1|DBIA, LOC108026380|XP_016952789.1|DBIA, LOC108026109|XP_016952297.1|DBIA, LOC108026021|XP_016952202.1|DBIA, LOC108026443|XP_016952869.1|DBIA, LOC108026441|XP_016952867.1|DBIA
OG0000043	LOC120768156|XP_039950653.1|BTRY, LOC120768140|XP_039950635.1|BTRY	LOC108024814|XP_016950428.1|DBIA, LOC108024406|XP_016949807.1|DBIA
OG0000043	LOC120766218|XP_039947526.1|BTRY, LOC120782788|XP_039971191.1|BTRY, LOC120782185|XP_039970262.1|BTRY, LOC120782790|XP_039971196.1|BTRY, LOC120782789|XP_039971192.1|BTRY	LOC108024792|XP_016950400.1|DBIA, LOC108026909|XP_016953607.1|DBIA, LOC108024319|XP_016949710.1|DBIA, LOC108024782|XP_016950387.1|DBIA, LOC108025302|XP_016951186.1|DBIA, LOC108024783|XP_016950388.1|DBIA
OG0000044	LOC120772588|XP_039957233.1|BTRY	LOC108026455|XP_016952884.1|DBIA
OG0000044	LOC120777147|XP_039964227.1|BTRY, LOC120772935|XP_039957773.1|BTRY, LOC120772936|XP_039957774.1|BTRY, LOC120772094|XP_039956434.1|BTRY, LOC120772937|XP_039957775.1|BTRY	LOC108026365|XP_016952771.1|DBIA, LOC108026364|XP_016952769.1|DBIA, LOC108026002|XP_016952181.1|DBIA, LOC108025998|XP_016952177.1|DBIA, LOC108026469|XP_016952901.1|DBIA
OG0000044	LOC120782367|XP_039970539.1|BTRY	LOC108025049|XP_016950795.1|DBIA
OG0000045	LOC120777594|XP_039964965.1|BTRY, LOC120778683|XP_039966553.1|BTRY, LOC120778456|XP_039966187.1|BTRY, LOC120777163|XP_039964247.1|BTRY	LOC108028610|XP_016956020.1|DBIA
OG0000045	LOC120778581|XP_039966382.1|BTRY	LOC108034658|XP_016965085.1|DBIA, LOC108034642|XP_016965069.1|DBIA
OG0000045	LOC120778222|XP_039965914.1|BTRY	LOC108028181|XP_016955331.1|DBIA
OG0000045	LOC120777964|XP_039965517.1|BTRY	LOC108028143|XP_016955289.1|DBIA
OG0000047	LOC120775795|XP_039962073.1|BTRY	LOC108036240|XP_016967738.1|DBIA, LOC108036255|XP_016967753.1|DBIA, LOC108029392|XP_016957110.1|DBIA, LOC108035707|XP_016966919.1|DBIA, LOC108029377|XP_016957093.1|DBIA, LOC108034788|XP_016965261.1|DBIA
OG0000048	LOC120778037|XP_039965645.1|BTRY, LOC120778038|XP_039965646.1|BTRY	LOC108034662|XP_016965090.1|DBIA, LOC108034416|XP_016964788.1|DBIA
OG0000048	LOC120770488|XP_039953937.1|BTRY, LOC120782877|XP_039971357.1|BTRY, LOC120777798|XP_039965264.1|BTRY, LOC120778212|XP_039965903.1|BTRY, LOC120777799|XP_039965266.1|BTRY, LOC120778322|XP_039966052.1|BTRY, LOC120778227|XP_039965918.1|BTRY, LOC120778460|XP_039966194.1|BTRY	LOC108035017|XP_016965850.1|DBIA, LOC108035032|XP_016965866.1|DBIA, LOC108035016|XP_016965849.1|DBIA
OG0000048	LOC120770486|XP_039953934.1|BTRY	LOC108035019|XP_016965851.1|DBIA
OG0000049	LOC120782870|XP_039971347.1|BTRY	LOC108024404|XP_016949805.1|DBIA
OG0000049	LOC120782209|XP_039970301.1|BTRY	LOC108024363|XP_016949755.1|DBIA
OG0000049	LOC120781673|XP_039969832.1|BTRY	LOC108024349|XP_016949740.1|DBIA
OG0000049	LOC120782186|XP_039970263.1|BTRY, LOC120782627|XP_039970929.1|BTRY	LOC108024839|XP_016950464.1|DBIA, LOC108024840|XP_016950465.1|DBIA
OG0000049	LOC120772847|XP_039957638.1|BTRY	LOC108024876|XP_016950510.1|DBIA
OG0000050	LOC120776369|XP_039962882.1|BTRY	LOC108029844|XP_016957821.1|DBIA
OG0000050	LOC120778411|XP_039966128.1|BTRY	LOC108030726|XP_016959257.1|DBIA, LOC108030785|XP_016959326.1|DBIA, LOC108030724|XP_016959254.1|DBIA, LOC108030784|XP_016959325.1|DBIA, LOC108030723|XP_016959253.1|DBIA, LOC108030725|XP_016959255.1|DBIA
OG0000051	LOC120776450|XP_039963045.1|BTRY	LOC108031259|XP_016959986.1|DBIA
OG0000051	LOC120782523|XP_039970766.1|BTRY, LOC120766330|XP_039947687.1|BTRY	LOC108031167|XP_016959876.1|DBIA
